,t0 symptom,t1 diet,t2 hair,t3 help,t4 control,t5 period,t6 insulin,t7 weight,t8 like,t9 nt,dominant_topic
8nccm4,0.0,0.0,0.15,0.0,0.11,0.0,0.19,0.0,0.17,0.37,9
8nco6i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.33,0.19,7
8ncy0p,0.01,0.43,0.53,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
8ndt25,0.0,0.06,0.07,0.0,0.03,0.35,0.0,0.0,0.36,0.13,8
8ndya9,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.07,8
8np72f,0.0,0.0,0.07,0.07,0.0,0.14,0.0,0.0,0.7,0.0,8
8nqq9l,0.0,0.0,0.0,0.57,0.39,0.0,0.0,0.0,0.0,0.0,3
8nrgb8,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.42,5
8nrq2h,0.0,0.0,0.0,0.0,0.23,0.29,0.24,0.0,0.0,0.22,5
8ns5lv,0.0,0.0,0.12,0.0,0.0,0.33,0.24,0.04,0.0,0.26,5
8nsbl5,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
8nsous,0.01,0.01,0.87,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
8nu0od,0.66,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0
8nul0l,0.23,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.73,0.01,8
8nuy6h,0.27,0.26,0.0,0.11,0.0,0.0,0.0,0.21,0.0,0.14,0
8nwlas,0.12,0.0,0.07,0.0,0.03,0.2,0.0,0.0,0.2,0.38,9
8nx7e4,0.0,0.23,0.0,0.0,0.0,0.53,0.04,0.08,0.11,0.0,5
8nxz72,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.67,0.15,0.09,7
8nxzj3,0.36,0.01,0.34,0.01,0.01,0.01,0.01,0.27,0.01,0.01,0
8nyqbi,0.0,0.0,0.0,0.1,0.21,0.18,0.0,0.0,0.0,0.49,9
8nzaoe,0.44,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.16,0.37,0
8nzlft,0.0,0.0,0.26,0.38,0.0,0.0,0.0,0.0,0.0,0.33,3
8o1v5b,0.0,0.0,0.0,0.0,0.19,0.46,0.0,0.0,0.34,0.0,5
8o53mx,0.01,0.01,0.01,0.01,0.44,0.01,0.01,0.51,0.01,0.01,7
8o5ho1,0.01,0.01,0.01,0.01,0.61,0.32,0.01,0.01,0.01,0.01,4
8o63l9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.82,9
8o6i5a,0.0,0.0,0.29,0.0,0.0,0.34,0.0,0.0,0.34,0.0,5
8o6nqc,0.22,0.08,0.0,0.0,0.16,0.12,0.1,0.1,0.0,0.23,9
8o6rdq,0.0,0.0,0.0,0.11,0.0,0.58,0.0,0.0,0.0,0.3,5
8o7wq7,0.22,0.0,0.22,0.0,0.0,0.03,0.3,0.12,0.03,0.07,6
8o8kg6,0.64,0.0,0.0,0.0,0.08,0.27,0.0,0.0,0.0,0.0,0
8o9peu,0.4,0.01,0.01,0.45,0.01,0.01,0.01,0.01,0.11,0.01,3
8oakx5,0.0,0.0,0.0,0.0,0.19,0.47,0.0,0.14,0.19,0.0,5
8ob0df,0.0,0.25,0.0,0.0,0.13,0.0,0.53,0.0,0.08,0.0,6
8obcn1,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.55,0.0,8
8obcx0,0.0,0.0,0.0,0.06,0.23,0.24,0.0,0.0,0.0,0.46,9
8oc7bn,0.31,0.0,0.24,0.0,0.0,0.16,0.0,0.0,0.0,0.29,0
8ocajx,0.18,0.0,0.17,0.0,0.31,0.0,0.0,0.0,0.33,0.0,8
8ocwb4,0.01,0.01,0.01,0.67,0.28,0.01,0.01,0.01,0.01,0.01,3
8odhup,0.01,0.53,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4,1
8odzi4,0.24,0.17,0.29,0.0,0.0,0.17,0.0,0.12,0.0,0.0,2
8og8yr,0.0,0.11,0.03,0.39,0.15,0.0,0.0,0.11,0.0,0.2,3
8ohn5n,0.0,0.05,0.14,0.0,0.0,0.0,0.55,0.0,0.0,0.24,6
8ohzz3,0.0,0.0,0.16,0.0,0.47,0.26,0.0,0.0,0.1,0.0,4
8oiw4m,0.0,0.07,0.0,0.0,0.34,0.26,0.03,0.0,0.18,0.12,4
8ojgps,0.0,0.2,0.03,0.0,0.02,0.0,0.07,0.33,0.35,0.0,8
8ojm52,0.01,0.01,0.01,0.43,0.01,0.01,0.01,0.01,0.51,0.01,8
8ok3ya,0.27,0.14,0.0,0.05,0.02,0.0,0.08,0.06,0.27,0.11,0
8okt0g,0.0,0.0,0.63,0.0,0.0,0.0,0.1,0.0,0.25,0.0,2
8olytz,0.01,0.01,0.34,0.6,0.01,0.01,0.01,0.01,0.01,0.01,3
8om563,0.25,0.02,0.11,0.0,0.0,0.0,0.04,0.0,0.38,0.2,8
8omb3s,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.23,0.25,3
8omq18,0.0,0.1,0.0,0.0,0.32,0.0,0.0,0.0,0.55,0.0,8
8ons0d,0.0,0.21,0.0,0.18,0.4,0.0,0.0,0.0,0.0,0.21,4
8ou0kj,0.0,0.25,0.0,0.06,0.0,0.24,0.0,0.0,0.17,0.27,9
8ou7ey,0.01,0.01,0.01,0.01,0.01,0.17,0.01,0.01,0.78,0.01,8
8ov7dq,0.0,0.0,0.26,0.0,0.0,0.03,0.0,0.05,0.6,0.06,8
8ovmyy,0.0,0.0,0.0,0.35,0.38,0.15,0.11,0.0,0.0,0.0,4
8ozpjm,0.0,0.0,0.0,0.0,0.0,0.31,0.46,0.0,0.0,0.23,6
8p08xk,0.26,0.0,0.19,0.38,0.0,0.0,0.16,0.0,0.0,0.0,3
8p1jn1,0.0,0.14,0.08,0.0,0.15,0.0,0.09,0.37,0.15,0.02,7
8p25wn,0.36,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.55,9
8p3dhb,0.17,0.04,0.16,0.14,0.09,0.14,0.01,0.08,0.02,0.15,0
8p4g78,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.39,0.44,0.0,8
8p4to0,0.23,0.0,0.0,0.04,0.2,0.0,0.06,0.0,0.22,0.25,9
8p6mlu,0.0,0.04,0.0,0.2,0.0,0.0,0.52,0.23,0.0,0.0,6
8p6sck,0.0,0.21,0.0,0.0,0.27,0.0,0.09,0.0,0.42,0.0,8
8p8av5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.52,0.01,0.41,7
8p9hsr,0.34,0.08,0.0,0.0,0.22,0.35,0.0,0.0,0.0,0.0,5
8p9iws,0.02,0.85,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
8p9nz7,0.67,0.01,0.09,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0
8pampd,0.01,0.01,0.01,0.01,0.91,0.01,0.01,0.01,0.01,0.01,4
8pbn48,0.4,0.0,0.0,0.0,0.51,0.0,0.08,0.0,0.0,0.0,4
8pbntq,0.72,0.01,0.19,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
8pd43j,0.0,0.26,0.0,0.0,0.0,0.11,0.0,0.52,0.1,0.0,7
8pe4eu,0.0,0.0,0.49,0.19,0.19,0.0,0.0,0.0,0.11,0.0,2
8pekfz,0.0,0.23,0.0,0.18,0.0,0.0,0.0,0.23,0.33,0.0,8
8pfkzu,0.0,0.0,0.0,0.12,0.0,0.79,0.0,0.07,0.0,0.0,5
8pgaz4,0.0,0.0,0.13,0.0,0.19,0.18,0.0,0.12,0.36,0.0,8
8pgyml,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.24,0.0,5
8ph3dj,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
8phe5r,0.28,0.29,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.03,7
8pisa4,0.0,0.02,0.18,0.01,0.1,0.25,0.0,0.02,0.28,0.12,8
8pj2mz,0.0,0.12,0.0,0.21,0.45,0.0,0.0,0.21,0.0,0.0,4
8pj6t2,0.13,0.09,0.07,0.02,0.0,0.19,0.2,0.0,0.19,0.11,6
8pjmkk,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.94,0.01,8
8plwko,0.12,0.0,0.0,0.0,0.0,0.44,0.42,0.0,0.0,0.0,5
8pme1e,0.0,0.0,0.0,0.09,0.17,0.5,0.0,0.0,0.1,0.13,5
8pp1h7,0.19,0.0,0.06,0.0,0.13,0.39,0.21,0.0,0.0,0.0,5
8pqixb,0.0,0.31,0.0,0.17,0.0,0.0,0.0,0.33,0.17,0.0,7
8pqro5,0.0,0.0,0.27,0.34,0.0,0.0,0.0,0.04,0.13,0.2,3
8prxkx,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.39,4
8pshtd,0.0,0.31,0.29,0.0,0.0,0.0,0.0,0.08,0.29,0.0,1
8pucis,0.0,0.0,0.0,0.0,0.0,0.33,0.55,0.0,0.0,0.08,6
8pv5ub,0.0,0.0,0.27,0.29,0.14,0.1,0.0,0.2,0.0,0.0,3
8pvffp,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.4,0.0,8
8pvo6q,0.21,0.37,0.0,0.0,0.06,0.0,0.0,0.33,0.0,0.0,1
8pvxhd,0.0,0.0,0.21,0.11,0.57,0.0,0.09,0.0,0.0,0.0,4
8pwant,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.48,0.37,0.0,7
8pwnt1,0.0,0.05,0.0,0.3,0.57,0.0,0.0,0.0,0.06,0.0,4
8pwys6,0.0,0.0,0.0,0.29,0.14,0.0,0.0,0.0,0.56,0.0,8
8pxiyd,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.32,0.16,6
8pyn01,0.0,0.0,0.19,0.05,0.0,0.0,0.4,0.18,0.0,0.18,6
8pywl7,0.01,0.01,0.01,0.89,0.01,0.01,0.01,0.01,0.01,0.01,3
8pyyfw,0.01,0.09,0.01,0.08,0.01,0.01,0.01,0.01,0.79,0.01,8
8q12xu,0.11,0.02,0.04,0.0,0.02,0.0,0.01,0.07,0.13,0.58,9
8q1doy,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.91,9
8q37h3,0.0,0.0,0.0,0.11,0.0,0.77,0.0,0.09,0.0,0.0,5
8q3tl7,0.0,0.18,0.23,0.08,0.0,0.0,0.0,0.34,0.0,0.15,7
8q4i1q,0.0,0.1,0.0,0.0,0.0,0.0,0.03,0.77,0.09,0.0,7
8q4q4s,0.0,0.09,0.0,0.08,0.0,0.25,0.33,0.0,0.0,0.24,6
8q59xr,0.0,0.0,0.0,0.11,0.0,0.18,0.09,0.0,0.0,0.61,9
8q5zy0,0.28,0.15,0.05,0.03,0.0,0.0,0.05,0.41,0.03,0.0,7
8q6un3,0.24,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.54,9
8q6xsu,0.0,0.0,0.0,0.06,0.16,0.77,0.0,0.0,0.0,0.0,5
8q7gu0,0.25,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.14,0.0,3
8q8it3,0.0,0.0,0.0,0.08,0.0,0.5,0.0,0.0,0.0,0.41,5
8q93xt,0.56,0.02,0.28,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0
8q9fgu,0.0,0.02,0.16,0.06,0.11,0.03,0.05,0.18,0.38,0.02,8
8qbm8j,0.29,0.2,0.16,0.16,0.0,0.0,0.0,0.17,0.0,0.0,0
8qdr9o,0.0,0.0,0.0,0.0,0.08,0.0,0.07,0.1,0.15,0.59,9
8qeayp,0.0,0.0,0.0,0.25,0.71,0.0,0.0,0.0,0.0,0.0,4
8qftod,0.0,0.12,0.0,0.32,0.0,0.0,0.0,0.0,0.54,0.0,8
8qgb8y,0.44,0.0,0.11,0.08,0.11,0.0,0.17,0.0,0.0,0.08,0
8qgdi8,0.33,0.0,0.12,0.0,0.0,0.11,0.42,0.0,0.0,0.0,6
8qhit7,0.51,0.0,0.0,0.09,0.0,0.0,0.22,0.0,0.17,0.0,0
8qhn1t,0.51,0.01,0.01,0.01,0.43,0.01,0.01,0.01,0.01,0.01,0
8qi1xq,0.11,0.02,0.0,0.0,0.13,0.25,0.02,0.0,0.4,0.07,8
8qi8xk,0.47,0.0,0.0,0.0,0.28,0.0,0.22,0.0,0.0,0.0,0
8qjruc,0.33,0.01,0.01,0.01,0.01,0.2,0.01,0.01,0.44,0.01,8
8ql4su,0.52,0.09,0.01,0.01,0.35,0.01,0.01,0.01,0.01,0.01,0
8qlons,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.06,0.43,0.12,8
8qlvbq,0.45,0.0,0.0,0.0,0.0,0.0,0.12,0.41,0.0,0.0,0
8qmngj,0.01,0.01,0.32,0.25,0.01,0.01,0.01,0.01,0.01,0.39,9
8qnxd6,0.0,0.0,0.0,0.0,0.06,0.54,0.0,0.0,0.0,0.39,5
8qpaw4,0.0,0.04,0.04,0.0,0.11,0.24,0.0,0.0,0.13,0.44,9
8qph3s,0.01,0.6,0.01,0.01,0.01,0.01,0.01,0.01,0.32,0.01,1
8qqj3l,0.07,0.0,0.0,0.0,0.0,0.44,0.02,0.14,0.16,0.17,5
8qqtsx,0.0,0.0,0.0,0.03,0.09,0.64,0.06,0.0,0.13,0.05,5
8qrjjh,0.0,0.0,0.0,0.07,0.18,0.13,0.0,0.32,0.09,0.2,7
8qrw7o,0.0,0.0,0.0,0.0,0.27,0.41,0.0,0.0,0.0,0.31,5
8qtjkx,0.27,0.0,0.0,0.0,0.29,0.0,0.03,0.4,0.0,0.0,7
8qtzxr,0.25,0.04,0.02,0.0,0.28,0.0,0.25,0.0,0.15,0.0,4
8qwm8o,0.04,0.09,0.0,0.0,0.05,0.0,0.0,0.52,0.17,0.13,7
8qwzuw,0.49,0.26,0.0,0.0,0.17,0.0,0.08,0.0,0.0,0.0,0
8qxgk2,0.0,0.0,0.7,0.0,0.14,0.0,0.0,0.13,0.0,0.0,2
8qxqan,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.35,0.2,2
8qytlr,0.01,0.4,0.01,0.41,0.13,0.01,0.01,0.01,0.01,0.01,3
8r22wr,0.01,0.01,0.01,0.01,0.31,0.65,0.01,0.01,0.01,0.01,5
8r36tb,0.15,0.0,0.06,0.01,0.06,0.17,0.17,0.0,0.0,0.38,9
8r3y2a,0.0,0.0,0.0,0.0,0.21,0.0,0.49,0.0,0.0,0.27,6
8r77hb,0.0,0.08,0.0,0.0,0.0,0.25,0.05,0.04,0.47,0.11,8
8r8fx7,0.01,0.01,0.01,0.16,0.01,0.58,0.01,0.01,0.01,0.21,5
8r94bu,0.0,0.0,0.0,0.0,0.1,0.4,0.11,0.0,0.0,0.38,5
8ran61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.07,8
8rarhy,0.0,0.0,0.0,0.0,0.0,0.27,0.4,0.0,0.31,0.0,6
8rexvk,0.17,0.0,0.05,0.0,0.08,0.26,0.0,0.03,0.1,0.31,9
8rg7av,0.01,0.01,0.56,0.01,0.01,0.01,0.01,0.01,0.39,0.01,2
8rgqir,0.11,0.08,0.0,0.0,0.32,0.0,0.0,0.0,0.48,0.0,8
8rj9wi,0.2,0.04,0.0,0.04,0.14,0.0,0.05,0.44,0.0,0.1,7
8rjfhf,0.0,0.0,0.0,0.13,0.09,0.5,0.0,0.0,0.27,0.0,5
8rkfcm,0.24,0.15,0.24,0.0,0.0,0.13,0.16,0.08,0.0,0.0,0
8rm1jx,0.01,0.86,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,1
8rm8x5,0.0,0.31,0.0,0.23,0.0,0.21,0.15,0.09,0.0,0.0,1
8rpqkd,0.2,0.0,0.21,0.0,0.0,0.08,0.0,0.0,0.0,0.48,9
8rr2b8,0.2,0.0,0.0,0.0,0.23,0.41,0.0,0.0,0.0,0.15,5
8rr3wm,0.43,0.0,0.26,0.0,0.0,0.09,0.0,0.09,0.0,0.14,0
8rrd7k,0.06,0.11,0.19,0.05,0.17,0.19,0.06,0.03,0.14,0.0,2
8rrk00,0.12,0.0,0.0,0.0,0.12,0.0,0.22,0.27,0.0,0.26,7
8rsy6m,0.11,0.0,0.3,0.0,0.04,0.04,0.27,0.24,0.0,0.0,2
8ru6df,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.64,9
8rudks,0.0,0.03,0.0,0.0,0.26,0.36,0.0,0.0,0.28,0.08,5
8rvhp2,0.0,0.14,0.0,0.0,0.64,0.0,0.0,0.0,0.2,0.0,4
8rvpo8,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.58,0.28,0.0,7
8rwbj2,0.13,0.0,0.13,0.0,0.15,0.08,0.0,0.42,0.08,0.0,7
8ryou5,0.25,0.0,0.0,0.17,0.47,0.0,0.0,0.0,0.0,0.09,4
8ryw8r,0.32,0.34,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,1
8rzk8b,0.01,0.01,0.01,0.6,0.32,0.01,0.01,0.01,0.01,0.01,3
8rzpbv,0.23,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.25,3
8rzuuf,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.08,0.0,0.45,4
8s053w,0.45,0.0,0.0,0.0,0.44,0.09,0.0,0.0,0.0,0.0,0
8s1fth,0.0,0.32,0.0,0.02,0.17,0.0,0.11,0.13,0.09,0.16,1
8s1qe1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,9
8s2c1l,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.19,0.33,4
8s3peg,0.1,0.0,0.39,0.0,0.12,0.0,0.0,0.0,0.34,0.06,2
8s3znz,0.11,0.0,0.09,0.0,0.11,0.1,0.0,0.1,0.23,0.25,9
8s4j38,0.01,0.01,0.01,0.1,0.83,0.01,0.01,0.01,0.01,0.01,4
8s4mrx,0.27,0.0,0.05,0.0,0.0,0.08,0.21,0.0,0.05,0.33,9
8s5meu,0.08,0.3,0.0,0.0,0.0,0.02,0.0,0.09,0.47,0.03,8
8s5x0d,0.25,0.0,0.09,0.0,0.0,0.45,0.0,0.0,0.0,0.21,5
8s79gt,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.36,3
8s8hyw,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.5,0.0,8
8saeqy,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.15,0.19,0.46,9
8sbi61,0.37,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.18,5
8sc4et,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.68,0.01,8
8scn6l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.36,8
8scp1s,0.0,0.0,0.11,0.11,0.11,0.45,0.0,0.0,0.14,0.09,5
8scw86,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1
8sdo2l,0.0,0.0,0.03,0.12,0.76,0.0,0.08,0.0,0.0,0.0,4
8sdqal,0.0,0.1,0.0,0.09,0.0,0.0,0.13,0.2,0.0,0.48,9
8sdt3z,0.0,0.13,0.4,0.0,0.16,0.0,0.29,0.0,0.0,0.0,2
8see1f,0.0,0.0,0.0,0.0,0.12,0.36,0.0,0.0,0.0,0.5,9
8seh8x,0.0,0.32,0.0,0.0,0.2,0.0,0.0,0.39,0.06,0.0,7
8sergx,0.0,0.0,0.3,0.05,0.0,0.0,0.0,0.09,0.43,0.12,8
8sfvyt,0.08,0.33,0.0,0.26,0.0,0.0,0.0,0.31,0.0,0.0,1
8shcig,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.31,0.0,5
8shuqa,0.0,0.0,0.0,0.0,0.41,0.24,0.0,0.02,0.24,0.08,4
8sja7q,0.0,0.37,0.14,0.0,0.0,0.0,0.0,0.0,0.3,0.18,1
8smmoz,0.17,0.0,0.0,0.0,0.03,0.0,0.22,0.02,0.0,0.56,9
8smu5p,0.01,0.21,0.01,0.42,0.01,0.01,0.01,0.28,0.01,0.01,3
8snsj9,0.01,0.01,0.17,0.78,0.01,0.01,0.01,0.01,0.01,0.01,3
8sqeed,0.0,0.32,0.0,0.13,0.53,0.0,0.0,0.0,0.0,0.0,4
8sr10t,0.0,0.08,0.0,0.15,0.27,0.0,0.05,0.44,0.0,0.0,7
8srtuq,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.33,0.34,0.01,8
8ssm92,0.0,0.0,0.1,0.0,0.0,0.35,0.13,0.09,0.0,0.32,5
8st8tz,0.0,0.33,0.0,0.0,0.19,0.07,0.15,0.19,0.0,0.06,1
8sux3m,0.0,0.29,0.0,0.09,0.04,0.01,0.06,0.3,0.21,0.0,7
8sv894,0.0,0.39,0.0,0.27,0.0,0.0,0.0,0.32,0.0,0.0,1
8sxit9,0.17,0.0,0.0,0.08,0.72,0.0,0.0,0.0,0.0,0.0,4
8t05j2,0.56,0.01,0.01,0.39,0.01,0.01,0.01,0.01,0.01,0.01,0
8t0b0r,0.01,0.01,0.9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
8t0lx9,0.38,0.01,0.57,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
8t19tq,0.0,0.0,0.66,0.0,0.0,0.2,0.0,0.0,0.11,0.0,2
8t1gou,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
8t1kva,0.1,0.0,0.05,0.0,0.14,0.28,0.05,0.11,0.0,0.27,5
8t1rhw,0.12,0.11,0.0,0.04,0.07,0.24,0.0,0.05,0.1,0.27,9
8t2ofd,0.0,0.0,0.0,0.0,0.0,0.48,0.1,0.0,0.41,0.0,5
8t37y2,0.12,0.0,0.28,0.0,0.0,0.0,0.5,0.0,0.0,0.09,6
8t3kke,0.0,0.0,0.0,0.18,0.18,0.39,0.0,0.23,0.0,0.0,5
8t4d6z,0.23,0.0,0.0,0.0,0.0,0.35,0.0,0.22,0.13,0.07,5
8t6zxl,0.0,0.0,0.58,0.17,0.18,0.07,0.0,0.0,0.0,0.0,2
8t8i00,0.0,0.09,0.0,0.33,0.0,0.03,0.0,0.0,0.54,0.0,8
8t9jd9,0.67,0.0,0.0,0.06,0.0,0.0,0.0,0.25,0.0,0.0,0
8tamr1,0.0,0.0,0.0,0.1,0.0,0.0,0.27,0.0,0.6,0.0,8
8tb19a,0.0,0.0,0.0,0.0,0.45,0.21,0.0,0.14,0.19,0.0,4
8tbyyu,0.0,0.0,0.0,0.07,0.15,0.0,0.0,0.76,0.0,0.0,7
8tcgey,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.1,0.27,0.39,9
8te2ot,0.0,0.07,0.0,0.06,0.02,0.0,0.75,0.0,0.1,0.0,6
8tejw6,0.19,0.08,0.06,0.2,0.21,0.09,0.09,0.0,0.0,0.08,4
8tggt2,0.27,0.04,0.06,0.18,0.08,0.21,0.0,0.0,0.0,0.14,0
8th2dn,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.52,0.32,0.11,7
8thgnq,0.01,0.01,0.69,0.01,0.01,0.01,0.01,0.01,0.27,0.01,2
8tjhrq,0.0,0.03,0.0,0.35,0.14,0.44,0.0,0.03,0.0,0.0,5
8tmhiq,0.51,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.43,0
8tnr49,0.0,0.12,0.0,0.1,0.24,0.1,0.29,0.05,0.0,0.1,6
8tns1c,0.45,0.0,0.13,0.0,0.06,0.08,0.06,0.22,0.0,0.0,0
8tnvvv,0.21,0.13,0.29,0.04,0.03,0.0,0.02,0.06,0.0,0.22,2
8tplsl,0.0,0.12,0.21,0.19,0.07,0.0,0.23,0.0,0.0,0.17,6
8tqbgo,0.0,0.32,0.09,0.0,0.09,0.0,0.09,0.1,0.25,0.06,1
8tqqln,0.12,0.34,0.0,0.0,0.0,0.0,0.0,0.25,0.27,0.0,1
8trptq,0.0,0.0,0.28,0.19,0.0,0.0,0.0,0.0,0.51,0.0,8
8tudbc,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,7
8tw0v8,0.0,0.0,0.0,0.0,0.11,0.13,0.0,0.2,0.0,0.55,9
8txhlu,0.0,0.36,0.0,0.1,0.0,0.0,0.0,0.53,0.0,0.0,7
8txyzs,0.0,0.19,0.0,0.1,0.0,0.0,0.0,0.46,0.18,0.05,7
8ty2a4,0.0,0.0,0.42,0.05,0.0,0.0,0.0,0.0,0.35,0.17,2
8tyeyd,0.22,0.0,0.02,0.0,0.07,0.04,0.14,0.05,0.21,0.25,9
8tz3bg,0.0,0.0,0.24,0.08,0.07,0.0,0.0,0.0,0.35,0.25,8
8tz4x0,0.0,0.0,0.0,0.18,0.06,0.54,0.06,0.0,0.15,0.0,5
8u1a1z,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.15,0.49,9
8u1hy9,0.01,0.61,0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.01,1
8u225e,0.0,0.0,0.03,0.0,0.16,0.11,0.07,0.24,0.08,0.31,9
8u2hxg,0.0,0.0,0.0,0.22,0.0,0.18,0.25,0.27,0.07,0.0,7
8u3acs,0.12,0.37,0.0,0.26,0.03,0.0,0.0,0.0,0.21,0.0,1
8u5ju0,0.34,0.0,0.05,0.0,0.04,0.18,0.08,0.06,0.09,0.16,0
8u5o7i,0.14,0.03,0.02,0.0,0.11,0.0,0.08,0.14,0.1,0.38,9
8u6f0w,0.01,0.12,0.01,0.01,0.01,0.8,0.01,0.01,0.01,0.01,5
8u6hub,0.15,0.13,0.02,0.0,0.21,0.0,0.07,0.15,0.0,0.28,9
8u6v6m,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.73,9
8u78yy,0.1,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.18,0.16,5
8uapyn,0.01,0.01,0.01,0.19,0.47,0.01,0.17,0.13,0.01,0.01,4
8uczmr,0.5,0.0,0.16,0.0,0.0,0.08,0.12,0.0,0.12,0.0,0
8ueqyf,0.0,0.15,0.0,0.08,0.65,0.0,0.0,0.0,0.09,0.0,4
8uf4j2,0.01,0.01,0.54,0.01,0.01,0.01,0.01,0.01,0.41,0.01,2
8ufw3n,0.21,0.0,0.0,0.0,0.31,0.16,0.0,0.0,0.15,0.15,4
8ugjio,0.01,0.01,0.01,0.59,0.01,0.27,0.01,0.01,0.01,0.1,3
8ugnav,0.25,0.01,0.37,0.01,0.01,0.01,0.01,0.34,0.01,0.01,2
8uhgd6,0.0,0.07,0.0,0.28,0.14,0.0,0.0,0.0,0.15,0.34,9
8uhjwd,0.04,0.02,0.04,0.0,0.0,0.1,0.0,0.36,0.22,0.21,7
8ukhpy,0.0,0.0,0.75,0.0,0.22,0.0,0.0,0.0,0.0,0.0,2
8ul1hy,0.0,0.15,0.0,0.33,0.15,0.0,0.0,0.11,0.26,0.0,3
8ulx5k,0.01,0.01,0.01,0.01,0.13,0.51,0.01,0.01,0.32,0.01,5
8umjwx,0.0,0.16,0.0,0.0,0.0,0.04,0.0,0.57,0.09,0.14,7
8untvj,0.0,0.0,0.03,0.0,0.0,0.53,0.0,0.0,0.0,0.43,5
8unu1i,0.01,0.01,0.41,0.01,0.01,0.01,0.01,0.01,0.53,0.01,8
8uo5sb,0.16,0.47,0.19,0.15,0.01,0.01,0.01,0.01,0.01,0.01,1
8uo6k0,0.27,0.01,0.01,0.01,0.67,0.01,0.01,0.01,0.01,0.01,4
8urile,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.43,0.0,2
