,t0 symptom,t1 diet,t2 hair,t3 help,t4 control,t5 period,t6 insulin,t7 weight,t8 like,t9 nt,dominant_topic
r9meh,0.11,0.0,0.11,0.0,0.36,0.07,0.09,0.15,0.11,0.0,4
rba7u,0.61,0.0,0.0,0.0,0.0,0.13,0.0,0.12,0.0,0.14,0
rgdo6,0.24,0.0,0.11,0.05,0.39,0.0,0.08,0.0,0.13,0.0,4
rkyvg,0.0,0.0,0.0,0.0,0.07,0.18,0.0,0.47,0.0,0.27,7
rpb1w,0.32,0.0,0.0,0.0,0.29,0.2,0.03,0.16,0.0,0.0,0
rqxxo,0.22,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.39,9
rtqqa,0.0,0.15,0.16,0.14,0.0,0.0,0.06,0.03,0.17,0.26,9
rxioq,0.18,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.16,0.06,5
ryegz,0.07,0.0,0.11,0.18,0.0,0.0,0.0,0.04,0.6,0.0,8
sd4em,0.0,0.22,0.0,0.25,0.0,0.0,0.0,0.51,0.0,0.0,7
sdcry,0.11,0.27,0.02,0.1,0.0,0.0,0.12,0.05,0.0,0.32,9
sdpdx,0.45,0.0,0.05,0.0,0.0,0.1,0.04,0.0,0.18,0.16,0
sdt18,0.29,0.0,0.0,0.0,0.35,0.19,0.02,0.05,0.09,0.0,4
sfi5b,0.0,0.0,0.18,0.0,0.11,0.2,0.0,0.36,0.0,0.14,7
shgp0,0.01,0.01,0.01,0.01,0.01,0.95,0.01,0.01,0.01,0.01,5
shkyt,0.0,0.05,0.4,0.0,0.0,0.03,0.04,0.02,0.34,0.12,2
sjz4a,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.85,9
sk0uy,0.0,0.0,0.0,0.14,0.07,0.0,0.17,0.23,0.0,0.39,9
squah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.44,7
ss2mo,0.0,0.0,0.0,0.0,0.06,0.0,0.26,0.0,0.0,0.66,9
ssfqv,0.11,0.0,0.0,0.0,0.15,0.15,0.0,0.06,0.0,0.53,9
sshld,0.14,0.0,0.13,0.06,0.08,0.09,0.3,0.1,0.0,0.1,6
ssmoc,0.0,0.0,0.05,0.0,0.17,0.6,0.0,0.0,0.17,0.0,5
sss12,0.19,0.0,0.03,0.0,0.08,0.12,0.0,0.0,0.0,0.56,9
st5uq,0.07,0.0,0.0,0.0,0.0,0.24,0.08,0.11,0.0,0.49,9
stx4o,0.61,0.0,0.0,0.33,0.04,0.0,0.0,0.0,0.0,0.0,0
svtrr,0.2,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.4,9
t2zh5,0.08,0.35,0.0,0.0,0.0,0.0,0.07,0.26,0.0,0.23,1
t3fse,0.01,0.31,0.01,0.01,0.17,0.01,0.01,0.01,0.47,0.01,8
t67zk,0.0,0.0,0.0,0.03,0.1,0.05,0.08,0.05,0.0,0.69,9
