,t0 health,t1 supplement,t2 advice,t3 thanks,t4 period,t5 period,t6 level,t7 weight,t8 like,t9 sex,t10 cyst,t11 doctor,t12 diet,t13 control,t14 feel,t15 amp,t16 hair,t17 metformin,t18 nt,t19 symptom,dominant_topic
cx393,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.28,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,19
cxl3p,0.0,0.09,0.0,0.0,0.27,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.18,0.0,0.0,0.0,0.17,4
dd89k,0.01,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.08,0.0,0.0,0.0,0.1,0.0,0.29,0.0,0.0,0.06,0.19,0.0,14
ds0n2,0.0,0.04,0.12,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.15,0.0,0.0,0.11,14
dylgr,0.0,0.0,0.0,0.0,0.03,0.14,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.1,0.0,0.0,0.24,0.0,0.0,0.26,19
e52z3,0.01,0.0,0.0,0.0,0.0,0.22,0.0,0.04,0.21,0.0,0.0,0.09,0.02,0.18,0.05,0.02,0.0,0.0,0.16,0.0,5
obpr3,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.06,0.01,0.06,0.15,0.0,0.03,0.24,0.0,0.02,0.03,0.07,0.0,5
oc6av,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.08,0.0,0.0,0.0,0.0,0.03,0.16,11
oh156,0.0,0.01,0.0,0.0,0.31,0.17,0.0,0.0,0.19,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.03,0.0,0.02,4
oijl6,0.0,0.0,0.0,0.0,0.04,0.0,0.18,0.0,0.0,0.0,0.05,0.39,0.0,0.14,0.0,0.0,0.06,0.04,0.0,0.09,11
omptx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.11,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,14
oq1m7,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.07,0.12,0.0,0.0,0.12,0.01,0.0,0.35,0.0,0.25,0.0,0.04,0.0,14
os64a,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.05,0.4,0.07,0.0,0.04,0.0,0.0,0.11,0.13,12
oup5i,0.15,0.0,0.03,0.0,0.0,0.17,0.0,0.05,0.08,0.0,0.02,0.18,0.0,0.0,0.0,0.0,0.22,0.0,0.1,0.0,16
ovr6j,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.13,0.44,0.0,0.0,0.0,0.05,0.23,14
owqdw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.31,0.0,0.03,0.25,0.0,0.0,0.0,0.35,0.0,18
owyzg,0.0,0.0,0.06,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.13,0.1,0.22,0.0,0.0,0.0,0.0,0.12,0.34,19
p4530,0.01,0.01,0.01,0.5,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.22,0.01,0.01,0.01,0.01,0.01,3
p6h5c,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.09,0.29,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,5
p9mc8,0.0,0.0,0.01,0.01,0.0,0.03,0.07,0.01,0.23,0.0,0.18,0.31,0.0,0.01,0.0,0.01,0.1,0.0,0.01,0.0,11
pddfa,0.0,0.0,0.24,0.0,0.0,0.07,0.08,0.0,0.0,0.05,0.0,0.29,0.07,0.0,0.06,0.0,0.0,0.0,0.13,0.0,11
pe0hl,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.06,0.01,0.0,0.06,0.0,0.09,0.2,0.01,0.46,0.0,0.0,0.0,16
pe79n,0.01,0.01,0.01,0.48,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.21,0.01,0.01,0.01,0.01,3
peb0x,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.68,0.02,0.02,0.02,0.02,15
pf24t,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.14,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.44,19
pfu5p,0.0,0.0,0.0,0.08,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.33,0.31,0.09,0.0,0.0,0.0,0.05,0.0,0.0,11
pfvxh,0.0,0.0,0.0,0.02,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.38,0.0,0.0,0.0,0.2,0.22,14
pgmy3,0.11,0.0,0.0,0.02,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.51,0.0,0.03,0.0,16
phagj,0.06,0.0,0.0,0.0,0.0,0.13,0.04,0.2,0.0,0.0,0.0,0.14,0.08,0.06,0.0,0.0,0.0,0.1,0.02,0.15,7
pi6l6,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.12,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.42,19
plikw,0.03,0.0,0.0,0.0,0.09,0.04,0.0,0.07,0.22,0.01,0.08,0.21,0.09,0.07,0.0,0.0,0.08,0.0,0.01,0.0,8
pmlnk,0.1,0.0,0.0,0.0,0.0,0.24,0.0,0.06,0.27,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,8
pn95j,0.12,0.0,0.05,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.11,0.0,0.0,0.26,0.0,0.0,0.0,5
pncps,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.27,0.36,0.0,0.0,17
po8dd,0.0,0.0,0.0,0.05,0.0,0.11,0.0,0.0,0.07,0.0,0.0,0.17,0.06,0.09,0.0,0.0,0.0,0.29,0.07,0.08,17
ppq5j,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,11
pruk7,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.24,0.0,0.09,0.0,0.0,0.0,2
px468,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.07,0.37,0.4,0.05,0.07,0.0,0.0,0.0,0.02,0.0,12
pxhk3,0.0,0.0,0.0,0.04,0.05,0.08,0.0,0.28,0.0,0.0,0.0,0.18,0.0,0.19,0.0,0.0,0.0,0.18,0.0,0.0,7
q0ezo,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.08,0.0,0.07,0.0,0.21,0.0,2
q2kvd,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.14,0.0,0.0,0.0,0.11,0.02,0.0,0.02,0.0,0.6,0.0,0.04,17
q2w43,0.02,0.01,0.0,0.0,0.04,0.03,0.02,0.04,0.11,0.0,0.03,0.33,0.19,0.02,0.0,0.0,0.06,0.0,0.0,0.11,11
q3g6p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.09,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,11
q479r,0.36,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0
q5ind,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.42,0.0,0.05,0.08,0.0,0.18,0.0,0.0,0.09,0.0,0.0,0.02,8
q6yhs,0.07,0.0,0.0,0.0,0.0,0.05,0.11,0.05,0.0,0.0,0.08,0.0,0.18,0.0,0.0,0.0,0.05,0.05,0.0,0.34,19
qdgu4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.18,0.08,0.0,0.09,14
qev25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.03,0.0,0.13,0.0,0.26,0.0,0.0,0.21,0.0,0.07,0.09,13
qfzwm,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.11,0.0,0.0,0.04,0.13,0.0,0.09,0.0,0.02,0.0,0.18,0.14,0.15,17
qhvlo,0.02,0.0,0.01,0.0,0.0,0.33,0.15,0.0,0.0,0.0,0.03,0.24,0.07,0.0,0.0,0.0,0.14,0.02,0.0,0.0,5
qk979,0.0,0.01,0.06,0.0,0.0,0.03,0.0,0.25,0.12,0.0,0.0,0.0,0.19,0.0,0.24,0.0,0.0,0.09,0.0,0.0,7
qm21k,0.0,0.0,0.0,0.0,0.19,0.11,0.0,0.0,0.46,0.04,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
qnghb,0.0,0.27,0.0,0.0,0.02,0.02,0.0,0.0,0.15,0.03,0.0,0.0,0.11,0.12,0.15,0.0,0.0,0.08,0.04,0.0,1
qntkr,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.02,0.0,0.09,0.42,0.25,0.0,0.0,0.1,15
qofh1,0.0,0.0,0.0,0.0,0.02,0.0,0.66,0.0,0.0,0.0,0.0,0.09,0.05,0.0,0.0,0.0,0.0,0.03,0.0,0.13,6
quqrq,0.0,0.0,0.0,0.0,0.0,0.54,0.15,0.02,0.0,0.03,0.02,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,5
qwhv4,0.0,0.0,0.0,0.0,0.18,0.0,0.13,0.1,0.11,0.0,0.0,0.3,0.01,0.04,0.0,0.0,0.12,0.0,0.0,0.0,11
qyvv3,0.0,0.0,0.0,0.0,0.0,0.25,0.08,0.0,0.0,0.0,0.0,0.41,0.0,0.03,0.0,0.0,0.05,0.0,0.17,0.0,11
qz291,0.06,0.0,0.0,0.0,0.11,0.0,0.0,0.06,0.23,0.0,0.0,0.51,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,11
qzpsi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.57,0.0,0.0,0.0,16
r09wt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0,0.3,0.12,0.06,0.0,0.0,0.0,0.12,0.0,0.1,11
r1dk4,0.02,0.0,0.0,0.01,0.0,0.03,0.0,0.19,0.14,0.0,0.0,0.08,0.33,0.0,0.13,0.0,0.0,0.0,0.05,0.03,12
r2m9c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.79,0.0,0.0,0.0,16
r6pzw,0.0,0.0,0.08,0.0,0.07,0.0,0.14,0.07,0.0,0.0,0.05,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.17,14
r782m,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.21,0.0,0.0,0.0,0.0,0.1,0.06,0.0,0.02,0.0,0.46,0.0,0.0,17
r7pd5,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.36,0.0,0.11,0.25,0.0,0.0,0.04,0.16,0.0,11
r9meh,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.09,0.23,0.0,0.0,0.0,0.0,0.11,0.0,0.04,0.16,0.12,0.02,0.0,8
rba7u,0.44,0.0,0.0,0.0,0.0,0.16,0.0,0.1,0.03,0.0,0.1,0.0,0.0,0.0,0.14,0.0,0.02,0.0,0.0,0.0,0
rgdo6,0.04,0.03,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.03,0.0,0.0,0.38,0.11,0.0,0.19,0.06,0.0,0.09,13
rkyvg,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.13,0.0,0.0,0.0,0.28,0.1,0.0,0.0,0.0,0.0,0.08,0.0,0.0,5
rpb1w,0.07,0.0,0.0,0.0,0.0,0.46,0.03,0.1,0.0,0.0,0.0,0.07,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,5
rqxxo,0.0,0.0,0.0,0.03,0.04,0.14,0.0,0.04,0.18,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,18
rtqqa,0.0,0.04,0.0,0.1,0.0,0.0,0.03,0.02,0.0,0.04,0.03,0.09,0.27,0.0,0.13,0.0,0.19,0.0,0.07,0.0,12
rxioq,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.26,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
ryegz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.24,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.13,0.0,0.0,0.14,14
sd4em,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.25,7
sdcry,0.0,0.0,0.06,0.0,0.0,0.0,0.07,0.02,0.0,0.02,0.0,0.12,0.2,0.0,0.0,0.01,0.0,0.0,0.07,0.42,19
sdpdx,0.12,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.17,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.12,16
sdt18,0.0,0.0,0.0,0.0,0.04,0.29,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.16,0.0,0.0,0.0,0.0,0.17,5
sfi5b,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.17,0.31,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.16,0.0,0.06,0.0,8
shgp0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
shkyt,0.0,0.02,0.04,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.17,0.05,0.0,0.2,0.0,0.48,0.0,0.0,0.0,16
sjz4a,0.2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.46,0.01,0.01,0.01,0.01,0.01,0.01,0.19,0.01,0.01,10
sk0uy,0.0,0.0,0.08,0.0,0.0,0.0,0.17,0.08,0.0,0.0,0.0,0.28,0.0,0.0,0.11,0.0,0.0,0.18,0.09,0.0,11
squah,0.0,0.0,0.08,0.0,0.0,0.21,0.0,0.26,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,11
ss2mo,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.27,0.35,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.0,11
ssfqv,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.06,0.0,0.0,0.13,0.0,0.0,0.17,0.14,0.0,0.0,0.0,0.37,0.0,18
sshld,0.0,0.05,0.0,0.0,0.0,0.13,0.19,0.07,0.0,0.0,0.03,0.22,0.0,0.05,0.0,0.0,0.17,0.0,0.0,0.08,11
ssmoc,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.25,0.0,0.05,0.09,0.0,0.11,0.0,0.0,0.06,0.0,0.0,0.0,5
sss12,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.13,0.0,0.28,0.41,0.0,0.07,0.0,0.0,0.05,0.0,0.0,0.0,11
st5uq,0.0,0.0,0.06,0.02,0.09,0.08,0.0,0.08,0.0,0.01,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,11
stx4o,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.42,14
svtrr,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.32,0.13,0.38,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,10
t2zh5,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.21,0.5,0.0,0.0,0.0,0.0,0.07,0.0,0.09,12
t3fse,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.41,0.0,0.0,17
t67zk,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.03,0.0,0.0,0.76,0.0,0.07,0.0,0.0,0.0,0.0,0.05,0.03,11
t6y87,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.37,0.0,0.05,0.29,0.0,0.02,0.0,13
tas0g,0.0,0.0,0.0,0.09,0.0,0.13,0.0,0.0,0.11,0.0,0.0,0.45,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.12,11
tc3e9,0.0,0.0,0.05,0.0,0.0,0.08,0.0,0.08,0.0,0.03,0.11,0.31,0.15,0.06,0.0,0.0,0.02,0.03,0.04,0.03,11
texrf,0.03,0.0,0.0,0.0,0.0,0.07,0.0,0.13,0.26,0.0,0.0,0.07,0.02,0.09,0.13,0.0,0.19,0.0,0.02,0.0,8
tfq8s,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,5
thne4,0.03,0.0,0.0,0.0,0.0,0.07,0.0,0.13,0.26,0.0,0.0,0.07,0.02,0.09,0.13,0.0,0.19,0.0,0.02,0.0,8
tjgtb,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.14,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.21,10
tk9b0,0.02,0.0,0.0,0.0,0.0,0.08,0.0,0.12,0.28,0.0,0.0,0.09,0.02,0.09,0.11,0.0,0.17,0.0,0.02,0.0,8
tl9pb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.38,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
tnxgt,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.2,0.0,0.12,0.0,0.16,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
tot51,0.06,0.0,0.01,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.01,0.0,0.31,0.0,0.11,0.03,0.0,0.03,0.01,0.04,6
tqg38,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.39,0.03,0.0,0.0,0.05,0.0,0.03,0.0,0.0,2
tr0sr,0.0,0.0,0.0,0.0,0.12,0.07,0.0,0.0,0.1,0.0,0.0,0.17,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.48,19
ttamw,0.0,0.0,0.06,0.02,0.0,0.08,0.04,0.06,0.0,0.0,0.02,0.29,0.0,0.21,0.0,0.0,0.04,0.06,0.04,0.06,11
ttq47,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,14
twlxc,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.45,0.0,0.44,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,8
tzbe5,0.0,0.0,0.0,0.0,0.0,0.17,0.23,0.15,0.07,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.08,0.0,10
tzc53,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.04,0.0,0.0,8
u2386,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,17
u2o8g,0.08,0.0,0.13,0.06,0.0,0.0,0.05,0.16,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
u3pu7,0.0,0.0,0.0,0.03,0.0,0.3,0.08,0.08,0.0,0.0,0.05,0.0,0.0,0.0,0.08,0.02,0.0,0.0,0.34,0.0,18
u5i4k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.06,0.0,0.0,0.28,0.02,0.17,0.0,0.0,0.12,0.11,0.0,0.05,11
u5xak,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.09,11
u7qb5,0.0,0.0,0.03,0.03,0.0,0.07,0.0,0.05,0.0,0.0,0.0,0.41,0.0,0.21,0.0,0.0,0.16,0.05,0.0,0.0,11
ugo8m,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.13,0.08,0.11,0.0,0.0,0.0,5
uj23e,0.01,0.0,0.04,0.0,0.0,0.15,0.03,0.09,0.16,0.0,0.0,0.13,0.31,0.03,0.0,0.03,0.0,0.03,0.0,0.0,12
um8z4,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,8
undbi,0.46,0.01,0.01,0.26,0.01,0.01,0.01,0.01,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
uoym5,0.0,0.0,0.0,0.0,0.13,0.17,0.0,0.04,0.23,0.02,0.0,0.15,0.0,0.2,0.0,0.0,0.0,0.02,0.03,0.0,8
upeuy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.17,17
upjrw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.19,0.0,0.0,0.0,0.05,0.0,12
uppwq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.05,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,8
uppz8,0.1,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,6
uq2ie,0.04,0.02,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.29,0.08,0.0,0.24,16
uqu1p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.48,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
ut1gg,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.19,0.0,0.3,0.11,0.0,0.32,0.0,0.0,0.0,16
utsdh,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.15,0.33,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
uut9z,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.24,0.12,0.0,0.0,0.08,0.14,0.0,0.0,0.0,0.0,0.18,0.0,0.03,7
ux9r5,0.04,0.14,0.03,0.0,0.0,0.19,0.0,0.03,0.19,0.0,0.0,0.0,0.29,0.0,0.0,0.07,0.0,0.0,0.0,0.0,12
uzu4c,0.0,0.0,0.0,0.07,0.0,0.1,0.0,0.05,0.06,0.0,0.03,0.1,0.03,0.13,0.0,0.19,0.1,0.14,0.0,0.0,15
v2poa,0.13,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,8
v38xw,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.17,0.0,0.0,0.0,0.0,0.16,0.0,11
v3m5s,0.0,0.0,0.0,0.07,0.09,0.1,0.0,0.04,0.0,0.0,0.0,0.5,0.0,0.05,0.0,0.0,0.13,0.0,0.0,0.0,11
v4059,0.0,0.0,0.0,0.04,0.0,0.13,0.0,0.3,0.0,0.0,0.0,0.0,0.33,0.02,0.16,0.0,0.0,0.0,0.0,0.0,12
v7ikx,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.08,8
v7mgw,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.24,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.18,0.0,0.0,12
v89sd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.08,0.0,0.42,0.0,0.12,0.0,0.12,0.0,14
v8j07,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.14,0.0,0.0,0.09,0.06,0.07,0.15,0.0,0.15,0.21,0.0,0.0,17
v9dfl,0.0,0.0,0.05,0.0,0.0,0.08,0.05,0.09,0.0,0.0,0.08,0.41,0.0,0.07,0.0,0.0,0.14,0.0,0.03,0.0,11
va9yq,0.0,0.0,0.05,0.03,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.33,0.11,0.0,0.0,0.0,0.0,0.27,0.0,0.0,11
vb71b,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.28,0.03,0.0,8
vc3g9,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,11
vcvje,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.5,0.16,0.0,0.0,16
vcwzd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.29,7
veg69,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.13,0.0,0.64,0.03,0.0,0.0,16
vfxhr,0.18,0.0,0.05,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,17
vhhn1,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.04,0.39,0.0,0.0,0.0,0.11,0.26,0.0,0.17,0.0,0.0,0.0,0.0,8
vhu74,0.0,0.0,0.0,0.0,0.25,0.09,0.0,0.0,0.07,0.0,0.05,0.29,0.0,0.21,0.0,0.0,0.0,0.02,0.0,0.0,11
vhwjj,0.01,0.01,0.01,0.11,0.01,0.01,0.01,0.01,0.01,0.28,0.01,0.01,0.01,0.01,0.38,0.01,0.01,0.14,0.01,0.01,14
vjd33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.11,0.17,0.0,0.16,0.0,0.08,0.0,8
vkrf7,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.05,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
vl77j,0.28,0.01,0.01,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.01,0.01,0.01,0.01,0.01,0.2,0.01,0.01,11
