,t0 health,t1 supplement,t2 advice,t3 thanks,t4 period,t5 period,t6 level,t7 weight,t8 like,t9 sex,t10 cyst,t11 doctor,t12 diet,t13 control,t14 feel,t15 amp,t16 hair,t17 metformin,t18 nt,t19 symptom,dominant_topic
57hwju,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.23,0.0,0.0,0.07,0.0,0.09,12
57i6kd,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,6
57kaao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,8
57lopj,0.0,0.0,0.0,0.02,0.0,0.32,0.05,0.0,0.12,0.11,0.01,0.18,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.14,5
57np6u,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.26,0.0,0.0,0.07,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.34,19
57rhir,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.17,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.1,0.0,0.0,12
57s7hp,0.0,0.07,0.16,0.0,0.06,0.0,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,16
57u6zy,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,16
57um52,0.0,0.0,0.16,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.31,0.09,0.0,0.0,0.05,0.0,0.0,0.0,0.0,10
57vdwi,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.42,0.0,0.0,0.29,0.0,0.0,0.13,0.0,0.0,11
57vvm8,0.0,0.0,0.0,0.0,0.0,0.11,0.07,0.13,0.0,0.0,0.0,0.22,0.0,0.07,0.0,0.0,0.07,0.32,0.0,0.0,17
57xpqa,0.0,0.01,0.0,0.0,0.24,0.12,0.01,0.07,0.22,0.0,0.0,0.18,0.0,0.12,0.0,0.0,0.0,0.02,0.0,0.0,4
57zyt9,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.12,0.0,0.0,0.18,0.0,0.19,0.0,0.13,0.12,0.03,0.0,0.17,13
584egq,0.01,0.01,0.01,0.22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.46,0.01,0.01,0.23,0.01,0.01,14
584hkc,0.14,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.53,19
584iab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.37,0.0,0.0,0.0,0.0,0.38,0.05,0.09,0.0,16
585czz,0.0,0.25,0.12,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.28,19
585lwu,0.04,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.03,0.0,0.27,0.0,0.0,0.08,0.0,0.02,0.22,0.0,0.22,11
587dd3,0.0,0.0,0.4,0.0,0.0,0.2,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.02,0.0,2
587jjf,0.0,0.0,0.0,0.02,0.0,0.0,0.11,0.02,0.05,0.04,0.0,0.22,0.0,0.0,0.0,0.0,0.47,0.02,0.04,0.0,16
587p0s,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.16,0.0,0.0,0.0,0.17,0.38,19
587snn,0.06,0.0,0.08,0.0,0.0,0.11,0.05,0.0,0.0,0.0,0.09,0.23,0.13,0.0,0.15,0.0,0.05,0.04,0.0,0.0,11
5881uh,0.13,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.49,0.05,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,8
58azoi,0.0,0.08,0.0,0.05,0.0,0.11,0.0,0.08,0.13,0.0,0.0,0.15,0.04,0.09,0.0,0.0,0.0,0.09,0.12,0.06,11
58blw5,0.0,0.37,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.16,0.0,0.0,0.0,0.0,0.12,1
58e0z6,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.13,0.0,0.0,0.28,0.0,0.1,0.13,0.0,0.0,0.0,0.15,0.0,11
58grrl,0.05,0.0,0.0,0.0,0.0,0.0,0.52,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.21,6
58i8qd,0.0,0.0,0.0,0.0,0.24,0.1,0.0,0.0,0.25,0.0,0.12,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
58jbsl,0.0,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.27,0.05,0.0,0.0,0.0,0.0,14
