,t0 taking,t1 feel,t2 pain,t3 hair,t4 hair,t5 doctor,t6 diet,t7 doctor,t8 day,t9 weight,t10 control,t11 pregnant,t12 level,t13 metformin,t14 help,dominant_topic
cx393,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.23,0.0,0.05,0.0,0.13,0.22,5
cxl3p,0.0,0.0,0.0,0.0,0.12,0.0,0.27,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.29,8
dd89k,0.0,0.42,0.0,0.0,0.0,0.0,0.12,0.0,0.09,0.0,0.0,0.3,0.0,0.07,0.0,1
ds0n2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.31,9
dylgr,0.0,0.09,0.0,0.27,0.0,0.0,0.0,0.11,0.15,0.0,0.16,0.0,0.0,0.0,0.21,3
e52z3,0.0,0.25,0.0,0.0,0.05,0.0,0.0,0.14,0.16,0.06,0.24,0.08,0.0,0.01,0.0,1
obpr3,0.0,0.32,0.0,0.03,0.0,0.2,0.0,0.0,0.0,0.0,0.04,0.37,0.0,0.04,0.0,11
oc6av,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.37,0.0,0.0,0.2,0.0,0.0,0.09,0.05,7
oh156,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.6,0.0,0.06,0.0,0.0,0.02,0.04,8
oijl6,0.0,0.0,0.0,0.06,0.0,0.48,0.0,0.0,0.04,0.0,0.17,0.0,0.11,0.07,0.05,5
omptx,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1
oq1m7,0.0,0.53,0.0,0.0,0.21,0.0,0.0,0.08,0.07,0.09,0.0,0.0,0.0,0.0,0.03,1
os64a,0.0,0.0,0.0,0.0,0.09,0.0,0.36,0.06,0.07,0.06,0.13,0.0,0.0,0.0,0.23,6
oup5i,0.02,0.13,0.0,0.17,0.04,0.4,0.02,0.0,0.08,0.05,0.07,0.02,0.0,0.0,0.0,5
ovr6j,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.14,0.0,0.0,0.49,14
owqdw,0.0,0.39,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,5
owyzg,0.0,0.0,0.0,0.0,0.0,0.06,0.15,0.04,0.0,0.0,0.29,0.15,0.0,0.06,0.24,10
p4530,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.19,0.01,0.66,14
p6h5c,0.0,0.1,0.0,0.0,0.0,0.41,0.0,0.0,0.19,0.0,0.0,0.27,0.0,0.0,0.0,5
p9mc8,0.0,0.0,0.29,0.08,0.02,0.16,0.02,0.27,0.0,0.01,0.02,0.05,0.04,0.0,0.05,2
pddfa,0.0,0.27,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.04,0.0,0.15,0.0,0.17,0.0,5
pe0hl,0.0,0.28,0.0,0.11,0.3,0.14,0.0,0.0,0.0,0.0,0.11,0.0,0.07,0.0,0.0,4
pe79n,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9,14
peb0x,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.69,14
pf24t,0.0,0.0,0.0,0.0,0.0,0.19,0.46,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.25,6
pfu5p,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.27,0.0,0.0,0.09,0.0,0.0,0.08,0.23,6
pfvxh,0.0,0.5,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.21,1
pgmy3,0.0,0.15,0.0,0.09,0.37,0.25,0.0,0.0,0.09,0.0,0.0,0.0,0.04,0.0,0.0,4
phagj,0.0,0.18,0.0,0.0,0.0,0.09,0.0,0.0,0.13,0.28,0.1,0.0,0.05,0.13,0.04,9
pi6l6,0.0,0.0,0.17,0.0,0.0,0.37,0.0,0.0,0.04,0.0,0.12,0.0,0.0,0.0,0.29,5
plikw,0.0,0.18,0.11,0.01,0.05,0.17,0.09,0.1,0.13,0.07,0.09,0.0,0.0,0.0,0.0,1
pmlnk,0.0,0.11,0.17,0.0,0.04,0.0,0.0,0.0,0.27,0.09,0.1,0.0,0.0,0.21,0.0,8
pn95j,0.0,0.0,0.0,0.1,0.08,0.0,0.0,0.2,0.23,0.0,0.3,0.0,0.0,0.0,0.09,10
pncps,0.0,0.27,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,13
po8dd,0.05,0.05,0.0,0.0,0.0,0.0,0.07,0.15,0.11,0.0,0.2,0.06,0.0,0.26,0.05,13
ppq5j,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.27,0.0,0.0,0.0,0.47,0.0,0.0,0.0,11
pruk7,0.0,0.36,0.29,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,1
px468,0.02,0.17,0.03,0.0,0.0,0.22,0.33,0.12,0.04,0.03,0.05,0.0,0.0,0.0,0.0,6
pxhk3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.08,0.25,0.2,0.0,0.0,0.26,0.0,13
q0ezo,0.0,0.0,0.28,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.26,11
q2kvd,0.25,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.19,0.0,0.03,0.0,0.04,0.29,0.11,13
q2w43,0.02,0.1,0.05,0.0,0.05,0.22,0.18,0.22,0.0,0.06,0.04,0.0,0.01,0.0,0.04,5
q3g6p,0.15,0.0,0.0,0.0,0.0,0.19,0.0,0.39,0.0,0.07,0.0,0.0,0.0,0.19,0.0,7
q479r,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.24,0.01,0.58,0.01,0.01,0.11,0.01,10
q5ind,0.05,0.0,0.17,0.07,0.07,0.0,0.0,0.29,0.08,0.0,0.26,0.0,0.0,0.01,0.0,7
q6yhs,0.0,0.0,0.09,0.08,0.03,0.0,0.27,0.0,0.0,0.05,0.0,0.0,0.15,0.06,0.24,6
qdgu4,0.0,0.33,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.1,0.08,1
qev25,0.0,0.18,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.12,0.29,0.06,0.0,0.11,0.0,10
qfzwm,0.0,0.0,0.02,0.02,0.0,0.16,0.0,0.0,0.0,0.09,0.14,0.17,0.0,0.25,0.15,13
qhvlo,0.0,0.0,0.03,0.11,0.0,0.52,0.09,0.0,0.13,0.0,0.0,0.04,0.06,0.02,0.0,5
qk979,0.12,0.28,0.0,0.0,0.0,0.0,0.05,0.0,0.06,0.39,0.0,0.0,0.0,0.04,0.05,9
qm21k,0.0,0.05,0.42,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.03,0.01,0.0,0.0,8
qnghb,0.12,0.09,0.04,0.06,0.0,0.0,0.14,0.16,0.0,0.0,0.16,0.1,0.0,0.0,0.12,7
qntkr,0.0,0.0,0.0,0.0,0.78,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,4
qofh1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.16,0.0,0.0,0.0,0.0,0.66,0.12,0.0,12
quqrq,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.24,0.0,0.0,0.14,0.0,0.0,0.0,5
qwhv4,0.03,0.0,0.0,0.0,0.1,0.14,0.0,0.23,0.23,0.11,0.05,0.0,0.12,0.0,0.0,7
qyvv3,0.0,0.09,0.0,0.05,0.0,0.43,0.0,0.17,0.0,0.0,0.05,0.07,0.12,0.0,0.0,5
qz291,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.48,0.06,0.08,0.03,0.0,0.0,0.0,0.0,7
qzpsi,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,4
r09wt,0.18,0.0,0.04,0.0,0.0,0.0,0.05,0.54,0.0,0.09,0.09,0.0,0.0,0.0,0.0,7
r1dk4,0.0,0.34,0.0,0.0,0.0,0.0,0.17,0.04,0.05,0.35,0.0,0.0,0.0,0.0,0.04,9
r2m9c,0.0,0.25,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
r6pzw,0.0,0.31,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.09,0.0,0.14,0.11,0.0,0.21,1
r782m,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.17,0.0,0.22,0.05,0.0,0.08,0.39,0.03,13
r7pd5,0.0,0.43,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.37,0.0,0.04,0.0,1
r9meh,0.0,0.11,0.0,0.16,0.04,0.0,0.0,0.09,0.15,0.07,0.19,0.0,0.06,0.12,0.0,10
rba7u,0.0,0.15,0.21,0.0,0.0,0.22,0.0,0.0,0.0,0.1,0.0,0.07,0.0,0.0,0.25,14
rgdo6,0.0,0.06,0.0,0.0,0.12,0.1,0.03,0.0,0.0,0.0,0.4,0.0,0.05,0.16,0.09,10
rkyvg,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.31,0.0,0.15,0.0,0.22,0.0,0.21,0.0,7
rpb1w,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.23,0.13,0.41,0.0,0.0,0.0,0.0,10
rqxxo,0.0,0.0,0.34,0.0,0.0,0.3,0.0,0.0,0.06,0.07,0.0,0.22,0.0,0.0,0.0,2
rtqqa,0.0,0.19,0.0,0.11,0.05,0.12,0.29,0.0,0.0,0.01,0.0,0.06,0.03,0.0,0.13,6
rxioq,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.39,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2
ryegz,0.0,0.59,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.23,1
sd4em,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.26,9
sdcry,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.12,0.0,0.05,0.0,0.08,0.09,0.0,0.47,14
sdpdx,0.0,0.12,0.12,0.12,0.0,0.5,0.0,0.09,0.0,0.0,0.0,0.0,0.04,0.0,0.0,5
sdt18,0.0,0.15,0.0,0.0,0.0,0.11,0.0,0.0,0.28,0.0,0.46,0.0,0.0,0.0,0.0,10
sfi5b,0.0,0.37,0.0,0.0,0.14,0.0,0.0,0.0,0.09,0.1,0.15,0.07,0.0,0.08,0.0,1
shgp0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
shkyt,0.0,0.2,0.0,0.0,0.46,0.05,0.04,0.15,0.0,0.03,0.0,0.0,0.0,0.0,0.06,4
sjz4a,0.01,0.01,0.84,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
sk0uy,0.0,0.09,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.08,0.0,0.1,0.16,0.21,0.22,14
squah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.16,0.32,0.0,0.15,0.0,0.0,0.0,7
ss2mo,0.0,0.0,0.16,0.0,0.0,0.53,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.05,0.0,5
ssfqv,0.0,0.19,0.12,0.0,0.0,0.09,0.0,0.0,0.0,0.08,0.2,0.27,0.0,0.05,0.0,11
sshld,0.0,0.0,0.0,0.18,0.0,0.29,0.0,0.14,0.0,0.07,0.12,0.0,0.14,0.0,0.04,5
ssmoc,0.0,0.13,0.12,0.0,0.06,0.0,0.0,0.12,0.35,0.0,0.22,0.0,0.0,0.0,0.0,8
sss12,0.0,0.0,0.38,0.0,0.04,0.26,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,2
st5uq,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.46,0.08,0.09,0.0,0.07,0.0,0.0,0.05,7
stx4o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.92,14
svtrr,0.0,0.23,0.66,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
t2zh5,0.0,0.0,0.0,0.0,0.0,0.23,0.47,0.02,0.0,0.09,0.0,0.0,0.0,0.08,0.11,6
t3fse,0.84,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
t67zk,0.0,0.06,0.0,0.0,0.0,0.17,0.0,0.5,0.0,0.04,0.07,0.07,0.04,0.0,0.05,7
t6y87,0.0,0.0,0.02,0.0,0.31,0.0,0.0,0.2,0.07,0.0,0.39,0.01,0.0,0.0,0.0,10
tas0g,0.0,0.38,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.26,1
tc3e9,0.0,0.0,0.11,0.02,0.0,0.18,0.14,0.29,0.0,0.1,0.06,0.04,0.0,0.05,0.0,7
texrf,0.0,0.48,0.0,0.0,0.16,0.08,0.02,0.0,0.0,0.15,0.11,0.0,0.0,0.0,0.0,1
tfq8s,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.2,0.15,5
thne4,0.0,0.48,0.0,0.0,0.16,0.08,0.02,0.0,0.0,0.15,0.11,0.0,0.0,0.0,0.0,1
tjgtb,0.0,0.0,0.46,0.11,0.0,0.0,0.0,0.16,0.0,0.12,0.0,0.0,0.08,0.05,0.0,2
tk9b0,0.0,0.45,0.0,0.0,0.15,0.05,0.02,0.04,0.05,0.14,0.11,0.0,0.0,0.0,0.0,1
tl9pb,0.14,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.14,6
tnxgt,0.0,0.0,0.13,0.0,0.0,0.0,0.12,0.1,0.0,0.43,0.0,0.0,0.0,0.0,0.21,9
tot51,0.0,0.17,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.01,0.0,0.0,0.45,0.02,0.05,12
tqg38,0.0,0.0,0.0,0.0,0.06,0.12,0.0,0.49,0.0,0.15,0.0,0.13,0.0,0.04,0.0,7
tr0sr,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.5,0.0,0.0,0.13,0.0,0.0,0.0,0.32,7
ttamw,0.0,0.15,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.06,0.25,0.07,0.03,0.09,0.11,10
ttq47,0.01,0.55,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.32,0.01,0.07,0.01,0.01,1
twlxc,0.06,0.0,0.37,0.0,0.0,0.34,0.0,0.15,0.0,0.0,0.07,0.0,0.0,0.0,0.0,2
tzbe5,0.0,0.0,0.13,0.05,0.0,0.32,0.0,0.0,0.1,0.17,0.0,0.03,0.2,0.0,0.0,5
tzc53,0.06,0.3,0.0,0.0,0.0,0.14,0.0,0.0,0.06,0.0,0.42,0.0,0.0,0.0,0.0,10
u2386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.26,0.5,0.0,13
u2o8g,0.0,0.06,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.19,0.0,0.0,0.07,0.0,0.21,6
u3pu7,0.0,0.0,0.0,0.0,0.04,0.41,0.0,0.0,0.0,0.08,0.08,0.33,0.05,0.0,0.0,5
u5i4k,0.0,0.23,0.0,0.09,0.0,0.13,0.02,0.0,0.0,0.2,0.17,0.0,0.0,0.16,0.0,1
u5xak,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.39,7
u7qb5,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.45,0.06,0.07,0.18,0.0,0.0,0.05,0.04,7
ugo8m,0.0,0.0,0.0,0.0,0.35,0.0,0.15,0.35,0.11,0.0,0.0,0.0,0.0,0.0,0.0,4
uj23e,0.03,0.09,0.0,0.0,0.02,0.0,0.28,0.2,0.12,0.12,0.04,0.0,0.03,0.0,0.05,6
um8z4,0.13,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.36,0.0,13
undbi,0.01,0.42,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.47,14
uoym5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.44,0.04,0.27,0.07,0.0,0.0,0.0,8
upeuy,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.27,0.0,0.0,0.0,0.31,0.08,13
upjrw,0.03,0.22,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,6
uppwq,0.0,0.54,0.14,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
uppz8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.15,0.0,12
uq2ie,0.0,0.0,0.0,0.25,0.0,0.14,0.16,0.0,0.17,0.0,0.0,0.0,0.0,0.05,0.2,3
uqu1p,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.01,0.33,0.23,0.01,0.01,0.01,0.01,0.01,6
ut1gg,0.0,0.21,0.0,0.0,0.2,0.0,0.0,0.14,0.0,0.04,0.4,0.0,0.0,0.0,0.0,10
utsdh,0.0,0.16,0.0,0.0,0.0,0.0,0.28,0.12,0.24,0.15,0.0,0.0,0.0,0.03,0.0,6
uut9z,0.04,0.0,0.0,0.0,0.0,0.1,0.11,0.18,0.09,0.32,0.0,0.0,0.0,0.15,0.0,9
ux9r5,0.13,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.1,0.06,0.0,0.11,0.0,0.0,0.16,6
uzu4c,0.0,0.0,0.06,0.0,0.32,0.0,0.0,0.12,0.0,0.07,0.23,0.0,0.0,0.14,0.06,4
v2poa,0.05,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.13,0.0,0.0,0.16,0.0,8
v38xw,0.0,0.2,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,5
v3m5s,0.0,0.0,0.0,0.0,0.11,0.39,0.0,0.18,0.19,0.05,0.07,0.0,0.0,0.0,0.0,5
v4059,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.14,0.4,0.03,0.0,0.0,0.0,0.19,9
v7ikx,0.23,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.17,0.0,8
v7mgw,0.34,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,6
v89sd,0.0,0.69,0.0,0.08,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1
v8j07,0.08,0.25,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.14,0.07,0.0,0.03,0.23,0.05,1
v9dfl,0.0,0.0,0.0,0.0,0.09,0.39,0.0,0.22,0.09,0.09,0.06,0.03,0.03,0.0,0.0,5
va9yq,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.38,0.0,0.24,0.0,0.0,0.0,0.26,0.0,7
vb71b,0.08,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.28,0.08,1
vc3g9,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.24,0.0,7
vcvje,0.07,0.11,0.0,0.21,0.33,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.15,0.0,4
vcwzd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.66,0.0,0.0,0.0,0.0,0.22,9
veg69,0.0,0.28,0.0,0.21,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,4
vfxhr,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,13
vhhn1,0.0,0.0,0.0,0.0,0.29,0.0,0.11,0.0,0.18,0.06,0.36,0.0,0.0,0.0,0.0,10
vhu74,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.23,0.35,0.0,0.26,0.0,0.0,0.02,0.0,8
vhwjj,0.21,0.41,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.28,0.01,1
vjd33,0.0,0.79,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,1
vkrf7,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.08,0.0,0.0,0.48,0.0,0.0,12
vl77j,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.45,0.01,0.01,0.44,0.01,10
vl9tv,0.0,0.0,0.0,0.13,0.09,0.52,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.11,5
vland,0.0,0.1,0.0,0.07,0.24,0.0,0.07,0.25,0.0,0.19,0.0,0.0,0.0,0.0,0.06,7
vm27a,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.05,0.0,0.0,0.0,0.0,0.42,14
vmlu3,0.18,0.3,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
vnosz,0.53,0.21,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
votop,0.0,0.0,0.0,0.0,0.05,0.08,0.0,0.41,0.18,0.0,0.28,0.0,0.0,0.0,0.0,7
vqfhz,0.0,0.16,0.02,0.04,0.0,0.0,0.0,0.46,0.14,0.08,0.1,0.0,0.0,0.0,0.0,7
vqh5q,0.0,0.23,0.0,0.0,0.21,0.31,0.0,0.1,0.0,0.0,0.03,0.04,0.0,0.07,0.0,5
vqhjs,0.0,0.35,0.0,0.0,0.05,0.0,0.0,0.14,0.0,0.45,0.0,0.0,0.0,0.0,0.0,9
vqy2y,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.19,0.38,0.0,0.14,0.0,0.0,0.0,0.18,8
vwk3a,0.0,0.46,0.04,0.0,0.11,0.0,0.0,0.0,0.2,0.0,0.18,0.0,0.0,0.0,0.0,1
w0puw,0.0,0.16,0.0,0.0,0.08,0.11,0.0,0.0,0.27,0.07,0.1,0.0,0.0,0.21,0.0,8
w2jun,0.0,0.36,0.0,0.0,0.15,0.27,0.0,0.0,0.08,0.0,0.1,0.0,0.0,0.03,0.0,1
w2yy5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.17,0.0,0.43,14
w38y8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.79,14
w3b6i,0.0,0.07,0.0,0.0,0.0,0.51,0.0,0.0,0.24,0.0,0.0,0.16,0.0,0.0,0.0,5
w4xxm,0.0,0.13,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.07,0.0,0.0,0.29,0.15,0.25,12
w5iqk,0.0,0.07,0.05,0.0,0.0,0.08,0.0,0.3,0.0,0.2,0.0,0.07,0.0,0.23,0.0,7
w6ue4,0.0,0.29,0.04,0.0,0.0,0.14,0.0,0.27,0.0,0.16,0.0,0.0,0.0,0.0,0.1,1
wbiqc,0.0,0.22,0.0,0.14,0.04,0.26,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
wbpjq,0.0,0.0,0.0,0.0,0.49,0.0,0.05,0.0,0.23,0.0,0.08,0.0,0.0,0.14,0.0,4
wclcw,0.0,0.58,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.24,0.0,1
whsk5,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.13,0.0,11
wjilc,0.01,0.93,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
wm8km,0.0,0.16,0.0,0.0,0.0,0.12,0.0,0.11,0.0,0.3,0.0,0.0,0.09,0.0,0.22,9
wmqb6,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.18,0.0,0.02,0.0,0.03,2
wnrfa,0.0,0.0,0.0,0.05,0.0,0.64,0.0,0.0,0.16,0.09,0.04,0.0,0.0,0.0,0.0,5
wokhx,0.11,0.0,0.38,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.07,0.0,0.0,0.21,2
wp8fn,0.15,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.19,0.22,0.0,0.0,0.0,0.2,0.0,9
wpr61,0.0,0.77,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
wpvem,0.01,0.0,0.0,0.0,0.07,0.05,0.19,0.41,0.0,0.06,0.02,0.01,0.08,0.0,0.1,7
wue4x,0.0,0.55,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.24,1
wupwv,0.03,0.28,0.0,0.03,0.0,0.07,0.0,0.27,0.0,0.0,0.25,0.04,0.0,0.04,0.0,1
wvdpk,0.09,0.44,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1
wxjne,0.0,0.0,0.0,0.0,0.08,0.18,0.0,0.13,0.16,0.07,0.0,0.2,0.0,0.0,0.18,11
wyu1f,0.0,0.13,0.21,0.0,0.09,0.31,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,5
wzdda,0.0,0.42,0.0,0.0,0.0,0.23,0.0,0.04,0.19,0.0,0.07,0.0,0.0,0.0,0.04,1
x07qt,0.22,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.05,0.27,0.15,0.0,0.0,0.19,10
x1ydu,0.0,0.16,0.06,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.22,0.05,0.0,0.04,0.29,14
x216x,0.0,0.35,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.25,0.0,0.0,0.21,1
x4wpr,0.03,0.38,0.06,0.0,0.0,0.06,0.03,0.18,0.13,0.09,0.03,0.02,0.0,0.0,0.0,1
x55hx,0.02,0.17,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.48,0.0,0.15,0.0,0.1,0.0,9
x6heu,0.01,0.4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.53,14
x8ovm,0.0,0.33,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.41,0.04,0.0,0.0,0.11,0.0,9
xao5q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.31,0.0,0.26,0.28,0.0,0.0,0.0,8
xaq0z,0.0,0.11,0.05,0.0,0.0,0.0,0.0,0.15,0.0,0.04,0.24,0.0,0.0,0.1,0.3,14
xbef6,0.0,0.27,0.0,0.0,0.0,0.21,0.0,0.0,0.15,0.11,0.16,0.0,0.09,0.0,0.0,1
xbqfz,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.06,0.21,0.0,0.0,0.24,1
