,t0 taking,t1 feel,t2 pain,t3 hair,t4 hair,t5 doctor,t6 diet,t7 doctor,t8 day,t9 weight,t10 control,t11 pregnant,t12 level,t13 metformin,t14 help,dominant_topic
6din5u,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.23,0.14,0.0,0.0,0.34,14
6ditd9,0.0,0.0,0.0,0.24,0.31,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.21,4
6djqyn,0.0,0.63,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,1
6djszn,0.0,0.2,0.0,0.05,0.0,0.0,0.24,0.0,0.12,0.11,0.21,0.0,0.0,0.0,0.06,6
6dmhxk,0.03,0.05,0.0,0.11,0.0,0.0,0.17,0.34,0.0,0.06,0.02,0.07,0.03,0.12,0.0,7
6dmihj,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.63,14
6dmjh5,0.0,0.3,0.0,0.0,0.0,0.09,0.11,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,9
6dmssx,0.02,0.2,0.08,0.0,0.1,0.28,0.09,0.0,0.09,0.0,0.03,0.0,0.1,0.0,0.0,5
6dn2s5,0.0,0.1,0.0,0.0,0.06,0.17,0.02,0.43,0.06,0.04,0.03,0.0,0.0,0.04,0.05,7
6dowx3,0.0,0.15,0.0,0.22,0.0,0.0,0.14,0.0,0.0,0.1,0.05,0.0,0.11,0.0,0.21,3
6dqhas,0.04,0.0,0.0,0.11,0.0,0.05,0.31,0.06,0.0,0.01,0.0,0.02,0.25,0.05,0.09,6
6ds3f0,0.0,0.14,0.0,0.14,0.03,0.25,0.0,0.18,0.0,0.0,0.12,0.08,0.06,0.0,0.0,5
6dt3ia,0.01,0.01,0.19,0.01,0.01,0.01,0.01,0.01,0.7,0.01,0.01,0.01,0.01,0.01,0.01,8
6duup7,0.0,0.26,0.15,0.0,0.0,0.0,0.0,0.25,0.1,0.1,0.0,0.09,0.05,0.0,0.0,1
6dv9kt,0.04,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.27,0.2,0.0,0.0,0.0,0.1,0.0,2
