,t0 stomach,t1 weight,t2 pain,t3 control,t4 hair,t5 normal,t6 insulin,t7 doctor,t8 day,t9 diet,dominant_topic
37or34,0.01,0.62,0.01,0.01,0.01,0.01,0.29,0.01,0.01,0.01,1
37p2tq,0.08,0.01,0.01,0.3,0.01,0.01,0.01,0.42,0.16,0.01,7
37ptqc,0.04,0.67,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.01,1
37qiko,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.71,0.0,0.0,7
37rddf,0.0,0.2,0.0,0.7,0.0,0.0,0.0,0.0,0.06,0.0,3
37ryo9,0.02,0.0,0.0,0.0,0.5,0.09,0.0,0.38,0.0,0.0,4
37t11b,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.23,0.0,0.54,9
37x6sp,0.12,0.01,0.01,0.01,0.43,0.01,0.01,0.4,0.01,0.01,4
383v0b,0.0,0.11,0.0,0.34,0.17,0.09,0.0,0.05,0.23,0.0,3
383ypk,0.01,0.0,0.46,0.0,0.11,0.05,0.0,0.31,0.06,0.0,2
384w5k,0.02,0.0,0.08,0.0,0.0,0.0,0.35,0.28,0.26,0.0,6
386gsz,0.0,0.24,0.12,0.23,0.0,0.0,0.0,0.41,0.0,0.0,7
386lfm,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.89,0.05,8
3875vu,0.0,0.0,0.0,0.2,0.0,0.07,0.06,0.55,0.11,0.0,7
3886ha,0.0,0.28,0.09,0.22,0.38,0.0,0.0,0.0,0.0,0.0,4
388ijg,0.09,0.55,0.01,0.33,0.01,0.01,0.01,0.01,0.01,0.01,1
389q17,0.0,0.0,0.15,0.17,0.0,0.0,0.0,0.32,0.35,0.0,8
38a6ce,0.02,0.18,0.36,0.0,0.0,0.0,0.0,0.42,0.0,0.0,7
38cq2n,0.0,0.44,0.0,0.0,0.06,0.0,0.09,0.0,0.33,0.07,1
38cr1a,0.0,0.44,0.0,0.0,0.06,0.0,0.09,0.0,0.33,0.07,1
38d833,0.0,0.33,0.09,0.15,0.01,0.04,0.19,0.18,0.0,0.0,1
38dfs7,0.0,0.0,0.21,0.09,0.0,0.37,0.0,0.15,0.15,0.03,5
38dtab,0.02,0.0,0.22,0.18,0.0,0.0,0.04,0.22,0.31,0.0,8
38fehk,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.1,0.0,0.0,2
38fipx,0.02,0.38,0.0,0.0,0.0,0.0,0.0,0.46,0.11,0.03,7
38it5y,0.01,0.01,0.54,0.01,0.01,0.01,0.01,0.24,0.01,0.17,2
38itid,0.01,0.01,0.01,0.01,0.01,0.63,0.31,0.01,0.01,0.01,5
38jc6s,0.01,0.01,0.65,0.01,0.01,0.01,0.01,0.01,0.3,0.01,2
38jeu2,0.01,0.01,0.73,0.01,0.01,0.01,0.01,0.23,0.01,0.01,2
38jt02,0.0,0.23,0.0,0.28,0.0,0.0,0.0,0.41,0.06,0.0,7
38k08m,0.0,0.0,0.06,0.13,0.16,0.28,0.0,0.36,0.0,0.0,7
38kbni,0.04,0.0,0.0,0.0,0.64,0.12,0.0,0.0,0.0,0.17,4
38kfpc,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.38,0.03,2
38lif2,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.2,0.0,0.0,2
38lxlt,0.0,0.0,0.0,0.08,0.1,0.0,0.38,0.0,0.22,0.2,6
38sgdu,0.0,0.38,0.0,0.0,0.0,0.06,0.0,0.09,0.27,0.18,1
38t4k5,0.04,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.43,9
38t4lw,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.18,0.68,0.0,8
38xff8,0.0,0.0,0.0,0.2,0.0,0.37,0.16,0.27,0.0,0.0,5
38y9oh,0.0,0.0,0.0,0.0,0.13,0.53,0.19,0.14,0.0,0.0,5
38yo4i,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.19,0.4,0.0,8
38z468,0.01,0.2,0.0,0.39,0.0,0.0,0.0,0.39,0.0,0.0,3
392you,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,7
393y1k,0.0,0.2,0.0,0.65,0.0,0.0,0.0,0.13,0.0,0.0,3
3972l9,0.0,0.29,0.0,0.26,0.0,0.0,0.0,0.43,0.0,0.0,7
397hh1,0.04,0.0,0.2,0.41,0.0,0.0,0.0,0.15,0.15,0.05,3
397t7h,0.0,0.21,0.07,0.43,0.0,0.0,0.0,0.0,0.28,0.0,3
397z1d,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.94,0.01,0.01,7
398gnl,0.01,0.01,0.26,0.01,0.01,0.01,0.01,0.7,0.01,0.01,7
39a28r,0.0,0.63,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.1,1
39ak17,0.01,0.81,0.01,0.01,0.01,0.01,0.14,0.01,0.01,0.01,1
39ald9,0.0,0.07,0.0,0.0,0.0,0.04,0.0,0.0,0.81,0.05,8
39bo92,0.0,0.26,0.0,0.0,0.0,0.0,0.6,0.11,0.0,0.0,6
39ecic,0.0,0.0,0.5,0.0,0.0,0.49,0.0,0.0,0.0,0.0,2
39eica,0.01,0.01,0.01,0.12,0.01,0.07,0.01,0.77,0.01,0.01,7
39g7lb,0.0,0.49,0.22,0.0,0.1,0.1,0.0,0.0,0.08,0.0,1
39gbhg,0.02,0.27,0.11,0.0,0.27,0.13,0.02,0.1,0.05,0.02,1
39gvcp,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.62,0.01,0.22,7
39hds0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.31,0.0,7
39hn6c,0.01,0.01,0.01,0.01,0.01,0.01,0.52,0.42,0.01,0.01,6
39ia8w,0.0,0.44,0.33,0.0,0.0,0.0,0.0,0.0,0.21,0.0,1
39ivma,0.01,0.01,0.29,0.01,0.01,0.01,0.15,0.52,0.01,0.01,7
39ksvd,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.04,0.0,0.0,4
39ku0d,0.0,0.0,0.21,0.0,0.0,0.04,0.0,0.74,0.0,0.0,7
39ky2g,0.0,0.0,0.48,0.01,0.0,0.08,0.0,0.39,0.02,0.02,2
39p6g3,0.0,0.25,0.0,0.09,0.0,0.39,0.0,0.0,0.11,0.15,5
39qyuc,0.0,0.17,0.0,0.14,0.47,0.2,0.01,0.0,0.0,0.0,4
39re04,0.01,0.0,0.0,0.0,0.03,0.34,0.09,0.52,0.0,0.0,7
39rv7f,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,1
39ske4,0.03,0.34,0.0,0.0,0.09,0.15,0.14,0.24,0.0,0.0,1
39skxm,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.21,0.13,0.53,9
39t3nl,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.14,0.0,4
39u8ky,0.0,0.14,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,6
39w323,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
39w397,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
39w3dt,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
39w3in,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
39w3mg,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
39w3rk,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
39w3x3,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
39w43t,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
39w49b,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
39w4dw,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
39w5mo,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
39w5qa,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
39w5sq,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
39w5v3,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
39w6my,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
39w79v,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
39w7er,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
39w7ic,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
39w7ki,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
39w7pe,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
39w7t6,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
39w7xb,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
39wcsg,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
39xg4y,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.13,0.72,0.0,8
39y0up,0.0,0.0,0.0,0.36,0.29,0.0,0.0,0.16,0.18,0.0,3
39yras,0.0,0.0,0.27,0.0,0.3,0.0,0.0,0.41,0.0,0.0,7
39z36f,0.0,0.63,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.11,1
39zxss,0.0,0.08,0.03,0.03,0.0,0.24,0.02,0.34,0.23,0.03,7
3a0bnq,0.0,0.16,0.55,0.12,0.0,0.0,0.0,0.15,0.0,0.0,2
3a0n8a,0.01,0.79,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
3a22sy,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.14,0.0,0.0,4
3a3n96,0.0,0.0,0.62,0.04,0.0,0.0,0.1,0.0,0.24,0.0,2
3a41he,0.0,0.13,0.0,0.07,0.0,0.0,0.57,0.0,0.0,0.21,6
3a6exz,0.0,0.28,0.09,0.16,0.08,0.0,0.0,0.3,0.0,0.09,7
3a6mem,0.01,0.01,0.01,0.01,0.01,0.01,0.52,0.01,0.01,0.41,6
3a6sf4,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3a6spr,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3a6sxx,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3a6v6g,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3a6vl6,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3a6vsg,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3a6wab,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3a6wp3,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3a6x00,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3a6y0d,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3a7i9b,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.37,6
3a7idl,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.37,6
3a7ijs,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3a7iqf,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3a7k0g,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.37,6
3a7kg2,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3a7kpt,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.37,6
3a7kyq,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3a7llu,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3a7lx9,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.37,6
3a9039,0.0,0.25,0.0,0.0,0.56,0.0,0.0,0.0,0.16,0.0,4
3a9ll0,0.05,0.0,0.38,0.0,0.0,0.0,0.14,0.41,0.0,0.0,7
3a9pe2,0.0,0.0,0.15,0.23,0.0,0.0,0.0,0.0,0.48,0.13,8
3aab91,0.01,0.01,0.29,0.09,0.01,0.01,0.19,0.39,0.01,0.01,7
3aawya,0.12,0.0,0.06,0.0,0.0,0.0,0.0,0.32,0.49,0.0,8
3abkzt,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.59,0.0,0.0,7
3acyoj,0.0,0.21,0.0,0.05,0.04,0.0,0.0,0.69,0.0,0.0,7
3admxk,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3adn10,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3adn3a,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3adn62,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3adn6j,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3adn92,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3adncs,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3adnhq,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3adnoj,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3adntc,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3ado18,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3aecd7,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.52,9
3aecew,0.0,0.54,0.0,0.1,0.11,0.04,0.0,0.12,0.07,0.02,1
3ahgrc,0.0,0.09,0.0,0.15,0.0,0.66,0.0,0.09,0.0,0.0,5
3ahlte,0.0,0.0,0.21,0.0,0.2,0.0,0.0,0.0,0.57,0.0,8
3aim2c,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.85,0.02,8
3akyb7,0.01,0.81,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.01,1
3al3ch,0.0,0.0,0.0,0.07,0.0,0.41,0.12,0.39,0.0,0.0,5
3am3uw,0.01,0.44,0.0,0.0,0.0,0.0,0.0,0.37,0.11,0.06,1
3amda6,0.0,0.0,0.0,0.11,0.64,0.0,0.0,0.05,0.18,0.0,4
3amhhq,0.02,0.07,0.33,0.0,0.0,0.37,0.2,0.0,0.0,0.0,5
3an3fb,0.0,0.0,0.0,0.54,0.0,0.25,0.0,0.18,0.0,0.0,3
3aordr,0.0,0.0,0.0,0.14,0.0,0.08,0.0,0.33,0.44,0.0,8
3aq50k,0.0,0.08,0.12,0.24,0.0,0.0,0.0,0.32,0.2,0.04,7
3aqh4p,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
3aqvix,0.0,0.0,0.0,0.0,0.09,0.28,0.0,0.62,0.0,0.0,7
3ar9fr,0.0,0.0,0.0,0.0,0.56,0.0,0.36,0.0,0.06,0.0,4
3arrlk,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.11,0.3,0.0,3
3arsr9,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.45,1
3as8vc,0.0,0.14,0.5,0.0,0.17,0.08,0.0,0.0,0.1,0.0,2
3aum6v,0.0,0.0,0.06,0.14,0.0,0.11,0.14,0.48,0.04,0.03,7
3auqo9,0.0,0.19,0.0,0.57,0.21,0.0,0.0,0.0,0.0,0.0,3
3auzz1,0.0,0.0,0.31,0.33,0.0,0.0,0.0,0.25,0.0,0.09,3
3av159,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.3,0.42,9
3av3y4,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.54,0.0,0.0,7
3avsyx,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.29,0.13,0.0,3
3aw52h,0.0,0.0,0.0,0.07,0.0,0.44,0.0,0.0,0.43,0.05,5
3awou0,0.0,0.07,0.0,0.0,0.0,0.33,0.28,0.32,0.0,0.0,5
3axffa,0.0,0.2,0.12,0.0,0.0,0.0,0.16,0.23,0.0,0.29,9
3ay35j,0.0,0.0,0.25,0.04,0.23,0.0,0.0,0.46,0.0,0.0,7
3ayxfi,0.0,0.0,0.09,0.2,0.0,0.12,0.0,0.57,0.0,0.01,7
3az8cw,0.01,0.95,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
3azpm1,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.34,0.57,0.0,8
3b039v,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,8
3b18ix,0.0,0.1,0.0,0.22,0.08,0.07,0.06,0.33,0.13,0.0,7
3b28s5,0.01,0.01,0.01,0.01,0.01,0.01,0.27,0.01,0.01,0.67,9
3b3n68,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.28,0.17,0.0,3
3b474v,0.0,0.04,0.0,0.06,0.0,0.29,0.0,0.59,0.0,0.0,7
3b4mg8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,7
3b5huv,0.0,0.65,0.0,0.0,0.0,0.0,0.06,0.1,0.0,0.18,1
3b5ih0,0.0,0.2,0.0,0.24,0.55,0.0,0.0,0.0,0.0,0.0,4
3b5vms,0.0,0.0,0.0,0.0,0.0,0.58,0.34,0.08,0.0,0.0,5
3b68jq,0.03,0.07,0.1,0.32,0.0,0.0,0.0,0.28,0.19,0.0,3
3b6cmo,0.0,0.0,0.44,0.0,0.0,0.0,0.11,0.42,0.0,0.0,2
3b7186,0.03,0.05,0.0,0.76,0.0,0.0,0.0,0.15,0.0,0.0,3
3b7oi1,0.0,0.0,0.15,0.0,0.0,0.22,0.0,0.6,0.0,0.0,7
3b88ks,0.01,0.42,0.01,0.52,0.01,0.01,0.01,0.01,0.01,0.01,3
3b8wry,0.09,0.0,0.0,0.6,0.0,0.0,0.0,0.28,0.0,0.0,3
3b9a9z,0.0,0.0,0.13,0.44,0.29,0.0,0.0,0.13,0.0,0.0,3
3ba7mu,0.0,0.0,0.0,0.0,0.0,0.77,0.09,0.0,0.12,0.0,5
3bbomc,0.0,0.08,0.0,0.0,0.0,0.0,0.15,0.57,0.18,0.0,7
3bcq97,0.0,0.0,0.42,0.35,0.21,0.0,0.0,0.0,0.0,0.0,2
3bdtxr,0.01,0.01,0.01,0.01,0.93,0.01,0.01,0.01,0.01,0.01,4
3bg0y5,0.01,0.21,0.01,0.73,0.01,0.01,0.01,0.01,0.01,0.01,3
3bg73l,0.02,0.09,0.2,0.36,0.32,0.0,0.0,0.0,0.0,0.0,3
3bhe0g,0.01,0.01,0.01,0.65,0.01,0.01,0.01,0.3,0.01,0.01,3
3bhvdv,0.0,0.65,0.0,0.12,0.0,0.0,0.0,0.0,0.21,0.0,1
3bhygz,0.0,0.0,0.0,0.1,0.47,0.0,0.0,0.0,0.42,0.0,4
3bi1gd,0.01,0.58,0.1,0.1,0.06,0.0,0.0,0.1,0.0,0.04,1
3biz0e,0.01,0.01,0.13,0.01,0.16,0.01,0.01,0.01,0.58,0.09,8
3bj7at,0.0,0.44,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,3
3bkbwz,0.0,0.38,0.23,0.0,0.0,0.05,0.0,0.33,0.0,0.0,1
3brb0u,0.0,0.12,0.0,0.06,0.0,0.0,0.05,0.16,0.55,0.04,8
3btchw,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.16,0.0,0.0,3
3btq16,0.0,0.0,0.21,0.0,0.77,0.0,0.0,0.0,0.0,0.0,4
3bvuqh,0.1,0.01,0.51,0.01,0.19,0.01,0.15,0.01,0.01,0.01,2
3bwlam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.56,0.0,8
3bxvsr,0.01,0.21,0.0,0.17,0.24,0.26,0.0,0.11,0.0,0.0,5
3byaf6,0.0,0.51,0.0,0.0,0.0,0.12,0.0,0.35,0.0,0.0,1
3byhk6,0.01,0.01,0.01,0.01,0.01,0.01,0.93,0.01,0.01,0.01,6
3c0mr6,0.0,0.0,0.07,0.0,0.0,0.0,0.39,0.0,0.0,0.51,9
3c4tzw,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,9
3c5hyx,0.0,0.14,0.0,0.6,0.07,0.0,0.12,0.0,0.08,0.0,3
3c69fx,0.0,0.23,0.12,0.29,0.0,0.0,0.09,0.24,0.03,0.0,3
3c7pv0,0.0,0.29,0.0,0.22,0.0,0.0,0.0,0.22,0.26,0.0,1
3c8kis,0.0,0.75,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.19,1
3c8uw4,0.01,0.01,0.01,0.01,0.78,0.01,0.01,0.01,0.18,0.01,4
3cb7tb,0.12,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2
3cbe9o,0.01,0.01,0.01,0.32,0.09,0.3,0.24,0.01,0.01,0.01,3
3cbt9s,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.18,0.0,0.08,4
3cdh6p,0.0,0.0,0.06,0.0,0.68,0.04,0.19,0.0,0.0,0.0,4
3cewnh,0.0,0.66,0.12,0.1,0.0,0.11,0.0,0.0,0.0,0.0,1
3cgwij,0.0,0.0,0.0,0.0,0.0,0.63,0.11,0.0,0.25,0.0,5
3ch2z7,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.09,0.35,0.06,3
3cine3,0.0,0.11,0.0,0.21,0.0,0.25,0.15,0.1,0.17,0.0,5
3cl6ax,0.0,0.3,0.1,0.0,0.06,0.21,0.14,0.19,0.0,0.0,1
3clzoy,0.0,0.0,0.63,0.06,0.29,0.0,0.0,0.0,0.0,0.0,2
3cmcuz,0.06,0.0,0.3,0.28,0.0,0.0,0.0,0.24,0.1,0.0,2
3cn98u,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.25,0.15,0.03,5
3cpyl0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.69,0.0,0.0,7
3crgym,0.0,0.06,0.0,0.18,0.26,0.5,0.0,0.0,0.0,0.0,5
3csr1s,0.0,0.07,0.0,0.32,0.11,0.0,0.11,0.23,0.17,0.0,3
3ctv60,0.02,0.6,0.0,0.0,0.06,0.0,0.03,0.0,0.15,0.14,1
3cuk3k,0.0,0.3,0.0,0.13,0.0,0.29,0.0,0.27,0.0,0.0,1
3cuxad,0.0,0.0,0.0,0.44,0.19,0.0,0.07,0.0,0.15,0.14,3
3cvgcz,0.0,0.16,0.06,0.2,0.0,0.1,0.05,0.13,0.15,0.14,3
3cwgge,0.0,0.12,0.0,0.46,0.0,0.0,0.29,0.0,0.11,0.0,3
3cxfnp,0.0,0.56,0.09,0.0,0.0,0.0,0.0,0.09,0.0,0.25,1
3cyen8,0.05,0.32,0.0,0.0,0.0,0.13,0.41,0.0,0.0,0.08,6
3d02nl,0.08,0.34,0.0,0.27,0.28,0.0,0.0,0.0,0.0,0.0,1
3d12rc,0.0,0.0,0.0,0.57,0.0,0.11,0.0,0.0,0.0,0.29,3
3d1tks,0.0,0.16,0.2,0.0,0.0,0.0,0.0,0.15,0.48,0.0,8
3d22tq,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.26,0.17,0.5,9
3d4oes,0.0,0.42,0.0,0.13,0.0,0.04,0.0,0.36,0.05,0.0,1
3d6n37,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.85,0.02,0.02,7
3d7ry7,0.04,0.0,0.14,0.0,0.0,0.0,0.0,0.52,0.29,0.0,7
3d7tyl,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.46,0.0,0.04,4
3dad1y,0.0,0.25,0.0,0.29,0.12,0.0,0.0,0.32,0.0,0.02,7
3daltp,0.0,0.41,0.12,0.07,0.1,0.0,0.0,0.12,0.17,0.0,1
3dcccw,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.85,0.0,0.0,7
3dcho6,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.1,0.76,0.0,8
3de5jk,0.0,0.73,0.0,0.08,0.0,0.0,0.17,0.0,0.0,0.0,1
3dgqpv,0.0,0.0,0.0,0.28,0.0,0.12,0.0,0.6,0.0,0.0,7
3dhmnr,0.01,0.01,0.01,0.01,0.01,0.01,0.53,0.01,0.41,0.01,6
3dhy58,0.05,0.01,0.01,0.01,0.83,0.08,0.01,0.01,0.01,0.01,4
3di3i2,0.03,0.36,0.0,0.04,0.04,0.0,0.12,0.0,0.0,0.4,9
3din2l,0.02,0.0,0.36,0.21,0.04,0.0,0.0,0.34,0.0,0.0,2
3djgv1,0.0,0.0,0.18,0.0,0.0,0.11,0.0,0.17,0.53,0.0,8
3dksya,0.0,0.0,0.0,0.1,0.0,0.45,0.21,0.17,0.0,0.06,5
3dkynd,0.0,0.52,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,1
3dlgi0,0.0,0.0,0.0,0.31,0.08,0.22,0.37,0.0,0.0,0.0,6
3dmw3l,0.0,0.33,0.12,0.0,0.0,0.0,0.08,0.05,0.0,0.42,9
3dnjqt,0.0,0.3,0.13,0.22,0.0,0.0,0.0,0.0,0.13,0.22,1
3dou7w,0.0,0.1,0.0,0.17,0.0,0.21,0.0,0.36,0.15,0.0,7
3doxp7,0.07,0.68,0.0,0.02,0.05,0.0,0.0,0.14,0.0,0.04,1
3dpc40,0.0,0.45,0.0,0.0,0.0,0.35,0.1,0.0,0.0,0.09,1
3dqxrg,0.0,0.0,0.0,0.18,0.0,0.33,0.0,0.48,0.0,0.0,7
3drga1,0.0,0.02,0.32,0.17,0.04,0.0,0.0,0.27,0.0,0.17,2
3ds5fn,0.0,0.12,0.1,0.4,0.07,0.0,0.13,0.06,0.0,0.12,3
3dskgj,0.0,0.0,0.0,0.0,0.0,0.42,0.11,0.46,0.0,0.0,7
3dtl0o,0.0,0.0,0.0,0.53,0.14,0.0,0.0,0.32,0.0,0.0,3
3dvy1w,0.01,0.08,0.39,0.06,0.08,0.0,0.0,0.12,0.25,0.0,2
3dwfxp,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.48,0.0,0.19,7
3dx7no,0.01,0.43,0.0,0.0,0.0,0.0,0.28,0.09,0.0,0.18,1
3dzvxn,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.51,0.24,0.0,7
3e11ub,0.0,0.19,0.0,0.0,0.0,0.33,0.04,0.43,0.0,0.0,7
3e1eyl,0.0,0.25,0.06,0.0,0.26,0.25,0.09,0.0,0.0,0.09,4
3e2glc,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.73,0.0,0.0,7
3e39ay,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.66,0.01,0.01,7
3e3t0t,0.0,0.12,0.14,0.31,0.09,0.0,0.0,0.29,0.05,0.0,3
3e4ob2,0.0,0.46,0.17,0.24,0.0,0.0,0.0,0.12,0.0,0.0,1
3e4vxu,0.0,0.0,0.0,0.33,0.0,0.0,0.15,0.49,0.0,0.0,7
3e5umg,0.0,0.26,0.15,0.17,0.0,0.12,0.04,0.13,0.01,0.12,1
3e5zl3,0.0,0.0,0.0,0.12,0.0,0.49,0.0,0.27,0.12,0.0,5
3e7ark,0.0,0.23,0.0,0.1,0.16,0.0,0.13,0.37,0.0,0.0,7
