,t0 stomach,t1 weight,t2 pain,t3 control,t4 hair,t5 normal,t6 insulin,t7 doctor,t8 day,t9 diet,dominant_topic
r9meh,0.0,0.22,0.0,0.34,0.2,0.16,0.0,0.0,0.07,0.0,3
rba7u,0.0,0.34,0.27,0.0,0.0,0.0,0.29,0.0,0.09,0.0,1
rgdo6,0.0,0.0,0.0,0.57,0.19,0.13,0.1,0.0,0.0,0.0,3
rkyvg,0.0,0.42,0.0,0.09,0.0,0.0,0.0,0.07,0.35,0.05,1
rpb1w,0.0,0.29,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,3
rqxxo,0.0,0.0,0.37,0.0,0.0,0.16,0.0,0.34,0.12,0.0,2
rtqqa,0.0,0.12,0.03,0.0,0.26,0.03,0.08,0.23,0.0,0.24,4
rxioq,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.15,0.21,0.0,2
ryegz,0.0,0.56,0.0,0.0,0.26,0.0,0.17,0.0,0.0,0.0,1
sd4em,0.0,0.39,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.43,9
sdcry,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.31,0.06,0.37,9
sdpdx,0.0,0.0,0.23,0.0,0.16,0.14,0.08,0.38,0.0,0.0,7
sdt18,0.0,0.21,0.0,0.5,0.0,0.1,0.0,0.0,0.19,0.0,3
sfi5b,0.0,0.6,0.0,0.13,0.17,0.0,0.0,0.0,0.09,0.0,1
shgp0,0.01,0.01,0.94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
shkyt,0.02,0.06,0.0,0.0,0.68,0.0,0.0,0.16,0.04,0.04,4
sjz4a,0.02,0.02,0.85,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
sk0uy,0.0,0.19,0.0,0.16,0.0,0.0,0.28,0.22,0.1,0.04,6
squah,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.32,0.24,0.0,1
ss2mo,0.0,0.0,0.34,0.0,0.0,0.09,0.22,0.34,0.0,0.0,2
ssfqv,0.0,0.17,0.15,0.2,0.0,0.0,0.0,0.34,0.13,0.0,7
sshld,0.0,0.0,0.0,0.09,0.12,0.52,0.0,0.17,0.0,0.09,5
ssmoc,0.0,0.0,0.23,0.17,0.09,0.0,0.0,0.12,0.38,0.0,8
sss12,0.0,0.0,0.59,0.15,0.06,0.19,0.0,0.0,0.0,0.0,2
st5uq,0.0,0.16,0.0,0.0,0.0,0.09,0.0,0.56,0.19,0.0,7
stx4o,0.0,0.0,0.0,0.07,0.0,0.0,0.91,0.0,0.0,0.0,6
svtrr,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2
t2zh5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.49,9
t3fse,0.3,0.01,0.22,0.11,0.01,0.01,0.01,0.01,0.01,0.32,9
t67zk,0.0,0.11,0.0,0.08,0.0,0.0,0.07,0.74,0.0,0.0,7
t6y87,0.0,0.0,0.03,0.42,0.38,0.0,0.02,0.04,0.11,0.0,3
tas0g,0.0,0.2,0.0,0.25,0.0,0.07,0.06,0.4,0.0,0.0,7
tc3e9,0.0,0.35,0.17,0.12,0.02,0.0,0.0,0.29,0.0,0.03,1
texrf,0.02,0.56,0.0,0.08,0.25,0.0,0.0,0.08,0.0,0.01,1
tfq8s,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.55,0.35,0.01,7
thne4,0.02,0.56,0.0,0.08,0.25,0.0,0.0,0.08,0.0,0.01,1
tjgtb,0.0,0.23,0.53,0.0,0.0,0.0,0.22,0.0,0.0,0.0,2
tk9b0,0.02,0.55,0.0,0.09,0.24,0.0,0.0,0.09,0.0,0.01,1
tl9pb,0.06,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.46,0.2,8
tnxgt,0.06,0.58,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.23,1
tot51,0.01,0.18,0.0,0.0,0.0,0.08,0.62,0.0,0.0,0.11,6
tqg38,0.0,0.27,0.0,0.0,0.0,0.0,0.07,0.62,0.0,0.03,7
tr0sr,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.6,0.13,0.03,7
ttamw,0.0,0.25,0.0,0.34,0.0,0.14,0.0,0.23,0.03,0.0,3
ttq47,0.01,0.4,0.32,0.01,0.01,0.22,0.01,0.01,0.01,0.01,1
twlxc,0.0,0.0,0.85,0.13,0.0,0.0,0.0,0.0,0.0,0.0,2
tzbe5,0.0,0.19,0.13,0.0,0.0,0.53,0.1,0.0,0.05,0.0,5
tzc53,0.0,0.0,0.42,0.44,0.0,0.08,0.04,0.0,0.0,0.0,3
u2386,0.0,0.0,0.0,0.51,0.0,0.35,0.0,0.12,0.0,0.0,3
u2o8g,0.0,0.46,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.45,1
u3pu7,0.0,0.11,0.0,0.0,0.0,0.14,0.2,0.35,0.19,0.0,7
u5i4k,0.0,0.43,0.0,0.31,0.13,0.0,0.0,0.13,0.0,0.0,1
u5xak,0.06,0.0,0.0,0.17,0.0,0.0,0.31,0.43,0.0,0.0,7
u7qb5,0.0,0.13,0.0,0.2,0.2,0.0,0.0,0.34,0.13,0.0,7
ugo8m,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.4,0.0,0.0,4
uj23e,0.0,0.51,0.0,0.05,0.02,0.04,0.06,0.03,0.15,0.13,1
um8z4,0.02,0.11,0.45,0.37,0.0,0.0,0.0,0.0,0.0,0.04,2
undbi,0.01,0.39,0.01,0.01,0.01,0.01,0.51,0.01,0.01,0.01,6
uoym5,0.0,0.08,0.0,0.3,0.0,0.0,0.0,0.09,0.52,0.0,8
upeuy,0.0,0.44,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.08,3
upjrw,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.56,9
uppwq,0.0,0.0,0.36,0.0,0.61,0.0,0.0,0.0,0.0,0.0,4
uppz8,0.0,0.0,0.0,0.13,0.0,0.68,0.16,0.0,0.0,0.0,5
