,t0 pain,t1 metformin,t2 cyst,t3 hair,t4 amp,t5 since,t6 insulin,t7 doctor,t8 day,t9 eat,t10 hair,t11 pregnant,t12 level,t13 started,t14 help,t15 weight,t16 control,t17 skin,t18 feel,t19 health,dominant_topic
9a3l3v,0.01,0.01,0.01,0.01,0.18,0.01,0.34,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0.01,0.01,0.01,0.01,0.01,14
9a5yt4,0.2,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.18,0.45,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,9
9a6tio,0.13,0.0,0.0,0.06,0.0,0.0,0.0,0.26,0.2,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,16
9a722a,0.0,0.0,0.0,0.6,0.0,0.0,0.06,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
9a73yk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.11,0.04,0.0,0.0,0.0,0.21,0.25,0.0,0.09,0.05,16
9a95ko,0.0,0.0,0.0,0.0,0.0,0.24,0.12,0.0,0.0,0.0,0.29,0.0,0.14,0.0,0.0,0.19,0.0,0.0,0.0,0.0,10
9a9xt7,0.0,0.0,0.0,0.0,0.08,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.16,0.0,0.0,0.0,0.0,0.28,13
9aa4r3,0.0,0.0,0.02,0.06,0.0,0.16,0.12,0.11,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.1,0.0,0.0,0.0,0.22,19
9abbwk,0.26,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26,0.01,0.01,0.26,0.01,0.01,0.01,0.01,0.01,0
9aco7n,0.11,0.01,0.13,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.67,0.01,0.01,0.01,16
9acw11,0.05,0.0,0.0,0.0,0.0,0.03,0.0,0.1,0.2,0.0,0.07,0.01,0.05,0.27,0.0,0.0,0.19,0.03,0.0,0.0,13
9adfc4,0.0,0.0,0.06,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.13,0.08,0.0,0.0,0.0,0.0,0.0,0.34,0.0,5
9af5rv,0.01,0.0,0.0,0.0,0.0,0.18,0.0,0.02,0.0,0.0,0.0,0.0,0.12,0.15,0.0,0.27,0.0,0.08,0.06,0.11,15
9af7dm,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.3,0.0,0.0,0.11,0.0,12
9afxck,0.0,0.28,0.0,0.0,0.0,0.0,0.09,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.11,14
9agvzf,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.03,0.03,17
9ah4z6,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.1,0.04,3
9ahzjn,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.21,18
9ajl6s,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.09,0.28,0.0,15
9ak1kl,0.0,0.0,0.0,0.0,0.12,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,18
9al76r,0.19,0.0,0.06,0.02,0.04,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.02,0.0,0.0,0.18,0.0,7
9alg35,0.0,0.49,0.0,0.0,0.0,0.0,0.3,0.0,0.13,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9alheu,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.09,0.49,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,8
9alo8s,0.0,0.24,0.0,0.12,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.07,0.23,0.17,0.0,1
9alzf6,0.0,0.48,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,1
9alzsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.17,0.09,0.04,0.35,0.21,18
9am72k,0.0,0.18,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.0,0.0,0.0,0.0,6
9amha9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.42,0.17,0.0,0.0,0.0,0.0,14
9anrkq,0.1,0.18,0.0,0.0,0.0,0.26,0.1,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,5
9ao7hr,0.0,0.0,0.0,0.31,0.09,0.0,0.0,0.05,0.18,0.0,0.03,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.19,0.0,3
9ap4ob,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3
9apgtf,0.0,0.0,0.07,0.0,0.0,0.23,0.0,0.0,0.31,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.11,8
9aqiox,0.0,0.38,0.0,0.0,0.0,0.0,0.04,0.28,0.08,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1
9ar0c7,0.0,0.0,0.0,0.0,0.04,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.16,0.0,0.47,0.09,0.0,17
9are9u,0.37,0.06,0.0,0.0,0.24,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0
9arn7b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.64,0.0,18
9arz37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,16
9as02i,0.0,0.04,0.0,0.26,0.0,0.0,0.0,0.0,0.09,0.0,0.08,0.0,0.0,0.0,0.18,0.0,0.0,0.14,0.12,0.08,3
9as8nj,0.0,0.0,0.0,0.0,0.0,0.3,0.32,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
9aslk1,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
9asnr7,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.08,0.0,0.0,0.0,0.19,0.39,0.0,0.0,0.0,0.0,0.15,14
9asz3i,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.19,0.09,0.0,0.21,0.0,0.18,0.0,16
9at53r,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
9athmr,0.01,0.01,0.01,0.01,0.55,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.18,0.01,0.01,0.01,0.01,0.01,0.01,4
9atron,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.22,0.33,0.0,0.0,0.05,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,8
9awxvf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.5,0.0,0.0,0.0,0.0,0.27,0.0,0.16,0.0,0.0,0.0,9
9aygt4,0.0,0.05,0.0,0.18,0.0,0.13,0.03,0.15,0.0,0.05,0.05,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.21,0.0,18
9ayoaq,0.0,0.23,0.0,0.0,0.07,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.33,0.0,0.0,17
9az8i7,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
9b19p5,0.0,0.0,0.0,0.1,0.0,0.18,0.09,0.19,0.0,0.19,0.0,0.0,0.0,0.06,0.0,0.08,0.08,0.02,0.0,0.0,7
9b1cke,0.0,0.0,0.0,0.0,0.03,0.05,0.19,0.0,0.03,0.25,0.02,0.0,0.1,0.0,0.02,0.07,0.0,0.0,0.04,0.21,9
9b1k2h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.7,19
9b1x3y,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.31,0.21,0.0,0.0,0.0,0.0,14
9b2amy,0.0,0.37,0.0,0.0,0.09,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.08,0.12,0.09,0.0,0.0,0.0,0.0,0.2,1
9b5rlb,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.42,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,10
9b5rsl,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.2,0.0,0.0,0.18,14
9b6ax9,0.0,0.13,0.0,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.13,0.14,0.0,0.0,0.0,0.07,0.22,0.0,0.19,0.0,16
9b9w18,0.0,0.0,0.15,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.14,0.0,0.0,0.0,0.24,0.0,11
9baocn,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.29,0.0,0.0,0.0,0.0,1
9bb6kb,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.19,0.0,0.0,0.22,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
9bb9x9,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,14
9bbqrw,0.0,0.04,0.0,0.04,0.04,0.08,0.07,0.0,0.08,0.07,0.0,0.0,0.14,0.14,0.0,0.05,0.04,0.01,0.08,0.11,12
9bbqrx,0.0,0.08,0.02,0.0,0.0,0.0,0.0,0.06,0.0,0.13,0.0,0.0,0.0,0.21,0.0,0.12,0.04,0.05,0.26,0.04,18
9bc1vp,0.0,0.35,0.0,0.13,0.0,0.0,0.04,0.16,0.0,0.0,0.0,0.08,0.0,0.0,0.17,0.07,0.0,0.0,0.0,0.0,1
9bd991,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.25,0.0,0.15,0.0,0.09,0.06,0.13,0.0,0.0,0.0,0.0,5
9befmg,0.22,0.0,0.0,0.0,0.0,0.23,0.05,0.0,0.0,0.0,0.33,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,10
9begyg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6,0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.01,0.01,0.01,0.01,0.01,7
9besfk,0.0,0.0,0.03,0.12,0.0,0.22,0.0,0.32,0.0,0.0,0.1,0.03,0.03,0.06,0.0,0.06,0.03,0.0,0.0,0.0,7
9bfwpn,0.06,0.27,0.0,0.0,0.14,0.15,0.0,0.09,0.0,0.0,0.0,0.0,0.05,0.15,0.0,0.0,0.0,0.0,0.0,0.08,1
9bg2qk,0.0,0.0,0.0,0.0,0.11,0.0,0.25,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.18,6
9biaul,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.2,0.0,0.25,0.0,0.0,0.0,0.0,15
9bjenn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.22,0.0,0.2,0.0,0.07,0.0,0.0,0.0,0.14,0.0,0.0,0.0,7
9bjrq6,0.0,0.46,0.0,0.0,0.11,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,1
9bjuo8,0.21,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
9bjvsf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.09,0.24,0.0,0.0,0.0,0.2,9
9bk7le,0.14,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.16,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.22,0.0,6
9bkj2r,0.0,0.0,0.0,0.56,0.09,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
9bkpmb,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.12,0.0,1
9bky5l,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.59,0.09,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.11,0.04,0.0,0.0,7
9blm56,0.0,0.0,0.0,0.0,0.0,0.19,0.15,0.34,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.02,0.1,0.0,0.08,0.0,7
9blm8f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.24,0.0,0.26,0.0,18
9bodoh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.2,0.17,14
9bojz0,0.0,0.08,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.04,0.0,0.0,0.35,0.3,0.0,0.0,0.08,0.0,0.0,0.0,12
9c2psc,0.07,0.0,0.0,0.27,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.22,0.0,5
9c4plz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.46,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,8
9c4w1v,0.2,0.18,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.12,0.0,0.0,0.0,0.18,0.1,0.0,0
9c5utz,0.0,0.0,0.0,0.12,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.08,0.35,0.0,0.0,0.12,16
9c8ag5,0.29,0.0,0.06,0.0,0.0,0.1,0.0,0.17,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.05,0.0,0.18,0.0,0
9c9f4g,0.15,0.0,0.22,0.0,0.0,0.24,0.0,0.16,0.0,0.0,0.0,0.03,0.0,0.08,0.0,0.0,0.1,0.0,0.0,0.0,5
9c9llv,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,18
9caque,0.0,0.0,0.0,0.0,0.0,0.12,0.02,0.46,0.0,0.0,0.05,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.08,0.14,7
9ccbiq,0.18,0.0,0.0,0.0,0.0,0.05,0.0,0.08,0.12,0.02,0.0,0.0,0.04,0.22,0.0,0.0,0.1,0.0,0.18,0.0,13
9ccs8w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.44,0.0,0.0,14
9cfs7y,0.0,0.0,0.0,0.5,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.06,0.0,0.0,0.28,0.0,0.0,0.08,3
9cg2ty,0.0,0.11,0.0,0.58,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,3
9chox9,0.12,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.13,4
9cieb7,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.63,0.0,0.0,0.0,0.0,0.0,14
9cimdr,0.29,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,1
9ckyce,0.01,0.01,0.01,0.01,0.76,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
9cm99m,0.0,0.0,0.08,0.11,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.28,0.0,0.0,14
9cmg8k,0.01,0.59,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.01,0.01,0.01,0.01,1
9cn0rs,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.21,0.0,3
9cn2bw,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.37,0.0,0.32,0.0,0.09,0.0,0.0,0.15,0.0,11
9cnaf9,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.22,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.1,5
9cng16,0.11,0.0,0.0,0.0,0.03,0.43,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,5
9cop83,0.0,0.22,0.0,0.0,0.0,0.0,0.04,0.09,0.31,0.0,0.0,0.14,0.0,0.06,0.05,0.09,0.0,0.0,0.0,0.0,8
9cridt,0.0,0.0,0.04,0.0,0.0,0.06,0.03,0.21,0.02,0.0,0.04,0.0,0.0,0.35,0.04,0.0,0.22,0.0,0.0,0.0,13
9crqrd,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.21,0.0,5
9crt9a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.05,0.0,0.0,0.28,0.0,0.15,0.0,0.0,0.11,0.03,8
9cst65,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.31,0.11,0.0,0.0,0.0,0.07,0.0,0.33,0.0,18
9ctp8n,0.0,0.0,0.0,0.03,0.14,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.35,0.21,18
9cu62r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,18
9cui2y,0.0,0.0,0.27,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.07,0.0,0.0,0.0,0.26,0.0,4
9cuj50,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,3
9cv6x7,0.01,0.01,0.01,0.01,0.01,0.32,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.58,0.01,0.01,17
9czsxj,0.12,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.49,0.0,0.0,0.0,0.0,0.0,14
9d09io,0.0,0.09,0.0,0.0,0.0,0.0,0.18,0.11,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.21,0.24,0.0,0.0,17
9d15yg,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.07,0.0,0.36,0.0,0.0,0.0,13
9d1cro,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.12,0.25,0.26,0.05,0.0,0.11,0.0,15
9d1dqd,0.0,0.31,0.21,0.0,0.0,0.1,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,1
9d24eh,0.0,0.0,0.37,0.1,0.0,0.0,0.0,0.35,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
9d2y5c,0.0,0.33,0.0,0.0,0.0,0.05,0.0,0.06,0.08,0.0,0.0,0.04,0.0,0.33,0.0,0.09,0.0,0.0,0.0,0.0,1
9d3rui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.21,0.0,0.1,0.0,8
9d6cdj,0.01,0.01,0.37,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.01,0.41,0.01,0.01,17
9d7b4v,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.29,0.29,0.05,0.0,0.0,0.0,0.08,0.0,0.11,0.0,0.0,0.0,0.0,7
9d829k,0.0,0.0,0.03,0.0,0.0,0.18,0.0,0.59,0.0,0.0,0.07,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.05,0.0,7
9d8j0r,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.14,0.17,0.0,0.24,0.0,0.0,0.0,0.0,0.0,10
9d9y3x,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.12,0.0,0.0,0.0,0.32,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,11
9dbxyo,0.0,0.19,0.04,0.02,0.04,0.0,0.0,0.0,0.0,0.07,0.0,0.17,0.0,0.22,0.1,0.06,0.0,0.0,0.08,0.0,13
9deg4q,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.23,0.0,0.0,0.0,0.0,14
9dehj5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.51,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,8
9dekzk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,14
9dep7q,0.0,0.36,0.0,0.0,0.0,0.0,0.23,0.22,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,1
9depx1,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.38,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
9deww6,0.63,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
9dfy3b,0.39,0.0,0.15,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0
9dfy3g,0.0,0.0,0.0,0.17,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.15,0.28,0.0,0.0,0.0,0.0,0.0,0.2,13
9dikdm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,14
9dk3yw,0.0,0.0,0.07,0.0,0.08,0.18,0.08,0.04,0.23,0.0,0.13,0.0,0.0,0.0,0.0,0.13,0.0,0.06,0.0,0.0,8
9dl5y0,0.0,0.07,0.0,0.18,0.0,0.12,0.0,0.0,0.0,0.0,0.14,0.0,0.13,0.0,0.0,0.0,0.0,0.18,0.0,0.16,3
9dnfoi,0.0,0.04,0.32,0.0,0.0,0.12,0.0,0.44,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
9do5sh,0.0,0.1,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.23,0.0,0.0,0.03,0.0,0.0,0.0,0.06,0.07,0.0,0.25,19
9do7g1,0.19,0.03,0.16,0.0,0.0,0.26,0.09,0.0,0.0,0.0,0.05,0.0,0.14,0.0,0.0,0.0,0.03,0.05,0.0,0.0,5
9dods5,0.09,0.0,0.11,0.0,0.0,0.0,0.0,0.23,0.17,0.03,0.0,0.0,0.0,0.14,0.1,0.12,0.0,0.0,0.0,0.0,7
9doewe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,17
9dosum,0.0,0.0,0.0,0.02,0.05,0.0,0.0,0.23,0.24,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.21,0.09,0.1,0.0,8
9dqne8,0.0,0.0,0.0,0.0,0.18,0.05,0.31,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,9
9dtsmp,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.13,0.0,0.0,3
9dwa29,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.16,0.23,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,7
9dwpyw,0.0,0.04,0.02,0.02,0.05,0.0,0.11,0.03,0.08,0.06,0.11,0.04,0.0,0.17,0.04,0.19,0.04,0.0,0.0,0.0,15
9dx5to,0.0,0.0,0.0,0.0,0.1,0.42,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,5
9dy0nz,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.09,0.04,0.02,0.09,0.02,0.05,0.16,0.15,0.04,0.14,0.06,0.0,0.0,13
9e0vyy,0.0,0.09,0.0,0.0,0.0,0.38,0.11,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.13,0.0,0.0,0.11,0.0,0.0,5
9e499y,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.06,0.29,0.03,0.0,0.14,0.0,0.25,0.06,0.05,0.0,0.04,0.0,0.04,8
9e4x75,0.0,0.17,0.0,0.32,0.0,0.0,0.0,0.12,0.0,0.07,0.0,0.0,0.0,0.09,0.09,0.14,0.0,0.0,0.0,0.0,3
9e5lpl,0.0,0.21,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.0,0.19,0.14,1
9e7x2a,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.14,16
