,t0 pain,t1 metformin,t2 cyst,t3 hair,t4 amp,t5 since,t6 insulin,t7 doctor,t8 day,t9 eat,t10 hair,t11 pregnant,t12 level,t13 started,t14 help,t15 weight,t16 control,t17 skin,t18 feel,t19 health,dominant_topic
plikw,0.07,0.0,0.07,0.02,0.0,0.17,0.06,0.1,0.15,0.01,0.03,0.0,0.0,0.01,0.0,0.08,0.05,0.09,0.03,0.06,5
pmlnk,0.0,0.22,0.06,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.06,0.0,0.07,0.16,0.04,0.08,0.0,8
pn95j,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.12,0.05,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.14,0.18,0.0,0.16,13
pncps,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.1,0.31,0.0,1
po8dd,0.08,0.26,0.0,0.0,0.0,0.0,0.07,0.19,0.0,0.0,0.0,0.04,0.0,0.06,0.14,0.0,0.15,0.0,0.0,0.0,1
ppq5j,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.32,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
pruk7,0.0,0.0,0.31,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.3,0.0,2
px468,0.0,0.0,0.06,0.0,0.0,0.12,0.1,0.25,0.04,0.22,0.0,0.0,0.0,0.02,0.0,0.03,0.04,0.0,0.11,0.0,7
pxhk3,0.0,0.09,0.0,0.0,0.0,0.0,0.04,0.25,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.22,0.0,0.0,0.0,15
q0ezo,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.17,0.0,0.0,0.26,0.0,0.0,0.0,0.18,0.0,14
q2kvd,0.05,0.57,0.0,0.0,0.03,0.0,0.0,0.0,0.14,0.07,0.0,0.0,0.0,0.06,0.04,0.0,0.02,0.0,0.0,0.0,1
q2w43,0.03,0.01,0.01,0.03,0.0,0.09,0.05,0.25,0.06,0.07,0.0,0.0,0.02,0.04,0.05,0.09,0.03,0.06,0.04,0.06,7
q3g6p,0.0,0.32,0.0,0.0,0.0,0.15,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,7
q479r,0.2,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,16
q5ind,0.14,0.0,0.03,0.12,0.0,0.18,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.29,0.0,0.0,0.19,0.0,0.02,0.0,13
q6yhs,0.08,0.06,0.0,0.05,0.0,0.0,0.27,0.0,0.0,0.0,0.15,0.0,0.11,0.0,0.12,0.0,0.0,0.0,0.0,0.15,6
qdgu4,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.07,0.13,0.0,0.0,0.25,0.0,10
qev25,0.0,0.09,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.18,0.31,0.0,0.14,0.0,16
qfzwm,0.0,0.18,0.04,0.0,0.0,0.09,0.0,0.12,0.0,0.0,0.0,0.1,0.0,0.08,0.16,0.1,0.09,0.02,0.0,0.0,1
qhvlo,0.02,0.01,0.0,0.06,0.0,0.18,0.0,0.06,0.0,0.03,0.1,0.03,0.16,0.18,0.0,0.0,0.0,0.0,0.0,0.17,5
qk979,0.0,0.12,0.0,0.0,0.0,0.09,0.0,0.0,0.04,0.06,0.0,0.0,0.0,0.0,0.05,0.45,0.0,0.0,0.17,0.0,15
qm21k,0.2,0.0,0.19,0.0,0.0,0.0,0.07,0.0,0.36,0.0,0.0,0.03,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,8
qnghb,0.03,0.21,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.11,0.0,0.09,0.0,0.08,0.07,0.0,0.18,0.0,0.17,0.0,1
qntkr,0.0,0.0,0.0,0.14,0.36,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.41,0.04,0.0,17
qofh1,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.05,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.03,0.0,0.0,12
quqrq,0.0,0.0,0.03,0.0,0.0,0.16,0.0,0.05,0.05,0.0,0.04,0.11,0.21,0.31,0.04,0.0,0.0,0.0,0.0,0.0,13
qwhv4,0.02,0.0,0.0,0.08,0.0,0.09,0.0,0.12,0.15,0.0,0.0,0.0,0.14,0.23,0.0,0.11,0.03,0.0,0.0,0.03,13
