,t0 symptom,t1 hair,t2 doctor,t3 help,t4 day,t5 period,t6 level,t7 metformin,t8 year,t9 pregnant,t10 pain,t11 like,t12 weight,t13 control,t14 hair,dominant_topic
8mi8wm,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.4,0.0,0.0,0.44,0.0,0.09,0.0,11
8mkiu9,0.0,0.0,0.21,0.0,0.0,0.13,0.0,0.04,0.0,0.0,0.0,0.61,0.0,0.0,0.0,11
8mkx8e,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.27,0.0,0.0,0.0,10
8mla4f,0.17,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.04,0.1,0.09,0.53,0.0,0.01,0.0,11
8mn4uv,0.0,0.09,0.0,0.0,0.18,0.32,0.0,0.0,0.0,0.0,0.0,0.26,0.14,0.0,0.0,5
8mnw9g,0.0,0.05,0.14,0.0,0.0,0.2,0.46,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,6
8mrzri,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.13,0.0,0.0,0.0,0.15,0.34,0.24,0.0,12
8mrzs9,0.08,0.0,0.0,0.0,0.0,0.59,0.11,0.0,0.06,0.0,0.12,0.0,0.0,0.0,0.04,5
8msmi4,0.0,0.0,0.06,0.0,0.0,0.22,0.0,0.0,0.11,0.05,0.21,0.35,0.0,0.0,0.0,11
8mtcey,0.36,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.06,12
8mtes7,0.0,0.0,0.36,0.16,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
8mtq4x,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.73,0.0,0.0,12
8mtr0t,0.0,0.0,0.31,0.04,0.0,0.0,0.17,0.04,0.1,0.0,0.0,0.07,0.27,0.0,0.0,2
8mttk1,0.0,0.03,0.0,0.06,0.26,0.0,0.12,0.19,0.28,0.0,0.0,0.0,0.05,0.0,0.0,8
8mtx7q,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.81,0.01,0.01,0.01,0.01,10
8muv75,0.31,0.08,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4
8mvdp6,0.0,0.0,0.16,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,5
8mw0b2,0.0,0.0,0.0,0.12,0.3,0.0,0.0,0.11,0.0,0.0,0.0,0.45,0.0,0.0,0.0,11
8mw7zg,0.27,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.31,0.05,0.01,0.0,11
8mwbuo,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.18,0.0,0.08,0.21,0.25,0.0,4
8mzzzn,0.0,0.24,0.0,0.0,0.27,0.0,0.15,0.11,0.0,0.0,0.0,0.19,0.04,0.0,0.0,4
8n05iz,0.11,0.0,0.0,0.0,0.02,0.67,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.05,0.0,5
8n14cl,0.12,0.28,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,11
8n1742,0.0,0.0,0.35,0.0,0.17,0.06,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
8n2euy,0.0,0.0,0.12,0.0,0.0,0.0,0.23,0.0,0.2,0.0,0.0,0.0,0.44,0.0,0.0,12
8n2jnq,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.08,0.59,0.0,0.0,0.24,0.0,10
8n3h1z,0.0,0.0,0.17,0.11,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,5
8n4mvq,0.0,0.0,0.16,0.0,0.0,0.21,0.02,0.0,0.0,0.06,0.21,0.33,0.0,0.0,0.0,11
8n4sgc,0.05,0.04,0.02,0.0,0.08,0.0,0.27,0.0,0.13,0.02,0.0,0.24,0.06,0.03,0.06,6
8n4xa0,0.0,0.0,0.33,0.0,0.06,0.0,0.0,0.0,0.31,0.0,0.0,0.23,0.0,0.03,0.03,2
8n5grk,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.05,0.43,0.28,0.0,0.0,0.0,0.0,0.0,8
8n5hzz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.02,0.31,0.35,0.0,0.0,12
8n608i,0.0,0.0,0.13,0.0,0.0,0.37,0.23,0.03,0.0,0.0,0.08,0.0,0.11,0.05,0.0,5
8n7mlm,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,11
8n7s50,0.0,0.0,0.0,0.27,0.0,0.0,0.16,0.36,0.0,0.0,0.0,0.0,0.0,0.17,0.0,7
8n839n,0.05,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.34,0.0,0.21,0.28,0.0,0.0,0.03,8
8n8dsk,0.0,0.0,0.13,0.11,0.0,0.0,0.31,0.0,0.15,0.0,0.0,0.0,0.0,0.28,0.0,6
8n9au9,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.15,0.0,0.0,0
8n9dol,0.29,0.0,0.0,0.14,0.18,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.17,0.0,0.13,0
8n9zpm,0.0,0.0,0.15,0.0,0.0,0.07,0.0,0.04,0.32,0.0,0.0,0.0,0.39,0.03,0.0,12
8na71y,0.42,0.0,0.0,0.0,0.0,0.0,0.16,0.18,0.0,0.09,0.08,0.0,0.0,0.05,0.0,0
8nakc3,0.0,0.0,0.15,0.03,0.0,0.07,0.0,0.0,0.33,0.0,0.0,0.0,0.37,0.04,0.0,12
8nasl9,0.29,0.23,0.0,0.0,0.09,0.14,0.16,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0
8nbkv7,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.38,0.0,0.0,0.0,0.35,0.0,0.0,0.0,7
8nbmkg,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.53,14
8ncbii,0.0,0.0,0.12,0.0,0.07,0.0,0.06,0.0,0.0,0.0,0.0,0.51,0.21,0.0,0.0,11
8nccm4,0.0,0.14,0.3,0.0,0.06,0.0,0.11,0.0,0.0,0.02,0.06,0.27,0.0,0.04,0.0,2
8nco6i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.25,0.0,0.0,0.4,0.31,0.0,0.0,11
8ncy0p,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,1
8ndt25,0.0,0.0,0.04,0.05,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.4,0.04,0.03,0.06,11
8ndya9,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.61,0.06,0.0,0.0,11
8np72f,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.07,11
8nqq9l,0.2,0.0,0.0,0.08,0.2,0.0,0.0,0.21,0.0,0.09,0.0,0.0,0.0,0.0,0.2,7
8nrgb8,0.0,0.0,0.42,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
8nrq2h,0.0,0.0,0.4,0.07,0.0,0.28,0.0,0.04,0.0,0.0,0.05,0.0,0.0,0.15,0.0,2
8ns5lv,0.0,0.02,0.28,0.02,0.0,0.23,0.1,0.0,0.05,0.02,0.15,0.0,0.04,0.0,0.08,2
8nsbl5,0.69,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0
8nsous,0.01,0.01,0.01,0.14,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.74,14
8nu0od,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.18,8
8nul0l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.7,0.0,0.0,0.0,11
8nuy6h,0.15,0.0,0.11,0.12,0.0,0.0,0.0,0.01,0.13,0.0,0.0,0.0,0.47,0.0,0.0,12
8nwlas,0.0,0.0,0.07,0.0,0.0,0.02,0.0,0.06,0.18,0.02,0.28,0.33,0.0,0.0,0.04,11
8nx7e4,0.0,0.0,0.06,0.0,0.0,0.4,0.04,0.0,0.0,0.08,0.0,0.0,0.41,0.0,0.0,12
8nxz72,0.06,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.11,0.0,0.03,0.07,0.68,0.0,0.01,12
8nxzj3,0.0,0.36,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.25,0.0,0.0,1
8nyqbi,0.0,0.04,0.24,0.0,0.19,0.09,0.0,0.0,0.0,0.19,0.0,0.24,0.0,0.0,0.0,2
8nzaoe,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.17,0.0,0.41,0.0,0.01,0.0,11
8nzlft,0.43,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.11,0
8o1v5b,0.0,0.0,0.04,0.0,0.05,0.35,0.0,0.18,0.0,0.0,0.1,0.27,0.0,0.0,0.0,5
8o53mx,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.15,0.0,8
8o5ho1,0.01,0.01,0.01,0.01,0.01,0.57,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0.01,5
8o63l9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.63,0.0,0.0,0.0,11
8o6i5a,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.28,5
8o6nqc,0.04,0.0,0.17,0.0,0.17,0.03,0.06,0.0,0.33,0.0,0.0,0.06,0.11,0.04,0.0,8
8o6rdq,0.12,0.0,0.25,0.05,0.02,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
8o7wq7,0.1,0.0,0.07,0.0,0.0,0.0,0.22,0.0,0.36,0.03,0.04,0.0,0.0,0.0,0.18,8
8o8kg6,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.16,0.0,0.0,0.06,0.0,8
8o9peu,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0
8oakx5,0.0,0.0,0.0,0.0,0.09,0.55,0.0,0.0,0.0,0.0,0.0,0.18,0.06,0.1,0.0,5
8ob0df,0.09,0.0,0.0,0.08,0.2,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,6
8obcn1,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.37,0.0,0.0,0.0,0.32,0.0,0.0,0.0,7
8obcx0,0.08,0.0,0.15,0.11,0.0,0.3,0.0,0.08,0.0,0.15,0.0,0.0,0.0,0.13,0.0,5
8oc7bn,0.0,0.12,0.12,0.1,0.0,0.0,0.0,0.0,0.44,0.07,0.13,0.0,0.0,0.0,0.0,8
8ocajx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.47,0.0,0.0,0.25,0.0,0.08,0.09,8
8ocwb4,0.09,0.0,0.17,0.0,0.41,0.0,0.0,0.2,0.0,0.08,0.0,0.0,0.0,0.0,0.0,4
8odhup,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.01,0.21,0.59,0.01,0.01,12
8odzi4,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.02,0.0,0.0,0.24,0.0,0.19,8
8og8yr,0.0,0.12,0.19,0.1,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.03,4
8ohn5n,0.0,0.16,0.27,0.04,0.07,0.0,0.36,0.04,0.0,0.0,0.0,0.0,0.05,0.0,0.0,6
8ohzz3,0.0,0.0,0.1,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.05,0.22,4
8oiw4m,0.0,0.0,0.05,0.03,0.37,0.0,0.02,0.0,0.22,0.0,0.06,0.11,0.05,0.1,0.0,4
8ojgps,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.15,0.0,0.0,0.24,0.54,0.02,0.0,12
8ojm52,0.1,0.01,0.01,0.41,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.33,0.01,0.01,0.01,3
8ok3ya,0.17,0.0,0.0,0.02,0.0,0.0,0.09,0.0,0.17,0.06,0.0,0.25,0.21,0.02,0.0,11
8okt0g,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.66,14
8olytz,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.34,0.01,0.01,0.01,0.01,0.59,14
8om563,0.0,0.0,0.13,0.0,0.0,0.0,0.02,0.0,0.41,0.0,0.0,0.4,0.03,0.0,0.0,8
8omb3s,0.26,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.04,11
8omq18,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.2,0.0,0.0,0.0,0.42,0.15,0.0,0.0,11
8ons0d,0.0,0.0,0.22,0.09,0.3,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.23,0.0,0.0,4
8ou0kj,0.05,0.0,0.1,0.07,0.06,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.38,0.04,0.0,12
8ou7ey,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,11
8ov7dq,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.63,0.04,0.0,0.26,11
8ovmyy,0.2,0.0,0.2,0.0,0.41,0.03,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.09,4
8ozpjm,0.0,0.0,0.2,0.03,0.0,0.1,0.12,0.0,0.25,0.06,0.24,0.0,0.0,0.0,0.0,8
8p08xk,0.41,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.24,0
8p1jn1,0.03,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.15,0.02,0.0,0.07,0.49,0.08,0.05,12
8p25wn,0.65,0.01,0.01,0.14,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
8p3dhb,0.19,0.05,0.08,0.05,0.0,0.13,0.0,0.05,0.1,0.03,0.05,0.0,0.12,0.03,0.14,0
8p4g78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.43,0.0,0.0,11
8p4to0,0.25,0.0,0.14,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.35,0.0,0.19,0.0,11
8p6mlu,0.06,0.0,0.0,0.09,0.0,0.0,0.43,0.0,0.11,0.0,0.03,0.0,0.23,0.0,0.03,6
8p6sck,0.07,0.0,0.0,0.0,0.22,0.0,0.1,0.2,0.0,0.0,0.0,0.27,0.12,0.0,0.0,11
8p8av5,0.01,0.01,0.01,0.1,0.2,0.01,0.01,0.01,0.01,0.64,0.01,0.01,0.01,0.01,0.01,9
8p9hsr,0.31,0.0,0.06,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.19,0.0,5
8p9iws,0.56,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.29,0.01,0.01,0
8p9nz7,0.54,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0
8pampd,0.01,0.21,0.01,0.01,0.51,0.2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
8pbn48,0.42,0.0,0.0,0.0,0.05,0.0,0.08,0.11,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0
8pbntq,0.01,0.01,0.01,0.31,0.01,0.01,0.01,0.37,0.01,0.01,0.01,0.01,0.01,0.01,0.23,7
8pd43j,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.69,0.0,0.0,12
8pe4eu,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.23,0.55,14
8pekfz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.66,0.0,0.0,12
8pfkzu,0.03,0.0,0.0,0.0,0.15,0.23,0.0,0.0,0.0,0.0,0.47,0.0,0.1,0.0,0.0,10
8pgaz4,0.0,0.08,0.0,0.0,0.0,0.15,0.0,0.0,0.31,0.0,0.0,0.32,0.0,0.1,0.04,11
8pgyml,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.04,0.18,0.0,0.0,0.0,5
8ph3dj,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.53,14
8phe5r,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.66,0.0,0.0,12
8pisa4,0.0,0.03,0.07,0.0,0.1,0.2,0.0,0.0,0.12,0.03,0.02,0.27,0.02,0.0,0.14,11
8pj2mz,0.1,0.0,0.05,0.0,0.19,0.04,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,7
8pj6t2,0.0,0.0,0.15,0.0,0.08,0.0,0.13,0.0,0.37,0.0,0.0,0.15,0.12,0.0,0.0,8
8pjmkk,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,11
8plwko,0.17,0.0,0.0,0.0,0.0,0.06,0.0,0.16,0.0,0.0,0.59,0.0,0.0,0.0,0.0,10
8pme1e,0.06,0.0,0.15,0.0,0.0,0.59,0.0,0.04,0.0,0.0,0.0,0.11,0.0,0.05,0.0,5
8pp1h7,0.09,0.0,0.0,0.0,0.0,0.35,0.18,0.0,0.23,0.0,0.0,0.0,0.0,0.14,0.0,5
8pqixb,0.0,0.0,0.0,0.1,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,12
8pqro5,0.4,0.29,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.03,0.0,0.0,0
8prxkx,0.0,0.0,0.57,0.0,0.0,0.04,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
8pshtd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.39,0.0,0.38,12
8pucis,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.19,0.34,0.0,0.0,0.0,0.0,6
8pv5ub,0.18,0.17,0.0,0.12,0.04,0.11,0.0,0.0,0.14,0.0,0.0,0.0,0.15,0.0,0.06,0
8pvffp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.28,0.17,0.0,0.0,8
8pvo6q,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.76,0.0,0.0,12
8pvxhd,0.1,0.33,0.0,0.0,0.49,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
8pwant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.69,0.0,0.0,12
8pwnt1,0.07,0.0,0.0,0.17,0.08,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.07,0.0,0.0,7
8pwys6,0.0,0.19,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,11
8pxiyd,0.0,0.0,0.19,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,6
8pyn01,0.0,0.06,0.21,0.03,0.0,0.0,0.29,0.03,0.26,0.0,0.0,0.0,0.0,0.0,0.11,6
8pywl7,0.01,0.26,0.01,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.34,14
8pyyfw,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.08,0.0,0.0,11
8q12xu,0.12,0.03,0.36,0.0,0.04,0.0,0.0,0.0,0.13,0.03,0.0,0.25,0.05,0.0,0.0,2
8q1doy,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.58,0.01,0.34,0.01,0.01,0.01,9
8q37h3,0.0,0.17,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,5
8q3tl7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.63,0.0,0.22,12
8q4i1q,0.0,0.0,0.0,0.0,0.13,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,12
8q4q4s,0.0,0.0,0.0,0.0,0.13,0.0,0.35,0.0,0.14,0.1,0.0,0.17,0.1,0.0,0.0,6
8q59xr,0.0,0.0,0.21,0.09,0.0,0.1,0.09,0.0,0.0,0.35,0.0,0.16,0.0,0.0,0.0,9
8q5zy0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.48,0.0,0.0,12
8q6un3,0.04,0.0,0.26,0.0,0.0,0.1,0.0,0.0,0.17,0.25,0.03,0.15,0.0,0.0,0.0,2
8q6xsu,0.0,0.0,0.0,0.08,0.14,0.59,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,5
8q7gu0,0.67,0.04,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0
8q8it3,0.17,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.12,0.0,0.19,0.0,0.0,0.0,5
8q93xt,0.55,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.28,0
8q9fgu,0.03,0.1,0.04,0.0,0.13,0.04,0.02,0.0,0.0,0.0,0.03,0.3,0.19,0.03,0.09,11
8qbm8j,0.13,0.22,0.0,0.17,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.05,0.0,12
8qdr9o,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.15,0.28,0.04,0.37,0.0,0.09,0.0,11
8qeayp,0.0,0.0,0.0,0.29,0.5,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,4
8qftod,0.0,0.0,0.0,0.42,0.0,0.0,0.03,0.0,0.0,0.07,0.0,0.45,0.0,0.0,0.0,11
8qgb8y,0.23,0.0,0.08,0.09,0.0,0.0,0.1,0.07,0.39,0.0,0.0,0.0,0.0,0.03,0.0,8
8qgdi8,0.15,0.13,0.09,0.0,0.0,0.15,0.36,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,6
8qhit7,0.34,0.03,0.0,0.0,0.0,0.0,0.19,0.0,0.17,0.04,0.04,0.18,0.0,0.0,0.0,0
8qhn1t,0.24,0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.36,0.01,0.01,0.01,0.01,0.01,0.01,8
8qi1xq,0.05,0.01,0.0,0.0,0.03,0.19,0.03,0.0,0.1,0.0,0.11,0.38,0.01,0.1,0.0,11
8qi8xk,0.36,0.0,0.18,0.0,0.0,0.06,0.1,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8qjruc,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.4,0.0,0.0,0.0,11
8ql4su,0.18,0.0,0.0,0.0,0.0,0.31,0.0,0.08,0.0,0.0,0.0,0.0,0.1,0.29,0.0,5
8qlons,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.42,0.0,0.0,11
8qlvbq,0.08,0.0,0.08,0.12,0.0,0.0,0.05,0.08,0.5,0.0,0.0,0.0,0.08,0.0,0.0,8
8qmngj,0.0,0.0,0.42,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,2
8qnxd6,0.0,0.0,0.29,0.0,0.0,0.53,0.0,0.07,0.0,0.05,0.05,0.0,0.0,0.0,0.0,5
8qpaw4,0.0,0.0,0.2,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.23,0.24,0.07,0.09,0.0,11
8qph3s,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.91,0.01,0.01,12
8qqj3l,0.06,0.0,0.0,0.0,0.0,0.34,0.01,0.02,0.23,0.11,0.0,0.17,0.05,0.0,0.0,5
8qqtsx,0.0,0.0,0.0,0.02,0.0,0.52,0.06,0.0,0.0,0.02,0.16,0.14,0.0,0.08,0.0,5
8qrjjh,0.0,0.0,0.05,0.09,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.19,0.0,0.18,0.0,8
8qrw7o,0.0,0.0,0.28,0.03,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,5
8qtjkx,0.13,0.0,0.0,0.0,0.05,0.0,0.03,0.22,0.14,0.0,0.0,0.0,0.41,0.0,0.0,12
8qtzxr,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.24,0.38,0.0,0.0,0.0,0.09,0.05,0.0,8
8qwm8o,0.0,0.0,0.07,0.04,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.09,0.59,0.06,0.0,12
8qwzuw,0.4,0.0,0.0,0.03,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,12
8qxgk2,0.0,0.41,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,11
8qxqan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.43,11
8qytlr,0.01,0.3,0.01,0.19,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.32,0.01,0.01,12
8r22wr,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.24,0.0,5
8r36tb,0.05,0.01,0.35,0.0,0.0,0.14,0.08,0.0,0.16,0.02,0.01,0.11,0.0,0.03,0.03,2
8r3y2a,0.0,0.0,0.58,0.0,0.0,0.0,0.25,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
8r77hb,0.0,0.0,0.04,0.0,0.21,0.0,0.03,0.0,0.0,0.0,0.18,0.42,0.12,0.0,0.0,11
8r8fx7,0.0,0.09,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.2,0.0,0.11,0.0,0.0,0.0,5
8r94bu,0.0,0.0,0.32,0.0,0.0,0.41,0.08,0.0,0.0,0.08,0.03,0.0,0.0,0.07,0.0,5
8ran61,0.0,0.0,0.05,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,11
8rarhy,0.0,0.0,0.0,0.0,0.0,0.06,0.23,0.0,0.0,0.0,0.4,0.29,0.0,0.0,0.0,10
8rexvk,0.09,0.01,0.0,0.01,0.0,0.13,0.0,0.02,0.24,0.29,0.04,0.06,0.0,0.1,0.0,9
