,t0 help,t1 control,t2 want,t3 symptom,t4 ultrasound,t5 nt,t6 ovary,t7 bleeding,t8 bad,t9 surgery,dominant_topic
dy0vjw,0.06,0.0,0.0,0.0,0.06,0.22,0.49,0.0,0.0,0.17,6
dy6z6b,0.0,0.01,0.09,0.14,0.21,0.12,0.0,0.0,0.43,0.0,8
dybeys,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.4,8
dydv2i,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.75,0.01,0.01,7
dyf82t,0.35,0.01,0.01,0.46,0.01,0.01,0.01,0.01,0.13,0.01,3
dyfis3,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.28,0.36,0.06,8
dyieak,0.06,0.0,0.0,0.12,0.05,0.51,0.0,0.0,0.11,0.14,5
dyipd2,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.81,0.01,0.01,7
dyj7st,0.0,0.0,0.0,0.0,0.3,0.24,0.14,0.19,0.0,0.12,4
dymms1,0.21,0.0,0.31,0.0,0.1,0.0,0.36,0.0,0.0,0.0,6
dyon4t,0.05,0.0,0.0,0.51,0.24,0.0,0.05,0.0,0.14,0.0,3
dyq0js,0.31,0.0,0.22,0.0,0.0,0.0,0.0,0.24,0.21,0.0,0
dywat4,0.44,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0.01,8
dz1ab5,0.3,0.0,0.1,0.32,0.0,0.28,0.0,0.0,0.0,0.0,3
dz2sel,0.09,0.0,0.0,0.07,0.15,0.19,0.0,0.0,0.0,0.48,9
dz5wam,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,6
dz5yx9,0.01,0.01,0.01,0.01,0.01,0.17,0.01,0.15,0.63,0.01,8
dzc1cf,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.83,0.0,0.0,7
dzgy8u,0.11,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.2,0.0,4
dzmz5x,0.29,0.19,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
dzquc3,0.38,0.01,0.01,0.01,0.01,0.01,0.54,0.01,0.01,0.01,6
dzqzs1,0.0,0.0,0.0,0.26,0.0,0.1,0.0,0.0,0.62,0.0,8
dzwggh,0.0,0.0,0.0,0.0,0.54,0.0,0.32,0.0,0.0,0.12,4
dzyfej,0.15,0.0,0.2,0.0,0.0,0.0,0.0,0.32,0.24,0.08,7
e069ri,0.01,0.01,0.01,0.62,0.01,0.01,0.09,0.01,0.25,0.01,3
e09v2c,0.01,0.01,0.01,0.01,0.38,0.01,0.54,0.01,0.01,0.01,6
e0cf2n,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.27,0.35,0.0,3
e0it9f,0.01,0.01,0.25,0.55,0.01,0.01,0.01,0.01,0.01,0.15,3
e0jtyp,0.0,0.12,0.0,0.0,0.19,0.28,0.1,0.0,0.3,0.0,8
e0qc1j,0.0,0.0,0.08,0.14,0.15,0.07,0.0,0.42,0.15,0.0,7
e0u1ec,0.35,0.0,0.06,0.0,0.17,0.41,0.0,0.0,0.0,0.0,5
e0yn5q,0.0,0.12,0.0,0.2,0.0,0.0,0.0,0.33,0.34,0.0,8
e11f59,0.0,0.0,0.0,0.1,0.0,0.45,0.0,0.0,0.45,0.0,5
e11wth,0.94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
e13iiz,0.21,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.55,9
e17egw,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.75,0.19,8
e1b38p,0.03,0.02,0.09,0.0,0.18,0.29,0.0,0.19,0.11,0.08,5
e1cins,0.15,0.0,0.0,0.09,0.0,0.2,0.0,0.0,0.15,0.4,9
e1hnrm,0.32,0.01,0.28,0.01,0.01,0.01,0.01,0.01,0.36,0.01,8
e1oz3j,0.0,0.0,0.0,0.0,0.0,0.32,0.45,0.0,0.0,0.21,6
e1ycbx,0.0,0.0,0.09,0.0,0.0,0.44,0.1,0.04,0.0,0.31,5
e2050c,0.0,0.0,0.0,0.25,0.17,0.38,0.11,0.0,0.02,0.07,5
e22doc,0.1,0.0,0.12,0.0,0.0,0.0,0.31,0.1,0.0,0.37,9
e26g1f,0.0,0.07,0.1,0.0,0.0,0.54,0.07,0.0,0.0,0.23,5
e299e0,0.01,0.56,0.01,0.01,0.01,0.01,0.01,0.39,0.01,0.01,1
e29bbv,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.54,0.24,0.0,7
e2a2qt,0.0,0.0,0.0,0.1,0.0,0.09,0.0,0.0,0.8,0.0,8
e2h074,0.13,0.31,0.0,0.22,0.06,0.19,0.0,0.0,0.0,0.09,1
e2mjpf,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.14,0.49,0.0,8
e2p3w9,0.67,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
e2pctn,0.0,0.18,0.0,0.0,0.37,0.44,0.0,0.0,0.0,0.0,5
e316w4,0.23,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7,0.01,8
e31saw,0.0,0.08,0.0,0.24,0.67,0.0,0.0,0.0,0.0,0.0,4
e34hvw,0.14,0.0,0.0,0.0,0.0,0.15,0.27,0.0,0.35,0.09,8
e359g2,0.0,0.0,0.0,0.29,0.33,0.0,0.0,0.0,0.37,0.0,8
e35q9t,0.01,0.44,0.31,0.01,0.01,0.01,0.01,0.22,0.01,0.01,1
e371kz,0.0,0.0,0.0,0.0,0.5,0.39,0.0,0.08,0.0,0.0,4
e39l4p,0.15,0.01,0.01,0.01,0.41,0.01,0.01,0.01,0.01,0.4,4
e3bd3x,0.08,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.38,0.27,8
e3fsv2,0.0,0.0,0.0,0.0,0.0,0.84,0.08,0.07,0.0,0.0,5
e3mhgy,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.23,0.38,9
e4bryg,0.0,0.0,0.11,0.17,0.22,0.0,0.0,0.12,0.36,0.0,8
e4hyuv,0.0,0.0,0.3,0.58,0.0,0.1,0.0,0.0,0.0,0.0,3
e4l54w,0.87,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0
e4r1un,0.07,0.0,0.0,0.32,0.21,0.0,0.0,0.0,0.39,0.0,8
e4spu4,0.0,0.0,0.0,0.22,0.5,0.0,0.25,0.0,0.0,0.0,4
e4t3wa,0.0,0.02,0.0,0.0,0.03,0.04,0.0,0.47,0.42,0.0,7
e4uqf7,0.11,0.01,0.01,0.38,0.01,0.01,0.01,0.01,0.46,0.01,8
e4wkom,0.0,0.0,0.23,0.14,0.0,0.0,0.0,0.0,0.59,0.0,8
e4woic,0.06,0.02,0.0,0.0,0.16,0.34,0.4,0.0,0.0,0.02,6
e4wrq8,0.0,0.06,0.13,0.0,0.12,0.08,0.0,0.0,0.35,0.26,8
e51lho,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.13,0.15,0.0,3
e56ojs,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.67,0.01,8
e59l90,0.01,0.14,0.01,0.01,0.01,0.01,0.47,0.01,0.35,0.01,6
e5b7g7,0.0,0.07,0.0,0.0,0.0,0.0,0.03,0.47,0.15,0.28,7
e5bk2v,0.0,0.32,0.54,0.05,0.0,0.0,0.0,0.0,0.0,0.08,2
e5mimr,0.0,0.0,0.0,0.17,0.29,0.0,0.0,0.23,0.3,0.0,8
e5ofpl,0.0,0.14,0.0,0.09,0.52,0.0,0.0,0.2,0.04,0.0,4
e5oj4q,0.02,0.01,0.1,0.03,0.15,0.0,0.17,0.25,0.14,0.11,7
e5q754,0.57,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.39,0
e5qo0b,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.17,5
e5qy7x,0.32,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.63,9
e5r9ac,0.0,0.0,0.0,0.0,0.45,0.0,0.2,0.15,0.0,0.2,4
e5tofn,0.51,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0
e5u156,0.0,0.07,0.0,0.0,0.29,0.0,0.0,0.0,0.62,0.0,8
e5zlfv,0.0,0.06,0.0,0.13,0.26,0.33,0.0,0.14,0.08,0.0,5
e60lkf,0.13,0.0,0.46,0.0,0.0,0.0,0.25,0.0,0.0,0.13,2
e60ltk,0.0,0.33,0.29,0.0,0.0,0.0,0.0,0.0,0.36,0.0,8
e62fcx,0.0,0.07,0.0,0.07,0.18,0.0,0.0,0.11,0.55,0.0,8
e665ro,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.45,0.01,0
e67m21,0.0,0.12,0.3,0.0,0.0,0.27,0.0,0.31,0.0,0.0,7
e68ak4,0.0,0.0,0.0,0.0,0.41,0.0,0.43,0.0,0.0,0.16,6
e68rqa,0.0,0.0,0.18,0.0,0.0,0.53,0.29,0.0,0.0,0.0,5
e6herx,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.15,0.55,0.0,8
e6is6e,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0.14,0.67,9
e6k05y,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.42,0.12,0.0,2
e6srb9,0.0,0.08,0.0,0.0,0.0,0.43,0.0,0.1,0.39,0.0,5
e6y02v,0.0,0.11,0.0,0.0,0.15,0.37,0.09,0.17,0.1,0.0,5
e73wl8,0.01,0.01,0.01,0.72,0.01,0.01,0.01,0.01,0.2,0.01,3
e7blm2,0.0,0.08,0.0,0.0,0.13,0.5,0.07,0.0,0.14,0.07,5
e7c1ti,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.64,0.01,0.32,7
e7godm,0.42,0.0,0.0,0.0,0.29,0.28,0.0,0.0,0.0,0.0,0
e7n36z,0.0,0.0,0.25,0.0,0.0,0.33,0.16,0.18,0.0,0.07,5
e7vmmh,0.0,0.0,0.0,0.32,0.55,0.0,0.04,0.0,0.08,0.0,4
e7yumr,0.07,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.87,0.0,8
e7z292,0.23,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.57,0.01,8
e7zsgg,0.0,0.0,0.0,0.0,0.32,0.15,0.03,0.19,0.31,0.0,4
e811yk,0.0,0.11,0.44,0.0,0.0,0.0,0.0,0.13,0.26,0.05,2
e813vk,0.01,0.01,0.01,0.9,0.01,0.01,0.01,0.01,0.01,0.01,3
e81ld7,0.0,0.19,0.0,0.0,0.14,0.0,0.0,0.0,0.66,0.0,8
e82y9u,0.0,0.0,0.14,0.24,0.0,0.0,0.26,0.0,0.22,0.12,6
e8d0ai,0.0,0.0,0.11,0.15,0.49,0.0,0.09,0.16,0.0,0.0,4
e8j1z3,0.5,0.01,0.32,0.14,0.01,0.01,0.01,0.01,0.01,0.01,0
e8pvvl,0.16,0.0,0.49,0.0,0.0,0.14,0.0,0.14,0.06,0.0,2
e8r0pa,0.0,0.0,0.0,0.0,0.46,0.0,0.24,0.0,0.0,0.27,4
e8vfdi,0.38,0.01,0.01,0.01,0.01,0.31,0.01,0.01,0.25,0.01,0
e8wcik,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.91,9
e8x7gu,0.0,0.08,0.0,0.61,0.29,0.0,0.0,0.0,0.0,0.0,3
e8ybu4,0.01,0.01,0.01,0.91,0.01,0.01,0.01,0.01,0.01,0.01,3
e92wk4,0.18,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.12,0.0,2
e94rb9,0.09,0.0,0.0,0.0,0.16,0.53,0.0,0.0,0.0,0.21,5
e95t7a,0.0,0.06,0.12,0.0,0.0,0.8,0.0,0.0,0.0,0.0,5
e9b76g,0.0,0.33,0.16,0.0,0.0,0.0,0.49,0.0,0.0,0.0,6
e9bmnq,0.01,0.01,0.01,0.92,0.01,0.01,0.01,0.01,0.01,0.01,3
e9e13x,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,5
e9eflk,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,3
e9ej9r,0.09,0.1,0.0,0.04,0.11,0.29,0.0,0.06,0.0,0.31,9
e9fw60,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.92,9
e9g6tp,0.27,0.0,0.08,0.0,0.0,0.0,0.0,0.63,0.0,0.0,7
e9hfgr,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.66,0.0,0.0,7
e9jrdu,0.0,0.0,0.0,0.25,0.12,0.0,0.48,0.14,0.0,0.0,6
e9lp24,0.0,0.0,0.0,0.0,0.0,0.31,0.2,0.0,0.0,0.47,9
e9mntf,0.0,0.04,0.04,0.0,0.14,0.15,0.24,0.0,0.0,0.39,9
e9p2hh,0.01,0.01,0.01,0.01,0.42,0.01,0.01,0.01,0.54,0.01,8
e9pt66,0.0,0.11,0.0,0.13,0.21,0.23,0.0,0.0,0.32,0.0,8
e9q86g,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.17,0.4,0.08,8
e9rvij,0.0,0.0,0.16,0.21,0.0,0.0,0.12,0.48,0.0,0.0,7
e9sz62,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.38,0.3,0.0,7
e9umu0,0.0,0.07,0.0,0.1,0.0,0.0,0.0,0.0,0.82,0.0,8
e9uy8j,0.0,0.07,0.22,0.0,0.14,0.15,0.0,0.0,0.0,0.41,9
e9v432,0.0,0.0,0.17,0.0,0.23,0.3,0.0,0.0,0.25,0.06,5
e9vkls,0.0,0.0,0.09,0.0,0.0,0.72,0.16,0.0,0.0,0.0,5
e9vlll,0.0,0.03,0.04,0.35,0.4,0.0,0.0,0.0,0.18,0.0,4
e9xwuk,0.07,0.0,0.42,0.28,0.0,0.0,0.0,0.22,0.0,0.0,2
ea0ti7,0.01,0.01,0.01,0.15,0.34,0.01,0.01,0.46,0.01,0.01,7
ea1l1y,0.0,0.06,0.0,0.0,0.1,0.32,0.09,0.28,0.0,0.14,5
ea1njc,0.01,0.01,0.01,0.83,0.01,0.01,0.01,0.01,0.13,0.01,3
ea2hj1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.47,2
ea40y4,0.0,0.03,0.0,0.25,0.45,0.17,0.0,0.09,0.0,0.0,4
ea4wx2,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.01,0.5,0.15,8
ea5h7e,0.0,0.06,0.0,0.0,0.32,0.05,0.34,0.0,0.0,0.21,6
ea614e,0.0,0.07,0.08,0.03,0.0,0.52,0.0,0.2,0.0,0.1,5
ea6gec,0.0,0.06,0.0,0.0,0.23,0.34,0.12,0.14,0.1,0.0,5
eab9b5,0.18,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.46,0.0,8
eacb71,0.0,0.0,0.38,0.0,0.0,0.07,0.17,0.12,0.0,0.26,2
eacwq8,0.0,0.06,0.0,0.0,0.25,0.48,0.18,0.0,0.0,0.0,5
eapb3h,0.24,0.01,0.45,0.01,0.27,0.01,0.01,0.01,0.01,0.01,2
eas18y,0.0,0.0,0.0,0.0,0.1,0.44,0.31,0.0,0.0,0.14,5
eavc0y,0.0,0.39,0.08,0.18,0.0,0.0,0.0,0.34,0.0,0.0,1
eawvd9,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,9
eayt75,0.04,0.05,0.0,0.39,0.0,0.0,0.0,0.0,0.5,0.0,8
eazz3n,0.23,0.01,0.65,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
eb161j,0.0,0.33,0.0,0.0,0.0,0.0,0.15,0.44,0.0,0.07,7
eb2qbu,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.01,0.42,0.01,3
eb2yc9,0.0,0.0,0.0,0.12,0.25,0.0,0.0,0.61,0.0,0.0,7
eb8ni0,0.12,0.0,0.0,0.0,0.11,0.4,0.0,0.0,0.0,0.36,5
eb8vz9,0.0,0.12,0.42,0.0,0.0,0.0,0.35,0.0,0.0,0.1,2
ebdpwx,0.01,0.01,0.01,0.32,0.01,0.01,0.6,0.01,0.01,0.01,6
ebeqn4,0.0,0.0,0.21,0.0,0.0,0.0,0.11,0.0,0.0,0.64,9
ebf78o,0.01,0.23,0.23,0.01,0.01,0.49,0.01,0.01,0.01,0.01,5
ebhlau,0.3,0.0,0.0,0.08,0.6,0.0,0.0,0.0,0.0,0.0,4
ebl0cb,0.0,0.0,0.0,0.0,0.24,0.29,0.0,0.0,0.37,0.08,8
ebp53v,0.0,0.0,0.0,0.13,0.0,0.24,0.0,0.08,0.4,0.14,8
ebpl2c,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.85,9
ebrxde,0.04,0.0,0.0,0.0,0.0,0.0,0.77,0.11,0.0,0.07,6
eby4ak,0.0,0.0,0.0,0.0,0.24,0.0,0.45,0.3,0.0,0.0,6
ebz6gk,0.01,0.01,0.01,0.01,0.01,0.54,0.15,0.25,0.01,0.01,5
ec2f9z,0.16,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.34,0.11,6
ec2q7c,0.92,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
ec8ws7,0.0,0.0,0.0,0.0,0.31,0.07,0.0,0.26,0.36,0.0,8
ecdfup,0.42,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.24,0
ecdxut,0.05,0.0,0.32,0.0,0.0,0.37,0.15,0.0,0.0,0.11,5
ecged7,0.0,0.0,0.0,0.0,0.16,0.33,0.34,0.16,0.0,0.0,6
ech6g5,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.26,0.0,4
echer8,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.17,0.49,9
ecja7j,0.87,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
ecl3eb,0.3,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.4,9
ecmy2g,0.0,0.0,0.0,0.0,0.15,0.65,0.0,0.19,0.0,0.0,5
ecnxw3,0.7,0.19,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
ecsc5l,0.0,0.0,0.14,0.0,0.08,0.3,0.48,0.0,0.0,0.0,6
ecusgr,0.08,0.07,0.31,0.0,0.0,0.0,0.16,0.27,0.1,0.0,2
ed02oy,0.42,0.0,0.19,0.17,0.0,0.0,0.0,0.2,0.0,0.0,0
ed2jbg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.95,9
ed4sy1,0.0,0.01,0.0,0.11,0.26,0.28,0.0,0.17,0.09,0.07,5
edcd5o,0.0,0.0,0.0,0.0,0.15,0.06,0.66,0.0,0.1,0.0,6
edcjhb,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.74,0.0,0.0,7
edcruy,0.0,0.0,0.03,0.0,0.0,0.73,0.0,0.0,0.23,0.0,5
edhphu,0.01,0.01,0.01,0.63,0.01,0.01,0.01,0.01,0.32,0.01,3
edliqg,0.0,0.0,0.18,0.06,0.09,0.36,0.04,0.0,0.08,0.19,5
edly5v,0.0,0.62,0.0,0.0,0.0,0.18,0.18,0.0,0.0,0.0,1
edtkr9,0.0,0.09,0.0,0.0,0.06,0.0,0.0,0.59,0.26,0.0,7
edtp2x,0.0,0.0,0.0,0.0,0.0,0.26,0.56,0.0,0.16,0.0,6
edzo1y,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.19,0.0,0.38,6
ee4bfu,0.29,0.0,0.31,0.0,0.0,0.0,0.38,0.0,0.0,0.0,6
ee6xse,0.0,0.0,0.14,0.0,0.0,0.55,0.0,0.0,0.21,0.09,5
ee926v,0.01,0.01,0.01,0.01,0.08,0.01,0.01,0.01,0.87,0.01,8
eeabi5,0.0,0.0,0.12,0.0,0.56,0.0,0.31,0.0,0.0,0.0,4
eeh62i,0.0,0.0,0.0,0.22,0.12,0.44,0.0,0.09,0.06,0.07,5
eeh8tp,0.08,0.01,0.01,0.01,0.01,0.01,0.11,0.76,0.01,0.01,7
eej93p,0.0,0.11,0.21,0.0,0.0,0.0,0.12,0.24,0.15,0.16,7
eernhu,0.01,0.01,0.01,0.01,0.31,0.01,0.24,0.01,0.01,0.41,9
ef0iv5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.95,0.01,8
ef4020,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.39,0.0,7
ef5mp0,0.01,0.01,0.01,0.26,0.06,0.01,0.32,0.33,0.01,0.01,7
ef8b7d,0.0,0.0,0.46,0.0,0.0,0.43,0.0,0.0,0.09,0.0,2
efa7uh,0.0,0.0,0.38,0.0,0.25,0.0,0.0,0.0,0.36,0.0,2
efbo6r,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.14,0.27,0.0,3
efcffp,0.0,0.0,0.0,0.17,0.38,0.13,0.0,0.0,0.1,0.21,4
effe5f,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.25,0.45,0.1,8
efows7,0.05,0.16,0.25,0.0,0.0,0.11,0.04,0.26,0.0,0.12,7
efr02r,0.28,0.12,0.01,0.37,0.01,0.01,0.01,0.01,0.2,0.01,3
efsher,0.0,0.03,0.0,0.06,0.0,0.32,0.0,0.1,0.48,0.0,8
eg0er9,0.28,0.04,0.33,0.0,0.0,0.34,0.0,0.0,0.0,0.0,5
eg36n1,0.48,0.0,0.0,0.0,0.15,0.1,0.0,0.26,0.0,0.0,0
eg4qo9,0.0,0.1,0.07,0.0,0.0,0.35,0.1,0.16,0.1,0.12,5
eg5psk,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.75,0.0,8
eg9c3v,0.79,0.01,0.01,0.01,0.01,0.01,0.01,0.16,0.01,0.01,0
eg9dvq,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.92,0.01,8
eg9h41,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.01,0.81,0.01,8
egccot,0.2,0.0,0.0,0.22,0.38,0.0,0.0,0.0,0.0,0.18,4
egccun,0.26,0.2,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.26,7
eggi75,0.01,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.74,0.01,8
egk0q9,0.0,0.09,0.01,0.0,0.0,0.0,0.04,0.0,0.84,0.0,8
egkt6e,0.22,0.0,0.14,0.02,0.0,0.09,0.02,0.0,0.49,0.0,8
eglpch,0.34,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,8
eguiek,0.05,0.14,0.44,0.03,0.0,0.0,0.09,0.0,0.0,0.23,2
eguvct,0.0,0.15,0.25,0.0,0.0,0.55,0.05,0.0,0.0,0.0,5
egye9p,0.0,0.0,0.41,0.0,0.0,0.13,0.29,0.0,0.0,0.17,2
eh5pra,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.44,0.4,8
eh5t5c,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.67,0.28,8
eh9455,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,8
ehc157,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.34,0.0,0.51,9
ehfenw,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.64,0.01,8
ehgqg4,0.0,0.0,0.36,0.0,0.0,0.42,0.0,0.0,0.0,0.2,5
ehh2x0,0.05,0.0,0.0,0.0,0.11,0.38,0.0,0.42,0.0,0.04,7
ehi8vu,0.0,0.0,0.0,0.33,0.09,0.0,0.0,0.15,0.0,0.41,9
ehk5o9,0.0,0.0,0.0,0.14,0.04,0.0,0.32,0.12,0.37,0.0,8
ehmb4d,0.0,0.0,0.27,0.0,0.0,0.0,0.15,0.0,0.56,0.0,8
ehnaeo,0.0,0.05,0.3,0.0,0.22,0.27,0.0,0.0,0.0,0.14,2
ehpwxl,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.85,0.02,8
ehq3px,0.57,0.0,0.0,0.0,0.23,0.1,0.08,0.0,0.0,0.0,0
ehqfhm,0.0,0.06,0.03,0.07,0.0,0.65,0.0,0.0,0.1,0.08,5
ehsazc,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.55,0.0,0.0,7
ehuo88,0.0,0.0,0.0,0.12,0.0,0.48,0.11,0.27,0.0,0.0,5
ehuxx7,0.03,0.13,0.12,0.07,0.44,0.19,0.0,0.0,0.0,0.0,4
ehvq10,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.08,8
ehxrrw,0.0,0.14,0.1,0.0,0.0,0.0,0.0,0.13,0.57,0.06,8
ehxwlw,0.0,0.1,0.0,0.03,0.0,0.27,0.41,0.0,0.0,0.18,6
eii13j,0.08,0.0,0.0,0.55,0.12,0.0,0.07,0.0,0.17,0.0,3
eij0re,0.22,0.02,0.02,0.64,0.02,0.02,0.02,0.02,0.02,0.02,3
eikam4,0.0,0.0,0.27,0.04,0.05,0.16,0.18,0.0,0.31,0.0,8
eil9jg,0.0,0.0,0.0,0.0,0.51,0.28,0.04,0.0,0.0,0.16,4
eiop6q,0.07,0.0,0.16,0.0,0.31,0.0,0.0,0.0,0.21,0.25,4
eisx6w,0.0,0.04,0.0,0.0,0.0,0.28,0.0,0.0,0.68,0.0,8
eiszhx,0.62,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0
eixwf7,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.53,0.29,8
eizjnx,0.01,0.01,0.01,0.01,0.2,0.01,0.76,0.01,0.01,0.01,6
ej5r1v,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.44,0.0,8
ejelsw,0.0,0.06,0.22,0.0,0.0,0.29,0.0,0.15,0.1,0.18,5
ejjcj7,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,4
ejoqtr,0.0,0.0,0.0,0.0,0.0,0.33,0.06,0.0,0.46,0.13,8
ejrowb,0.0,0.0,0.0,0.38,0.32,0.0,0.0,0.0,0.0,0.26,3
ejsyim,0.0,0.0,0.0,0.0,0.17,0.56,0.05,0.0,0.2,0.0,5
ejw8qk,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.34,0.2,5
ek34p2,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ek4m3o,0.1,0.0,0.0,0.07,0.0,0.0,0.06,0.0,0.75,0.0,8
ekdtup,0.01,0.01,0.01,0.01,0.44,0.01,0.01,0.01,0.5,0.01,8
eke2ss,0.45,0.27,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.11,0
ekf57o,0.57,0.01,0.01,0.01,0.01,0.01,0.35,0.01,0.01,0.01,0
ekfazd,0.03,0.0,0.0,0.0,0.0,0.0,0.19,0.2,0.37,0.2,8
ekj3vy,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26,0.69,0.01,8
ekoevx,0.21,0.17,0.0,0.22,0.07,0.0,0.0,0.31,0.0,0.0,7
ekok6s,0.0,0.13,0.27,0.0,0.0,0.0,0.0,0.0,0.44,0.14,8
ekp4pe,0.01,0.01,0.01,0.63,0.01,0.01,0.01,0.31,0.01,0.01,3
ekq6tw,0.0,0.0,0.12,0.0,0.0,0.51,0.0,0.35,0.0,0.0,5
ekt4cs,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.89,9
ekvt5x,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.31,5
el2suq,0.62,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0
el67zs,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.79,0.0,8
