,t0 pregnant,t1 amp,t2 help,t3 weight,t4 symptom,t5 ultrasound,t6 tissue,t7 surgery,t8 nt,t9 surgery,t10 experience,t11 back,t12 nt,t13 pill,t14 control,dominant_topic
dqc8zr,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,5
dqduxz,0.01,0.01,0.01,0.01,0.6,0.01,0.01,0.01,0.01,0.33,0.01,0.01,0.01,0.01,0.01,4
dqi1eh,0.0,0.0,0.11,0.0,0.08,0.0,0.0,0.03,0.21,0.09,0.0,0.0,0.08,0.02,0.38,14
dqifqh,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.22,0.45,0.0,0.24,12
dqnfty,0.0,0.0,0.14,0.0,0.53,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4
dqnmhk,0.0,0.0,0.14,0.0,0.53,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4
dqpz7j,0.0,0.03,0.0,0.03,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,12
dqtj5h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.35,0.0,0.0,11
dqtl8i,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.14,0.0,0.27,0.0,0.44,0.0,0.1,0.0,11
dqtnxp,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.33,0.0,0.0,0.13,0.0,0.0,0.0,0.16,5
dqvd34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.34,0.32,0.0,0.0,11
dqzc8j,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,4
dr12qu,0.0,0.0,0.0,0.0,0.3,0.0,0.04,0.12,0.0,0.52,0.0,0.0,0.0,0.0,0.0,9
dr2a15,0.05,0.02,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.07,0.0,0.28,0.0,0.13,5
dr4drj,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.57,14
dra3vf,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.42,0.0,0.0,12
drfh1b,0.01,0.13,0.27,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.01,10
drtaxi,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,9
dryruw,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17,0.22,0.54,0.01,0.01,0.01,0.01,0.01,9
ds1lgm,0.0,0.0,0.22,0.0,0.0,0.0,0.11,0.0,0.0,0.25,0.0,0.0,0.39,0.0,0.0,12
ds1nq7,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.33,0.11,0.43,0.0,0.0,0.0,0.11,10
ds5g45,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.13,0.0,0.28,0.0,0.0,8
ds75qf,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.14,0.0,0.0,0.1,0.0,0.0,0.43,14
ds7gbs,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.22,0.14,0.0,0.0,0.18,0.22,0.0,8
dsn5lr,0.07,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.44,0.24,0.0,0.0,0.0,0.0,9
dsqb0a,0.0,0.03,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.67,0.0,13
dsqb3k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.11,0.0,0.0,0.34,0.43,14
dss1kw,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.38,0.0,0.0,9
dsx8ia,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.26,0.0,0.34,0.04,0.0,0.0,0.08,0.15,9
dsxdkw,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.27,0.0,0.45,0.0,0.0,0.0,0.0,10
dt2ftp,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.05,0.07,0.0,0.0,0.03,0.0,0.0,0.58,14
dt2ugi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.43,0.0,0.0,0.0,0.0,0.0,7
dt3nvj,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.71,0.0,0.24,0.0,0.0,0.0,0.0,8
dt3u61,0.0,0.0,0.07,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,4
dt95wb,0.0,0.02,0.0,0.04,0.3,0.0,0.0,0.22,0.12,0.0,0.0,0.0,0.12,0.0,0.17,4
dt98x9,0.0,0.0,0.0,0.02,0.0,0.0,0.04,0.52,0.0,0.09,0.0,0.0,0.0,0.0,0.31,7
dt9f7m,0.01,0.01,0.01,0.01,0.32,0.01,0.01,0.47,0.01,0.01,0.01,0.14,0.01,0.01,0.01,7
dtajra,0.0,0.02,0.0,0.0,0.43,0.0,0.0,0.0,0.12,0.0,0.0,0.23,0.19,0.0,0.0,4
dtazmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.1,0.26,0.0,0.22,0.0,0.0,8
dtfpuq,0.0,0.0,0.0,0.0,0.41,0.32,0.0,0.0,0.14,0.0,0.09,0.02,0.0,0.0,0.0,4
dtkj51,0.03,0.01,0.0,0.0,0.37,0.23,0.0,0.0,0.0,0.09,0.0,0.12,0.0,0.14,0.0,4
dtp2b5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,10
dttele,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,5
dub1u8,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.19,11
duo7n3,0.0,0.0,0.12,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.14,0.37,0.0,0.0,0.0,11
duoceg,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.07,0.34,0.0,0.41,0.0,0.0,12
duqf1x,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.05,0.0,0.3,0.0,0.04,0.52,0.0,0.0,12
duvbe3,0.17,0.0,0.07,0.07,0.04,0.0,0.0,0.16,0.1,0.16,0.11,0.0,0.0,0.12,0.0,0
dv15bf,0.0,0.0,0.0,0.04,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,4
dvbpta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.44,0.0,0.0,0.0,0.25,0.0,0.18,8
dvdrys,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.14,0.0,0.0,0.14,0.21,7
dvecc5,0.0,0.0,0.09,0.0,0.17,0.35,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.2,5
dvek0f,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,5
dvkzgg,0.0,0.0,0.0,0.03,0.2,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.42,0.06,0.0,12
dvn2go,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.45,0.0,0.3,0.11,0.0,0.0,9
dvpl5z,0.0,0.0,0.0,0.07,0.08,0.51,0.0,0.11,0.0,0.0,0.0,0.23,0.0,0.0,0.0,5
dvqbgb,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,5
dvymrp,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.17,0.06,0.0,0.0,0.19,5
dvzwvz,0.04,0.0,0.05,0.0,0.0,0.37,0.0,0.0,0.0,0.05,0.12,0.0,0.0,0.13,0.23,5
dw0wxv,0.04,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.16,0.0,0.31,0.11,0.0,0.0,0.31,10
dw2gax,0.0,0.0,0.1,0.39,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3
dw2hbv,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.24,0.07,0.44,0.0,0.0,0.0,0.0,10
dw3ts4,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.22,0.0,0.0,0.0,0.12,0.11,0.1,0.0,4
dw7y9i,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.77,0.02,0.02,0.02,0.02,10
dwavdz,0.06,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.44,0.03,0.0,0.06,0.11,0.0,0.0,8
dwbie9,0.0,0.02,0.0,0.11,0.23,0.0,0.02,0.12,0.13,0.0,0.0,0.0,0.37,0.0,0.0,12
dwdfbk,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.48,0.0,0.0,0.0,11
dwe1fk,0.0,0.0,0.43,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,10
dww03z,0.0,0.0,0.0,0.1,0.0,0.16,0.02,0.16,0.0,0.0,0.0,0.0,0.49,0.0,0.04,12
dwwi6n,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.33,0.0,0.1,0.0,0.0,9
dx7i85,0.0,0.0,0.06,0.0,0.0,0.72,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,5
dx9c38,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.34,8
dxdm5d,0.04,0.01,0.0,0.01,0.0,0.12,0.02,0.34,0.22,0.12,0.0,0.0,0.0,0.0,0.12,7
dxe2i5,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.64,0.13,0.12,0.0,0.0,0.0,9
dxj98j,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.17,0.0,0.0,0.0,0.35,14
dxjex9,0.15,0.0,0.08,0.06,0.0,0.0,0.03,0.0,0.41,0.0,0.2,0.0,0.0,0.0,0.05,8
dxk1jq,0.02,0.0,0.0,0.0,0.16,0.24,0.0,0.37,0.13,0.0,0.0,0.0,0.0,0.0,0.06,7
dxlx32,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.49,14
dxtoty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.73,0.0,0.0,0.0,11
dxupa9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.61,14
dxvg7a,0.01,0.01,0.53,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.38,0.01,0.01,0.01,0.01,2
dy09fb,0.17,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.22,0.0,0.14,0.1,0.31,14
dy0vjw,0.06,0.0,0.0,0.0,0.0,0.16,0.07,0.38,0.0,0.14,0.18,0.0,0.0,0.0,0.0,7
dy6z6b,0.02,0.0,0.0,0.02,0.42,0.1,0.0,0.0,0.22,0.02,0.05,0.06,0.07,0.0,0.03,4
dybeys,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.14,0.0,0.0,9
dydv2i,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,4
dyf82t,0.01,0.01,0.01,0.01,0.57,0.01,0.01,0.01,0.01,0.01,0.35,0.01,0.01,0.01,0.01,4
dyfis3,0.05,0.0,0.0,0.0,0.61,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,4
dyieak,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.06,0.0,0.0,0.02,0.35,0.0,0.0,5
dyipd2,0.01,0.01,0.01,0.01,0.37,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.57,14
dyj7st,0.03,0.0,0.0,0.0,0.0,0.46,0.0,0.19,0.0,0.0,0.0,0.0,0.26,0.05,0.0,5
dymms1,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.58,0.0,0.0,0.0,0.0,10
dyon4t,0.0,0.1,0.0,0.0,0.27,0.16,0.0,0.03,0.0,0.0,0.07,0.36,0.0,0.0,0.0,11
dyq0js,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.37,0.0,0.24,0.0,0.0,0.0,0.0,8
dywat4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.27,0.0,0.0,0.0,0.0,8
dz1ab5,0.0,0.12,0.0,0.0,0.07,0.0,0.0,0.0,0.16,0.0,0.49,0.0,0.15,0.0,0.0,10
dz2sel,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.46,0.22,0.0,0.15,0.0,0.0,9
dz5wam,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.28,0.01,0.01,0.01,0.35,0.01,0.01,0.01,11
dz5yx9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.31,12
dzc1cf,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,14
dzgy8u,0.0,0.0,0.0,0.06,0.56,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
dzmz5x,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.23,0.0,0.18,2
dzquc3,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0.48,0.01,0.01,0.01,0.01,10
dzqzs1,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.29,0.0,0.0,11
dzwggh,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.22,0.0,0.22,0.0,0.0,0.0,0.0,0.0,5
dzyfej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.21,0.0,0.12,0.0,0.15,0.15,0.28,14
e069ri,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.08,0.0,0.0,0.0,0.11,0.0,0.0,0.0,4
e09v2c,0.21,0.01,0.01,0.01,0.01,0.69,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5
e0cf2n,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,4
e0it9f,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.12,0.0,0.25,0.0,0.0,0.0,0.0,0.0,4
e0jtyp,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.57,14
e0qc1j,0.0,0.0,0.0,0.0,0.19,0.1,0.0,0.04,0.13,0.0,0.0,0.12,0.0,0.15,0.26,14
e0u1ec,0.02,0.0,0.03,0.0,0.0,0.27,0.0,0.0,0.12,0.0,0.55,0.0,0.0,0.0,0.0,10
e0yn5q,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,4
e11f59,0.06,0.0,0.0,0.03,0.38,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.34,0.0,0.0,4
e11wth,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,10
e13iiz,0.0,0.0,0.41,0.0,0.11,0.0,0.0,0.12,0.0,0.21,0.09,0.04,0.0,0.0,0.0,2
e17egw,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,4
e1b38p,0.02,0.0,0.02,0.02,0.15,0.24,0.0,0.0,0.0,0.02,0.06,0.0,0.36,0.11,0.0,12
e1cins,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.43,0.11,0.12,0.0,0.0,0.0,9
e1hnrm,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.53,0.11,0.17,0.0,0.0,0.0,0.0,8
e1oz3j,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.14,0.0,0.0,0.19,0.0,0.0,7
e1ycbx,0.0,0.0,0.16,0.0,0.0,0.0,0.04,0.0,0.0,0.29,0.0,0.0,0.45,0.04,0.0,12
e2050c,0.0,0.02,0.0,0.0,0.0,0.28,0.0,0.13,0.0,0.0,0.0,0.25,0.3,0.0,0.0,12
e22doc,0.0,0.02,0.17,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.13,0.0,0.05,7
e26g1f,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.47,0.24,0.0,0.0,0.0,0.0,0.16,8
e299e0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.47,13
e29bbv,0.12,0.0,0.0,0.0,0.32,0.0,0.0,0.1,0.0,0.0,0.0,0.28,0.0,0.17,0.0,4
e2a2qt,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.39,0.0,0.0,4
e2h074,0.0,0.0,0.08,0.0,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.17,0.13,0.07,0.39,14
e2mjpf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,11
e2p3w9,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.65,0.0,0.0,0.0,0.0,10
e2pctn,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,5
e316w4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.74,0.01,0.18,0.01,0.01,0.01,0.01,8
e31saw,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.16,5
e34hvw,0.0,0.0,0.13,0.0,0.0,0.0,0.06,0.06,0.18,0.16,0.08,0.15,0.18,0.0,0.0,8
e359g2,0.0,0.0,0.0,0.0,0.18,0.26,0.0,0.0,0.18,0.0,0.0,0.35,0.0,0.02,0.0,11
e35q9t,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,14
e371kz,0.0,0.0,0.0,0.0,0.16,0.32,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.0,8
e39l4p,0.0,0.0,0.24,0.0,0.0,0.48,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,5
e3bd3x,0.04,0.03,0.09,0.0,0.0,0.0,0.0,0.0,0.26,0.14,0.0,0.35,0.07,0.0,0.0,11
e3fsv2,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.26,0.0,0.0,0.0,0.3,0.0,0.0,5
e3mhgy,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.29,0.0,0.43,0.0,0.19,0.0,0.0,0.0,9
e4bryg,0.0,0.0,0.0,0.0,0.33,0.08,0.0,0.0,0.17,0.0,0.0,0.26,0.0,0.14,0.0,4
e4hyuv,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.04,0.37,0.0,0.0,0.0,11
e4l54w,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,10
e4r1un,0.0,0.0,0.0,0.0,0.47,0.1,0.01,0.0,0.04,0.0,0.09,0.29,0.0,0.0,0.0,4
e4spu4,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
e4t3wa,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.49,14
e4uqf7,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.13,0.39,0.0,0.0,0.0,4
e4wkom,0.0,0.0,0.3,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,4
e4woic,0.0,0.0,0.08,0.0,0.0,0.43,0.06,0.11,0.2,0.11,0.0,0.0,0.0,0.0,0.0,5
e4wrq8,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.48,0.22,0.0,0.0,0.0,0.0,0.0,8
e51lho,0.0,0.0,0.0,0.03,0.32,0.0,0.03,0.18,0.0,0.0,0.0,0.38,0.04,0.0,0.0,11
e56ojs,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.22,0.58,0.01,0.01,12
e59l90,0.16,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.38,14
e5b7g7,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.36,0.0,0.0,0.0,0.21,0.0,0.16,0.19,7
e5bk2v,0.0,0.0,0.11,0.07,0.0,0.0,0.0,0.0,0.2,0.03,0.0,0.0,0.0,0.17,0.41,14
e5mimr,0.0,0.0,0.0,0.0,0.33,0.26,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.07,0.0,4
e5ofpl,0.03,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.11,0.3,5
e5oj4q,0.0,0.0,0.0,0.0,0.04,0.19,0.0,0.33,0.06,0.0,0.05,0.1,0.1,0.03,0.09,7
e5q754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.57,0.0,0.0,0.0,0.0,10
e5qo0b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,12
e5qy7x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.48,0.37,0.0,0.0,0.0,0.0,9
e5r9ac,0.05,0.0,0.0,0.0,0.0,0.5,0.0,0.14,0.0,0.21,0.0,0.0,0.0,0.09,0.0,5
e5tofn,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.53,0.0,0.0,0.0,0.12,10
e5u156,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.17,0.0,0.0,0.15,0.0,0.0,0.25,4
e5zlfv,0.0,0.0,0.0,0.0,0.16,0.35,0.0,0.0,0.13,0.0,0.0,0.08,0.08,0.0,0.2,5
e60lkf,0.0,0.0,0.13,0.13,0.12,0.0,0.0,0.48,0.0,0.1,0.0,0.0,0.0,0.0,0.0,7
e60ltk,0.0,0.0,0.29,0.0,0.25,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.22,2
e62fcx,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.37,4
e665ro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.19,0.37,0.0,0.0,10
e67m21,0.01,0.0,0.1,0.08,0.17,0.09,0.0,0.0,0.1,0.0,0.0,0.0,0.23,0.22,0.0,12
e68ak4,0.02,0.0,0.0,0.0,0.0,0.56,0.02,0.22,0.0,0.17,0.0,0.0,0.0,0.0,0.0,5
e68rqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.4,0.0,0.13,0.0,0.0,0.0,0.12,8
e6herx,0.0,0.0,0.08,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.3,4
e6is6e,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.59,0.0,0.0,0.15,0.0,0.16,9
e6k05y,0.0,0.0,0.16,0.0,0.24,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.31,0.0,13
e6srb9,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.24,0.03,0.14,8
e6y02v,0.02,0.0,0.0,0.0,0.11,0.1,0.0,0.11,0.13,0.0,0.0,0.0,0.25,0.0,0.28,14
e73wl8,0.01,0.01,0.01,0.01,0.64,0.01,0.01,0.01,0.01,0.01,0.01,0.27,0.01,0.01,0.01,4
e7blm2,0.0,0.0,0.0,0.0,0.0,0.21,0.06,0.0,0.29,0.07,0.0,0.0,0.15,0.0,0.21,8
e7c1ti,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.05,4
e7godm,0.0,0.03,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,10
e7n36z,0.18,0.0,0.0,0.0,0.08,0.13,0.01,0.18,0.23,0.06,0.05,0.0,0.03,0.05,0.0,8
e7vmmh,0.03,0.0,0.0,0.0,0.34,0.38,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,5
e7yumr,0.0,0.0,0.11,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.35,11
e7z292,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.2,12
e7zsgg,0.0,0.0,0.12,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.07,0.14,0.0,0.47,14
e811yk,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.4,0.04,0.0,0.0,0.0,0.05,0.33,8
e813vk,0.01,0.01,0.01,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.82,0.01,0.01,0.01,11
e81ld7,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.49,0.0,0.0,0.17,0.0,0.06,0.15,8
e82y9u,0.0,0.02,0.1,0.07,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.48,0.0,0.0,0.11,11
e8d0ai,0.0,0.0,0.0,0.05,0.26,0.53,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,5
e8j1z3,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.09,0.0,10
e8pvvl,0.0,0.0,0.06,0.03,0.0,0.0,0.0,0.07,0.28,0.0,0.24,0.0,0.13,0.18,0.0,8
e8r0pa,0.14,0.0,0.0,0.0,0.0,0.47,0.0,0.09,0.0,0.26,0.0,0.0,0.0,0.0,0.0,5
e8vfdi,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.01,0.56,0.01,0.01,12
e8wcik,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.73,0.01,0.01,0.01,0.01,0.01,0.01,8
e8x7gu,0.0,0.0,0.0,0.11,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,4
e8ybu4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.8,0.01,0.01,0.01,11
e92wk4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.37,0.0,0.0,0.0,0.0,8
e94rb9,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.24,0.19,0.14,0.0,0.17,0.0,0.0,5
