,t0 pregnant,t1 amp,t2 help,t3 weight,t4 symptom,t5 ultrasound,t6 tissue,t7 surgery,t8 nt,t9 surgery,t10 experience,t11 back,t12 nt,t13 pill,t14 control,dominant_topic
3siss2,0.0,0.0,0.0,0.0,0.2,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,12
3sk7z0,0.0,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.66,0.0,0.0,0.0,0.27,0.0,0.0,8
3sxcz6,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.64,0.0,0.12,0.0,0.0,0.0,0.0,8
3th7m0,0.0,0.0,0.14,0.0,0.0,0.62,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,5
3tm3m6,0.0,0.0,0.0,0.03,0.04,0.02,0.0,0.0,0.0,0.26,0.05,0.33,0.27,0.0,0.0,11
3tv6m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.32,0.3,0.03,0.0,8
3tzf7p,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.19,0.0,0.23,0.0,0.0,7
3u184r,0.0,0.0,0.37,0.2,0.0,0.0,0.0,0.19,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2
3u2vjb,0.0,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.22,0.0,0.0,0.29,14
3u4id1,0.0,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.57,0.0,0.22,0.02,0.1,0.0,0.02,8
3u7r1c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.2,0.15,0.0,0.47,0.09,0.0,12
3uax5b,0.0,0.02,0.0,0.0,0.2,0.33,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.02,0.35,14
3ufh1e,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.4,0.0,0.25,0.2,0.0,0.0,0.0,8
3uztfv,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.82,0.01,0.01,0.01,0.01,10
3vb0ev,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.2,0.0,0.72,0.0,0.0,0.0,0.0,10
3vejba,0.0,0.0,0.0,0.0,0.2,0.11,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
3vutxb,0.03,0.0,0.0,0.02,0.1,0.04,0.0,0.01,0.39,0.0,0.17,0.1,0.12,0.0,0.0,8
3w1v23,0.0,0.0,0.0,0.14,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.21,0.0,0.0,4
3x9tu9,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,11
3xdr7c,0.03,0.0,0.0,0.0,0.24,0.34,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.14,5
3y0yjd,0.0,0.01,0.0,0.0,0.0,0.34,0.01,0.36,0.13,0.0,0.0,0.0,0.14,0.0,0.0,7
3y1qnx,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.44,0.18,0.0,0.0,0.0,0.0,0.0,0.24,7
3ygx4g,0.1,0.0,0.16,0.13,0.0,0.0,0.0,0.0,0.39,0.0,0.19,0.0,0.0,0.0,0.0,8
3ylg8r,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.06,0.28,0.19,0.0,0.0,0.11,0.0,0.17,8
3z0dq7,0.01,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.45,0.0,0.15,0.0,0.15,0.0,0.19,8
3zi272,0.0,0.0,0.0,0.0,0.76,0.0,0.03,0.0,0.0,0.0,0.18,0.0,0.0,0.02,0.0,4
3zru8r,0.01,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.31,0.0,0.3,0.0,0.26,0.0,0.0,8
3zvehl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.25,0.0,0.48,0.0,0.0,0.0,11
3zxw84,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.11,12
401dq9,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.79,14
40eqiv,0.0,0.09,0.0,0.0,0.32,0.19,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,8
4101kc,0.0,0.0,0.01,0.0,0.02,0.06,0.01,0.0,0.58,0.03,0.12,0.0,0.08,0.07,0.0,8
412uua,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.15,0.0,0.0,0.26,0.09,0.46,0.0,0.0,12
415yaq,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.11,0.0,0.12,0.0,0.1,0.42,0.05,0.17,12
41g5pi,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.01,0.82,0.01,0.01,0.01,0.01,10
41q9np,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.57,0.0,0.0,0.0,0.0,0.0,0.0,8
