,t0 medication,t1 chronic,t2 help,t3 else,t4 weight,t5 right,t6 covid,t7 week,t8 sex,t9 side,t10 woman,t11 nt,t12 told,t13 control,t14 cramp,t15 surgery,t16 really,t17 nt,t18 cyst,t19 amp,dominant_topic
3nua7g,0.06,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.38,0.0,0.0,0.07,0.17,0.0,0.0,13
3of2e3,0.0,0.0,0.0,0.0,0.03,0.15,0.0,0.0,0.0,0.02,0.0,0.0,0.48,0.0,0.05,0.07,0.0,0.18,0.02,0.0,12
3olt74,0.07,0.0,0.0,0.0,0.0,0.08,0.0,0.21,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.32,0.12,0.0,17
3orxx9,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.32,0.05,0.0,14
3p9mng,0.09,0.0,0.05,0.0,0.15,0.0,0.0,0.11,0.0,0.04,0.0,0.0,0.0,0.14,0.0,0.0,0.12,0.3,0.0,0.0,17
3q4k2s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.05,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
3qji6t,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.18,0.01,0.19,0.16,0.24,0.0,0.0,0.0,0.0,0.15,0.02,0.0,12
3r9kuv,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.19,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
3r9zg3,0.01,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.42,0.02,0.0,0.14,0.15,0.16,0.0,0.02,12
3rcg8w,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.31,0.0,0.0,17
3rd456,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.1,0.0,0.19,0.0,0.03,0.0,0.0,0.0,0.31,0.33,0.0,0.0,17
3rf2xu,0.04,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.57,0.08,0.0,17
3rjew5,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,17
3rjslp,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.11,0.15,0.0,0.12,0.01,0.3,0.0,0.0,0.0,0.24,0.04,0.0,0.02,12
3rtdou,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.26,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.21,0.0,0.0,15
