,t0 medication,t1 chronic,t2 help,t3 else,t4 weight,t5 right,t6 covid,t7 week,t8 sex,t9 side,t10 woman,t11 nt,t12 told,t13 control,t14 cramp,t15 surgery,t16 really,t17 nt,t18 cyst,t19 amp,dominant_topic
bnrwqf,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,2
bnu8fj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.04,0.55,0.0,0.0,0.0,0.0,0.0,14
bnzc8o,0.0,0.0,0.23,0.07,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.13,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.04,13
bo2p5x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.15,0.0,0.0,0.34,0.0,0.0,0.0,0.4,0.0,0.0,17
bod8m7,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.68,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,7
bodnw8,0.05,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.16,0.0,0.0,0.05,0.0,11
bodwbf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.04,15
bofjs4,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.12,0.07,0.13,0.0,15
boh676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.08,0.1,0.0,0.0,0.0,0.43,0.0,0.23,0.0,0.0,15
boj8mo,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.13,0.2,0.0,0.0,0.0,0.51,0.0,0.0,0.05,0.0,0.0,0.08,0.0,12
boklg4,0.03,0.0,0.0,0.0,0.08,0.0,0.0,0.38,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.11,0.0,0.25,0.0,0.0,7
bom0jw,0.0,0.0,0.25,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.09,0.0,15
bop9ya,0.0,0.02,0.0,0.0,0.0,0.32,0.0,0.22,0.0,0.0,0.1,0.0,0.0,0.2,0.13,0.0,0.0,0.0,0.0,0.0,5
botpsy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.03,0.15,0.0,0.0,0.37,0.0,0.0,0.0,0.09,0.0,14
boxh3c,0.0,0.0,0.0,0.21,0.0,0.09,0.0,0.0,0.25,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.11,0.0,0.1,0.0,8
bp02us,0.0,0.0,0.14,0.02,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.37,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,15
bp5tgz,0.0,0.0,0.0,0.27,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
bp95jb,0.06,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.41,0.0,0.0,0.25,0.0,0.0,14
bpa8n4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.86,0.01,0.01,0.01,0.01,15
bpcjhi,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.75,0.0,0.0,17
bpcxsk,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.15,0.0,0.03,0.18,0.33,0.0,0.0,0.15,0.0,0.05,0.05,0.0,12
bpdw19,0.0,0.0,0.04,0.14,0.0,0.0,0.0,0.26,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.07,0.0,17
bpfh40,0.0,0.0,0.19,0.1,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.32,0.0,0.0,0.0,0.15,0.0,0.06,13
bpgmw9,0.09,0.0,0.0,0.0,0.0,0.26,0.0,0.08,0.13,0.04,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.23,0.02,0.0,5
bpgt1v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.08,0.0,0.55,0.0,0.0,0.0,0.0,15
bpi0g3,0.1,0.0,0.0,0.0,0.0,0.08,0.0,0.06,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.5,0.0,0.0,17
bpik20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.08,0.26,0.0,0.0,0.0,0.0,12
bpkeaq,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.37,0.0,0.0,0.0,0.0,15
bplmz7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.21,0.0,0.0,0.22,0.0,0.38,0.0,0.0,0.0,16
bpmir2,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,11
bpq41w,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,15
bpt8vm,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.13,0.0,0.0,0.17,0.0,0.0,0.0,0.06,0.0,8
bpu5hl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.41,0.0,0.0,0.07,0.4,0.0,0.0,0.0,0.0,11
bpubtz,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.08,0.0,0.2,0.08,0.0,0.0,0.0,5
bpw356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.06,0.27,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
bpxsut,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.0,0.0,0.0,0.0,0.0,0.09,0.57,0.07,0.0,17
bpy49j,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.59,0.0,0.0,0.0,0.0,15
bpz0sb,0.0,0.0,0.0,0.0,0.33,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
bq2olk,0.0,0.0,0.14,0.0,0.0,0.23,0.0,0.27,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,17
bq46oo,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.18,0.04,0.0,0.11,0.0,0.38,0.0,0.0,0.0,0.11,0.0,0.05,0.0,12
bq5ixw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.14,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,8
bq62r9,0.02,0.0,0.0,0.0,0.19,0.03,0.0,0.0,0.0,0.0,0.05,0.13,0.13,0.01,0.31,0.05,0.0,0.07,0.0,0.0,14
bq7c8p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
bqan7f,0.02,0.0,0.21,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.42,0.0,0.0,0.0,16
bqanrd,0.01,0.01,0.28,0.01,0.32,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
bqbvbk,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.22,0.05,0.03,0.0,0.39,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
bqgks4,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.04,0.0,0.0,0.1,0.0,0.05,0.7,0.0,0.0,0.0,0.0,0.02,14
bqh5yq,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.04,0.03,0.14,0.0,0.0,0.03,0.0,0.13,0.47,0.0,0.0,17
bqi5e6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.76,0.01,0.01,17
bqkjtq,0.0,0.0,0.04,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,14
bqrudh,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,2
bqv6t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.0,7
bqwlxt,0.0,0.0,0.06,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.34,0.0,0.0,0.0,16
bqziqe,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.08,0.0,0.0,0.0,8
br6347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.27,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,8
br6i46,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.11,0.0,0.31,0.0,0.0,0.17,0.15,0.0,0.0,0.0,12
br7axf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.32,0.43,0.0,0.0,17
brakoz,0.0,0.0,0.13,0.0,0.0,0.25,0.0,0.23,0.26,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
bre70w,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.04,0.0,14
brengy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.59,0.0,0.0,0.0,0.24,0.0,0.11,0.0,0.0,11
brg2t0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.14,0.0,0.32,0.0,0.21,0.06,0.0,15
brghv6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.12,0.0,0.0,16
bruds1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,5
brurmv,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.45,0.01,0.01,0.01,0.29,0.01,0.17,0.01,12
brw6jq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.44,0.0,0.0,0.0,0.0,0.26,0.0,0.0,12
brymau,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.15,0.0,0.0,0.0,0.12,0.0,0.04,0.0,0.16,0.0,0.0,0.0,0.0,5
bs0kgc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.17,0.11,0.0,0.57,0.0,0.0,17
bs1ub7,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.35,0.0,18
bs27ey,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,14
bs49la,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.03,0.0,0.53,0.0,0.09,0.0,0.07,15
bs4nyt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.09,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.62,0.0,0.0,17
bs6q4m,0.03,0.0,0.0,0.15,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,14
bs7uy3,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.33,0.0,7
bsb6uy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
bsb797,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.22,0.0,0.0,16
bsdj45,0.01,0.0,0.0,0.01,0.0,0.03,0.0,0.12,0.1,0.0,0.14,0.16,0.24,0.01,0.0,0.13,0.0,0.0,0.06,0.0,12
bsi5y3,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
bskd9c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.19,0.0,0.09,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,15
bsny46,0.0,0.0,0.21,0.0,0.0,0.15,0.0,0.09,0.0,0.0,0.06,0.0,0.19,0.11,0.13,0.03,0.0,0.0,0.0,0.03,2
bszooc,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.1,0.02,0.3,0.0,0.0,0.31,0.04,0.04,17
bt3qiu,0.0,0.0,0.17,0.18,0.24,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,5
bt4805,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.42,0.09,0.0,0.0,0.0,0.0,12
bt91xr,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.42,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.07,0.0,7
btk15n,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.04,0.0,0.0,0.21,0.04,0.0,0.16,0.0,0.33,0.04,0.0,17
btlftp,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.41,0.11,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.01,0.0,7
btm50r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,11
btpxxx,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.54,0.0,0.0,0.0,0.0,15
btr22p,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.15,0.21,0.0,0.42,0.0,0.08,0.0,0.0,0.0,14
btug8g,0.0,0.0,0.0,0.0,0.15,0.14,0.0,0.0,0.0,0.09,0.0,0.27,0.0,0.0,0.0,0.23,0.0,0.0,0.1,0.0,11
bu1xpy,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,16
bu2u74,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.07,0.11,0.22,0.0,0.0,0.0,0.06,12
bu3swx,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.17,0.34,0.0,0.0,0.07,0.0,0.0,0.15,0.0,0.0,0.0,10
bu5p0h,0.05,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.34,0.0,0.0,17
bu5ptl,0.01,0.01,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.03,0.45,0.03,0.0,0.06,0.0,0.15,0.0,0.0,12
bu6ywo,0.05,0.0,0.24,0.0,0.0,0.0,0.0,0.12,0.0,0.17,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,13
bu7gp2,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.24,0.26,0.19,0.0,0.0,16
buaqxh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.02,0.18,0.0,0.08,0.15,0.1,0.3,0.01,0.0,17
bucdv1,0.0,0.04,0.0,0.0,0.0,0.15,0.0,0.0,0.32,0.0,0.0,0.02,0.0,0.07,0.0,0.0,0.39,0.0,0.0,0.0,16
buci7s,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,15
budkcg,0.02,0.02,0.06,0.0,0.0,0.11,0.0,0.14,0.0,0.0,0.15,0.0,0.0,0.02,0.0,0.0,0.0,0.46,0.0,0.0,17
bufuz9,0.02,0.02,0.02,0.68,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,3
buhdc9,0.0,0.0,0.19,0.0,0.0,0.25,0.0,0.23,0.0,0.0,0.0,0.06,0.0,0.09,0.0,0.0,0.16,0.0,0.0,0.0,5
bukq4p,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.01,0.18,0.06,0.0,0.0,0.0,0.0,0.2,0.27,0.0,0.02,17
bupkew,0.0,0.0,0.33,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
buukd8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.18,0.0,0.05,0.0,15
bv1fqw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.0,0.0,0.16,0.0,0.0,0.06,0.0,0.59,0.1,0.0,17
bvlu68,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.34,0.0,0.11,0.0,0.0,0.09,0.3,0.0,0.0,0.0,0.0,0.0,8
bvnxl6,0.03,0.0,0.0,0.06,0.09,0.0,0.0,0.32,0.0,0.0,0.0,0.11,0.17,0.0,0.22,0.0,0.0,0.0,0.0,0.0,7
bvsrhl,0.03,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.06,0.0,0.05,0.0,0.5,0.0,0.0,0.17,0.03,0.0,14
bvy5c6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.06,0.16,0.23,0.18,0.0,0.12,0.0,15
bw45us,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.09,0.13,0.0,0.0,0.22,0.09,0.05,0.04,0.0,0.08,0.28,0.0,0.0,17
bw6jv7,0.0,0.0,0.0,0.12,0.0,0.67,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
bw6q14,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.39,0.07,0.0,0.0,0.0,0.16,0.0,0.0,0.23,0.0,0.0,0.05,8
bwdf1n,0.0,0.0,0.35,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
bwgdy9,0.0,0.0,0.0,0.07,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,11
bwh7ad,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.21,0.0,0.0,0.0,0.0,0.0,0.0,12
bwihzb,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.09,0.0,0.0,0.0,14
bwkde9,0.05,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.15,0.25,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,11
bwlho7,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.16,0.0,0.04,0.0,12
bwqrdj,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,17
bwsed6,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.06,0.0,0.12,0.0,0.36,0.23,0.0,0.0,0.06,0.0,0.0,0.0,0.0,11
bwubeo,0.04,0.0,0.0,0.0,0.08,0.0,0.0,0.14,0.0,0.0,0.0,0.3,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,14
bwwqp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.54,0.0,0.0,0.21,0.0,0.0,14
bwxgke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,7
bwz8u0,0.05,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.12,0.08,0.0,0.0,0.0,0.23,0.0,0.0,0.4,0.0,0.0,0.0,16
bx3a74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.39,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,8
bx3yig,0.0,0.0,0.03,0.0,0.0,0.49,0.0,0.1,0.0,0.0,0.09,0.06,0.0,0.08,0.0,0.0,0.05,0.0,0.09,0.0,5
bx4e3f,0.0,0.0,0.37,0.11,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
bxaztt,0.0,0.0,0.0,0.24,0.0,0.65,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
bxg2kj,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.17,0.0,0.35,0.0,0.0,17
bxl8xb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.35,0.08,0.0,15
bxnoow,0.01,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.4,0.0,0.16,0.0,0.15,0.0,0.0,0.0,0.19,0.0,0.0,0.0,8
bxoewf,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.07,0.06,0.0,0.12,0.05,0.06,0.28,0.0,0.05,17
bxpfip,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,17
bxpkvm,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.4,0.16,0.0,0.0,0.0,0.0,14
bxtmqt,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.39,0.0,0.0,0.42,0.0,18
bxvzov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.26,0.28,0.0,0.0,12
bxwmkd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.08,0.0,0.0,0.23,0.38,0.11,0.0,0.0,0.0,0.0,0.0,13
bxwx97,0.0,0.0,0.0,0.26,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,5
bxxeo0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.68,0.02,0.02,0.02,0.02,15
by2h43,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,5
by6qc6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.21,0.0,15
by8yg8,0.0,0.0,0.15,0.0,0.36,0.0,0.0,0.19,0.25,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,4
byenim,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.31,0.0,0.0,0.27,0.0,0.0,10
byfub2,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.39,0.0,0.0,17
bygfnx,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.31,0.11,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
byj1nn,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.21,0.0,0.62,0.0,0.0,17
byoonz,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.36,0.13,0.0,0.0,11
byplzv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.32,0.1,0.09,0.0,0.0,0.0,0.0,0.0,11
byqtll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.15,0.0,0.04,0.09,0.23,0.09,0.0,0.26,0.05,0.0,17
byqwcm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,17
byv2mw,0.0,0.0,0.18,0.05,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.4,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
byv7w4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,7
bz7fss,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.69,0.01,0.01,0.01,0.01,15
bz95zl,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.76,0.01,0.01,17
bz9ugw,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.26,0.0,0.0,0.17,0.0,0.0,0.09,0.34,0.0,0.0,0.04,0.0,15
bzehpd,0.0,0.0,0.11,0.1,0.05,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.42,0.18,0.0,0.0,0.0,0.0,14
