,t0 amp,t1 period,t2 nt,t3 sex,t4 symptom,t5 feel,t6 nt,t7 endometriosis,t8 control,t9 surgery,t10 day,t11 cyst,t12 pelvic,t13 advice,t14 else,dominant_topic
2n5alb,0.0,0.0,0.0,0.0,0.0,0.07,0.22,0.12,0.46,0.0,0.0,0.0,0.0,0.13,0.0,8
2tv4of,0.04,0.0,0.29,0.0,0.1,0.14,0.28,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,2
2u95w1,0.0,0.0,0.15,0.0,0.03,0.0,0.17,0.0,0.0,0.17,0.0,0.35,0.0,0.0,0.12,11
2xnjq3,0.07,0.06,0.44,0.0,0.0,0.04,0.0,0.09,0.0,0.03,0.16,0.09,0.0,0.0,0.0,2
33p0nx,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.24,0.38,0.0,13
39ti3h,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.23,0.0,0.0,0.09,0.0,2
3c7tfz,0.01,0.81,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,1
3e7b19,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
3egm36,0.0,0.0,0.38,0.0,0.0,0.0,0.26,0.0,0.24,0.0,0.12,0.0,0.0,0.0,0.0,2
3eh13z,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,2
3eloa4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.13,0.18,0.0,8
3er5rh,0.0,0.0,0.51,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.14,0.15,0.17,0.0,0.0,2
3exuup,0.24,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.06,0.0,0.23,0.0,9
3ez2kk,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.42,0.18,0.0,0.0,0.08,0.0,0.0,8
3ffn4e,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.57,0.0,0.11,0.09,0.0,0.0,0.0,8
3gmak6,0.0,0.13,0.0,0.0,0.13,0.33,0.17,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,5
3gpnb1,0.0,0.08,0.0,0.0,0.17,0.0,0.28,0.1,0.0,0.04,0.16,0.04,0.03,0.09,0.0,6
3gpsea,0.0,0.0,0.0,0.0,0.24,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.44,14
3ha0zg,0.02,0.0,0.32,0.14,0.03,0.0,0.0,0.0,0.39,0.0,0.0,0.1,0.0,0.0,0.0,8
3hdogh,0.0,0.0,0.0,0.0,0.02,0.0,0.15,0.05,0.53,0.0,0.2,0.04,0.0,0.0,0.0,8
3hit8q,0.0,0.1,0.25,0.03,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,14
3hnh1l,0.0,0.15,0.67,0.04,0.0,0.0,0.06,0.0,0.0,0.0,0.06,0.02,0.0,0.0,0.0,2
3i66hq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.44,0.0,0.0,0.0,0.0,0.0,0.24,8
3il1vd,0.0,0.0,0.65,0.0,0.0,0.14,0.0,0.0,0.0,0.11,0.07,0.0,0.0,0.0,0.0,2
3ilwvj,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.44,0.25,0.0,0.03,0.16,0.0,0.0,8
3k1oeu,0.03,0.07,0.34,0.0,0.03,0.0,0.0,0.03,0.25,0.0,0.26,0.0,0.0,0.0,0.0,2
3kbjk4,0.0,0.49,0.0,0.0,0.18,0.11,0.0,0.0,0.14,0.08,0.0,0.0,0.0,0.0,0.0,1
3kxkv3,0.58,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.24,0.0,0.0,0.0,0.04,0.0,0
3lhw12,0.0,0.0,0.45,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
3m2vl9,0.42,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3nua7g,0.22,0.0,0.0,0.0,0.0,0.08,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,6
3of2e3,0.02,0.0,0.19,0.0,0.0,0.13,0.0,0.0,0.43,0.0,0.0,0.12,0.09,0.0,0.02,8
3olt74,0.2,0.0,0.07,0.0,0.0,0.0,0.19,0.05,0.0,0.26,0.0,0.0,0.22,0.0,0.0,9
3orxx9,0.0,0.49,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,1
3p9mng,0.17,0.0,0.23,0.0,0.11,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.1,0.0,8
3q4k2s,0.0,0.0,0.33,0.26,0.11,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3qji6t,0.01,0.0,0.33,0.03,0.01,0.05,0.04,0.09,0.0,0.0,0.39,0.03,0.0,0.0,0.02,10
3r9kuv,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.22,7
3r9zg3,0.0,0.0,0.27,0.0,0.0,0.15,0.0,0.04,0.05,0.23,0.25,0.0,0.0,0.0,0.0,2
3rcg8w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.7,0.0,0.0,0.0,0.0,0.0,9
3rd456,0.0,0.0,0.61,0.04,0.0,0.0,0.0,0.09,0.0,0.0,0.18,0.01,0.0,0.0,0.06,2
3rf2xu,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.22,0.0,0.09,0.0,8
3rjew5,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,13
3rjslp,0.01,0.0,0.4,0.0,0.0,0.02,0.0,0.06,0.0,0.01,0.49,0.0,0.0,0.0,0.0,10
3rtdou,0.0,0.0,0.24,0.0,0.0,0.0,0.3,0.0,0.0,0.29,0.0,0.0,0.0,0.16,0.0,6
3siss2,0.0,0.0,0.0,0.0,0.12,0.22,0.24,0.0,0.0,0.0,0.36,0.0,0.0,0.05,0.0,10
3sk7z0,0.01,0.0,0.55,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,2
3sxcz6,0.06,0.0,0.46,0.25,0.0,0.0,0.15,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,2
3th7m0,0.0,0.0,0.11,0.19,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.07,0.0,0.31,0.0,8
3tm3m6,0.0,0.07,0.02,0.0,0.06,0.17,0.0,0.0,0.0,0.22,0.35,0.0,0.04,0.0,0.08,10
3tv6m3,0.02,0.0,0.0,0.09,0.0,0.55,0.13,0.0,0.0,0.0,0.1,0.0,0.0,0.06,0.05,5
3tzf7p,0.06,0.0,0.22,0.0,0.0,0.0,0.14,0.11,0.0,0.13,0.0,0.33,0.0,0.0,0.0,11
3u184r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.62,0.0,13
3u2vjb,0.13,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.18,0.0,0.21,0.0,0.0,0.21,0.0,3
3u4id1,0.02,0.0,0.44,0.04,0.0,0.0,0.0,0.14,0.03,0.0,0.33,0.0,0.0,0.0,0.0,2
3u7r1c,0.4,0.0,0.27,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0
3uax5b,0.0,0.19,0.0,0.0,0.16,0.0,0.0,0.04,0.54,0.0,0.0,0.0,0.06,0.0,0.0,8
3ufh1e,0.0,0.14,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,2
3uztfv,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.79,0.01,0.01,0.01,0.01,0.01,0.14,0.01,7
3vb0ev,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
3vejba,0.0,0.07,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.58,0.0,0.23,0.0,0.0,0.0,9
3vutxb,0.0,0.05,0.32,0.07,0.04,0.07,0.0,0.15,0.0,0.0,0.22,0.0,0.0,0.03,0.05,2
3w1v23,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.18,1
3x9tu9,0.0,0.18,0.0,0.13,0.17,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.41,14
3xdr7c,0.0,0.6,0.04,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.11,0.1,0.0,0.0,1
3y0yjd,0.01,0.0,0.08,0.02,0.02,0.0,0.0,0.04,0.0,0.48,0.22,0.05,0.07,0.0,0.0,9
3y1qnx,0.05,0.0,0.0,0.02,0.0,0.0,0.11,0.0,0.28,0.44,0.0,0.03,0.05,0.0,0.0,9
3ygx4g,0.0,0.0,0.0,0.0,0.26,0.27,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.25,0.0,5
3ylg8r,0.0,0.05,0.45,0.0,0.0,0.0,0.0,0.0,0.25,0.12,0.0,0.12,0.0,0.0,0.0,2
3z0dq7,0.0,0.12,0.16,0.19,0.0,0.0,0.1,0.08,0.12,0.0,0.23,0.0,0.0,0.0,0.0,10
3zi272,0.0,0.42,0.0,0.0,0.35,0.0,0.0,0.16,0.0,0.0,0.0,0.06,0.0,0.0,0.0,1
3zru8r,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.18,0.06,0.02,0.52,0.01,0.0,0.0,0.01,10
3zvehl,0.0,0.0,0.0,0.0,0.0,0.16,0.09,0.0,0.0,0.38,0.0,0.1,0.0,0.0,0.25,9
3zxw84,0.0,0.0,0.0,0.0,0.0,0.11,0.64,0.06,0.15,0.0,0.0,0.03,0.0,0.0,0.0,6
401dq9,0.02,0.34,0.0,0.0,0.0,0.0,0.3,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,1
40eqiv,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,4
4101kc,0.04,0.0,0.15,0.22,0.0,0.05,0.0,0.12,0.09,0.04,0.27,0.0,0.0,0.02,0.0,10
412uua,0.22,0.0,0.0,0.09,0.0,0.0,0.0,0.27,0.0,0.0,0.15,0.05,0.06,0.0,0.17,7
415yaq,0.04,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.27,0.05,0.0,0.0,0.09,8
41g5pi,0.01,0.01,0.24,0.01,0.01,0.01,0.01,0.68,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7
41q9np,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,2
41w9xk,0.0,0.0,0.26,0.03,0.0,0.05,0.0,0.07,0.25,0.0,0.11,0.11,0.11,0.0,0.0,2
41yyq5,0.04,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.06,0.06,11
420ob8,0.11,0.0,0.08,0.0,0.0,0.0,0.0,0.17,0.0,0.43,0.0,0.19,0.0,0.0,0.0,9
42miop,0.0,0.0,0.09,0.0,0.44,0.04,0.18,0.0,0.0,0.0,0.1,0.05,0.07,0.0,0.03,4
42uqtw,0.0,0.0,0.0,0.08,0.0,0.1,0.39,0.02,0.14,0.0,0.27,0.0,0.0,0.0,0.0,6
45oe0x,0.0,0.06,0.09,0.0,0.29,0.0,0.13,0.0,0.12,0.21,0.0,0.06,0.04,0.0,0.0,4
46dogt,0.0,0.0,0.0,0.0,0.04,0.15,0.26,0.0,0.0,0.22,0.32,0.0,0.0,0.0,0.0,10
46ks4t,0.05,0.08,0.0,0.01,0.18,0.0,0.19,0.0,0.0,0.08,0.1,0.1,0.14,0.07,0.0,6
46lyie,0.04,0.0,0.63,0.03,0.0,0.05,0.0,0.06,0.0,0.05,0.0,0.02,0.08,0.05,0.0,2
46tbv8,0.0,0.24,0.32,0.04,0.05,0.04,0.23,0.0,0.0,0.0,0.06,0.02,0.0,0.0,0.0,2
46vsfq,0.0,0.35,0.15,0.08,0.04,0.21,0.12,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,1
49jleq,0.07,0.08,0.19,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
49kc1k,0.0,0.25,0.08,0.0,0.05,0.0,0.48,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.07,6
49pmhh,0.37,0.0,0.05,0.0,0.09,0.0,0.06,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,9
4ajgda,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.11,0.0,0.1,0.0,9
4b7k4u,0.0,0.24,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.23,0.23,0.0,0.0,0.0,0.0,6
4bj8ty,0.26,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.14,0.0,0.11,0.0,0.0,0.0,6
4c38vd,0.08,0.12,0.0,0.04,0.0,0.09,0.0,0.0,0.49,0.0,0.0,0.0,0.1,0.0,0.08,8
4ced9v,0.0,0.0,0.15,0.0,0.02,0.09,0.13,0.0,0.14,0.28,0.0,0.09,0.05,0.0,0.05,9
4ctv7z,0.0,0.25,0.0,0.0,0.15,0.09,0.39,0.06,0.0,0.0,0.0,0.05,0.0,0.0,0.0,6
4cypke,0.15,0.18,0.0,0.0,0.0,0.0,0.08,0.05,0.0,0.0,0.51,0.02,0.0,0.0,0.0,10
4dy658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.16,0.42,0.31,0.0,0.0,0.0,0.0,9
4e0a9p,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.2,0.14,0.0,9
4e9dvx,0.0,0.23,0.0,0.0,0.0,0.0,0.16,0.0,0.5,0.0,0.11,0.0,0.0,0.0,0.0,8
4ebzv9,0.15,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,2
4ed9hf,0.0,0.43,0.0,0.0,0.25,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.02,0.0,1
4enwzr,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.2,0.31,0.0,0.0,0.15,0.0,0.14,0.0,8
4f434h,0.02,0.0,0.26,0.44,0.0,0.08,0.07,0.02,0.05,0.03,0.0,0.02,0.0,0.0,0.0,3
4fv6n5,0.0,0.51,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,1
4glsui,0.08,0.0,0.0,0.0,0.0,0.15,0.28,0.0,0.11,0.0,0.26,0.0,0.0,0.05,0.06,6
4h2itk,0.0,0.0,0.12,0.04,0.0,0.34,0.02,0.0,0.0,0.39,0.0,0.03,0.0,0.03,0.03,9
4h8yqw,0.02,0.11,0.17,0.0,0.0,0.0,0.0,0.42,0.19,0.0,0.0,0.05,0.0,0.0,0.03,7
4hhww7,0.0,0.0,0.27,0.44,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.13,3
4hr2yd,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,9
4idvyx,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.21,0.1,0.16,0.21,0.0,0.0,0.0,0.0,6
4ihvj4,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.3,0.12,0.0,0.13,0.0,0.0,0.0,0.0,4
4kgby6,0.11,0.21,0.32,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.04,0.0,0.11,2
4l2epp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.24,0.27,0.0,0.0,0.0,0.0,0.0,7
4l9p6d,0.0,0.0,0.12,0.11,0.0,0.0,0.16,0.0,0.0,0.0,0.21,0.09,0.13,0.19,0.0,10
4mavep,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
4mfexy,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.22,0.34,0.0,0.0,0.05,0.0,0.0,0.09,8
4mfgv8,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.27,0.0,2
4n5ai7,0.1,0.0,0.21,0.0,0.0,0.0,0.16,0.0,0.35,0.1,0.07,0.0,0.0,0.0,0.0,8
4nqph1,0.0,0.16,0.11,0.07,0.0,0.07,0.13,0.0,0.29,0.11,0.0,0.06,0.0,0.0,0.0,8
4o3vh1,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.2,0.0,0.0,0.2,0.0,0.05,0.0,0.0,6
4ogywq,0.0,0.5,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.19,1
4oy777,0.0,0.16,0.0,0.03,0.0,0.0,0.36,0.0,0.11,0.3,0.0,0.0,0.0,0.03,0.0,6
4p6q28,0.0,0.0,0.15,0.0,0.11,0.07,0.0,0.0,0.39,0.0,0.0,0.22,0.0,0.06,0.0,8
4prwt3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.73,0.01,0.01,0.15,0.01,0.01,0.01,0.01,7
4prxwa,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.75,0.01,0.01,0.01,0.01,0.12,0.01,0.01,7
4pu15f,0.02,0.09,0.0,0.0,0.07,0.0,0.1,0.13,0.18,0.28,0.0,0.0,0.0,0.13,0.0,9
4q8hs6,0.04,0.0,0.3,0.0,0.0,0.08,0.29,0.0,0.14,0.0,0.0,0.0,0.1,0.0,0.04,2
4sp71k,0.07,0.0,0.27,0.0,0.07,0.0,0.2,0.0,0.08,0.09,0.0,0.0,0.19,0.03,0.0,2
4sqyt9,0.0,0.25,0.0,0.0,0.0,0.0,0.29,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,8
4st9gt,0.01,0.01,0.01,0.01,0.01,0.49,0.01,0.01,0.01,0.01,0.45,0.01,0.01,0.01,0.01,5
4swn6p,0.0,0.23,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,9
4t28gp,0.02,0.0,0.09,0.0,0.1,0.08,0.0,0.0,0.33,0.06,0.11,0.11,0.0,0.0,0.1,8
4t9kuf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.25,0.08,0.12,0.0,0.02,0.0,7
4tq7ze,0.09,0.16,0.25,0.0,0.0,0.09,0.23,0.1,0.0,0.07,0.0,0.0,0.0,0.0,0.0,2
4tuhva,0.0,0.0,0.34,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.07,0.0,0.08,0.16,0.0,2
4tvg8f,0.0,0.15,0.14,0.0,0.0,0.0,0.0,0.24,0.46,0.0,0.0,0.0,0.0,0.0,0.0,8
4ty3i4,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
4u7y1e,0.05,0.0,0.0,0.0,0.56,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.12,0.0,4
4ucv8n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,10
4ue1h2,0.0,0.13,0.04,0.01,0.28,0.0,0.06,0.0,0.14,0.0,0.26,0.0,0.03,0.04,0.0,4
4ur8j7,0.02,0.21,0.22,0.06,0.05,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.07,0.18,2
4w8ud4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.92,0.01,0.01,0.01,0.01,0.01,9
4wczvd,0.01,0.08,0.0,0.0,0.0,0.13,0.0,0.0,0.21,0.05,0.39,0.06,0.0,0.0,0.07,10
4xp06e,0.06,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.52,0.0,0.0,0.0,0.0,0.09,0.17,8
4xqlfk,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.06,0.19,0.0,0.28,14
4xqtjt,0.0,0.18,0.07,0.0,0.0,0.06,0.42,0.0,0.12,0.0,0.1,0.0,0.05,0.0,0.0,6
4xtt3p,0.06,0.0,0.0,0.0,0.0,0.17,0.28,0.16,0.0,0.0,0.33,0.0,0.0,0.0,0.0,10
4xyqv1,0.01,0.01,0.39,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7
4yald0,0.01,0.25,0.17,0.0,0.0,0.0,0.28,0.0,0.11,0.0,0.0,0.17,0.0,0.0,0.0,6
4zjy9z,0.0,0.15,0.0,0.0,0.0,0.0,0.19,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.12,8
5061ws,0.0,0.13,0.0,0.05,0.05,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.05,0.11,8
507zim,0.0,0.0,0.24,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.04,5
508opr,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.27,0.0,0.0,0.1,9
524te1,0.0,0.36,0.0,0.06,0.16,0.0,0.03,0.05,0.21,0.0,0.0,0.05,0.0,0.08,0.0,1
5301qz,0.16,0.14,0.4,0.0,0.0,0.14,0.0,0.0,0.0,0.02,0.14,0.0,0.0,0.0,0.0,2
53atcb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.28,0.0,0.36,0.0,0.0,0.0,11
53hwr0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.26,0.0,0.05,0.0,0.25,0.18,0.15,8
53l5k2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.05,0.0,0.11,0.0,0.0,0.0,0.0,7
53ribd,0.0,0.0,0.38,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.37,0.0,2
53u57m,0.02,0.0,0.08,0.21,0.0,0.13,0.15,0.0,0.2,0.0,0.0,0.16,0.0,0.0,0.04,3
541ojj,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.29,0.01,0.61,0.01,0.01,0.01,0.01,0.01,9
543p9j,0.04,0.07,0.25,0.04,0.05,0.04,0.17,0.0,0.13,0.03,0.09,0.06,0.0,0.02,0.0,2
54alzp,0.0,0.09,0.06,0.0,0.05,0.0,0.32,0.05,0.23,0.0,0.0,0.07,0.12,0.0,0.0,6
54bsap,0.0,0.17,0.45,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,2
54s7cs,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.17,0.14,0.07,0.29,0.0,0.06,0.0,11
54ukgt,0.0,0.1,0.17,0.0,0.03,0.0,0.0,0.0,0.0,0.23,0.0,0.36,0.05,0.04,0.0,11
54wzn2,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.11,0.07,0.0,0.08,8
5543i3,0.04,0.0,0.0,0.07,0.0,0.29,0.31,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
55ge5c,0.09,0.0,0.08,0.0,0.29,0.02,0.24,0.11,0.0,0.0,0.16,0.0,0.0,0.0,0.0,4
57dxbq,0.0,0.24,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.45,0.0,0.0,0.07,0.04,0.0,9
580q1c,0.0,0.31,0.0,0.0,0.0,0.0,0.07,0.0,0.42,0.08,0.0,0.0,0.11,0.0,0.0,8
5882a7,0.05,0.42,0.05,0.0,0.0,0.13,0.0,0.0,0.22,0.04,0.07,0.02,0.0,0.0,0.01,1
58czms,0.06,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.07,0.13,0.0,8
5aw3cu,0.11,0.0,0.21,0.0,0.0,0.1,0.13,0.0,0.24,0.0,0.0,0.0,0.0,0.21,0.0,8
5bdruc,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0
5c0qjb,0.0,0.0,0.56,0.06,0.0,0.0,0.05,0.0,0.25,0.0,0.0,0.0,0.02,0.04,0.0,2
5c5zq6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.53,0.24,0.0,0.0,0.0,10
5c8fw6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.01,0.01,0.33,0.01,0.21,0.01,0.01,7
5cbo4h,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
5cheix,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.19,0.33,0.14,0.0,12
5dafxy,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.76,0.18,0.0,0.0,0.0,0.0,0.0,8
5e4rpe,0.01,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.1,0.0,0.0,0.0,8
5e6ga7,0.0,0.0,0.45,0.0,0.0,0.14,0.0,0.09,0.25,0.0,0.0,0.0,0.06,0.0,0.0,2
5ebq1k,0.08,0.53,0.0,0.0,0.03,0.0,0.0,0.13,0.0,0.0,0.0,0.05,0.06,0.0,0.1,1
5ekgjj,0.0,0.0,0.0,0.0,0.08,0.0,0.21,0.0,0.0,0.2,0.0,0.08,0.21,0.21,0.0,6
5ex8ra,0.0,0.0,0.17,0.05,0.26,0.03,0.04,0.0,0.36,0.0,0.0,0.0,0.0,0.08,0.0,8
5f4sia,0.19,0.0,0.0,0.0,0.0,0.0,0.31,0.16,0.0,0.07,0.22,0.05,0.0,0.0,0.0,6
5fbefw,0.0,0.0,0.34,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.03,0.0,5
5g762b,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.59,0.0,0.0,0.06,0.0,0.0,0.0,0.0,7
5gny80,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.13,0.0,0.08,0.0,0.0,0.11,6
5hc7ui,0.0,0.57,0.07,0.0,0.0,0.17,0.14,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1
5hez78,0.0,0.0,0.0,0.15,0.0,0.26,0.23,0.0,0.0,0.23,0.12,0.0,0.0,0.0,0.0,5
5hioxu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.36,0.0,0.0,0.0,0.0,0.0,8
5hr0os,0.0,0.08,0.0,0.1,0.0,0.0,0.25,0.0,0.07,0.29,0.0,0.0,0.06,0.0,0.14,9
5hs5yn,0.0,0.14,0.48,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.09,0.11,0.0,2
5hynyk,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0.01,0.48,0.01,0.22,0.01,0.01,0.01,9
5hzh79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.41,0.41,0.0,0.05,0.0,0.0,9
5jhco8,0.0,0.19,0.1,0.04,0.06,0.11,0.0,0.17,0.0,0.0,0.0,0.11,0.19,0.02,0.0,1
