,t0 amp,t1 period,t2 nt,t3 sex,t4 symptom,t5 feel,t6 nt,t7 endometriosis,t8 control,t9 surgery,t10 day,t11 cyst,t12 pelvic,t13 advice,t14 else,dominant_topic
no4ba6,0.0,0.42,0.0,0.19,0.0,0.17,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.14,1
no6d8y,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.55,0.12,0.0,0.0,0.0,10
nobk4n,0.0,0.26,0.0,0.0,0.14,0.0,0.05,0.0,0.17,0.11,0.2,0.07,0.0,0.0,0.0,1
noc2eb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.33,0.16,0.36,0.08,0.0,0.0,11
nocdj6,0.11,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.13,6
noe0vm,0.0,0.0,0.15,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.04,0.0,10
noe8uw,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.11,0.0,0.2,0.0,9
noek35,0.0,0.0,0.19,0.07,0.0,0.19,0.0,0.16,0.0,0.23,0.0,0.15,0.0,0.0,0.0,9
nohy9a,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.27,0.0,0.0,0.0,0
nome60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.46,0.0,0.0,0.0,7
nomhsz,0.0,0.0,0.28,0.33,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.21,0.0,0.0,3
nommps,0.43,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,2
nony4d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.35,0.0,8
npml7s,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.2,0.0,0.0,4
npnz62,0.0,0.13,0.32,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
npo65x,0.05,0.0,0.0,0.0,0.1,0.28,0.0,0.07,0.0,0.23,0.0,0.05,0.0,0.18,0.04,5
