,t0 amp,t1 period,t2 nt,t3 period,t4 ultrasound,t5 surgery,t6 control,t7 help,t8 doctor,t9 surgery,dominant_topic
d5vw0v,0.09,0.33,0.0,0.27,0.1,0.03,0.0,0.0,0.0,0.17,1
d602mw,0.0,0.16,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
d61thm,0.0,0.52,0.0,0.0,0.0,0.0,0.29,0.0,0.18,0.0,1
d6217q,0.0,0.49,0.0,0.31,0.11,0.0,0.0,0.0,0.09,0.0,1
d626xc,0.0,0.0,0.0,0.14,0.27,0.0,0.22,0.21,0.0,0.16,4
d63yqt,0.02,0.02,0.02,0.02,0.31,0.02,0.02,0.53,0.02,0.02,7
d64bgm,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.17,0.0,0.0,2
d64gbo,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.92,9
d64qmx,0.0,0.12,0.08,0.0,0.08,0.0,0.18,0.1,0.44,0.0,8
d67g5m,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.35,4
d67gtv,0.0,0.0,0.26,0.0,0.0,0.0,0.2,0.52,0.0,0.0,7
d6btln,0.03,0.0,0.29,0.0,0.17,0.14,0.0,0.0,0.27,0.1,2
d6hjst,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.6,9
d6kd8l,0.0,0.72,0.0,0.09,0.0,0.0,0.18,0.0,0.0,0.0,1
d6kij8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.18,0.0,2
d6kk86,0.03,0.24,0.0,0.13,0.0,0.0,0.13,0.0,0.2,0.27,9
d6s0wp,0.05,0.0,0.0,0.22,0.09,0.07,0.11,0.0,0.14,0.31,9
d6xog3,0.01,0.01,0.01,0.37,0.01,0.01,0.01,0.54,0.01,0.01,7
d70fpf,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.78,0.0,0.0,7
d712kf,0.04,0.0,0.0,0.0,0.04,0.08,0.08,0.15,0.14,0.46,9
d71tnb,0.0,0.19,0.77,0.0,0.0,0.02,0.0,0.0,0.0,0.0,2
d72jym,0.0,0.0,0.93,0.04,0.0,0.0,0.0,0.0,0.0,0.0,2
d73bmz,0.0,0.0,0.0,0.27,0.18,0.0,0.0,0.0,0.09,0.45,9
d73i2q,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.4,0.41,9
d7cp0y,0.01,0.18,0.23,0.18,0.01,0.01,0.01,0.12,0.24,0.01,8
d7fgyv,0.0,0.35,0.53,0.0,0.0,0.0,0.0,0.11,0.0,0.0,2
d7gs9v,0.03,0.0,0.0,0.13,0.34,0.0,0.49,0.0,0.0,0.0,6
d7mkc4,0.0,0.0,0.0,0.0,0.52,0.0,0.16,0.0,0.0,0.31,4
d7p49r,0.06,0.46,0.33,0.0,0.0,0.0,0.05,0.08,0.0,0.0,1
d7prkl,0.0,0.26,0.0,0.6,0.0,0.0,0.13,0.0,0.0,0.0,3
d7re62,0.0,0.56,0.23,0.11,0.0,0.05,0.0,0.0,0.05,0.0,1
d7s7wa,0.0,0.05,0.0,0.0,0.3,0.26,0.13,0.0,0.0,0.25,4
d7vto1,0.0,0.0,0.35,0.27,0.08,0.28,0.0,0.0,0.0,0.0,2
d7w3p7,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.94,0.0,0.0,7
d8c4sh,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.36,0.0,2
d8cu9e,0.01,0.01,0.01,0.01,0.92,0.01,0.01,0.01,0.01,0.01,4
d8e8t0,0.0,0.0,0.11,0.0,0.0,0.32,0.0,0.0,0.47,0.09,8
d8gh3a,0.0,0.09,0.26,0.3,0.22,0.0,0.0,0.12,0.0,0.0,3
d8i218,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.33,0.01,0.48,9
d8ly61,0.01,0.01,0.01,0.27,0.67,0.01,0.01,0.01,0.01,0.01,4
d8ouj9,0.0,0.09,0.0,0.19,0.0,0.0,0.29,0.14,0.0,0.29,6
d8y3eh,0.11,0.53,0.0,0.0,0.0,0.0,0.08,0.0,0.28,0.0,1
d90btg,0.0,0.0,0.07,0.74,0.0,0.0,0.0,0.18,0.0,0.0,3
d95hif,0.0,0.0,0.48,0.0,0.0,0.09,0.0,0.0,0.0,0.41,2
d96i53,0.04,0.12,0.57,0.0,0.0,0.0,0.0,0.0,0.26,0.0,2
d98lfh,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.8,0.0,0.0,7
d9c82f,0.0,0.72,0.15,0.0,0.0,0.0,0.0,0.0,0.11,0.0,1
d9ehkb,0.0,0.0,0.0,0.0,0.05,0.26,0.0,0.0,0.56,0.13,8
d9j4s3,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.08,0.25,0.4,9
d9pjsx,0.05,0.26,0.0,0.26,0.0,0.0,0.0,0.17,0.24,0.0,1
d9vov5,0.0,0.14,0.42,0.05,0.0,0.0,0.02,0.0,0.35,0.0,2
d9wzxd,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.91,0.01,0.01,7
da0hri,0.0,0.0,0.0,0.49,0.0,0.28,0.21,0.0,0.0,0.0,3
da3ne6,0.0,0.28,0.0,0.62,0.08,0.0,0.0,0.0,0.0,0.0,3
da3vjl,0.08,0.01,0.71,0.01,0.01,0.01,0.01,0.16,0.01,0.01,2
da4elg,0.03,0.0,0.0,0.32,0.09,0.13,0.24,0.0,0.19,0.0,3
da5b3i,0.0,0.32,0.44,0.12,0.0,0.0,0.0,0.0,0.0,0.1,2
da84jp,0.0,0.0,0.0,0.19,0.21,0.31,0.0,0.0,0.28,0.0,5
dacd3l,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,7
daem8c,0.0,0.22,0.14,0.0,0.0,0.0,0.0,0.0,0.43,0.21,8
dai82i,0.0,0.2,0.09,0.38,0.12,0.0,0.08,0.0,0.0,0.12,3
dayj0e,0.0,0.0,0.43,0.0,0.22,0.0,0.0,0.0,0.0,0.34,2
daynx7,0.01,0.01,0.01,0.64,0.01,0.01,0.01,0.01,0.01,0.29,3
dazjmo,0.06,0.68,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,1
dbo4db,0.0,0.0,0.0,0.0,0.85,0.13,0.0,0.0,0.0,0.0,4
dbsh5f,0.0,0.21,0.13,0.19,0.25,0.0,0.21,0.0,0.0,0.0,4
dbwcro,0.0,0.0,0.52,0.0,0.0,0.08,0.0,0.0,0.39,0.0,2
dbxx4d,0.25,0.01,0.01,0.01,0.01,0.1,0.01,0.29,0.01,0.32,9
dc0rqg,0.0,0.05,0.69,0.01,0.0,0.0,0.0,0.12,0.1,0.03,2
dc3jba,0.0,0.0,0.3,0.0,0.0,0.0,0.67,0.0,0.0,0.0,6
dc52du,0.0,0.05,0.69,0.01,0.0,0.0,0.0,0.12,0.1,0.03,2
dc7f9q,0.0,0.0,0.77,0.0,0.0,0.21,0.0,0.0,0.0,0.0,2
dcfumr,0.0,0.17,0.0,0.14,0.07,0.08,0.32,0.0,0.22,0.0,6
dcgsb3,0.01,0.01,0.01,0.01,0.01,0.29,0.01,0.01,0.01,0.6,9
dch1gq,0.0,0.0,0.85,0.14,0.0,0.0,0.0,0.0,0.0,0.0,2
dcohuu,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.95,0.01,0.01,7
dcrnlj,0.07,0.0,0.0,0.0,0.0,0.0,0.53,0.04,0.36,0.0,6
dcrwlb,0.07,0.0,0.19,0.0,0.0,0.3,0.36,0.0,0.07,0.0,6
dctdg1,0.1,0.31,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.16,6
dctu1v,0.0,0.15,0.47,0.06,0.0,0.0,0.0,0.21,0.11,0.0,2
dcu340,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,3
dcwbw8,0.0,0.19,0.0,0.0,0.07,0.15,0.29,0.0,0.29,0.0,6
dd05ir,0.0,0.0,0.0,0.0,0.55,0.23,0.0,0.0,0.0,0.2,4
dd4e7o,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.59,0.37,0.01,7
dd7aa0,0.01,0.0,0.68,0.0,0.0,0.0,0.14,0.0,0.17,0.0,2
dd8kvy,0.0,0.0,0.4,0.0,0.13,0.0,0.0,0.44,0.0,0.0,7
dd9f0t,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,1
ddgch8,0.0,0.0,0.0,0.37,0.39,0.0,0.0,0.22,0.0,0.0,4
ddkg4b,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
ddoh44,0.0,0.4,0.32,0.0,0.0,0.0,0.0,0.26,0.0,0.0,1
ddu815,0.0,0.73,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,1
ddukma,0.03,0.46,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
dec6vi,0.01,0.21,0.01,0.01,0.01,0.01,0.01,0.53,0.21,0.01,7
dekszi,0.0,0.23,0.22,0.11,0.0,0.08,0.12,0.0,0.24,0.0,8
delwn1,0.0,0.0,0.73,0.0,0.07,0.0,0.0,0.0,0.0,0.19,2
descy5,0.08,0.01,0.22,0.01,0.01,0.01,0.01,0.66,0.01,0.01,7
desela,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.4,0.0,0.46,9
desk8t,0.0,0.0,0.0,0.24,0.18,0.0,0.32,0.0,0.0,0.23,6
det7v7,0.0,0.41,0.12,0.07,0.0,0.0,0.0,0.29,0.1,0.0,1
detw33,0.15,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.13,0.0,3
df736k,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
df7lmg,0.0,0.36,0.14,0.0,0.0,0.0,0.45,0.05,0.0,0.0,6
dfboww,0.17,0.16,0.01,0.01,0.01,0.01,0.01,0.6,0.01,0.01,7
dffvsi,0.17,0.01,0.01,0.01,0.01,0.01,0.65,0.01,0.12,0.01,6
dfh0a9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.85,9
dfh38u,0.0,0.15,0.0,0.04,0.0,0.0,0.65,0.0,0.0,0.15,6
dfi311,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.47,9
dfkfzh,0.0,0.16,0.0,0.0,0.3,0.27,0.0,0.0,0.26,0.0,4
dfsbc4,0.01,0.01,0.01,0.71,0.01,0.01,0.01,0.24,0.01,0.01,3
dft095,0.0,0.27,0.0,0.1,0.16,0.0,0.28,0.0,0.19,0.0,6
dfuppx,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,7
dfz19a,0.0,0.39,0.0,0.0,0.2,0.0,0.0,0.0,0.39,0.0,1
dg0l06,0.0,0.0,0.25,0.0,0.09,0.27,0.0,0.0,0.37,0.0,8
dg0zkf,0.01,0.01,0.81,0.01,0.15,0.01,0.01,0.01,0.01,0.01,2
dg3wg2,0.01,0.01,0.01,0.4,0.44,0.01,0.01,0.12,0.01,0.01,4
dg4qjw,0.0,0.0,0.25,0.0,0.0,0.41,0.0,0.32,0.0,0.0,5
dg9qni,0.04,0.0,0.0,0.2,0.0,0.23,0.0,0.09,0.44,0.0,8
dgifj2,0.0,0.17,0.0,0.13,0.27,0.08,0.18,0.0,0.15,0.0,4
dgltca,0.0,0.2,0.51,0.0,0.0,0.13,0.13,0.0,0.0,0.0,2
dgolev,0.0,0.28,0.29,0.0,0.0,0.0,0.1,0.0,0.0,0.31,9
dgpdag,0.05,0.0,0.33,0.13,0.0,0.0,0.0,0.0,0.17,0.3,2
dgq1kh,0.0,0.0,0.0,0.13,0.22,0.24,0.0,0.0,0.0,0.39,9
dgysz7,0.0,0.08,0.06,0.04,0.07,0.0,0.16,0.16,0.35,0.08,8
dh22ub,0.0,0.41,0.31,0.0,0.0,0.09,0.0,0.17,0.0,0.0,1
dh2npa,0.06,0.0,0.23,0.06,0.0,0.0,0.0,0.0,0.17,0.47,9
dh5hl8,0.07,0.01,0.01,0.01,0.09,0.01,0.39,0.41,0.01,0.01,7
dh63qb,0.0,0.63,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
dh9fib,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.9,0.0,0.0,7
dhazqy,0.0,0.41,0.0,0.0,0.0,0.0,0.06,0.51,0.0,0.0,7
dhep1g,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.67,9
dhf88m,0.0,0.0,0.75,0.0,0.0,0.02,0.18,0.0,0.0,0.04,2
dhgojo,0.0,0.22,0.18,0.26,0.12,0.0,0.0,0.0,0.0,0.21,3
dhguds,0.0,0.14,0.23,0.27,0.2,0.0,0.0,0.1,0.0,0.06,3
dhl5yz,0.0,0.69,0.13,0.09,0.0,0.0,0.09,0.0,0.0,0.0,1
dhlohf,0.0,0.26,0.0,0.0,0.22,0.06,0.0,0.06,0.25,0.15,1
dhx6ne,0.01,0.14,0.01,0.01,0.01,0.29,0.01,0.51,0.01,0.01,7
dhzp30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.63,0.2,8
di20uj,0.04,0.0,0.0,0.29,0.0,0.0,0.6,0.0,0.0,0.06,6
dickt1,0.0,0.0,0.15,0.0,0.0,0.31,0.0,0.29,0.24,0.0,5
dif9rb,0.04,0.0,0.0,0.17,0.0,0.0,0.1,0.33,0.35,0.0,8
diodgn,0.0,0.14,0.0,0.24,0.61,0.0,0.0,0.0,0.0,0.0,4
diojab,0.0,0.0,0.35,0.1,0.43,0.0,0.0,0.0,0.11,0.0,4
diqlcw,0.0,0.0,0.22,0.0,0.0,0.0,0.35,0.0,0.0,0.4,9
diygzs,0.0,0.14,0.24,0.0,0.09,0.0,0.16,0.0,0.37,0.0,8
dj36cd,0.0,0.0,0.38,0.0,0.0,0.16,0.0,0.31,0.13,0.0,2
dj36cm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.45,8
dj5ldr,0.0,0.6,0.0,0.23,0.0,0.0,0.0,0.0,0.17,0.0,1
dj7swz,0.0,0.18,0.28,0.0,0.19,0.0,0.04,0.0,0.3,0.0,8
dj7ufm,0.0,0.0,0.0,0.44,0.08,0.0,0.12,0.0,0.19,0.15,3
dja69p,0.03,0.32,0.13,0.06,0.0,0.0,0.46,0.0,0.0,0.0,6
djc0gp,0.0,0.0,0.51,0.13,0.05,0.3,0.0,0.0,0.0,0.0,2
djc6fq,0.0,0.17,0.0,0.2,0.16,0.0,0.0,0.0,0.45,0.0,8
djcx08,0.0,0.0,0.0,0.0,0.18,0.24,0.0,0.0,0.33,0.25,8
djekpx,0.02,0.0,0.0,0.0,0.31,0.0,0.0,0.09,0.32,0.25,8
djkhqb,0.0,0.0,0.0,0.04,0.0,0.0,0.22,0.0,0.72,0.01,8
djnda8,0.0,0.27,0.0,0.1,0.0,0.0,0.0,0.03,0.6,0.0,8
djoio2,0.0,0.17,0.36,0.0,0.0,0.0,0.09,0.0,0.38,0.0,8
djrf4w,0.0,0.22,0.0,0.19,0.0,0.07,0.08,0.0,0.0,0.43,9
djuwdm,0.0,0.15,0.37,0.04,0.24,0.0,0.0,0.0,0.19,0.0,2
djwps5,0.01,0.01,0.01,0.57,0.01,0.01,0.01,0.35,0.01,0.01,3
djyeq5,0.0,0.58,0.0,0.14,0.07,0.0,0.19,0.0,0.0,0.0,1
dk6ws3,0.0,0.43,0.17,0.13,0.0,0.0,0.17,0.0,0.1,0.0,1
dkss0w,0.0,0.41,0.0,0.25,0.0,0.0,0.0,0.08,0.24,0.0,1
dkv6ie,0.0,0.25,0.0,0.21,0.16,0.0,0.0,0.0,0.25,0.12,1
dl2mil,0.0,0.28,0.2,0.11,0.0,0.11,0.0,0.0,0.0,0.3,9
dl2wzm,0.0,0.11,0.0,0.17,0.0,0.0,0.0,0.7,0.0,0.0,7
dl4sho,0.01,0.09,0.58,0.01,0.01,0.01,0.29,0.01,0.01,0.01,2
dl7ys8,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.39,0.0,2
dl801r,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0.41,0.01,7
dl89mo,0.0,0.01,0.45,0.0,0.0,0.0,0.0,0.3,0.23,0.0,2
dl8pzh,0.0,0.0,0.0,0.15,0.18,0.13,0.16,0.04,0.2,0.14,8
dl9e4v,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9,0.01,0.01,7
dl9lf0,0.0,0.0,0.0,0.0,0.06,0.0,0.12,0.12,0.69,0.0,8
dlackl,0.04,0.0,0.0,0.15,0.0,0.0,0.0,0.78,0.0,0.0,7
dll2w8,0.06,0.18,0.0,0.42,0.0,0.0,0.33,0.0,0.0,0.0,3
dlp881,0.01,0.01,0.76,0.01,0.01,0.01,0.01,0.01,0.01,0.2,2
dlqtua,0.02,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.62,0.16,8
dlxexk,0.0,0.0,0.0,0.0,0.14,0.36,0.24,0.26,0.0,0.0,5
dm5f88,0.0,0.28,0.29,0.26,0.08,0.08,0.0,0.0,0.0,0.0,2
dm5ohh,0.0,0.48,0.12,0.0,0.0,0.05,0.35,0.0,0.0,0.0,1
dmcpo0,0.0,0.0,0.17,0.0,0.0,0.45,0.0,0.37,0.0,0.0,5
dmdpu3,0.0,0.0,0.81,0.0,0.0,0.17,0.0,0.0,0.0,0.0,2
dmglmv,0.0,0.0,0.25,0.0,0.0,0.24,0.0,0.0,0.19,0.29,9
dmgom6,0.01,0.01,0.2,0.69,0.01,0.01,0.01,0.08,0.01,0.01,3
dmgqqk,0.0,0.2,0.37,0.0,0.0,0.0,0.0,0.11,0.3,0.0,2
dmicv5,0.0,0.0,0.47,0.0,0.1,0.16,0.0,0.0,0.0,0.26,2
dmlgf1,0.0,0.0,0.34,0.24,0.0,0.03,0.0,0.0,0.17,0.22,2
dmny86,0.0,0.48,0.0,0.0,0.33,0.0,0.0,0.0,0.06,0.12,1
dmpaw5,0.0,0.13,0.55,0.0,0.31,0.0,0.0,0.0,0.0,0.0,2
dms1cd,0.0,0.0,0.0,0.21,0.0,0.21,0.19,0.18,0.03,0.17,3
dn12tx,0.0,0.17,0.0,0.12,0.04,0.0,0.25,0.0,0.13,0.3,9
dn25rr,0.0,0.31,0.0,0.0,0.14,0.33,0.14,0.0,0.08,0.0,5
dn2wfy,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.85,0.07,0.0,7
dn70ay,0.02,0.32,0.0,0.0,0.0,0.07,0.14,0.0,0.31,0.14,1
dnhxyw,0.0,0.33,0.0,0.17,0.0,0.15,0.17,0.0,0.0,0.17,1
dnjrag,0.0,0.5,0.0,0.08,0.0,0.19,0.0,0.23,0.0,0.0,1
dnk3rk,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
dnlbse,0.0,0.13,0.14,0.18,0.0,0.0,0.06,0.04,0.45,0.0,8
dnleyp,0.0,0.0,0.35,0.0,0.0,0.0,0.45,0.07,0.11,0.0,6
dnom4l,0.0,0.2,0.0,0.12,0.06,0.09,0.0,0.02,0.4,0.11,8
dnwcbb,0.04,0.66,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
do0psu,0.01,0.01,0.47,0.47,0.01,0.01,0.01,0.01,0.01,0.01,2
doad52,0.0,0.15,0.0,0.0,0.07,0.41,0.18,0.0,0.0,0.19,5
dof2cl,0.0,0.11,0.15,0.0,0.0,0.0,0.0,0.72,0.0,0.0,7
dog9wq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.64,9
dogh7i,0.01,0.01,0.49,0.17,0.01,0.01,0.01,0.3,0.01,0.01,2
dol4pa,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.51,0.09,8
dorl4d,0.0,0.2,0.0,0.3,0.06,0.0,0.08,0.05,0.31,0.0,8
doyw34,0.07,0.0,0.41,0.0,0.0,0.0,0.19,0.31,0.0,0.0,2
dp8hy1,0.0,0.21,0.24,0.0,0.0,0.0,0.0,0.53,0.0,0.0,7
dpdzr2,0.0,0.16,0.24,0.21,0.32,0.07,0.0,0.0,0.0,0.0,4
dpzsoz,0.0,0.0,0.18,0.0,0.05,0.0,0.15,0.0,0.18,0.42,9
dq7558,0.0,0.73,0.14,0.06,0.0,0.0,0.0,0.0,0.0,0.06,1
dq7t1i,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.24,0.01,0.54,9
dq8xm5,0.04,0.06,0.23,0.04,0.0,0.05,0.1,0.0,0.45,0.03,8
dqae89,0.0,0.0,0.11,0.15,0.0,0.16,0.0,0.0,0.0,0.57,9
dqc8zr,0.0,0.18,0.28,0.0,0.53,0.0,0.0,0.0,0.0,0.0,4
dqduxz,0.01,0.6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.36,1
dqi1eh,0.0,0.14,0.23,0.09,0.0,0.07,0.23,0.0,0.24,0.0,8
dqifqh,0.0,0.51,0.0,0.0,0.12,0.0,0.18,0.0,0.17,0.0,1
dqnfty,0.0,0.09,0.14,0.25,0.06,0.0,0.0,0.12,0.16,0.17,3
dqnmhk,0.0,0.09,0.14,0.25,0.06,0.0,0.0,0.12,0.16,0.17,3
dqpz7j,0.04,0.0,0.28,0.0,0.03,0.0,0.0,0.0,0.65,0.0,8
dqtj5h,0.0,0.65,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,1
dqtl8i,0.0,0.18,0.0,0.17,0.0,0.0,0.03,0.0,0.0,0.61,9
dqtnxp,0.02,0.0,0.0,0.0,0.22,0.2,0.06,0.0,0.49,0.0,8
dqvd34,0.0,0.35,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
dqzc8j,0.0,0.29,0.0,0.34,0.0,0.0,0.1,0.0,0.0,0.24,3
dr12qu,0.0,0.0,0.0,0.0,0.2,0.12,0.0,0.0,0.0,0.67,9
dr2a15,0.0,0.09,0.0,0.0,0.13,0.0,0.0,0.0,0.77,0.0,8
dr4drj,0.04,0.14,0.0,0.0,0.06,0.0,0.29,0.0,0.47,0.0,8
dra3vf,0.01,0.44,0.36,0.01,0.01,0.01,0.01,0.15,0.01,0.01,1
drfh1b,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.89,0.01,0.01,7
drtaxi,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.85,9
dryruw,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.94,9
ds1lgm,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.16,0.0,0.73,9
ds1nq7,0.0,0.06,0.35,0.0,0.0,0.0,0.03,0.47,0.0,0.09,7
ds5g45,0.0,0.09,0.57,0.0,0.0,0.04,0.0,0.04,0.26,0.0,2
ds75qf,0.0,0.32,0.15,0.26,0.0,0.0,0.27,0.0,0.0,0.0,1
ds7gbs,0.06,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.39,0.21,8
dsn5lr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.82,9
dsqb0a,0.0,0.14,0.0,0.0,0.0,0.0,0.68,0.16,0.0,0.0,6
dsqb3k,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.28,0.0,6
dss1kw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.18,0.52,9
dsx8ia,0.04,0.15,0.0,0.17,0.0,0.2,0.0,0.0,0.0,0.44,9
dsxdkw,0.01,0.01,0.36,0.01,0.01,0.01,0.01,0.6,0.01,0.01,7
dt2ftp,0.0,0.55,0.0,0.0,0.0,0.0,0.31,0.0,0.14,0.0,1
dt2ugi,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.07,0.51,9
dt3nvj,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.28,0.0,0.0,2
dt3u61,0.0,0.16,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.18,3
dt95wb,0.03,0.17,0.18,0.32,0.0,0.24,0.0,0.07,0.0,0.0,3
dt98x9,0.0,0.18,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.71,9
dt9f7m,0.01,0.01,0.01,0.36,0.01,0.58,0.01,0.01,0.01,0.01,5
dtajra,0.03,0.35,0.37,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2
dtazmp,0.0,0.0,0.42,0.0,0.0,0.02,0.0,0.14,0.32,0.1,2
dtfpuq,0.0,0.0,0.0,0.37,0.3,0.0,0.0,0.06,0.26,0.0,3
dtkj51,0.05,0.52,0.0,0.13,0.13,0.05,0.0,0.0,0.0,0.12,1
dtp2b5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,7
dttele,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.36,4
dub1u8,0.0,0.69,0.0,0.09,0.05,0.0,0.0,0.0,0.0,0.15,1
duo7n3,0.0,0.0,0.07,0.46,0.23,0.0,0.0,0.23,0.0,0.0,3
duoceg,0.13,0.0,0.24,0.0,0.0,0.0,0.0,0.22,0.41,0.0,8
duqf1x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.17,0.7,9
duvbe3,0.0,0.0,0.13,0.0,0.0,0.18,0.22,0.18,0.0,0.28,9
dv15bf,0.0,0.66,0.2,0.0,0.13,0.0,0.0,0.0,0.0,0.0,1
dvbpta,0.0,0.13,0.56,0.0,0.09,0.0,0.21,0.0,0.0,0.0,2
dvdrys,0.12,0.0,0.0,0.0,0.0,0.21,0.35,0.0,0.3,0.0,6
dvecc5,0.0,0.0,0.08,0.51,0.11,0.0,0.13,0.0,0.17,0.0,3
dvek0f,0.0,0.0,0.08,0.0,0.69,0.0,0.0,0.21,0.0,0.0,4
dvkzgg,0.0,0.57,0.33,0.0,0.0,0.0,0.0,0.0,0.08,0.0,1
dvn2go,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,9
dvpl5z,0.0,0.13,0.1,0.22,0.48,0.0,0.0,0.0,0.07,0.0,4
dvqbgb,0.0,0.0,0.0,0.21,0.77,0.0,0.0,0.0,0.0,0.0,4
dvymrp,0.0,0.03,0.0,0.11,0.52,0.0,0.16,0.18,0.0,0.0,4
dvzwvz,0.0,0.0,0.14,0.0,0.22,0.1,0.47,0.0,0.0,0.06,6
dw0wxv,0.0,0.0,0.15,0.14,0.0,0.07,0.2,0.22,0.22,0.0,7
dw2gax,0.0,0.36,0.0,0.0,0.0,0.0,0.2,0.42,0.0,0.0,7
dw2hbv,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.77,0.0,0.0,7
dw3ts4,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.18,1
dw7y9i,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,7
dwavdz,0.0,0.59,0.32,0.0,0.0,0.05,0.0,0.0,0.0,0.03,1
dwbie9,0.02,0.34,0.23,0.0,0.0,0.04,0.0,0.08,0.14,0.14,1
dwdfbk,0.31,0.01,0.54,0.01,0.01,0.1,0.01,0.01,0.01,0.01,2
dwe1fk,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.85,0.01,0.01,7
dww03z,0.0,0.23,0.18,0.0,0.0,0.15,0.0,0.0,0.43,0.0,8
dwwi6n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.58,9
dx7i85,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.17,0.41,4
dx9c38,0.0,0.11,0.47,0.0,0.0,0.0,0.26,0.08,0.06,0.0,2
dxdm5d,0.0,0.0,0.28,0.0,0.22,0.28,0.13,0.0,0.0,0.09,2
