,t0 amp,t1 period,t2 nt,t3 period,t4 ultrasound,t5 surgery,t6 control,t7 help,t8 doctor,t9 surgery,dominant_topic
3xdr7c,0.0,0.48,0.02,0.25,0.21,0.04,0.0,0.0,0.0,0.0,1
3y0yjd,0.01,0.0,0.06,0.03,0.2,0.19,0.0,0.0,0.33,0.17,8
3y1qnx,0.04,0.0,0.09,0.0,0.0,0.14,0.35,0.0,0.0,0.36,9
3ygx4g,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.48,0.33,0.0,7
3ylg8r,0.0,0.0,0.26,0.0,0.21,0.0,0.11,0.0,0.36,0.05,8
3z0dq7,0.0,0.26,0.43,0.0,0.0,0.0,0.11,0.08,0.12,0.0,2
3zi272,0.0,0.32,0.0,0.42,0.0,0.1,0.0,0.16,0.0,0.0,3
3zru8r,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.18,0.62,0.02,8
3zvehl,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.64,9
3zxw84,0.0,0.18,0.15,0.0,0.0,0.0,0.14,0.0,0.52,0.0,8
401dq9,0.02,0.47,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,6
40eqiv,0.0,0.0,0.16,0.0,0.53,0.0,0.0,0.0,0.28,0.0,4
4101kc,0.0,0.0,0.42,0.14,0.0,0.09,0.0,0.0,0.31,0.03,2
412uua,0.16,0.0,0.0,0.0,0.0,0.14,0.0,0.44,0.25,0.0,7
415yaq,0.03,0.19,0.1,0.0,0.0,0.0,0.2,0.0,0.23,0.25,9
41g5pi,0.01,0.01,0.33,0.01,0.01,0.01,0.01,0.61,0.01,0.01,7
41q9np,0.0,0.0,0.48,0.0,0.0,0.22,0.0,0.0,0.28,0.0,2
41w9xk,0.0,0.0,0.3,0.0,0.3,0.1,0.11,0.05,0.14,0.0,2
41yyq5,0.0,0.0,0.13,0.0,0.0,0.58,0.0,0.0,0.0,0.26,5
420ob8,0.07,0.0,0.0,0.0,0.0,0.48,0.0,0.09,0.0,0.35,5
42miop,0.0,0.16,0.21,0.13,0.26,0.0,0.09,0.15,0.0,0.0,4
42uqtw,0.0,0.31,0.17,0.0,0.0,0.0,0.05,0.0,0.46,0.0,8
45oe0x,0.0,0.13,0.01,0.13,0.31,0.09,0.15,0.01,0.0,0.17,4
46dogt,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.65,0.2,8
46ks4t,0.06,0.22,0.0,0.0,0.49,0.03,0.0,0.0,0.13,0.06,4
46lyie,0.03,0.0,0.55,0.03,0.14,0.0,0.0,0.13,0.05,0.05,2
46tbv8,0.0,0.36,0.35,0.09,0.05,0.03,0.0,0.0,0.11,0.0,1
46vsfq,0.0,0.41,0.36,0.06,0.16,0.0,0.0,0.0,0.0,0.0,1
49jleq,0.06,0.0,0.0,0.0,0.0,0.07,0.0,0.61,0.26,0.0,7
49kc1k,0.0,0.62,0.1,0.09,0.19,0.0,0.0,0.0,0.0,0.0,1
49pmhh,0.37,0.0,0.0,0.09,0.0,0.16,0.0,0.0,0.0,0.37,0
4ajgda,0.26,0.0,0.0,0.1,0.0,0.34,0.0,0.0,0.0,0.28,5
4b7k4u,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,1
4bj8ty,0.09,0.0,0.0,0.0,0.0,0.18,0.7,0.0,0.0,0.0,6
