,t0 amp,t1 feel,t2 know,t3 feel,t4 ultrasound,t5 work,t6 nt,t7 doctor,t8 year,t9 surgery,t10 weight,t11 hysterectomy,t12 help,t13 gynaecologist,t14 period,t15 control,t16 lap,t17 endometriosis,t18 period,t19 share,dominant_topic
2n5alb,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.55,0.0,0.0,0.0,0.0,0.01,0.0,0.15,0.07,0.03,0.0,0.08,8
2tv4of,0.0,0.07,0.2,0.0,0.04,0.0,0.24,0.04,0.31,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,8
2u95w1,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.35,0.0,0.21,0.0,0.02,0.15,0.0,0.0,0.0,0.0,0.0,9
2xnjq3,0.0,0.06,0.27,0.0,0.0,0.01,0.07,0.15,0.15,0.0,0.0,0.11,0.0,0.0,0.0,0.01,0.0,0.16,0.0,0.02,2
33p0nx,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.29,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.12,0.0,0.0,7
39ti3h,0.0,0.0,0.23,0.0,0.0,0.0,0.05,0.16,0.24,0.15,0.0,0.06,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,8
3c7tfz,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.73,0.01,18
3e7b19,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,17
3egm36,0.0,0.0,0.29,0.0,0.0,0.0,0.02,0.0,0.45,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,8
3eh13z,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3eloa4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.18,0.0,0.0,15
3er5rh,0.0,0.0,0.36,0.07,0.11,0.0,0.08,0.0,0.0,0.14,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3exuup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.06,0.0,0.0,0.0,0.44,0.22,0.0,0.0,0.0,15
3ez2kk,0.0,0.0,0.0,0.08,0.24,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.11,0.17,0.0,8
3ffn4e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.12,0.5,0.0,0.0,0.0,0.0,15
3gmak6,0.0,0.27,0.0,0.1,0.0,0.0,0.31,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,6
3gpnb1,0.0,0.06,0.0,0.0,0.16,0.0,0.08,0.0,0.25,0.07,0.0,0.0,0.02,0.0,0.13,0.0,0.09,0.09,0.0,0.05,8
3gpsea,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.12,0.0,0.37,0.0,0.0,0.0,16
3ha0zg,0.02,0.0,0.0,0.11,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,6
3hdogh,0.0,0.0,0.07,0.0,0.06,0.0,0.0,0.0,0.39,0.08,0.06,0.0,0.01,0.0,0.0,0.22,0.0,0.0,0.09,0.02,8
3hit8q,0.0,0.26,0.0,0.19,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.05,0.07,0.0,0.0,1
3hnh1l,0.0,0.3,0.35,0.0,0.0,0.0,0.06,0.0,0.07,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,2
3i66hq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.35,0.21,0.0,0.12,0.15,0.0,14
3il1vd,0.0,0.37,0.18,0.0,0.0,0.02,0.0,0.16,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,1
3ilwvj,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.22,0.0,0.0,0.38,0.0,0.0,0.0,0.19,0.0,0.1,0.0,0.0,11
3k1oeu,0.0,0.0,0.14,0.03,0.0,0.0,0.0,0.1,0.18,0.0,0.12,0.19,0.0,0.0,0.0,0.03,0.0,0.13,0.06,0.01,11
3kbjk4,0.0,0.14,0.0,0.0,0.17,0.0,0.02,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.4,0.0,18
3kxkv3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.04,0.03,0.03,0.0,0.0,0.13,0.63,0.0,0.09,0.0,0.0,15
3lhw12,0.0,0.0,0.54,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3m2vl9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.29,0.64,0.0,0.0,0.0,16
3nua7g,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.2,0.0,0.0,0.0,15
3of2e3,0.0,0.0,0.0,0.03,0.1,0.02,0.1,0.09,0.37,0.0,0.0,0.2,0.0,0.0,0.03,0.05,0.0,0.0,0.0,0.0,8
3olt74,0.0,0.0,0.0,0.0,0.08,0.0,0.07,0.14,0.0,0.06,0.07,0.0,0.0,0.0,0.0,0.48,0.05,0.0,0.0,0.03,15
3orxx9,0.0,0.0,0.0,0.16,0.06,0.0,0.28,0.0,0.0,0.27,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.17,0.0,0.0,6
3p9mng,0.0,0.0,0.08,0.0,0.0,0.0,0.16,0.0,0.14,0.0,0.14,0.03,0.0,0.01,0.0,0.35,0.0,0.09,0.0,0.0,15
3q4k2s,0.0,0.1,0.52,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.2,0.0,0.0,2
3qji6t,0.0,0.11,0.29,0.03,0.0,0.0,0.11,0.09,0.19,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.04,2
3r9kuv,0.0,0.0,0.42,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,2
3r9zg3,0.0,0.02,0.26,0.0,0.0,0.02,0.07,0.11,0.39,0.0,0.01,0.02,0.0,0.0,0.0,0.01,0.0,0.05,0.0,0.02,8
3rcg8w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.38,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,8
3rd456,0.0,0.04,0.54,0.0,0.0,0.01,0.23,0.0,0.0,0.02,0.07,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,2
3rf2xu,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.16,0.1,0.31,0.0,0.0,17
3rjew5,0.0,0.0,0.26,0.0,0.11,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,16
3rjslp,0.01,0.0,0.65,0.0,0.0,0.01,0.0,0.0,0.25,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2
3rtdou,0.0,0.0,0.12,0.0,0.0,0.01,0.07,0.16,0.24,0.06,0.0,0.0,0.0,0.0,0.14,0.0,0.2,0.0,0.0,0.0,8
3siss2,0.0,0.13,0.0,0.0,0.0,0.04,0.4,0.0,0.21,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
3sk7z0,0.01,0.0,0.53,0.1,0.0,0.0,0.1,0.0,0.0,0.06,0.17,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,2
3sxcz6,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.14,0.07,0.0,0.0,0.0,0.0,2
3th7m0,0.0,0.0,0.0,0.09,0.0,0.0,0.04,0.26,0.16,0.0,0.0,0.16,0.0,0.07,0.0,0.0,0.16,0.05,0.0,0.0,7
3tm3m6,0.0,0.21,0.0,0.07,0.0,0.01,0.0,0.03,0.09,0.23,0.27,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.03,10
3tv6m3,0.0,0.53,0.0,0.07,0.0,0.0,0.14,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,1
3tzf7p,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.17,0.0,0.39,0.0,0.06,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,9
3u184r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.2,16
3u2vjb,0.0,0.0,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.3,0.32,0.0,0.0,0.0,16
3u4id1,0.01,0.09,0.64,0.04,0.0,0.0,0.0,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.11,2
3u7r1c,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.34,0.0,0.07,0.0,0.0,0.0,0.0,0.26,0.15,0.0,0.0,0.0,8
3uax5b,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.08,0.0,0.15,0.31,0.02,18
3ufh1e,0.0,0.0,0.65,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,2
3uztfv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.09,0.0,0.0,0.0,0.14,0.0,0.0,0.6,19
3vb0ev,0.0,0.05,0.24,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,19
3vejba,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.26,0.0,0.0,9
3vutxb,0.0,0.02,0.32,0.07,0.01,0.0,0.0,0.1,0.06,0.0,0.09,0.04,0.04,0.0,0.08,0.0,0.0,0.13,0.0,0.05,2
3w1v23,0.0,0.3,0.0,0.04,0.0,0.03,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.13,0.0,0.0,0.14,0.23,0.0,1
3x9tu9,0.0,0.0,0.0,0.37,0.0,0.0,0.03,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,3
3xdr7c,0.0,0.05,0.01,0.09,0.04,0.0,0.1,0.0,0.0,0.24,0.01,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.36,0.0,18
3y0yjd,0.01,0.0,0.1,0.04,0.07,0.01,0.0,0.3,0.11,0.27,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,7
3y1qnx,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.22,0.37,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.07,9
3ygx4g,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.32,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,11
3ylg8r,0.0,0.0,0.33,0.0,0.0,0.0,0.04,0.19,0.0,0.14,0.0,0.07,0.0,0.0,0.0,0.05,0.0,0.06,0.11,0.0,2
3z0dq7,0.0,0.0,0.24,0.06,0.0,0.0,0.2,0.0,0.18,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.19,0.12,2
3zi272,0.0,0.0,0.0,0.0,0.16,0.01,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.01,0.0,0.36,0.0,0.0,14
3zru8r,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.04,0.02,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.09,2
3zvehl,0.0,0.14,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,9
3zxw84,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.6,0.0,0.0,0.07,0.1,0.0,0.0,0.17,0.0,0.0,0.0,0.0,8
401dq9,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.05,0.0,0.0,0.81,0.0,18
40eqiv,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,17
4101kc,0.0,0.0,0.33,0.16,0.0,0.0,0.0,0.07,0.24,0.04,0.0,0.01,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.0,2
412uua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.18,0.0,0.0,0.21,0.0,0.0,0.27,0.0,0.0,0.0,0.16,15
415yaq,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.27,0.16,0.21,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.09,0.0,8
41g5pi,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.44,0.0,0.0,0.0,16
41q9np,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,2
41w9xk,0.0,0.0,0.16,0.0,0.22,0.01,0.18,0.0,0.0,0.13,0.09,0.07,0.0,0.0,0.0,0.07,0.0,0.01,0.0,0.07,4
41yyq5,0.0,0.0,0.0,0.06,0.0,0.0,0.1,0.0,0.0,0.69,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.04,9
420ob8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.26,0.0,0.2,0.0,0.0,0.0,0.18,0.0,0.15,0.0,0.0,9
42miop,0.0,0.11,0.02,0.05,0.28,0.0,0.18,0.04,0.0,0.0,0.18,0.0,0.0,0.02,0.09,0.04,0.0,0.0,0.0,0.0,4
42uqtw,0.0,0.16,0.0,0.04,0.0,0.0,0.09,0.08,0.27,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.23,0.0,8
45oe0x,0.0,0.0,0.0,0.0,0.2,0.0,0.16,0.0,0.07,0.24,0.0,0.05,0.0,0.0,0.09,0.0,0.0,0.09,0.12,0.0,9
46dogt,0.0,0.0,0.0,0.0,0.06,0.02,0.04,0.11,0.58,0.05,0.12,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
46ks4t,0.01,0.0,0.0,0.0,0.46,0.01,0.03,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.17,0.04,0.05,0.0,0.0,0.0,4
46lyie,0.0,0.0,0.36,0.04,0.0,0.0,0.26,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.16,0.0,0.0,0.0,2
46tbv8,0.0,0.1,0.19,0.04,0.0,0.0,0.29,0.0,0.0,0.0,0.05,0.02,0.0,0.0,0.05,0.0,0.0,0.0,0.26,0.0,6
46vsfq,0.0,0.25,0.0,0.09,0.0,0.0,0.26,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.32,0.0,18
49jleq,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.05,0.31,17
49kc1k,0.0,0.0,0.0,0.04,0.0,0.0,0.29,0.0,0.17,0.07,0.02,0.0,0.03,0.0,0.38,0.0,0.0,0.0,0.0,0.0,14
49pmhh,0.0,0.0,0.0,0.06,0.0,0.01,0.06,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.43,0.0,0.15,0.0,0.0,15
4ajgda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.52,0.09,0.0,0.0,0.0,15
4b7k4u,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.0,0.46,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,9
4bj8ty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.59,0.0,0.0,0.27,0.0,15
4c38vd,0.0,0.22,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.35,0.0,0.0,0.0,0.0,15
4ced9v,0.0,0.11,0.07,0.0,0.08,0.0,0.18,0.07,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.0,0.08,0.0,9
4ctv7z,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.16,0.0,0.18,0.03,0.0,0.01,0.0,0.0,0.05,0.0,0.47,0.0,18
4cypke,0.0,0.15,0.15,0.07,0.0,0.0,0.0,0.0,0.24,0.07,0.0,0.0,0.0,0.0,0.03,0.25,0.0,0.0,0.0,0.03,15
4dy658,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.33,0.26,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.16,8
4e0a9p,0.0,0.0,0.0,0.0,0.06,0.0,0.08,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,7
4e9dvx,0.0,0.0,0.06,0.0,0.0,0.0,0.04,0.0,0.29,0.0,0.0,0.0,0.0,0.03,0.02,0.03,0.0,0.09,0.44,0.0,18
4ebzv9,0.0,0.0,0.56,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,2
4ed9hf,0.0,0.0,0.0,0.15,0.24,0.0,0.06,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.09,0.04,0.29,0.0,18
4enwzr,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.16,0.0,0.0,0.2,0.0,0.04,0.0,0.0,0.21,0.33,0.0,0.0,17
4f434h,0.0,0.03,0.33,0.31,0.0,0.0,0.12,0.0,0.0,0.04,0.0,0.0,0.0,0.01,0.03,0.08,0.01,0.0,0.0,0.05,2
4fv6n5,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.09,0.0,0.0,0.0,0.05,0.0,0.0,0.19,0.0,0.0,0.14,0.3,0.0,18
4glsui,0.04,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,8
4h2itk,0.0,0.0,0.22,0.0,0.0,0.05,0.06,0.08,0.19,0.19,0.07,0.0,0.0,0.0,0.0,0.0,0.12,0.02,0.0,0.0,2
4h8yqw,0.01,0.0,0.15,0.0,0.02,0.0,0.02,0.0,0.0,0.12,0.02,0.0,0.0,0.02,0.0,0.04,0.0,0.0,0.12,0.47,19
4hhww7,0.0,0.0,0.18,0.44,0.0,0.0,0.16,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,3
4hr2yd,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
4idvyx,0.0,0.1,0.0,0.0,0.0,0.0,0.19,0.0,0.06,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.19,9
4ihvj4,0.0,0.13,0.0,0.0,0.42,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.2,0.0,0.0,0.0,4
4kgby6,0.07,0.0,0.15,0.0,0.15,0.0,0.24,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.18,0.0,0.09,0.0,0.03,0.0,6
4l2epp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.64,0.0,0.0,17
4l9p6d,0.0,0.0,0.08,0.04,0.18,0.0,0.19,0.14,0.18,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6
4mavep,0.0,0.0,0.61,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
4mfexy,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.09,0.0,0.12,1
4mfgv8,0.0,0.12,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,9
4n5ai7,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.11,0.0,0.0,0.07,0.14,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,15
4nqph1,0.0,0.0,0.06,0.08,0.1,0.01,0.15,0.07,0.29,0.05,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.17,0.0,8
4o3vh1,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.21,0.36,0.0,0.0,0.0,0.0,15
4ogywq,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.25,0.0,9
4oy777,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.16,0.0,0.1,0.0,0.0,0.0,0.0,0.47,0.06,0.0,0.0,0.13,0.0,14
4p6q28,0.0,0.14,0.0,0.0,0.12,0.0,0.15,0.08,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.19,0.02,0.0,0.0,0.0,9
4prwt3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.69,0.01,0.01,17
4prxwa,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.66,0.01,0.22,17
4pu15f,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.09,0.0,0.13,0.0,0.01,0.09,0.07,0.22,0.1,0.12,0.0,16
4q8hs6,0.0,0.24,0.0,0.0,0.0,0.0,0.09,0.17,0.0,0.0,0.0,0.05,0.0,0.0,0.14,0.29,0.0,0.0,0.0,0.0,15
4sp71k,0.0,0.0,0.07,0.0,0.24,0.0,0.19,0.0,0.0,0.08,0.0,0.05,0.0,0.0,0.0,0.13,0.0,0.13,0.11,0.0,4
4sqyt9,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.07,0.58,0.0,18
4st9gt,0.0,0.6,0.0,0.0,0.0,0.15,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4swn6p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.12,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,9
4t28gp,0.01,0.07,0.12,0.08,0.02,0.0,0.02,0.0,0.12,0.21,0.0,0.08,0.0,0.01,0.0,0.11,0.0,0.0,0.14,0.0,9
4t9kuf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.07,0.0,0.0,0.0,0.3,0.0,0.0,0.28,9
4tq7ze,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.04,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.07,0.0,0.17,0.15,1
4tuhva,0.0,0.0,0.29,0.01,0.25,0.0,0.04,0.0,0.08,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.13,0.0,0.08,0.06,2
4tvg8f,0.0,0.0,0.08,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.0,0.19,0.25,0.09,18
4ty3i4,0.0,0.0,0.51,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,2
4u7y1e,0.0,0.0,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.04,0.0,0.32,0.0,0.0,14
4ucv8n,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
4ue1h2,0.0,0.0,0.0,0.03,0.25,0.01,0.08,0.04,0.19,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,4
4ur8j7,0.0,0.0,0.25,0.27,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.13,0.11,0.0,0.2,0.0,3
4w8ud4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,17
4wczvd,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.08,0.35,0.11,0.12,0.02,0.0,0.0,0.04,0.0,0.0,0.0,0.13,0.03,8
4xp06e,0.0,0.0,0.06,0.0,0.02,0.0,0.14,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.15,0.0,0.0,0.0,15
4xqlfk,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.22,0.0,0.0,0.19,0.0,0.0,0.0,0.23,0.0,0.0,0.14,0.0,0.0,14
4xqtjt,0.0,0.13,0.0,0.02,0.04,0.0,0.14,0.06,0.21,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.39,0.0,18
4xtt3p,0.0,0.21,0.0,0.0,0.0,0.0,0.15,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.12,8
4xyqv1,0.01,0.01,0.45,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.24,0.01,0.01,0.01,0.01,0.2,0.01,0.01,2
4yald0,0.01,0.0,0.04,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,18
4zjy9z,0.0,0.0,0.0,0.1,0.0,0.0,0.05,0.0,0.25,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.05,0.0,0.52,0.0,18
5061ws,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.18,0.02,0.02,0.0,0.26,0.0,8
