,t0 amp,t1 feel,t2 know,t3 feel,t4 ultrasound,t5 work,t6 nt,t7 doctor,t8 year,t9 surgery,t10 weight,t11 hysterectomy,t12 help,t13 gynaecologist,t14 period,t15 control,t16 lap,t17 endometriosis,t18 period,t19 share,dominant_topic
i5s2wv,0.0,0.0,0.13,0.0,0.0,0.0,0.07,0.09,0.11,0.17,0.0,0.05,0.06,0.01,0.0,0.13,0.09,0.0,0.08,0.0,9
i5tdw6,0.0,0.59,0.0,0.3,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
i63sf4,0.0,0.0,0.28,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.0,0.0,0.0,0.33,0.07,0.0,0.0,0.0,15
i64qww,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.88,19
i66ual,0.0,0.16,0.47,0.0,0.0,0.0,0.0,0.03,0.13,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,2
i69vbi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.09,10
i6a0qe,0.0,0.0,0.23,0.13,0.0,0.0,0.0,0.1,0.15,0.2,0.0,0.0,0.0,0.02,0.0,0.0,0.16,0.0,0.0,0.0,2
i6dshq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.38,0.0,0.0,0.0,14
i6jz0u,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.15,0.37,0.14,0.0,0.19,0.0,15
i6lvtm,0.0,0.0,0.0,0.33,0.0,0.0,0.3,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.06,3
