,t0 really,t1 symptom,t2 hour,t3 cyst,t4 life,t5 weight,t6 flare,t7 help,t8 back,t9 surgery,t10 endometriosis,t11 cramp,t12 lap,t13 bleeding,t14 pill,t15 didn,t16 want,t17 appointment,t18 ultrasound,t19 control,dominant_topic
caja77,0.0,0.03,0.0,0.2,0.23,0.0,0.03,0.0,0.19,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.04,0.09,0.0,4
capbp2,0.36,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
capx8s,0.0,0.06,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.0,17
cas44e,0.05,0.0,0.0,0.0,0.3,0.0,0.06,0.0,0.0,0.0,0.0,0.3,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.17,4
catpyy,0.0,0.0,0.0,0.04,0.11,0.02,0.0,0.0,0.14,0.0,0.08,0.33,0.0,0.0,0.0,0.01,0.0,0.25,0.0,0.0,11
cav0uc,0.03,0.0,0.0,0.0,0.0,0.02,0.0,0.06,0.07,0.03,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.14,11
cazfr7,0.0,0.0,0.0,0.06,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.21,0.0,0.49,0.0,0.07,0.0,0.0,0.0,0.05,13
cb0nw7,0.2,0.0,0.0,0.0,0.45,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,4
cb308x,0.19,0.0,0.1,0.0,0.0,0.0,0.03,0.1,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.15,0.35,0.0,0.0,17
cb3jha,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.29,0.0,0.0,0.0,0.0,0.21,0.0,0.0,10
cb5u3t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.29,0.0,0.0,0.06,0.0,0.0,0.18,0.25,12
cb8bth,0.16,0.0,0.0,0.09,0.0,0.07,0.0,0.0,0.0,0.22,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
cb9a62,0.0,0.0,0.0,0.21,0.0,0.09,0.0,0.08,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,9
cb9mc7,0.0,0.02,0.0,0.21,0.24,0.0,0.0,0.0,0.0,0.3,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,9
cbb1cr,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.17,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.38,19
cbc9zo,0.32,0.1,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.11,0.15,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.14,0
cbf3r2,0.0,0.0,0.0,0.01,0.09,0.0,0.0,0.03,0.0,0.02,0.0,0.06,0.0,0.0,0.08,0.07,0.02,0.42,0.2,0.0,17
cbf9w9,0.0,0.06,0.09,0.0,0.21,0.02,0.03,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,0.07,0.07,0.13,0.07,0.08,4
cbhfvk,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.0,0.0,0.0,0.17,0.0,0.0,0.54,0.0,0.0,17
cbhr6z,0.4,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.37,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
cbi07k,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.51,0.28,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,8
cbiaek,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
cbix9j,0.11,0.0,0.0,0.0,0.43,0.0,0.12,0.0,0.03,0.0,0.04,0.1,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.12,4
cbje6w,0.0,0.09,0.0,0.2,0.25,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.08,0.0,0.0,0.01,0.0,0.0,0.0,0.0,8
cbkrhs,0.16,0.0,0.06,0.03,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.19,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
cbm1oh,0.12,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.16,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,8
cbo7iy,0.0,0.11,0.0,0.19,0.22,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.27,0.0,0.0,17
cbqpk7,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.09,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.32,0.44,0.0,0.0,17
cbqubt,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.05,0.0,17
cbqxw8,0.0,0.03,0.0,0.06,0.0,0.04,0.0,0.0,0.08,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.13,0.28,0.15,18
cbrhnj,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.28,0.18,0.01,0.01,0.19,0.27,0.01,0.01,0.01,0.01,0.01,9
cbu4dz,0.0,0.0,0.0,0.13,0.0,0.0,0.08,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.21,0.0,7
cbyj4t,0.11,0.0,0.08,0.0,0.0,0.0,0.05,0.0,0.28,0.0,0.05,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
cbyxdu,0.0,0.16,0.14,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.2,0.3,0.0,0.0,17
cbzpz7,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cc2wp3,0.0,0.0,0.0,0.0,0.18,0.0,0.17,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.12,14
cc32jg,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.06,0.25,0.09,0.0,0.11,0.0,0.12,0.0,0.0,0.0,0.13,0.0,9
cc5c8g,0.15,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.14,0.33,0.0,0.0,17
cc5e08,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.73,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
cc5f1y,0.47,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0
cc9bb9,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.41,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,11
cc9k99,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.09,13
cce905,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.22,0.0,0.0,0.0,0.26,0.0,0.0,0.0,16
ccihpf,0.0,0.21,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.29,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.39,0.0,18
ccjanu,0.18,0.0,0.15,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.08,0.0,17
cckcfl,0.53,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.03,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0
ccp6qb,0.0,0.05,0.0,0.0,0.17,0.0,0.0,0.05,0.0,0.0,0.14,0.0,0.16,0.0,0.0,0.0,0.06,0.35,0.0,0.0,17
ccsg4x,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.07,0.0,0.23,0.0,0.25,0.0,0.0,0.0,0.03,0.12,0.0,0.0,0.15,11
ccv2d2,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.33,0.06,0.0,0.0,0.0,0.14,0.0,0.0,0.0,11
ccwfyy,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.34,0.0,0.0,0.0,4
cczfu8,0.15,0.0,0.0,0.0,0.39,0.02,0.0,0.0,0.0,0.04,0.28,0.0,0.0,0.0,0.0,0.03,0.09,0.0,0.0,0.0,4
cdc9sd,0.03,0.02,0.04,0.0,0.14,0.0,0.02,0.0,0.0,0.0,0.0,0.51,0.11,0.0,0.09,0.0,0.0,0.0,0.0,0.03,11
cddmcd,0.0,0.0,0.06,0.0,0.0,0.05,0.13,0.17,0.1,0.0,0.06,0.07,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.16,13
cdeph6,0.06,0.0,0.0,0.0,0.15,0.02,0.0,0.0,0.02,0.0,0.0,0.07,0.09,0.02,0.0,0.0,0.1,0.16,0.21,0.1,18
cdibjk,0.45,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.33,0.0,0.0,0.0,0
cdig0g,0.0,0.02,0.03,0.0,0.06,0.0,0.0,0.0,0.03,0.0,0.0,0.3,0.0,0.06,0.14,0.03,0.08,0.0,0.26,0.0,11
cdkq3e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.08,0.06,0.0,0.0,0.0,0.15,11
cdosyd,0.25,0.0,0.0,0.09,0.0,0.0,0.0,0.11,0.0,0.0,0.1,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.05,0.09,14
cdr25u,0.12,0.0,0.0,0.0,0.09,0.0,0.0,0.14,0.06,0.0,0.07,0.21,0.0,0.06,0.02,0.01,0.0,0.2,0.0,0.0,11
cdsfi3,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.28,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.3,0.0,18
cduhjx,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.29,0.23,0.0,0.0,0.0,0.0,0.29,0.0,0.04,0.0,0.0,0.0,0.0,7
cdw6id,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.03,0.0,0.33,0.0,0.0,10
cdxeh7,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.08,0.0,7
cdzt0i,0.0,0.03,0.0,0.0,0.0,0.0,0.05,0.0,0.02,0.0,0.04,0.2,0.0,0.0,0.02,0.01,0.08,0.55,0.0,0.0,17
ce00r0,0.47,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.43,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
ce06e4,0.0,0.0,0.0,0.08,0.18,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.15,0.11,0.0,0.11,0.0,0.2,0.13,18
ce1q6o,0.0,0.07,0.05,0.0,0.0,0.0,0.07,0.0,0.09,0.03,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.41,0.0,0.07,17
ce1w2d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.07,0.11,0.0,0.0,0.0,0.34,0.0,0.0,0.2,0.0,0.0,14
ce4g1e,0.0,0.0,0.07,0.0,0.0,0.0,0.07,0.3,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.07,0.0,0.38,0.0,0.0,17
cefkfu,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.08,0.12,0.0,0.0,0.0,0.12,0.17,0.0,0.0,0.0,0.0,0.37,0.0,18
cehp96,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.71,0.01,0.01,0.19,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7
ceifiz,0.0,0.0,0.0,0.07,0.0,0.0,0.06,0.0,0.04,0.0,0.0,0.14,0.0,0.07,0.0,0.0,0.16,0.21,0.24,0.0,18
cejti1,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.09,0.23,0.0,0.0,0.0,0.0,0.31,0.0,0.0,17
cemw9s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.23,0.0,0.0,0.0,0.0,0.1,0.0,0.0,10
cenf0n,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.07,0.0,0.0,0.03,0.05,0.09,0.0,0.15,8
cesirn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.21,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,10
ceu1fe,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.16,0.04,4
cev4sq,0.0,0.07,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.35,0.22,0.0,0.0,16
cex9gy,0.0,0.16,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,3
cf897p,0.38,0.17,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cf97je,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.11,0.0,0.0,0.0,0.26,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
cfcnqn,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,12
cfdc1z,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.69,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,9
cfdh7d,0.0,0.0,0.22,0.0,0.47,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.14,0.0,0.0,0.0,4
cfdmuf,0.22,0.0,0.0,0.0,0.17,0.03,0.12,0.1,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0
cfm0uy,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.46,0.0,0.0,0.0,16
cfr9z5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.11,0.06,0.0,0.0,0.47,0.0,0.0,17
cfrmda,0.0,0.0,0.0,0.0,0.39,0.0,0.07,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
cft3dl,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.19,0.21,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
cftxxu,0.15,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.39,0.01,0.0,0.12,0.0,0.0,14
cfxm21,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0
cg13ck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,16
cg395m,0.4,0.0,0.12,0.0,0.0,0.04,0.05,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.05,0
cg39cg,0.0,0.06,0.0,0.0,0.0,0.0,0.04,0.12,0.05,0.0,0.01,0.0,0.0,0.0,0.09,0.0,0.07,0.54,0.0,0.02,17
cg5jq3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.11,0.04,0.07,0.09,0.0,0.26,0.03,0.25,0.0,0.0,0.06,14
cg5laq,0.0,0.0,0.18,0.0,0.02,0.02,0.0,0.0,0.1,0.0,0.04,0.56,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,11
cg7tw7,0.0,0.0,0.0,0.13,0.26,0.0,0.0,0.0,0.03,0.24,0.1,0.0,0.21,0.0,0.0,0.02,0.0,0.0,0.0,0.0,4
cgaclk,0.04,0.04,0.0,0.0,0.11,0.0,0.09,0.14,0.04,0.0,0.0,0.07,0.06,0.03,0.0,0.0,0.16,0.21,0.0,0.0,17
cgasei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.55,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,11
cgduph,0.45,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cgh15e,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
cghwn2,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.09,0.43,0.03,0.0,0.0,0.02,0.01,0.0,0.32,0.0,0.01,10
cgi8w8,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.22,0.0,0.06,0.12,0.0,0.0,0.0,0.0,0.22,11
cgkz23,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.32,0.11,0.0,0.0,0.0,0.12,0.18,0.0,0.06,11
cgl16c,0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0.01,0.01,0.01,0.01,0.01,0.01,13
cglciq,0.25,0.03,0.13,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.05,0.0,0.17,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0
cgnmbs,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.05,0.0,0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.06,0.0,12
cgoo11,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.3,0.09,0.0,0.0,0.4,0.13,0.0,0.0,0.0,0.0,0.0,0.0,12
cgpoe3,0.13,0.04,0.0,0.0,0.26,0.0,0.0,0.0,0.13,0.0,0.0,0.16,0.0,0.02,0.05,0.0,0.0,0.0,0.17,0.04,4
cgsk9m,0.06,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.05,0.0,0.0,0.34,0.05,0.0,0.02,0.0,0.2,0.0,0.09,0.0,11
cguk9e,0.14,0.03,0.0,0.0,0.26,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.13,0.0,0.18,0.0,0.0,0.09,0.0,0.0,4
cgv8lu,0.01,0.01,0.01,0.01,0.34,0.01,0.41,0.01,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,6
cgwlx9,0.15,0.03,0.0,0.02,0.27,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.0,0.06,0.0,0.0,0.13,0.22,0.0,0.0,4
cgy32o,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.35,0.0,0.0,0.05,0.2,0.17,0.0,0.0,12
cgzi3v,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.43,0.18,0.0,17
cgzivo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.41,0.0,18
ch1kp6,0.0,0.0,0.0,0.0,0.29,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.22,0.1,0.0,0.04,0.15,0.0,0.0,0.09,4
ch4t3w,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.09,0.0,0.14,0.22,0.0,0.0,0.0,0.04,0.02,0.04,0.29,0.01,0.07,17
ch52qw,0.32,0.0,0.12,0.0,0.0,0.0,0.0,0.14,0.0,0.07,0.06,0.0,0.0,0.15,0.0,0.0,0.12,0.0,0.0,0.0,0
ch5xcv,0.0,0.0,0.11,0.17,0.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.16,0.07,0.0,0.06,0.0,0.0,0.0,0.11,3
ch7tyc,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.07,0.0,0.0,0.24,0.0,0.28,19
ch9rpj,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,17
chdjry,0.04,0.05,0.0,0.2,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.22,0.0,0.04,0.0,0.0,0.33,0.0,0.04,17
che27b,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.1,0.0,0.23,0.03,0.2,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,16
chfr1d,0.13,0.0,0.06,0.0,0.13,0.01,0.0,0.05,0.07,0.0,0.0,0.44,0.0,0.0,0.0,0.06,0.0,0.0,0.05,0.0,11
chh9dl,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.44,0.0,18
chhoug,0.16,0.0,0.0,0.0,0.28,0.0,0.03,0.0,0.04,0.0,0.05,0.22,0.0,0.0,0.0,0.01,0.19,0.0,0.0,0.0,4
chn1zl,0.0,0.0,0.0,0.0,0.22,0.42,0.0,0.24,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,5
chnr0c,0.0,0.0,0.02,0.0,0.1,0.0,0.0,0.0,0.06,0.08,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,17
chnskt,0.0,0.0,0.0,0.0,0.09,0.0,0.05,0.1,0.0,0.0,0.09,0.0,0.26,0.0,0.0,0.06,0.0,0.33,0.0,0.0,17
chqnlm,0.21,0.0,0.3,0.0,0.0,0.0,0.28,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,2
chsg6w,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.16,0.18,0.0,0.03,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,11
cht4wn,0.0,0.0,0.1,0.05,0.0,0.0,0.16,0.1,0.18,0.04,0.0,0.09,0.0,0.0,0.0,0.03,0.0,0.25,0.0,0.0,17
chvhh0,0.0,0.02,0.02,0.0,0.11,0.0,0.03,0.0,0.13,0.0,0.0,0.32,0.05,0.0,0.0,0.03,0.0,0.0,0.25,0.03,11
chxbm6,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.13,0.26,0.06,4
chyxhd,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.11,0.0,0.0,0.09,0.23,0.0,0.0,0.42,0.0,0.0,0.0,16
ci090j,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.28,0.0,0.0,0.0,12
ci1p6y,0.27,0.0,0.04,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.02,0.0,0.0,0.46,0.04,18
ci22ow,0.0,0.0,0.0,0.28,0.0,0.0,0.17,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,9
ci59yp,0.35,0.0,0.0,0.0,0.07,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.09,0.0,0.0,0.0,0
ci7chh,0.0,0.0,0.0,0.0,0.13,0.0,0.1,0.3,0.0,0.05,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.19,7
ci8hc5,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.29,0.0,0.0,0.26,4
ciasik,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.34,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.2,0.0,0.0,0.0,8
cicagp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.29,0.09,0.0,0.0,0.0,0.0,0.08,0.3,0.0,0.0,0.0,0.0,15
cictqs,0.0,0.0,0.03,0.26,0.0,0.0,0.0,0.11,0.04,0.0,0.0,0.1,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
cieqs3,0.01,0.01,0.01,0.01,0.36,0.01,0.01,0.42,0.01,0.13,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7
cim691,0.34,0.0,0.0,0.0,0.02,0.0,0.1,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.06,0.27,0.0,0.0,0
cin87r,0.0,0.04,0.04,0.24,0.0,0.0,0.0,0.12,0.0,0.06,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.33,0.0,0.0,17
ciqh0c,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.23,0.0,0.0,0.0,0.17,0.0,0.08,0.0,4
cir5w1,0.51,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.05,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0
cirxbi,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.61,0.01,0.01,0.01,0.24,0.01,0.01,0.01,0.01,0.01,0.01,0.01,8
citxnv,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.24,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
cizk4q,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.44,0.0,18
cj0lvn,0.0,0.0,0.0,0.1,0.0,0.04,0.0,0.0,0.18,0.0,0.15,0.42,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
cj2gto,0.33,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.47,0.0,18
cj7xgv,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,4
cjb3zc,0.0,0.0,0.06,0.0,0.38,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.08,0.09,0.0,0.14,0.04,0.0,0.09,4
