,t0 really,t1 stomach,t2 amp,t3 lap,t4 said,t5 pregnant,t6 pad,t7 control,t8 work,t9 surgery,t10 experience,t11 cramp,t12 bleeding,t13 cyst,t14 effect,dominant_topic
yx04y,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.38,0.0,0.0,0.26,0.22,0.0,0.0,0.0,7
yxe97,0.0,0.0,0.0,0.0,0.28,0.17,0.0,0.18,0.0,0.08,0.0,0.0,0.0,0.27,0.0,4
yynyd,0.0,0.0,0.0,0.0,0.38,0.06,0.0,0.22,0.15,0.0,0.0,0.0,0.0,0.0,0.18,4
z0uj9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.43,0.0,0.0,0.0,0.0,0.0,8
z856l,0.0,0.0,0.43,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,2
z9y00,0.46,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.07,0.0,0.31,0
zcea8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.26,0.0,0.0,0.0,0.6,0.0,0.0,12
zeqde,0.0,0.0,0.0,0.14,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,12
zj8rz,0.02,0.0,0.16,0.0,0.49,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,4
zl2kw,0.41,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0
znspy,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2
zpf3v,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.87,0.01,0.01,0.01,0.01,0.01,0.01,8
zqlw9,0.01,0.01,0.26,0.01,0.01,0.01,0.08,0.01,0.01,0.01,0.23,0.01,0.01,0.38,0.01,13
zs9ug,0.19,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.11,0.0,0.53,0.0,0.0,12
