,t0 really,t1 stomach,t2 amp,t3 lap,t4 said,t5 pregnant,t6 pad,t7 control,t8 work,t9 surgery,t10 experience,t11 cramp,t12 bleeding,t13 cyst,t14 effect,dominant_topic
a5ef8h,0.01,0.01,0.01,0.71,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.22,0.01,0.01,3
a5fcc6,0.0,0.0,0.0,0.17,0.0,0.21,0.0,0.0,0.16,0.19,0.0,0.15,0.0,0.0,0.11,5
a5fjm7,0.23,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,3
a5i5ci,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0
a5janm,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.14,0.11,0.0,0.0,0.0,0.0,0.1,2
a5m939,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.19,0.0,0.25,0.11,0.0,0.0,0.0,0.26,14
a5mjot,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.22,0.0,0.0,0.73,0.0,0.0,0.0,11
a5mvn0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.06,0.33,0.14,0.17,0.17,0.0,0.0,0.0,8
a5nm7c,0.0,0.03,0.0,0.05,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.52,0.23,0.0,0.0,11
a5nxgu,0.0,0.0,0.12,0.0,0.32,0.0,0.0,0.08,0.14,0.0,0.13,0.19,0.0,0.0,0.0,4
a5odt8,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.12,0.18,0.07,0.46,0.0,13
a5ottw,0.13,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.07,0.17,0.21,0.0,9
a5rsuk,0.0,0.0,0.0,0.2,0.0,0.0,0.14,0.0,0.4,0.23,0.0,0.0,0.0,0.0,0.0,8
a5x7m7,0.0,0.0,0.09,0.0,0.03,0.08,0.01,0.0,0.28,0.27,0.0,0.0,0.05,0.19,0.0,8
a5zzgn,0.21,0.02,0.0,0.17,0.0,0.09,0.0,0.22,0.0,0.0,0.0,0.21,0.0,0.09,0.0,7
a60ite,0.13,0.03,0.0,0.0,0.0,0.02,0.0,0.17,0.43,0.22,0.0,0.0,0.0,0.0,0.0,8
a61ms1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.28,0.0,0.52,0.0,13
a627ux,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.25,0.05,0.22,0.0,0.0,0
a63ikt,0.1,0.03,0.12,0.0,0.25,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.07,0.4,0.0,13
a63wgm,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.34,0.24,0.0,0.24,0.11,0.0,9
a6557l,0.0,0.0,0.11,0.15,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.24,0.0,0.0,0.0,9
a65ckh,0.37,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,3
a65q3z,0.0,0.01,0.03,0.0,0.32,0.07,0.01,0.13,0.27,0.02,0.0,0.0,0.12,0.0,0.04,4
a66s8j,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.19,0.46,0.0,0.0,0.0,0.0,10
a68lxt,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.15,0.0,0.21,0.0,0.0,0.0,7
a68s68,0.27,0.0,0.0,0.12,0.0,0.11,0.0,0.15,0.0,0.0,0.04,0.21,0.0,0.02,0.08,0
a69g0l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.11,0.77,0.0,0.0,0.0,11
a6dy2u,0.34,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.15,0.22,0.0,0
a6e3ct,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.16,0.19,0.27,0.29,0.0,0.0,0.0,11
a6h4gb,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.16,0.17,0.0,0.0,0.24,0.04,0.35,0.02,13
a6js59,0.0,0.0,0.58,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,2
a6mxc7,0.0,0.03,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.36,0.32,0.24,0.0,11
a6rl3w,0.45,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.26,0.0,0.0,0.0,0
a6tbgy,0.0,0.0,0.0,0.1,0.0,0.07,0.0,0.42,0.0,0.16,0.23,0.0,0.0,0.0,0.0,7
a6ub8i,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.27,0.12,0.08,8
a6uq45,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.53,0.03,0.03,0.03,11
a73e6f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.14,0.0,0.0,11
a76eil,0.0,0.03,0.21,0.0,0.19,0.0,0.05,0.0,0.09,0.07,0.07,0.0,0.11,0.0,0.17,2
a780r4,0.11,0.03,0.04,0.0,0.2,0.0,0.0,0.25,0.0,0.0,0.0,0.32,0.0,0.05,0.0,11
a7apnh,0.15,0.05,0.0,0.0,0.05,0.0,0.01,0.02,0.07,0.09,0.0,0.22,0.0,0.21,0.13,11
a7bwl6,0.0,0.0,0.0,0.0,0.18,0.09,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.15,0.0,9
a7dke3,0.0,0.0,0.0,0.28,0.25,0.0,0.0,0.03,0.0,0.0,0.0,0.23,0.19,0.0,0.0,3
a7fjtv,0.62,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.28,0
a7grl2,0.0,0.02,0.0,0.0,0.0,0.03,0.04,0.0,0.22,0.0,0.0,0.28,0.0,0.3,0.09,13
a7gtoc,0.08,0.0,0.14,0.12,0.21,0.0,0.0,0.08,0.0,0.25,0.0,0.0,0.0,0.11,0.01,9
a7h7x8,0.0,0.0,0.47,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,2
a7hk3w,0.16,0.0,0.13,0.12,0.0,0.22,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,9
a7m9cj,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.28,0.0,0.4,0.22,0.0,0.0,0.0,10
a7mcsj,0.0,0.0,0.29,0.0,0.0,0.04,0.05,0.0,0.0,0.39,0.0,0.0,0.04,0.09,0.1,9
a7nc3z,0.12,0.04,0.0,0.09,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.13,13
a7ocd7,0.0,0.0,0.31,0.23,0.0,0.0,0.24,0.0,0.0,0.07,0.0,0.0,0.0,0.15,0.0,2
a7ohqt,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.36,0.4,0.0,0.0,0.0,0.0,10
a7p5kk,0.47,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.15,0.0,0.0,0.0,0.0,0
a7qmsx,0.0,0.0,0.0,0.0,0.12,0.0,0.03,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,8
a7rx5h,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,8
a7slfs,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.27,0.0,0.25,0.0,0.12,0.02,9
a7spgk,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.49,0.0,0.0,0.07,11
a7spkb,0.08,0.0,0.0,0.39,0.0,0.0,0.02,0.41,0.0,0.08,0.0,0.0,0.0,0.0,0.0,7
a7u2o5,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.09,0.0,0.0,2
a7u3no,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.29,0.0,0.49,0.0,0.0,0.0,0.0,10
a7yarr,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.34,0.24,0.0,0.0,0.35,0.0,0.0,0.0,11
a7ze82,0.0,0.0,0.0,0.0,0.17,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.42,14
a7zm5m,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0
a839wv,0.05,0.0,0.03,0.0,0.0,0.38,0.0,0.0,0.18,0.0,0.0,0.0,0.36,0.0,0.0,5
a85l1l,0.0,0.02,0.1,0.0,0.0,0.0,0.02,0.15,0.2,0.0,0.0,0.17,0.34,0.0,0.0,12
a85xad,0.3,0.0,0.0,0.0,0.22,0.2,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.13,0.06,0
a85yv4,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.23,11
a87f6k,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.55,0.0,0.0,0.0,0.0,10
a88nxi,0.0,0.02,0.0,0.07,0.33,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.1,0.31,4
a8b8w4,0.37,0.0,0.0,0.12,0.0,0.07,0.02,0.0,0.04,0.19,0.0,0.15,0.0,0.0,0.03,0
a8dife,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.31,0.0,0.34,14
a8djuz,0.0,0.0,0.0,0.51,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,3
a8eot8,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.39,0.0,0.1,12
a8heoe,0.14,0.03,0.0,0.0,0.11,0.0,0.02,0.0,0.0,0.0,0.0,0.16,0.26,0.28,0.0,13
a8k296,0.0,0.13,0.0,0.0,0.27,0.0,0.16,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,8
a8nfb4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,14
a8s7fv,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.22,0.44,0.0,0.29,0.0,0.0,0.0,9
a8vchc,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.42,0.01,0.01,0.47,0.01,0.01,0.01,11
a8ww6h,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.01,0.55,0.01,0.3,0.01,0.01,0.01,0.01,8
a8x781,0.0,0.05,0.0,0.0,0.09,0.0,0.0,0.46,0.0,0.0,0.0,0.37,0.0,0.0,0.0,7
a8y81p,0.23,0.0,0.05,0.0,0.23,0.0,0.0,0.0,0.24,0.17,0.0,0.07,0.0,0.0,0.0,8
a91my6,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.14,0.0,0.08,0.48,0.13,0.0,0.0,11
a96ahj,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.29,0.07,0.0,0.23,0.21,0.0,0.0,8
a998h6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.83,0.01,0.1,0.01,0.01,0.01,0.01,8
a9b88s,0.1,0.04,0.0,0.0,0.0,0.04,0.02,0.0,0.11,0.15,0.0,0.37,0.0,0.0,0.16,11
a9bw2r,0.0,0.0,0.0,0.14,0.0,0.0,0.23,0.0,0.41,0.0,0.0,0.2,0.0,0.0,0.0,8
a9ish4,0.0,0.03,0.13,0.0,0.0,0.0,0.0,0.05,0.19,0.0,0.0,0.58,0.0,0.0,0.0,11
a9ju08,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.04,0.76,0.0,0.08,0.06,0.0,0.0,0.0,8
a9klvw,0.23,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.26,10
a9kr7s,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.16,0.0,0.0,0
a9l6rd,0.0,0.0,0.0,0.5,0.17,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,3
a9mkeb,0.27,0.0,0.0,0.4,0.0,0.02,0.07,0.0,0.05,0.09,0.08,0.0,0.0,0.0,0.0,3
a9n4ek,0.13,0.05,0.0,0.0,0.19,0.0,0.0,0.03,0.0,0.04,0.12,0.09,0.0,0.35,0.0,13
a9pljz,0.01,0.01,0.37,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.43,0.01,0.01,0.01,0.01,10
a9q3ge,0.0,0.0,0.26,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.34,0.0,0.1,0.0,11
a9sz5u,0.0,0.0,0.0,0.07,0.21,0.0,0.0,0.41,0.0,0.0,0.08,0.08,0.16,0.0,0.0,7
a9tbxn,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.35,0.0,0.0,7
a9u66m,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.43,0.26,0.0,0.0,0.0,10
a9ud2d,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0
a9xcf1,0.01,0.01,0.01,0.01,0.01,0.14,0.01,0.01,0.12,0.25,0.24,0.01,0.01,0.01,0.19,9
aa1lym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.21,0.0,0.0,0.13,0.5,0.0,13
aa1n7w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.21,0.0,0.0,0.13,0.5,0.0,13
aa2bsb,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.5,0.21,13
aa2oq3,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.07,0.52,0.0,0.24,12
aa3t0w,0.56,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0
aa4kzv,0.15,0.0,0.09,0.17,0.02,0.0,0.0,0.24,0.0,0.17,0.0,0.0,0.0,0.11,0.05,7
aa4l5a,0.0,0.0,0.0,0.0,0.32,0.07,0.0,0.47,0.0,0.0,0.0,0.0,0.13,0.0,0.0,7
aab205,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.26,0.0,0.0,0.45,0.1,0.0,0.0,0.12,10
aabr6m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.08,0.0,0.0,0.0,0.68,0.0,13
aac4sn,0.3,0.0,0.0,0.0,0.0,0.0,0.04,0.17,0.14,0.0,0.0,0.0,0.0,0.0,0.33,14
aacmub,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.12,0.38,0.07,0.0,0.0,11
aaevhw,0.44,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0
aagvca,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0.01,0.01,0.01,0.47,14
aajmps,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0
aajnqi,0.51,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0
aakx36,0.09,0.0,0.16,0.25,0.2,0.0,0.04,0.05,0.0,0.19,0.0,0.0,0.0,0.0,0.0,3
aapz80,0.0,0.0,0.12,0.14,0.0,0.0,0.0,0.08,0.0,0.09,0.0,0.55,0.0,0.0,0.0,11
aaqwc6,0.0,0.05,0.0,0.0,0.25,0.0,0.07,0.0,0.08,0.0,0.07,0.16,0.0,0.32,0.0,13
aar5eb,0.06,0.0,0.03,0.16,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.4,0.08,0.18,0.0,11
aatooy,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.14,0.0,0.0,0.54,0.0,0.2,0.0,11
aau26v,0.26,0.0,0.0,0.0,0.0,0.0,0.05,0.41,0.04,0.0,0.1,0.0,0.12,0.0,0.0,7
aav9nd,0.09,0.0,0.0,0.0,0.15,0.0,0.0,0.24,0.13,0.0,0.26,0.12,0.0,0.0,0.0,10
aaygbz,0.0,0.0,0.0,0.17,0.0,0.0,0.23,0.0,0.0,0.43,0.15,0.0,0.0,0.0,0.0,9
aaz47l,0.37,0.03,0.0,0.23,0.0,0.0,0.0,0.0,0.23,0.05,0.0,0.07,0.0,0.0,0.0,0
aaztuf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.16,0.0,0.23,0.0,0.0,7
ab16hb,0.17,0.0,0.04,0.0,0.0,0.05,0.0,0.3,0.0,0.1,0.0,0.1,0.13,0.04,0.07,7
ab29of,0.44,0.0,0.07,0.0,0.19,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0
ab34zd,0.01,0.01,0.01,0.01,0.01,0.29,0.01,0.01,0.01,0.01,0.01,0.01,0.48,0.01,0.16,12
abm41j,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.72,0.21,0.01,0.01,11
abmmsx,0.18,0.0,0.0,0.13,0.15,0.19,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.04,8
abmnze,0.0,0.0,0.65,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
abmxbk,0.26,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,2
abn4uu,0.0,0.11,0.22,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.45,0.0,0.0,0.0,11
abns3s,0.01,0.01,0.01,0.67,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.01,3
abrjwv,0.23,0.0,0.11,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.22,0.0,11
absrbv,0.12,0.0,0.0,0.0,0.18,0.0,0.0,0.15,0.0,0.0,0.2,0.0,0.0,0.0,0.34,14
abumy3,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.0,0.0,0.22,0.0,0
abvquv,0.01,0.01,0.01,0.01,0.39,0.16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.37,4
abw9lu,0.07,0.04,0.0,0.0,0.03,0.05,0.01,0.08,0.48,0.0,0.09,0.0,0.0,0.0,0.15,8
abxlux,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
aby7qd,0.21,0.0,0.0,0.0,0.11,0.06,0.01,0.0,0.0,0.08,0.0,0.3,0.15,0.0,0.09,11
ac07qm,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.14,0.66,0.0,0.0,0.08,0.0,0.0,0.0,8
ac0pcq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.59,0.0,13
ac20ft,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.26,0.24,0.16,0.19,0.0,0.0,9
ac8qwm,0.0,0.0,0.14,0.0,0.23,0.38,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,5
ac8utj,0.0,0.0,0.04,0.06,0.29,0.04,0.0,0.0,0.12,0.3,0.09,0.0,0.0,0.05,0.0,9
ac9hqz,0.52,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.21,0.0,0.14,0.0,0.0,0.0,0.0,0
aca0rm,0.0,0.0,0.33,0.21,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,12
acaoqq,0.1,0.03,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.12,0.0,11
acc751,0.01,0.01,0.38,0.38,0.01,0.01,0.01,0.01,0.01,0.18,0.01,0.01,0.01,0.01,0.01,2
acf2eb,0.6,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0
achllq,0.21,0.0,0.05,0.0,0.0,0.06,0.0,0.13,0.0,0.12,0.11,0.0,0.0,0.08,0.24,14
acj55c,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.22,0.0,0.22,0.0,0.2,7
ack3ie,0.46,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.0,0.0,0.0,0.23,0
ackm42,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.53,0.03,0.03,0.03,0.03,0.03,0.03,8
acovu6,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.26,0.0,0.0,10
acq2ql,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.55,0.0,0.0,0.0,11
acsz7z,0.0,0.0,0.0,0.0,0.33,0.18,0.0,0.0,0.12,0.0,0.07,0.0,0.0,0.19,0.1,4
act92n,0.0,0.01,0.09,0.0,0.25,0.07,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.17,0.0,9
ad1g7z,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.21,0.0,0.0,11
ada83h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.15,0.2,0.53,0.0,0.0,0.0,11
adaprf,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.23,0.0,0.23,0.0,10
adciu6,0.31,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0
adcsiy,0.49,0.0,0.0,0.0,0.0,0.0,0.26,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
adegaq,0.01,0.01,0.24,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.39,0.27,0.01,0.01,0.01,10
adesm9,0.25,0.0,0.02,0.15,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.26,0.0,13
adew4k,0.0,0.08,0.0,0.0,0.0,0.04,0.0,0.0,0.19,0.0,0.0,0.68,0.0,0.0,0.0,11
adib47,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.56,0.0,0.0,0.0,11
adidds,0.01,0.01,0.01,0.41,0.01,0.01,0.01,0.01,0.01,0.01,0.47,0.01,0.01,0.01,0.01,10
adj2a4,0.0,0.0,0.15,0.17,0.0,0.05,0.03,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
adl8w8,0.93,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
adlk22,0.43,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.23,0.0,0
adn9gj,0.0,0.0,0.0,0.09,0.0,0.19,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.46,0.0,13
adoxst,0.0,0.0,0.0,0.0,0.17,0.07,0.0,0.2,0.21,0.0,0.0,0.2,0.0,0.14,0.0,8
adpg0s,0.34,0.1,0.0,0.0,0.0,0.04,0.0,0.0,0.1,0.06,0.24,0.0,0.06,0.0,0.06,0
adsjoc,0.19,0.0,0.07,0.0,0.0,0.0,0.0,0.29,0.18,0.0,0.12,0.14,0.0,0.0,0.0,7
adsrsh,0.0,0.0,0.0,0.35,0.0,0.0,0.05,0.0,0.18,0.0,0.0,0.39,0.0,0.0,0.0,11
ady503,0.0,0.0,0.15,0.05,0.09,0.18,0.0,0.0,0.09,0.18,0.09,0.0,0.1,0.0,0.06,5
adydk2,0.35,0.04,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0
adyjwq,0.0,0.0,0.33,0.0,0.29,0.0,0.09,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.15,2
ae48tz,0.0,0.0,0.4,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.1,0.0,2
ae4gxh,0.0,0.0,0.17,0.2,0.26,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.13,0.0,0.0,4
ae4nny,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.06,0.65,0.0,0.13,0.0,0.0,0.0,0.0,8
ae5bze,0.08,0.12,0.0,0.0,0.2,0.04,0.01,0.12,0.03,0.02,0.0,0.0,0.12,0.22,0.06,13
aeb73f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.43,0.27,13
aeboh5,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.6,0.2,0.0,0.16,0.0,0.0,0.0,8
aed1y1,0.06,0.02,0.0,0.0,0.16,0.03,0.0,0.02,0.35,0.08,0.09,0.0,0.0,0.18,0.0,8
aeev11,0.37,0.0,0.0,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.12,0.23,0.0,0.0,0
aef1wg,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.22,0.0,0.0,0.48,0.0,0.0,0.0,11
aej9ls,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.07,0.42,0.0,13
ael87g,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.4,0.0,0.0,0.12,0.0,0.0,0.0,5
aelkhz,0.68,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.03,0
aenc6r,0.29,0.01,0.2,0.01,0.01,0.11,0.01,0.01,0.01,0.01,0.34,0.01,0.01,0.01,0.01,10
aens42,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.25,0.07,0.0,0.0,0.0,0
aeoyip,0.04,0.04,0.0,0.0,0.46,0.03,0.0,0.03,0.0,0.07,0.0,0.0,0.21,0.03,0.08,4
aerbxh,0.0,0.0,0.22,0.33,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
aerjae,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.34,0.0,11
aetldz,0.16,0.0,0.0,0.15,0.0,0.05,0.0,0.22,0.0,0.0,0.16,0.0,0.0,0.25,0.0,13
aeuksn,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.91,0.01,13
aeuy96,0.09,0.01,0.23,0.0,0.07,0.0,0.0,0.08,0.17,0.05,0.0,0.21,0.0,0.07,0.01,2
aevng2,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.18,0.0,0.28,0.0,3
aexgti,0.19,0.0,0.0,0.43,0.0,0.07,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,3
aezb5u,0.11,0.01,0.13,0.06,0.51,0.03,0.0,0.0,0.0,0.0,0.0,0.08,0.09,0.0,0.0,4
af1cib,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.19,0.0,0.13,3
