,t0 control,t1 bowel,t2 amp,t3 surgery,t4 got,t5 symptom,t6 back,t7 symptom,t8 want,t9 surgery,dominant_topic
otb0m,0.0,0.0,0.85,0.03,0.0,0.0,0.0,0.0,0.1,0.0,2
p0e2x,0.15,0.0,0.04,0.0,0.15,0.0,0.08,0.0,0.1,0.48,9
pfivr,0.0,0.21,0.27,0.0,0.25,0.0,0.0,0.0,0.26,0.0,2
pmaka,0.01,0.01,0.75,0.01,0.01,0.01,0.01,0.01,0.16,0.01,2
qr632,0.55,0.3,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0
r2cq6,0.3,0.16,0.03,0.22,0.0,0.15,0.0,0.0,0.0,0.13,0
suaof,0.09,0.0,0.0,0.08,0.2,0.0,0.0,0.17,0.0,0.45,9
t1scb,0.0,0.0,0.18,0.12,0.0,0.0,0.0,0.67,0.0,0.0,7
tzrn0,0.0,0.12,0.0,0.44,0.0,0.0,0.0,0.2,0.23,0.0,3
tzspb,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.07,7
u10e7,0.01,0.09,0.18,0.01,0.01,0.29,0.01,0.01,0.01,0.41,9
u11fi,0.01,0.08,0.18,0.01,0.01,0.25,0.01,0.01,0.01,0.46,9
ug4j0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.27,0.0,0.07,6
uh1sf,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.38,0.43,0.0,8
uuyls,0.54,0.0,0.27,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0
vaf79,0.19,0.0,0.29,0.0,0.19,0.0,0.0,0.0,0.33,0.0,8
vgi5k,0.37,0.14,0.24,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0
vi3kt,0.21,0.06,0.0,0.0,0.19,0.0,0.09,0.0,0.18,0.27,9
vix9q,0.01,0.01,0.01,0.01,0.01,0.01,0.92,0.01,0.01,0.01,6
w25o3,0.0,0.0,0.09,0.0,0.16,0.03,0.03,0.13,0.0,0.55,9
wmpsz,0.16,0.0,0.03,0.0,0.07,0.0,0.0,0.29,0.0,0.45,9
wvhgp,0.11,0.0,0.05,0.09,0.0,0.0,0.0,0.15,0.19,0.41,9
x52hp,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.29,0.43,0.13,8
xmdo4,0.01,0.26,0.01,0.01,0.01,0.01,0.69,0.01,0.01,0.01,6
xt786,0.04,0.0,0.07,0.11,0.0,0.0,0.0,0.41,0.08,0.28,7
xugyk,0.56,0.16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0
xvukk,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
xw4a2,0.01,0.01,0.43,0.01,0.01,0.01,0.01,0.48,0.01,0.01,7
xx26r,0.0,0.06,0.37,0.0,0.14,0.18,0.0,0.0,0.25,0.0,2
xxs2s,0.0,0.0,0.19,0.0,0.0,0.26,0.0,0.0,0.17,0.35,9
xz4ks,0.06,0.0,0.08,0.0,0.3,0.0,0.0,0.0,0.22,0.34,9
xzoxo,0.0,0.0,0.0,0.15,0.73,0.0,0.0,0.0,0.11,0.0,4
y09du,0.58,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.01,0
y1o1p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
y2185,0.26,0.0,0.0,0.04,0.0,0.0,0.07,0.3,0.16,0.17,7
y2bl9,0.0,0.0,0.08,0.46,0.0,0.14,0.0,0.0,0.31,0.0,3
y2szm,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.87,0.01,8
y7huk,0.01,0.01,0.01,0.01,0.01,0.21,0.72,0.01,0.01,0.01,6
yd7zl,0.19,0.02,0.0,0.0,0.2,0.0,0.0,0.27,0.3,0.0,8
yfhm1,0.01,0.01,0.01,0.01,0.01,0.01,0.44,0.01,0.46,0.01,8
ygdo3,0.07,0.0,0.0,0.0,0.5,0.22,0.2,0.0,0.0,0.0,4
ymv56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.72,0.0,8
yn6w0,0.0,0.17,0.1,0.0,0.0,0.19,0.24,0.15,0.16,0.0,6
ytrk1,0.2,0.0,0.28,0.0,0.0,0.07,0.0,0.0,0.36,0.09,8
ytxi8,0.01,0.01,0.01,0.01,0.24,0.01,0.31,0.01,0.01,0.4,9
yx04y,0.37,0.0,0.0,0.15,0.0,0.0,0.0,0.46,0.0,0.0,7
yxe97,0.17,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.2,0.48,9
yynyd,0.44,0.0,0.0,0.0,0.41,0.0,0.0,0.04,0.1,0.0,0
z0uj9,0.01,0.01,0.01,0.01,0.74,0.01,0.01,0.01,0.01,0.2,4
z856l,0.0,0.0,0.56,0.0,0.26,0.0,0.0,0.0,0.16,0.0,2
z9y00,0.37,0.02,0.0,0.14,0.21,0.0,0.0,0.09,0.17,0.0,0
zcea8,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.39,0.25,0.17,7
zeqde,0.0,0.08,0.0,0.13,0.2,0.42,0.0,0.17,0.0,0.0,5
zj8rz,0.0,0.0,0.11,0.0,0.35,0.0,0.0,0.0,0.53,0.0,8
zl2kw,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.26,0.37,9
znspy,0.0,0.0,0.79,0.18,0.0,0.0,0.0,0.0,0.0,0.0,2
zpf3v,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.01,0.69,0.01,8
zqlw9,0.01,0.01,0.28,0.01,0.01,0.28,0.01,0.01,0.01,0.38,9
zs9ug,0.01,0.0,0.0,0.12,0.16,0.0,0.08,0.19,0.11,0.32,9
zwvto,0.0,0.0,0.0,0.0,0.48,0.0,0.24,0.0,0.0,0.24,4
zxr5a,0.0,0.0,0.32,0.16,0.13,0.0,0.0,0.0,0.26,0.13,2
zy5ic,0.15,0.08,0.0,0.0,0.22,0.03,0.0,0.29,0.23,0.0,7
1020vb,0.31,0.0,0.06,0.0,0.08,0.0,0.0,0.14,0.4,0.0,8
106prs,0.05,0.0,0.0,0.0,0.27,0.0,0.07,0.3,0.3,0.0,7
10b7jm,0.01,0.01,0.14,0.01,0.01,0.01,0.48,0.01,0.01,0.3,6
10i1ne,0.23,0.02,0.0,0.0,0.26,0.05,0.22,0.21,0.0,0.0,4
10jk3y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.28,8
10mgzn,0.13,0.0,0.03,0.0,0.01,0.27,0.0,0.15,0.33,0.09,8
10r13y,0.16,0.0,0.18,0.19,0.07,0.04,0.0,0.0,0.3,0.07,8
10vmnz,0.01,0.01,0.01,0.01,0.01,0.01,0.93,0.01,0.01,0.01,6
115f80,0.39,0.0,0.1,0.0,0.09,0.41,0.0,0.0,0.0,0.0,5
117fxf,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.72,0.01,8
119a2h,0.03,0.03,0.5,0.03,0.03,0.3,0.03,0.03,0.03,0.03,2
11ev0c,0.0,0.0,0.03,0.06,0.5,0.4,0.0,0.0,0.0,0.0,4
11kngk,0.01,0.44,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0.01,8
11lsez,0.09,0.0,0.0,0.0,0.21,0.21,0.09,0.18,0.0,0.22,9
11mnlm,0.31,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.42,0.0,8
11ms7o,0.01,0.01,0.01,0.01,0.01,0.34,0.01,0.01,0.56,0.01,8
11ukbn,0.41,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.51,9
11uspq,0.46,0.0,0.18,0.14,0.0,0.0,0.0,0.0,0.0,0.2,0
11uvbi,0.0,0.24,0.0,0.2,0.0,0.27,0.28,0.0,0.0,0.0,6
11wu3o,0.29,0.0,0.06,0.41,0.0,0.0,0.0,0.0,0.0,0.21,3
11wyd1,0.12,0.14,0.0,0.09,0.1,0.08,0.0,0.39,0.09,0.0,7
123kgw,0.0,0.0,0.19,0.0,0.09,0.38,0.29,0.0,0.0,0.04,5
124m65,0.11,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.3,0.0,6
125k60,0.07,0.15,0.0,0.0,0.14,0.0,0.0,0.21,0.25,0.17,8
12dglj,0.11,0.23,0.0,0.0,0.09,0.06,0.13,0.0,0.37,0.0,8
12qdx1,0.0,0.0,0.0,0.17,0.29,0.21,0.0,0.32,0.0,0.0,7
12qjih,0.07,0.1,0.11,0.08,0.11,0.0,0.2,0.13,0.2,0.0,6
12s029,0.0,0.0,0.13,0.26,0.0,0.0,0.0,0.0,0.16,0.44,9
12s5ht,0.14,0.0,0.0,0.0,0.4,0.09,0.0,0.0,0.26,0.11,4
12uynl,0.27,0.39,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.01,1
12ynjw,0.0,0.0,0.23,0.0,0.2,0.07,0.0,0.0,0.49,0.0,8
12z44y,0.16,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.54,0.0,8
132igo,0.04,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.66,0.19,8
133j6v,0.59,0.0,0.13,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0
134l13,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.31,8
13711b,0.05,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.38,0.13,4
1374cm,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.34,0.0,4
1389ll,0.74,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0
139iwn,0.0,0.0,0.47,0.0,0.39,0.0,0.0,0.0,0.12,0.0,2
13bahg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.79,9
13cevi,0.04,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.35,0.05,4
13cnh8,0.12,0.0,0.0,0.31,0.35,0.09,0.0,0.13,0.0,0.0,4
13erg3,0.0,0.0,0.11,0.0,0.0,0.0,0.19,0.0,0.67,0.0,8
13fhow,0.02,0.09,0.0,0.22,0.0,0.0,0.08,0.36,0.22,0.0,7
13glte,0.01,0.01,0.01,0.33,0.26,0.35,0.01,0.01,0.01,0.01,5
13q6fo,0.11,0.0,0.0,0.0,0.14,0.39,0.0,0.35,0.0,0.0,5
13qs9p,0.41,0.01,0.52,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
13ssdt,0.0,0.11,0.0,0.0,0.19,0.0,0.27,0.43,0.0,0.0,7
13tse3,0.0,0.0,0.0,0.0,0.33,0.24,0.0,0.0,0.23,0.18,4
13tt6h,0.25,0.0,0.0,0.26,0.0,0.1,0.09,0.0,0.0,0.29,9
13uq9v,0.0,0.0,0.0,0.0,0.0,0.21,0.16,0.61,0.0,0.0,7
13vhlv,0.0,0.0,0.0,0.0,0.0,0.21,0.16,0.61,0.0,0.0,7
13yg5q,0.0,0.0,0.11,0.0,0.07,0.0,0.05,0.0,0.75,0.0,8
13zdxj,0.29,0.11,0.0,0.0,0.39,0.05,0.0,0.16,0.0,0.0,4
1412fo,0.02,0.02,0.02,0.43,0.02,0.02,0.02,0.02,0.44,0.02,8
143csp,0.11,0.13,0.0,0.11,0.38,0.0,0.0,0.0,0.07,0.2,4
1443yb,0.11,0.01,0.01,0.01,0.52,0.33,0.01,0.01,0.01,0.01,4
149ce7,0.01,0.01,0.01,0.01,0.73,0.01,0.01,0.01,0.01,0.19,4
149jdf,0.0,0.08,0.17,0.64,0.0,0.09,0.0,0.0,0.0,0.0,3
149yba,0.17,0.06,0.07,0.1,0.38,0.0,0.0,0.0,0.0,0.21,4
14dwxt,0.59,0.0,0.0,0.0,0.22,0.0,0.05,0.0,0.13,0.0,0
14o5qo,0.87,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0
14spft,0.0,0.0,0.0,0.62,0.0,0.05,0.0,0.0,0.32,0.0,3
14ubu4,0.08,0.1,0.0,0.0,0.08,0.0,0.04,0.44,0.25,0.0,7
14xmzg,0.03,0.0,0.08,0.2,0.26,0.15,0.0,0.0,0.0,0.27,9
15165j,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.8,0.0,8
15bk09,0.0,0.0,0.19,0.29,0.17,0.0,0.0,0.33,0.0,0.0,7
15cgzi,0.04,0.09,0.12,0.0,0.0,0.42,0.0,0.31,0.0,0.0,5
15dhv5,0.01,0.01,0.12,0.01,0.58,0.01,0.25,0.01,0.01,0.01,4
15fld8,0.28,0.0,0.39,0.0,0.0,0.31,0.0,0.0,0.0,0.0,2
15hd84,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.06,0.0,0
15ic56,0.06,0.0,0.0,0.0,0.59,0.0,0.34,0.0,0.0,0.0,4
15kony,0.01,0.19,0.01,0.11,0.01,0.33,0.01,0.01,0.31,0.01,5
1ua2d2,0.01,0.01,0.01,0.01,0.01,0.11,0.01,0.01,0.81,0.01,8
1ue8pz,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.28,0.0,0.0,5
1uiq8a,0.39,0.15,0.0,0.0,0.0,0.04,0.17,0.0,0.0,0.24,0
1uo0yj,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.43,0.54,0.0,8
1v0dae,0.0,0.07,0.08,0.09,0.26,0.06,0.06,0.14,0.21,0.03,4
1v16de,0.02,0.07,0.09,0.0,0.55,0.01,0.07,0.06,0.0,0.12,4
1vb0bm,0.0,0.0,0.0,0.31,0.1,0.0,0.24,0.0,0.0,0.34,9
1vcccw,0.18,0.0,0.12,0.07,0.22,0.03,0.0,0.0,0.37,0.0,8
1vgvym,0.09,0.0,0.0,0.16,0.0,0.0,0.17,0.57,0.0,0.0,7
1vh5ag,0.11,0.04,0.0,0.14,0.0,0.0,0.11,0.59,0.0,0.0,7
1viw7t,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.75,0.0,0.0,7
1vlls6,0.0,0.23,0.0,0.0,0.0,0.16,0.0,0.38,0.0,0.22,7
1vo4lb,0.0,0.0,0.57,0.41,0.0,0.0,0.0,0.0,0.0,0.0,2
1vrgnj,0.0,0.0,0.0,0.0,0.57,0.1,0.0,0.0,0.31,0.0,4
1vswqn,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.27,0.0,2
1vw5bc,0.0,0.0,0.27,0.16,0.0,0.0,0.0,0.0,0.18,0.38,9
1w1kaf,0.24,0.0,0.0,0.15,0.18,0.18,0.0,0.24,0.0,0.0,0
1wevtx,0.18,0.0,0.19,0.12,0.0,0.15,0.05,0.0,0.0,0.3,9
1whgcy,0.14,0.0,0.0,0.47,0.13,0.0,0.0,0.0,0.0,0.24,3
1wip99,0.0,0.0,0.5,0.0,0.0,0.08,0.11,0.0,0.3,0.0,2
1x612a,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.0,7
1x8di9,0.16,0.03,0.0,0.0,0.35,0.0,0.13,0.24,0.09,0.0,4
1xdojg,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.14,0
1xgxh0,0.0,0.04,0.0,0.0,0.0,0.0,0.52,0.25,0.18,0.0,6
1xjte7,0.22,0.0,0.0,0.0,0.55,0.0,0.21,0.0,0.0,0.0,4
1xuwbi,0.77,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0
1xzb9s,0.0,0.19,0.0,0.0,0.26,0.05,0.19,0.23,0.06,0.0,4
1y8tox,0.0,0.0,0.0,0.08,0.0,0.12,0.62,0.16,0.0,0.0,6
1yo8kd,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.51,0.0,0.38,7
1ys6e6,0.0,0.05,0.16,0.35,0.19,0.06,0.0,0.18,0.0,0.0,3
1yv2s8,0.28,0.0,0.0,0.0,0.05,0.06,0.0,0.22,0.28,0.12,0
1yview,0.06,0.0,0.0,0.2,0.0,0.23,0.0,0.5,0.0,0.0,7
1yxm3f,0.03,0.2,0.0,0.0,0.42,0.0,0.01,0.03,0.31,0.0,4
1z1mzm,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.44,0.0,2
1zbjnt,0.13,0.0,0.0,0.0,0.16,0.08,0.0,0.0,0.44,0.17,8
1zkzmb,0.6,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.24,0
1zlmi1,0.0,0.0,0.0,0.0,0.07,0.04,0.0,0.53,0.28,0.08,7
1zqh8v,0.01,0.01,0.72,0.01,0.2,0.01,0.01,0.01,0.01,0.01,2
201s7b,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.01,0.63,0.01,8
209lru,0.0,0.59,0.0,0.0,0.35,0.0,0.04,0.0,0.0,0.0,1
20av02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
20k7vf,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.12,0.0,0.4,2
20qkxl,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.59,0.0,0.0,7
20t8dj,0.0,0.13,0.0,0.0,0.17,0.0,0.06,0.27,0.37,0.0,8
21aptb,0.53,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.37,0.0,0
21kv39,0.2,0.01,0.01,0.22,0.01,0.01,0.51,0.01,0.01,0.01,6
21mbrb,0.0,0.0,0.2,0.12,0.25,0.0,0.0,0.0,0.29,0.13,8
21o4jf,0.08,0.0,0.0,0.0,0.47,0.0,0.0,0.22,0.14,0.09,4
21r8xw,0.24,0.0,0.13,0.34,0.0,0.0,0.0,0.0,0.27,0.0,3
22wqad,0.0,0.0,0.03,0.08,0.23,0.03,0.0,0.0,0.18,0.45,9
236zj5,0.01,0.01,0.01,0.01,0.01,0.55,0.01,0.01,0.38,0.01,5
239vu8,0.01,0.01,0.01,0.01,0.76,0.06,0.01,0.15,0.01,0.01,4
23vl5g,0.0,0.0,0.0,0.27,0.0,0.0,0.34,0.0,0.37,0.0,8
2410w5,0.01,0.01,0.68,0.01,0.01,0.01,0.01,0.01,0.01,0.23,2
245ypx,0.01,0.01,0.01,0.42,0.01,0.53,0.01,0.01,0.01,0.01,5
24o1c0,0.0,0.24,0.0,0.0,0.35,0.08,0.0,0.19,0.14,0.0,4
252xb1,0.31,0.0,0.23,0.07,0.0,0.05,0.15,0.0,0.13,0.07,0
255gax,0.0,0.52,0.14,0.0,0.0,0.31,0.0,0.0,0.0,0.0,1
256x63,0.26,0.0,0.0,0.26,0.19,0.0,0.0,0.0,0.29,0.0,8
257j38,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.14,5
25ekei,0.0,0.03,0.0,0.09,0.5,0.0,0.0,0.0,0.37,0.0,4
25exxr,0.0,0.11,0.0,0.0,0.35,0.0,0.09,0.15,0.09,0.22,4
25klax,0.0,0.0,0.2,0.0,0.1,0.12,0.0,0.0,0.57,0.0,8
25lcj1,0.0,0.25,0.09,0.29,0.0,0.0,0.04,0.0,0.32,0.0,8
25nf8v,0.01,0.01,0.01,0.01,0.01,0.2,0.01,0.01,0.72,0.01,8
25revh,0.0,0.0,0.0,0.49,0.0,0.18,0.0,0.16,0.16,0.0,3
260jb7,0.0,0.11,0.0,0.06,0.17,0.0,0.03,0.31,0.32,0.0,8
263rga,0.04,0.0,0.0,0.0,0.46,0.0,0.0,0.46,0.04,0.0,4
26476i,0.0,0.19,0.05,0.05,0.27,0.02,0.17,0.0,0.0,0.26,4
26d78v,0.12,0.0,0.13,0.0,0.39,0.1,0.08,0.0,0.18,0.0,4
26hleg,0.34,0.0,0.0,0.15,0.27,0.0,0.0,0.0,0.23,0.0,0
26mt2i,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.45,0.0,0.36,7
26o6z3,0.0,0.09,0.0,0.0,0.0,0.0,0.08,0.12,0.5,0.2,8
26p2qd,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.42,0.22,8
26pn4n,0.0,0.1,0.0,0.0,0.0,0.06,0.0,0.34,0.49,0.0,8
26rw4e,0.25,0.0,0.03,0.08,0.39,0.0,0.08,0.0,0.0,0.17,4
26tyl8,0.04,0.0,0.0,0.05,0.32,0.04,0.0,0.0,0.4,0.14,8
26uc4e,0.35,0.24,0.0,0.0,0.07,0.0,0.33,0.0,0.0,0.0,0
274sve,0.01,0.01,0.01,0.94,0.01,0.01,0.01,0.01,0.01,0.01,3
27ae1w,0.0,0.0,0.0,0.0,0.18,0.16,0.0,0.05,0.6,0.0,8
27baj2,0.06,0.0,0.69,0.23,0.0,0.0,0.0,0.0,0.0,0.0,2
27hze5,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.43,0.0,0.27,7
27luoa,0.07,0.0,0.08,0.2,0.56,0.0,0.0,0.09,0.0,0.0,4
27umlo,0.24,0.0,0.0,0.05,0.0,0.17,0.0,0.05,0.22,0.26,9
27unv4,0.05,0.0,0.1,0.0,0.11,0.01,0.0,0.18,0.55,0.0,8
27wzvh,0.39,0.0,0.11,0.31,0.0,0.17,0.0,0.0,0.0,0.0,0
28o66u,0.07,0.05,0.0,0.21,0.28,0.0,0.36,0.0,0.0,0.03,6
28oy9h,0.0,0.04,0.04,0.0,0.51,0.0,0.0,0.12,0.28,0.0,4
28uq7f,0.0,0.0,0.1,0.0,0.32,0.23,0.05,0.03,0.27,0.0,4
28v9dr,0.64,0.0,0.19,0.0,0.0,0.09,0.07,0.0,0.0,0.0,0
28xn1n,0.04,0.0,0.19,0.2,0.22,0.0,0.0,0.0,0.0,0.35,9
2910jx,0.01,0.21,0.01,0.01,0.54,0.01,0.21,0.01,0.01,0.01,4
2941wk,0.22,0.0,0.08,0.0,0.09,0.04,0.06,0.23,0.0,0.28,9
29plst,0.05,0.0,0.03,0.0,0.32,0.0,0.0,0.4,0.12,0.08,7
29rni7,0.55,0.0,0.0,0.0,0.0,0.0,0.34,0.08,0.0,0.0,0
29uf5g,0.0,0.0,0.0,0.0,0.16,0.09,0.0,0.0,0.74,0.0,8
29wp4s,0.32,0.0,0.16,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0
29ztdy,0.62,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.22,0
2a03xk,0.62,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.22,0
2a3ltn,0.01,0.01,0.01,0.01,0.01,0.57,0.01,0.34,0.01,0.01,5
2a41bx,0.52,0.0,0.13,0.0,0.0,0.21,0.11,0.0,0.0,0.0,0
2a8by8,0.47,0.0,0.0,0.19,0.0,0.0,0.0,0.32,0.0,0.0,0
2a97o2,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.1,3
2adqiy,0.35,0.0,0.0,0.0,0.25,0.1,0.0,0.05,0.22,0.04,0
2antap,0.0,0.0,0.0,0.66,0.19,0.0,0.0,0.0,0.0,0.12,3
2apfzx,0.15,0.0,0.0,0.21,0.0,0.0,0.0,0.35,0.29,0.0,7
2apmoa,0.01,0.01,0.01,0.75,0.01,0.01,0.01,0.01,0.01,0.16,3
2ash5g,0.2,0.1,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.43,9
2av66v,0.13,0.07,0.0,0.0,0.38,0.08,0.0,0.17,0.04,0.14,4
2avgtx,0.01,0.01,0.75,0.01,0.01,0.01,0.01,0.01,0.01,0.21,2
2b3mn6,0.0,0.06,0.17,0.26,0.29,0.1,0.0,0.0,0.0,0.12,4
2b7lru,0.0,0.0,0.21,0.34,0.0,0.0,0.0,0.13,0.0,0.31,3
2bew4v,0.0,0.1,0.0,0.07,0.66,0.16,0.0,0.0,0.0,0.0,4
2bjmh0,0.0,0.09,0.0,0.0,0.0,0.52,0.0,0.0,0.37,0.0,5
2bsuyf,0.0,0.03,0.0,0.0,0.14,0.05,0.0,0.1,0.33,0.34,9
2but6j,0.41,0.01,0.01,0.53,0.01,0.01,0.01,0.01,0.01,0.01,3
2c7j0m,0.01,0.01,0.63,0.01,0.01,0.01,0.01,0.01,0.32,0.01,2
2cfokv,0.0,0.0,0.12,0.09,0.31,0.13,0.28,0.0,0.0,0.05,4
2ch7c9,0.0,0.0,0.0,0.17,0.0,0.37,0.11,0.0,0.33,0.0,5
2cjirv,0.21,0.0,0.0,0.0,0.0,0.18,0.26,0.0,0.33,0.0,8
2cryc2,0.0,0.0,0.0,0.11,0.24,0.0,0.06,0.26,0.1,0.22,7
2crzgd,0.14,0.24,0.21,0.38,0.01,0.01,0.01,0.01,0.01,0.01,3
2ctr1a,0.0,0.25,0.12,0.22,0.0,0.0,0.39,0.0,0.0,0.0,6
2d2zts,0.0,0.07,0.17,0.0,0.61,0.0,0.13,0.0,0.0,0.0,4
2d6540,0.0,0.3,0.18,0.24,0.26,0.0,0.0,0.0,0.0,0.0,1
2d7tc7,0.0,0.05,0.0,0.0,0.38,0.05,0.0,0.0,0.51,0.0,8
2dca2i,0.0,0.05,0.0,0.0,0.2,0.0,0.1,0.53,0.08,0.04,7
2dfcl1,0.15,0.0,0.0,0.0,0.17,0.0,0.5,0.07,0.0,0.11,6
2dwzrn,0.0,0.0,0.0,0.0,0.0,0.26,0.56,0.15,0.0,0.0,6
2e22ku,0.0,0.0,0.0,0.32,0.0,0.0,0.08,0.12,0.06,0.41,9
2e3col,0.0,0.0,0.0,0.55,0.42,0.0,0.0,0.0,0.0,0.0,3
2e5m55,0.0,0.34,0.0,0.0,0.0,0.2,0.0,0.0,0.41,0.04,8
2e5zo1,0.0,0.15,0.0,0.0,0.0,0.0,0.16,0.0,0.23,0.43,9
2e63mj,0.0,0.28,0.31,0.0,0.0,0.05,0.34,0.0,0.0,0.0,6
2e73kh,0.01,0.01,0.19,0.01,0.01,0.01,0.01,0.01,0.77,0.01,8
2e740g,0.4,0.0,0.0,0.0,0.23,0.25,0.0,0.11,0.0,0.0,0
2e75sq,0.22,0.0,0.0,0.0,0.17,0.05,0.1,0.47,0.0,0.0,7
2e7nv8,0.19,0.0,0.27,0.25,0.0,0.0,0.0,0.21,0.08,0.0,2
2eb1p2,0.01,0.01,0.01,0.68,0.01,0.01,0.01,0.01,0.01,0.28,3
2ee07g,0.0,0.0,0.04,0.0,0.26,0.0,0.0,0.06,0.0,0.63,9
2en5w2,0.05,0.0,0.0,0.12,0.46,0.0,0.0,0.0,0.0,0.36,4
2eqb9h,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.88,9
2f812b,0.22,0.19,0.0,0.0,0.3,0.07,0.0,0.0,0.0,0.21,4
2f8byv,0.13,0.11,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,4
2fc2je,0.3,0.01,0.58,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
2ffws1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.34,0.0,7
2fia9z,0.0,0.11,0.15,0.0,0.17,0.0,0.0,0.0,0.0,0.55,9
2flmwo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9
2g4pzz,0.08,0.0,0.05,0.0,0.0,0.0,0.41,0.14,0.0,0.32,6
2gas86,0.3,0.0,0.1,0.11,0.0,0.0,0.0,0.0,0.0,0.49,9
2gcxj0,0.0,0.13,0.0,0.29,0.0,0.0,0.0,0.57,0.0,0.0,7
2gh0to,0.55,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.3,0.0,0
2giqci,0.0,0.16,0.0,0.12,0.0,0.0,0.31,0.19,0.22,0.0,6
2gmsep,0.15,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.17,0.47,9
2goeaw,0.19,0.19,0.1,0.04,0.19,0.04,0.0,0.06,0.19,0.0,0
2h4dl3,0.0,0.07,0.11,0.0,0.44,0.16,0.0,0.0,0.21,0.0,4
2h7kf5,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.16,0.78,9
