,t0 control,t1 bowel,t2 amp,t3 surgery,t4 got,t5 symptom,t6 back,t7 symptom,t8 want,t9 surgery,dominant_topic
j3yqk7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.51,9
j40spo,0.01,0.43,0.01,0.01,0.01,0.01,0.01,0.01,0.53,0.01,8
j40y5z,0.63,0.01,0.01,0.23,0.01,0.01,0.1,0.01,0.01,0.01,0
j40zww,0.0,0.0,0.0,0.14,0.17,0.0,0.0,0.27,0.41,0.0,8
j41a2v,0.0,0.0,0.0,0.27,0.12,0.0,0.0,0.27,0.33,0.0,8
j42ni3,0.01,0.01,0.01,0.27,0.01,0.01,0.01,0.01,0.64,0.01,8
j4506t,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.34,0.0,0.38,9
j45myc,0.0,0.14,0.25,0.58,0.0,0.0,0.0,0.0,0.0,0.0,3
j462jh,0.0,0.0,0.27,0.0,0.18,0.0,0.0,0.0,0.0,0.54,9
j47007,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
j47h58,0.0,0.16,0.0,0.0,0.09,0.05,0.0,0.69,0.0,0.0,7
j4co7k,0.0,0.0,0.22,0.0,0.28,0.0,0.0,0.24,0.0,0.23,4
j4e0y5,0.0,0.0,0.05,0.0,0.13,0.05,0.26,0.5,0.0,0.0,7
j4fl2e,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0
j4i4ms,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.48,0.0,0.22,7
j4iatu,0.68,0.0,0.0,0.0,0.0,0.0,0.11,0.19,0.0,0.0,0
j4k6hs,0.01,0.01,0.16,0.37,0.01,0.01,0.01,0.16,0.01,0.28,3
j4kuf1,0.06,0.0,0.0,0.14,0.0,0.07,0.0,0.07,0.33,0.33,8
j4mvgc,0.01,0.46,0.01,0.01,0.01,0.01,0.45,0.01,0.01,0.01,1
j4oloa,0.0,0.0,0.0,0.13,0.23,0.0,0.33,0.0,0.3,0.0,6
j4pxnt,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
j4q415,0.01,0.01,0.01,0.01,0.01,0.18,0.01,0.01,0.49,0.28,8
j4qkxm,0.0,0.0,0.0,0.18,0.42,0.0,0.0,0.0,0.0,0.38,4
j4r8vf,0.79,0.01,0.01,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0
j4rk6n,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.39,0.36,0.0,7
j4s8yt,0.01,0.01,0.36,0.45,0.01,0.01,0.01,0.01,0.12,0.01,3
j4tox7,0.0,0.45,0.0,0.09,0.0,0.0,0.0,0.0,0.44,0.0,1
j4xfdw,0.0,0.0,0.0,0.47,0.0,0.06,0.0,0.46,0.0,0.0,3
j4yfxl,0.0,0.07,0.0,0.18,0.1,0.0,0.0,0.0,0.59,0.05,8
j4yguh,0.08,0.23,0.0,0.23,0.2,0.0,0.0,0.0,0.0,0.25,9
j4z393,0.0,0.05,0.0,0.19,0.0,0.16,0.21,0.0,0.39,0.0,8
j4zbyv,0.0,0.0,0.08,0.0,0.28,0.11,0.0,0.19,0.0,0.34,9
j518jv,0.05,0.0,0.0,0.04,0.0,0.09,0.13,0.51,0.18,0.0,7
j51im7,0.16,0.03,0.0,0.0,0.15,0.07,0.04,0.26,0.16,0.13,7
j52xq6,0.0,0.0,0.0,0.53,0.14,0.0,0.0,0.0,0.0,0.31,3
j55kmh,0.0,0.0,0.0,0.49,0.0,0.22,0.0,0.0,0.0,0.26,3
j55zo8,0.0,0.14,0.17,0.31,0.0,0.0,0.0,0.13,0.0,0.23,3
j564cf,0.0,0.0,0.27,0.0,0.0,0.0,0.7,0.0,0.0,0.0,6
j564xx,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,8
j577m8,0.01,0.01,0.01,0.01,0.43,0.01,0.15,0.01,0.38,0.01,4
j57ggu,0.0,0.34,0.0,0.0,0.0,0.0,0.23,0.41,0.0,0.0,7
j58gc8,0.01,0.01,0.19,0.63,0.14,0.01,0.01,0.01,0.01,0.01,3
j59fxz,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.74,9
j59pfg,0.01,0.73,0.01,0.01,0.01,0.01,0.01,0.22,0.01,0.01,1
j5bdxc,0.0,0.0,0.08,0.0,0.0,0.16,0.1,0.64,0.0,0.0,7
j5bf44,0.01,0.01,0.16,0.01,0.01,0.67,0.01,0.01,0.01,0.13,5
j5bhvg,0.76,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
j5c8pn,0.03,0.03,0.37,0.03,0.03,0.03,0.37,0.03,0.03,0.03,2
j5d824,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.17,0.49,0.16,8
j5le0a,0.0,0.0,0.25,0.0,0.22,0.31,0.0,0.0,0.0,0.21,5
j5luc5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.31,0
j5nzvd,0.01,0.01,0.01,0.17,0.01,0.01,0.55,0.24,0.01,0.01,6
j5ok7l,0.01,0.01,0.01,0.01,0.22,0.01,0.01,0.72,0.01,0.01,7
j5pao6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.83,0.0,8
j5phlm,0.25,0.0,0.0,0.21,0.0,0.0,0.0,0.15,0.38,0.0,8
j5qulc,0.34,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.22,0.12,0
j5r879,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.93,0.02,8
j5sg1w,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.27,6
j5vw0s,0.0,0.42,0.03,0.16,0.15,0.0,0.14,0.06,0.0,0.04,1
j5wt44,0.01,0.16,0.01,0.01,0.01,0.32,0.01,0.01,0.47,0.01,8
j5x8be,0.3,0.0,0.0,0.0,0.0,0.0,0.38,0.18,0.12,0.0,6
j5y3wz,0.14,0.0,0.0,0.35,0.14,0.1,0.0,0.08,0.12,0.07,3
j60cyj,0.44,0.0,0.0,0.0,0.14,0.0,0.0,0.34,0.05,0.0,0
j6223n,0.0,0.21,0.0,0.0,0.02,0.0,0.06,0.51,0.19,0.0,7
