,t0 cyst,t1 get,t2 help,t3 symptom,t4 control,t5 eat,t6 pelvic,t7 sex,t8 iud,t9 back,t10 surgery,t11 endometriosis,t12 amp,t13 flare,t14 nausea,t15 like,t16 nt,t17 period,t18 appointment,t19 doctor,dominant_topic
otb0m,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
p0e2x,0.11,0.0,0.0,0.0,0.08,0.0,0.0,0.03,0.03,0.31,0.12,0.15,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,9
pfivr,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,2
pmaka,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.89,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,11
qr632,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.09,0.39,0.12,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,8
r2cq6,0.07,0.0,0.16,0.0,0.0,0.07,0.03,0.0,0.29,0.0,0.12,0.0,0.03,0.0,0.03,0.12,0.0,0.07,0.0,0.0,8
suaof,0.29,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.26,0.05,0.0,0.0,0.0,0.0,0.0,0.14,0.12,0.0,0.0,0
t1scb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.2,0.08,0.17,0.0,0.0,0.14,0.0,0.0,0.28,0.0,0.0,17
tzrn0,0.0,0.0,0.1,0.0,0.0,0.03,0.0,0.0,0.0,0.4,0.09,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,9
tzspb,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.49,0.0,0.04,0.0,0.17,0.0,0.0,0.0,0.0,0.08,0.0,0.0,8
u10e7,0.28,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.15,0.16,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
u11fi,0.24,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.22,0.15,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ug4j0,0.13,0.0,0.0,0.13,0.0,0.0,0.06,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.35,0.0,0.0,17
uh1sf,0.04,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.07,0.0,0.0,0.18,0.0,0.0,0.06,1
uuyls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.31,0.0,0.03,0.0,0.0,0.16,0.0,0.0,8
vaf79,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.19,0.0,0.0,0.0,2
vgi5k,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.04,0.47,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
vi3kt,0.15,0.0,0.12,0.0,0.06,0.03,0.0,0.02,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,9
vix9q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,15
w25o3,0.38,0.0,0.0,0.0,0.28,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.1,0.19,0.0,0.0,0.0,0
wmpsz,0.38,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0
wvhgp,0.07,0.0,0.06,0.0,0.0,0.0,0.0,0.02,0.3,0.0,0.07,0.19,0.0,0.0,0.0,0.0,0.2,0.09,0.0,0.0,8
x52hp,0.14,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.15,0.0,0.16,2
xmdo4,0.0,0.0,0.0,0.12,0.0,0.06,0.16,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.21,0.0,7
xt786,0.09,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.11,0.13,0.07,0.0,0.0,0.0,0.12,0.16,0.0,0.06,4
xugyk,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,8
xvukk,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.81,0.01,0.01,0.01,0.01,15
xw4a2,0.01,0.31,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.01,0.01,0.01,0.01,0.23,0.01,0.01,12
xx26r,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.07,0.16,0.14,0.0,0.0,0.0,2
xxs2s,0.1,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.22,4
xz4ks,0.21,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.04,0.27,0.0,0.0,0.04,0.0,0.0,0.0,0.35,0.0,0.0,0.0,16
xzoxo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.34,0.07,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,16
y09du,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.6,0.0,0.0,0.0,0.0,15
y1o1p,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.03,18
y2185,0.02,0.0,0.0,0.37,0.29,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.17,0.07,0.0,0.0,0.0,3
y2bl9,0.0,0.0,0.0,0.48,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.06,0.0,3
y2szm,0.01,0.38,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.4,0.01,0.01,0.01,16
y7huk,0.0,0.8,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
yd7zl,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.05,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.13,0.06,0.13,16
yfhm1,0.0,0.0,0.0,0.0,0.23,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.44,0.0,0.0,0.0,0.0,15
ygdo3,0.0,0.0,0.24,0.0,0.0,0.0,0.03,0.0,0.0,0.32,0.0,0.0,0.0,0.06,0.02,0.0,0.27,0.0,0.0,0.05,9
ymv56,0.0,0.19,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.3,0.0,0.0,0.35,19
yn6w0,0.04,0.0,0.16,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.06,0.18,0.05,0.0,14
ytrk1,0.03,0.0,0.12,0.06,0.08,0.02,0.0,0.0,0.06,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.08,0.0,0.0,0.36,19
ytxi8,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,15
yx04y,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.48,0.17,0.0,17
yxe97,0.3,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,4
yynyd,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.22,0.28,0.0,0.0,0.0,0.0,0.0,0.05,0.16,0.0,0.0,0.06,9
z0uj9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,9
z856l,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.07,0.35,0.0,0.0,0.14,16
z9y00,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.12,0.0,0.0,0.0,0.0,0.21,0.0,0.04,0.15,0.2,0.07,0.18,13
zcea8,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.21,0.0,0.08,0.0,0.0,0.0,0.11,0.23,0.17,0.0,0.0,16
zeqde,0.0,0.0,0.0,0.29,0.25,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
zj8rz,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.21,16
zl2kw,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,19
znspy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
zpf3v,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.89,0.01,0.01,0.01,0.01,15
zqlw9,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
zs9ug,0.21,0.0,0.08,0.0,0.0,0.0,0.03,0.0,0.05,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.45,19
zwvto,0.18,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1
zxr5a,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.21,0.03,0.46,0.0,0.0,0.0,0.0,0.22,0.0,0.06,0.0,11
zy5ic,0.0,0.0,0.03,0.0,0.16,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.18,0.23,0.0,0.09,15
1020vb,0.0,0.0,0.17,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.05,0.31,0.0,0.0,0.0,4
106prs,0.05,0.0,0.0,0.0,0.37,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.19,0.13,0.1,0.04,0.0,4
10b7jm,0.32,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
10i1ne,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.41,0.04,0.0,17
10jk3y,0.12,0.0,0.16,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.21,16
10mgzn,0.04,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.02,0.0,0.29,0.06,0.07,0.0,4
10r13y,0.0,0.0,0.11,0.0,0.0,0.02,0.0,0.0,0.0,0.12,0.08,0.14,0.09,0.19,0.0,0.0,0.11,0.01,0.04,0.09,13
10vmnz,0.15,0.17,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
115f80,0.0,0.0,0.22,0.0,0.04,0.21,0.0,0.0,0.31,0.1,0.0,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.0,8
117fxf,0.0,0.18,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,2
119a2h,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0.39,0.01,0.01,0.01,0.01,0.26,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7
11ev0c,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.04,0.37,0.0,0.0,0.07,0.0,0.0,0.0,0.21,0.0,0.0,0.0,9
11kngk,0.0,0.41,0.07,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.36,0.0,0.0,0.0,1
11lsez,0.19,0.0,0.07,0.0,0.0,0.07,0.0,0.0,0.13,0.0,0.0,0.0,0.06,0.0,0.0,0.32,0.0,0.12,0.02,0.0,15
11mnlm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.1,0.06,0.0,0.47,0.0,0.0,0.0,16
11ms7o,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.61,0.01,0.01,0.01,16
11ukbn,0.24,0.0,0.05,0.0,0.13,0.0,0.0,0.0,0.0,0.3,0.0,0.22,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
11uspq,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.08,0.35,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
11uvbi,0.0,0.0,0.17,0.25,0.0,0.0,0.0,0.24,0.0,0.27,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
11wu3o,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.13,0.19,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
11wyd1,0.01,0.0,0.0,0.13,0.16,0.0,0.0,0.11,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.13,0.16,0.0,0.0,15
123kgw,0.0,0.0,0.2,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,6
124m65,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.41,0.0,0.25,0.0,0.0,15
125k60,0.04,0.0,0.0,0.08,0.0,0.0,0.02,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.04,0.0,0.44,0.1,0.0,0.0,16
12dglj,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.02,0.06,0.04,0.0,0.0,0.0,0.0,0.01,0.37,0.0,0.0,0.26,0.0,15
12qdx1,0.0,0.0,0.14,0.0,0.17,0.0,0.02,0.31,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,7
12qjih,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.06,0.19,0.06,0.01,0.0,0.0,0.13,0.0,0.42,0.03,0.0,0.0,16
12s029,0.26,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
12s5ht,0.1,0.0,0.67,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,2
12uynl,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
12ynjw,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.08,0.68,0.0,0.0,0.0,16
12z44y,0.0,0.0,0.24,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.25,0.23,0.0,0.0,0.0,15
132igo,0.08,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.16,16
133j6v,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.1,0.08,0.0,0.0,0.0,0.0,8
134l13,0.14,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.14,16
13711b,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.17,0.46,0.0,0.0,0.15,16
1374cm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.17,16
1389ll,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
139iwn,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.23,0.0,0.0,0.0,0.37,0.0,0.0,0.12,16
13bahg,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.14,0.32,0.0,0.0,0
13cevi,0.06,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.52,0.28,0.0,0.0,0.0,15
13cnh8,0.0,0.0,0.0,0.0,0.08,0.0,0.02,0.0,0.18,0.0,0.08,0.01,0.0,0.0,0.0,0.13,0.0,0.08,0.2,0.21,19
13erg3,0.0,0.0,0.17,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.08,0.0,0.0,0.0,3
13fhow,0.01,0.0,0.1,0.08,0.0,0.0,0.0,0.06,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.16,0.31,0.22,0.03,0.0,16
13glte,0.0,0.0,0.37,0.0,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,2
13q6fo,0.0,0.0,0.1,0.32,0.04,0.0,0.0,0.0,0.13,0.17,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,3
13qs9p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.13,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
13ssdt,0.0,0.0,0.0,0.16,0.0,0.0,0.08,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.13,0.0,0.0,9
13tse3,0.05,0.0,0.23,0.0,0.3,0.0,0.0,0.0,0.0,0.13,0.09,0.0,0.0,0.0,0.03,0.0,0.16,0.0,0.0,0.0,4
13tt6h,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.35,0.09,0.23,0.0,0.0,0.03,0.0,0.0,0.12,0.0,0.06,0.05,8
13uq9v,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.09,0.16,0.0,0.0,0.0,0.32,0.0,18
13vhlv,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.09,0.16,0.0,0.0,0.0,0.32,0.0,18
13yg5q,0.0,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.77,0.0,0.0,0.0,16
13zdxj,0.0,0.0,0.0,0.1,0.0,0.0,0.01,0.0,0.17,0.18,0.0,0.0,0.0,0.04,0.0,0.41,0.0,0.07,0.0,0.0,15
1412fo,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.51,0.01,0.17,0.01,16
143csp,0.04,0.0,0.0,0.16,0.05,0.0,0.0,0.0,0.07,0.13,0.0,0.0,0.0,0.0,0.04,0.09,0.17,0.0,0.14,0.09,16
1443yb,0.0,0.0,0.32,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.44,19
149ce7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.09,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,9
149jdf,0.0,0.0,0.11,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.07,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.21,3
149yba,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.16,0.0,0.05,0.04,0.0,0.0,0.0,0.12,0.0,0.0,0.35,0.21,18
14dwxt,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,8
14o5qo,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.56,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
14spft,0.0,0.0,0.18,0.0,0.21,0.0,0.02,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.02,0.0,0.29,0.0,0.0,0.0,16
14ubu4,0.06,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.21,0.25,0.0,0.0,15
14xmzg,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.13,0.03,0.02,0.0,0.16,0.0,0.0,0.0,10
15165j,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.34,0.0,0.0,0.0,15
15bk09,0.0,0.0,0.0,0.13,0.16,0.0,0.0,0.0,0.0,0.21,0.11,0.0,0.06,0.0,0.0,0.0,0.18,0.0,0.0,0.14,9
15cgzi,0.0,0.0,0.0,0.25,0.24,0.0,0.0,0.25,0.03,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,3
15dhv5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.15,0.0,0.0,15
15fld8,0.0,0.0,0.48,0.0,0.22,0.08,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,2
15hd84,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.17,0.0,0.0,8
15ic56,0.02,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.53,0.07,0.0,0.0,0.17,15
15kony,0.0,0.0,0.0,0.0,0.16,0.14,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.37,0.0,0.0,0.16,0.0,15
1ua2d2,0.0,0.0,0.39,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,16
1ue8pz,0.0,0.0,0.0,0.08,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,4
1uiq8a,0.16,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.22,0.1,0.06,0.0,0.0,0.0,0.06,0.31,0.0,0.05,0.0,0.0,15
1uo0yj,0.04,0.0,0.09,0.0,0.19,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,16
1v0dae,0.01,0.0,0.05,0.15,0.02,0.01,0.04,0.12,0.02,0.07,0.0,0.0,0.0,0.0,0.0,0.03,0.25,0.0,0.0,0.23,16
1v16de,0.04,0.0,0.04,0.0,0.0,0.03,0.01,0.03,0.03,0.31,0.07,0.0,0.06,0.0,0.02,0.25,0.0,0.0,0.0,0.11,9
1vb0bm,0.16,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.11,0.25,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.14,10
1vcccw,0.0,0.0,0.28,0.0,0.0,0.01,0.0,0.0,0.08,0.0,0.0,0.04,0.0,0.09,0.01,0.0,0.24,0.0,0.02,0.22,2
1vgvym,0.0,0.07,0.0,0.07,0.0,0.0,0.07,0.38,0.06,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.11,0.1,0.07,0.0,7
1vh5ag,0.0,0.0,0.0,0.08,0.0,0.0,0.06,0.34,0.05,0.0,0.0,0.0,0.0,0.08,0.0,0.06,0.07,0.18,0.06,0.0,7
1viw7t,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,17
1vlls6,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.02,0.0,0.31,0.0,0.04,0.0,0.0,0.02,0.0,0.22,0.0,0.0,0.0,3
1vo4lb,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.15,0.0,0.0,0.0,0.0,0.0,0.13,0.32,19
1vrgnj,0.0,0.0,0.21,0.0,0.0,0.08,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.38,0.14,0.0,0.0,0.0,15
1vswqn,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,11
1vw5bc,0.28,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.11,0.0,0.0,0.0,3
1w1kaf,0.0,0.0,0.06,0.06,0.37,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.1,0.0,0.0,4
1wevtx,0.15,0.0,0.0,0.2,0.0,0.0,0.04,0.08,0.18,0.0,0.14,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
1whgcy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,10
1wip99,0.0,0.0,0.11,0.0,0.0,0.1,0.0,0.0,0.06,0.0,0.0,0.0,0.37,0.0,0.0,0.15,0.2,0.0,0.0,0.0,12
1x612a,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.08,0.07,0.0,0.1,0.0,0.0,0.03,0.0,0.28,0.38,0.0,0.0,17
1x8di9,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.17,0.31,0.0,0.0,15
1xdojg,0.06,0.0,0.0,0.0,0.12,0.01,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.24,0.0,0.0,0.0,8
