,t0 cyst,t1 get,t2 help,t3 symptom,t4 control,t5 eat,t6 pelvic,t7 sex,t8 iud,t9 back,t10 surgery,t11 endometriosis,t12 amp,t13 flare,t14 nausea,t15 like,t16 nt,t17 period,t18 appointment,t19 doctor,dominant_topic
ggpyp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.12,0.0,0.0,0.0,8
ggti43,0.01,0.01,0.36,0.01,0.01,0.01,0.01,0.01,0.18,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.01,0.01,0.19,2
ggtnf6,0.05,0.09,0.23,0.14,0.0,0.0,0.1,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.06,0.18,0.0,0.0,0.0,0.0,2
ggwa43,0.0,0.0,0.18,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.0,0.06,0.0,0.15,0.04,0.0,0.0,0.15,0.09,0.2,19
ggyor9,0.0,0.0,0.0,0.1,0.0,0.0,0.02,0.0,0.23,0.0,0.14,0.19,0.0,0.0,0.09,0.0,0.2,0.0,0.0,0.0,8
gh0m8i,0.3,0.1,0.11,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
gh2yrh,0.14,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.25,0.0,0.09,0.0,0.19,0.04,0.0,0.0,0.0,0.0,0.0,0.0,4
gh6ofq,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.43,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
ghana4,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.13,0.0,0.0,0.0,0.11,0.12,0.0,0.0,0.0,0.0,2
ghchz0,0.0,0.0,0.39,0.0,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.04,0.0,0.22,0.2,0.0,0.0,0.0,2
ghdkbu,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.27,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.05,0.17,2
ghdy5u,0.19,0.0,0.27,0.14,0.0,0.0,0.05,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.21,0.0,0.0,0.0,0.0,2
ghe59u,0.0,0.16,0.0,0.0,0.0,0.17,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
ghf7ni,0.0,0.0,0.29,0.09,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.38,19
ghh6y4,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.07,0.2,0.0,0.12,0.0,0.13,8
ghhehd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.58,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,8
