,t0 side,t1 amp,t2 experience,t3 blood,t4 nt,t5 weight,t6 pelvic,t7 didn,t8 control,t9 day,t10 surgery,t11 doctor,t12 period,t13 flare,t14 like,dominant_topic
otb0m,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
p0e2x,0.07,0.0,0.0,0.07,0.1,0.0,0.0,0.0,0.05,0.24,0.3,0.17,0.0,0.0,0.0,10
pfivr,0.0,0.19,0.31,0.0,0.0,0.0,0.08,0.0,0.0,0.34,0.0,0.0,0.06,0.0,0.0,9
pmaka,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.01,0.51,0.01,13
qr632,0.3,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.22,9
r2cq6,0.0,0.18,0.0,0.0,0.0,0.06,0.03,0.0,0.26,0.17,0.23,0.0,0.06,0.0,0.0,8
suaof,0.0,0.0,0.0,0.04,0.12,0.0,0.0,0.0,0.06,0.0,0.26,0.23,0.28,0.0,0.0,12
t1scb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.33,0.0,0.0,0.37,14
tzrn0,0.0,0.0,0.04,0.0,0.34,0.02,0.0,0.0,0.0,0.26,0.17,0.0,0.0,0.0,0.16,4
tzspb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.06,0.0,0.06,0.0,0.33,8
u10e7,0.0,0.0,0.3,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,10
u11fi,0.0,0.0,0.27,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,10
ug4j0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.07,0.0,0.53,0.0,0.2,12
uh1sf,0.0,0.0,0.0,0.07,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.33,0.05,0.09,4
uuyls,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.51,0.13,0.0,0.0,0.0,0.0,0.0,8
vaf79,0.07,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.0,0.0,0.0,0.0,0.0,2
vgi5k,0.0,0.0,0.31,0.12,0.0,0.19,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,8
vi3kt,0.12,0.0,0.07,0.01,0.12,0.04,0.03,0.0,0.05,0.33,0.19,0.0,0.0,0.0,0.04,9
vix9q,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0.01,0.01,0.01,0.01,0.41,9
w25o3,0.05,0.0,0.08,0.0,0.17,0.0,0.0,0.0,0.0,0.06,0.39,0.07,0.17,0.0,0.0,10
wmpsz,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.26,0.0,0.59,0.0,0.0,12
wvhgp,0.14,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.25,0.0,0.17,0.17,0.11,0.0,0.0,8
x52hp,0.0,0.0,0.18,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.24,0.0,0.0,4
xmdo4,0.0,0.0,0.0,0.0,0.0,0.05,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.47,14
xt786,0.0,0.0,0.18,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.21,0.19,0.26,0.0,0.0,12
xugyk,0.0,0.0,0.0,0.0,0.35,0.15,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,8
xvukk,0.01,0.01,0.01,0.01,0.81,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
xw4a2,0.01,0.01,0.52,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.39,0.01,0.01,2
xx26r,0.0,0.06,0.28,0.0,0.34,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.09,0.13,4
xxs2s,0.47,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.08,0.26,0.0,0.0,0.0,0
xz4ks,0.03,0.0,0.13,0.0,0.27,0.0,0.0,0.0,0.04,0.19,0.33,0.0,0.0,0.0,0.0,10
xzoxo,0.0,0.0,0.05,0.0,0.25,0.0,0.0,0.0,0.24,0.37,0.08,0.0,0.0,0.0,0.0,9
y09du,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,5
y1o1p,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.53,14
y2185,0.03,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.34,0.0,0.1,0.08,0.12,0.0,0.16,8
y2bl9,0.0,0.0,0.16,0.0,0.32,0.02,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.26,4
y2szm,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.76,14
y7huk,0.01,0.01,0.01,0.01,0.01,0.01,0.72,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,6
yd7zl,0.0,0.0,0.0,0.02,0.4,0.0,0.0,0.0,0.3,0.05,0.0,0.08,0.13,0.02,0.0,4
yfhm1,0.0,0.0,0.0,0.0,0.78,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
ygdo3,0.02,0.0,0.36,0.0,0.12,0.0,0.06,0.0,0.0,0.39,0.0,0.0,0.0,0.04,0.0,9
ymv56,0.0,0.0,0.14,0.0,0.65,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.07,4
yn6w0,0.02,0.0,0.17,0.0,0.08,0.05,0.06,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.5,14
ytrk1,0.02,0.03,0.37,0.0,0.2,0.01,0.0,0.0,0.21,0.0,0.0,0.16,0.0,0.0,0.0,2
ytxi8,0.0,0.0,0.0,0.34,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,9
yx04y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.38,0.0,0.0,8
yxe97,0.12,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,10
yynyd,0.16,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.36,0.27,0.0,0.0,0.0,0.0,0.0,8
z0uj9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.32,0.0,0.12,0.0,0.0,9
z856l,0.0,0.07,0.42,0.0,0.32,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,2
z9y00,0.01,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.41,0.08,0.0,0.1,0.1,0.12,0.05,8
zcea8,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.16,0.0,0.0,0.12,0.36,0.0,0.0,12
zeqde,0.16,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.16,0.12,0.0,0.0,3
zj8rz,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
zl2kw,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.15,0.27,0.33,0.0,0.0,0.0,0.0,10
znspy,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,2
zpf3v,0.01,0.01,0.01,0.01,0.9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
zqlw9,0.37,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,11
zs9ug,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.19,0.14,0.21,0.39,0.0,0.0,0.0,11
zwvto,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.36,0.12,0.0,0.32,0.0,0.0,9
zxr5a,0.0,0.0,0.18,0.0,0.12,0.0,0.0,0.0,0.0,0.1,0.0,0.6,0.0,0.0,0.0,11
zy5ic,0.0,0.0,0.02,0.0,0.36,0.04,0.01,0.0,0.18,0.16,0.0,0.0,0.22,0.0,0.0,4
1020vb,0.0,0.0,0.07,0.0,0.34,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.05,0.15,0.0,8
106prs,0.08,0.0,0.0,0.0,0.31,0.0,0.05,0.0,0.0,0.19,0.0,0.1,0.23,0.04,0.0,4
10b7jm,0.01,0.01,0.01,0.01,0.35,0.01,0.01,0.01,0.01,0.01,0.29,0.01,0.01,0.01,0.27,4
10i1ne,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.15,0.39,0.0,0.0,0.29,0.0,0.06,9
10jk3y,0.0,0.0,0.1,0.14,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.05,0.17,4
10mgzn,0.2,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.14,0.0,0.0,0.15,0.07,0.0,0.09,4
10r13y,0.0,0.0,0.33,0.0,0.0,0.02,0.0,0.0,0.07,0.15,0.06,0.14,0.0,0.22,0.0,2
10vmnz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.85,14
115f80,0.03,0.0,0.19,0.0,0.0,0.15,0.0,0.0,0.37,0.18,0.0,0.0,0.0,0.07,0.0,8
117fxf,0.01,0.01,0.01,0.01,0.7,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0.01,0.01,4
119a2h,0.26,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.59,14
11ev0c,0.51,0.0,0.0,0.04,0.07,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0
11kngk,0.0,0.0,0.0,0.0,0.52,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.37,4
11lsez,0.0,0.0,0.06,0.0,0.16,0.07,0.0,0.0,0.12,0.0,0.17,0.03,0.33,0.05,0.0,12
11mnlm,0.0,0.0,0.0,0.0,0.39,0.28,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,4
11ms7o,0.26,0.01,0.01,0.01,0.65,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
11ukbn,0.25,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.25,0.0,0.0,10
11uspq,0.11,0.18,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.33,0.0,0.0,0.0,0.0,10
11uvbi,0.0,0.0,0.18,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.26,3
11wu3o,0.09,0.1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.3,0.0,0.0,10
11wyd1,0.05,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.0,0.07,0.0,0.24,0.0,0.04,8
123kgw,0.0,0.07,0.24,0.0,0.0,0.0,0.55,0.0,0.0,0.06,0.0,0.08,0.0,0.0,0.0,6
124m65,0.0,0.0,0.0,0.0,0.23,0.06,0.0,0.0,0.0,0.21,0.0,0.0,0.29,0.0,0.2,12
125k60,0.0,0.0,0.0,0.04,0.32,0.0,0.06,0.0,0.0,0.0,0.0,0.24,0.18,0.02,0.13,4
12dglj,0.04,0.03,0.0,0.06,0.28,0.15,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.1,0.05,9
12qdx1,0.06,0.0,0.22,0.0,0.0,0.0,0.04,0.0,0.0,0.34,0.0,0.0,0.32,0.0,0.0,9
12qjih,0.03,0.0,0.13,0.0,0.27,0.0,0.0,0.0,0.08,0.16,0.0,0.0,0.0,0.0,0.33,14
12s029,0.06,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.15,0.0,0.0,0.0,2
12s5ht,0.0,0.25,0.32,0.0,0.0,0.0,0.0,0.0,0.11,0.09,0.09,0.13,0.0,0.0,0.0,2
12uynl,0.0,0.0,0.0,0.0,0.28,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
12ynjw,0.0,0.02,0.25,0.0,0.59,0.07,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,4
12z44y,0.0,0.21,0.0,0.0,0.32,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.25,4
132igo,0.13,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.04,0.0,0.11,0.08,0.0,0.0,0.0,4
133j6v,0.1,0.05,0.11,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.23,0.0,8
134l13,0.12,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.04,0.0,0.2,0.06,0.0,0.0,0.0,4
13711b,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.04,0.23,0.09,0.0,0.0,0.0,0.0,4
1374cm,0.0,0.0,0.05,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,4
1389ll,0.48,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0
139iwn,0.0,0.0,0.54,0.0,0.35,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2
13bahg,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.28,0.0,0.0,10
13cevi,0.02,0.0,0.0,0.0,0.54,0.0,0.01,0.0,0.0,0.36,0.04,0.0,0.0,0.02,0.0,4
13cnh8,0.03,0.0,0.0,0.0,0.13,0.02,0.0,0.0,0.23,0.23,0.06,0.24,0.05,0.0,0.0,11
13erg3,0.0,0.0,0.28,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,4
13fhow,0.02,0.03,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.26,0.0,0.17,4
13glte,0.0,0.0,0.0,0.0,0.73,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,4
13q6fo,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.26,0.11,0.0,0.09,0.17,0.0,0.12,8
13qs9p,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13ssdt,0.0,0.05,0.07,0.07,0.0,0.0,0.15,0.0,0.0,0.2,0.0,0.05,0.4,0.0,0.0,12
13tse3,0.16,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.27,0.23,0.0,0.0,0.0,0.0,4
13tt6h,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.44,0.0,0.36,0.08,0.0,0.03,0.0,8
13uq9v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.21,0.58,14
13vhlv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.21,0.58,14
13yg5q,0.0,0.0,0.28,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
13zdxj,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.34,0.42,0.0,0.0,0.09,0.0,0.09,9
1412fo,0.01,0.01,0.75,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.01,0.01,0.01,2
143csp,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.13,0.22,0.0,0.48,0.0,0.0,0.0,11
1443yb,0.0,0.0,0.35,0.0,0.31,0.0,0.07,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,2
149ce7,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.84,0.01,0.01,0.01,0.01,0.01,9
149jdf,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.48,0.0,0.0,0.0,11
149yba,0.0,0.05,0.18,0.0,0.0,0.0,0.0,0.0,0.37,0.07,0.04,0.26,0.0,0.0,0.03,8
14dwxt,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.18,0.04,0.16,0.0,0.0,0.09,0
14o5qo,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.39,0.0,0.0,0.0,0.0,0.0,9
14spft,0.0,0.0,0.13,0.0,0.45,0.0,0.0,0.0,0.14,0.0,0.23,0.0,0.0,0.0,0.04,4
14ubu4,0.04,0.01,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.39,0.0,0.0,4
14xmzg,0.08,0.07,0.18,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.53,0.0,0.0,0.05,0.03,10
15165j,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
15bk09,0.0,0.03,0.24,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.22,0.0,0.0,11
15cgzi,0.34,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.46,14
15dhv5,0.0,0.0,0.0,0.0,0.64,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,4
15fld8,0.05,0.0,0.39,0.0,0.0,0.05,0.0,0.0,0.14,0.0,0.0,0.13,0.0,0.22,0.0,2
15hd84,0.32,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.0,8
15ic56,0.0,0.0,0.0,0.0,0.3,0.0,0.15,0.0,0.1,0.36,0.08,0.0,0.0,0.0,0.0,9
15kony,0.17,0.0,0.0,0.0,0.54,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,4
1ua2d2,0.01,0.01,0.78,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,2
1ue8pz,0.44,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0
1uiq8a,0.13,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.07,0.24,0.24,0.0,0.17,0.0,0.09,9
1uo0yj,0.0,0.0,0.12,0.0,0.56,0.0,0.04,0.0,0.15,0.0,0.0,0.04,0.07,0.0,0.0,4
1v0dae,0.0,0.0,0.14,0.04,0.22,0.01,0.05,0.01,0.08,0.05,0.02,0.21,0.0,0.0,0.17,4
1v16de,0.0,0.05,0.07,0.03,0.04,0.01,0.03,0.0,0.03,0.56,0.14,0.0,0.0,0.0,0.03,9
1vb0bm,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.22,0.46,0.0,0.0,0.03,0.11,10
1vcccw,0.06,0.0,0.35,0.0,0.21,0.03,0.0,0.0,0.0,0.04,0.0,0.16,0.0,0.15,0.0,2
1vgvym,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.25,0.0,0.02,0.64,14
1vh5ag,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.2,0.17,0.05,0.5,14
1viw7t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,12
1vlls6,0.0,0.0,0.0,0.32,0.11,0.0,0.0,0.0,0.08,0.0,0.0,0.42,0.0,0.0,0.06,11
1vo4lb,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,2
1vrgnj,0.0,0.0,0.07,0.0,0.49,0.08,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,4
1vswqn,0.0,0.11,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.07,0.0,2
1vw5bc,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,11
1w1kaf,0.14,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.23,0.1,0.0,0.0,0.26,0.0,0.07,12
1wevtx,0.11,0.0,0.24,0.0,0.0,0.0,0.08,0.0,0.04,0.0,0.27,0.0,0.11,0.06,0.09,10
1whgcy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.63,0.0,0.0,0.0,0.0,10
1wip99,0.0,0.03,0.43,0.0,0.26,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,2
1x612a,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.29,0.0,0.09,8
1x8di9,0.0,0.02,0.09,0.0,0.39,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.28,0.0,0.0,4
1xdojg,0.01,0.0,0.0,0.0,0.24,0.01,0.0,0.0,0.65,0.0,0.09,0.0,0.0,0.0,0.0,8
1xgxh0,0.0,0.0,0.1,0.06,0.0,0.0,0.21,0.0,0.19,0.0,0.0,0.0,0.2,0.0,0.23,14
1xjte7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.12,0.0,0.0,0.0,0.0,9
1xuwbi,0.29,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.11,0.0,0.0,0.0,0.0,8
1xzb9s,0.0,0.0,0.0,0.19,0.18,0.0,0.08,0.0,0.0,0.26,0.0,0.0,0.19,0.03,0.06,9
1y8tox,0.08,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.06,0.0,0.0,0.33,0.0,0.37,14
1yo8kd,0.0,0.0,0.0,0.08,0.0,0.0,0.05,0.0,0.0,0.0,0.24,0.24,0.14,0.0,0.23,10
1ys6e6,0.0,0.0,0.13,0.0,0.15,0.0,0.0,0.0,0.0,0.08,0.05,0.36,0.0,0.0,0.23,11
1yv2s8,0.06,0.0,0.08,0.0,0.22,0.04,0.0,0.0,0.3,0.0,0.05,0.0,0.13,0.0,0.1,8
1yview,0.14,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.32,0.09,0.0,0.0,11
1yxm3f,0.0,0.09,0.0,0.03,0.35,0.0,0.01,0.01,0.01,0.29,0.0,0.05,0.11,0.03,0.02,4
1z1mzm,0.0,0.05,0.38,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,2
1zbjnt,0.07,0.0,0.17,0.0,0.55,0.0,0.03,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,4
1zkzmb,0.12,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.4,0.12,0.3,0.0,0.0,0.05,0.0,8
1zlmi1,0.0,0.0,0.07,0.0,0.26,0.02,0.0,0.0,0.18,0.0,0.0,0.24,0.23,0.0,0.0,4
1zqh8v,0.01,0.1,0.5,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.24,0.01,0.01,2
201s7b,0.0,0.0,0.3,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
209lru,0.0,0.26,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.22,0.0,0.0,4
20av02,0.02,0.02,0.02,0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,4
20k7vf,0.0,0.03,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.23,0.0,0.0,0.07,2
20qkxl,0.01,0.0,0.0,0.0,0.0,0.02,0.14,0.0,0.28,0.0,0.0,0.14,0.4,0.0,0.0,12
20t8dj,0.0,0.0,0.0,0.0,0.54,0.02,0.0,0.0,0.0,0.14,0.0,0.0,0.26,0.04,0.0,4
21aptb,0.11,0.0,0.0,0.0,0.55,0.03,0.0,0.0,0.25,0.0,0.0,0.05,0.0,0.0,0.0,4
21kv39,0.01,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.31,0.01,0.01,0.01,0.48,14
21mbrb,0.03,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.07,0.54,0.0,0.0,0.0,11
21o4jf,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.17,0.17,0.02,0.15,0.13,0.0,0.0,4
21r8xw,0.0,0.05,0.0,0.0,0.2,0.0,0.0,0.0,0.24,0.0,0.0,0.19,0.0,0.3,0.0,13
22wqad,0.04,0.01,0.0,0.03,0.31,0.0,0.0,0.0,0.0,0.04,0.45,0.0,0.1,0.02,0.0,10
236zj5,0.58,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
239vu8,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.34,0.0,0.0,11
23vl5g,0.0,0.15,0.3,0.0,0.24,0.0,0.08,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,2
2410w5,0.01,0.08,0.31,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0.01,0.01,0.01,11
245ypx,0.2,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.37,14
24o1c0,0.0,0.01,0.09,0.14,0.28,0.02,0.0,0.0,0.0,0.3,0.0,0.0,0.17,0.0,0.0,9
252xb1,0.08,0.09,0.18,0.0,0.0,0.0,0.1,0.0,0.44,0.0,0.09,0.0,0.0,0.0,0.0,8
255gax,0.0,0.09,0.13,0.0,0.0,0.04,0.0,0.0,0.0,0.1,0.0,0.0,0.21,0.11,0.32,14
256x63,0.03,0.0,0.19,0.0,0.19,0.0,0.0,0.0,0.3,0.18,0.0,0.1,0.0,0.0,0.0,8
257j38,0.0,0.0,0.15,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.43,14
25ekei,0.0,0.0,0.15,0.0,0.52,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.04,0.0,4
25exxr,0.0,0.0,0.0,0.18,0.24,0.0,0.02,0.0,0.0,0.21,0.04,0.09,0.21,0.01,0.0,4
25klax,0.0,0.0,0.09,0.0,0.66,0.04,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.01,4
25lcj1,0.04,0.32,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.05,0.16,1
25nf8v,0.0,0.0,0.0,0.0,0.48,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,4
25revh,0.22,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.12,0.0,0.0,8
260jb7,0.0,0.0,0.0,0.04,0.33,0.0,0.0,0.0,0.04,0.15,0.0,0.09,0.12,0.01,0.2,4
263rga,0.0,0.0,0.0,0.0,0.3,0.0,0.03,0.0,0.08,0.13,0.0,0.29,0.17,0.0,0.0,4
26476i,0.0,0.06,0.14,0.06,0.03,0.03,0.06,0.0,0.0,0.33,0.29,0.0,0.0,0.0,0.0,9
26d78v,0.05,0.07,0.18,0.0,0.16,0.0,0.05,0.0,0.08,0.15,0.0,0.26,0.0,0.0,0.0,11
26hleg,0.0,0.0,0.0,0.05,0.33,0.0,0.0,0.0,0.57,0.04,0.0,0.0,0.0,0.0,0.0,8
