,t0 side,t1 amp,t2 experience,t3 blood,t4 nt,t5 weight,t6 pelvic,t7 didn,t8 control,t9 day,t10 surgery,t11 doctor,t12 period,t13 flare,t14 like,dominant_topic
kbvp5n,0.16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.73,0.01,0.01,0.01,11
kbwtr0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.29,0.01,0.27,0.01,0.01,0.09,0.29,0.01,7
kbx990,0.03,0.0,0.0,0.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.55,14
kbzg73,0.0,0.02,0.06,0.08,0.0,0.0,0.03,0.02,0.12,0.09,0.18,0.19,0.0,0.01,0.21,14
kbzrpe,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.38,0.0,0.0,0.0,11
kc15gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.54,14
kc1ygr,0.0,0.01,0.0,0.0,0.53,0.0,0.0,0.04,0.1,0.11,0.1,0.0,0.0,0.11,0.0,4
kc2a5n,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.35,0.0,0.0,0.0,0.49,14
kc2u36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.25,0.0,0.09,0.0,0.0,8
kc2yfs,0.0,0.0,0.08,0.0,0.75,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.06,0.0,0.0,4
kc32j2,0.07,0.02,0.06,0.1,0.19,0.0,0.0,0.0,0.0,0.26,0.02,0.07,0.2,0.02,0.0,9
kc3cv0,0.19,0.0,0.0,0.0,0.51,0.03,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,4
kc3kox,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.16,0.0,0.0,0.0,3
kc48k5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.27,9
kc5ali,0.06,0.02,0.05,0.0,0.0,0.0,0.04,0.03,0.0,0.21,0.0,0.0,0.54,0.04,0.0,12
kc64ws,0.0,0.02,0.0,0.0,0.43,0.0,0.0,0.03,0.0,0.27,0.0,0.0,0.0,0.24,0.0,4
kc75ct,0.0,0.0,0.0,0.0,0.13,0.14,0.0,0.0,0.61,0.04,0.0,0.07,0.0,0.0,0.0,8
kc7wdw,0.0,0.0,0.09,0.16,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.18,0.0,0.25,8
kc93og,0.21,0.16,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.3,0.22,0.0,0.0,0.0,0.0,9
kcabrv,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,9
kcb0gd,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.25,0.16,0.0,0.0,0.0,0.16,0.0,4
kcbpml,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,2
kccflq,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.01,0.0,0.51,0.08,0.0,0.11,0.0,0.2,9
kcdigt,0.0,0.39,0.17,0.0,0.27,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
kce57p,0.0,0.0,0.18,0.1,0.18,0.0,0.01,0.09,0.0,0.0,0.19,0.25,0.0,0.0,0.0,11
kcf68b,0.13,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8,0.01,0.01,0.01,0.01,0.01,0.01,8
kcfbf4,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.64,14
kcg554,0.0,0.0,0.0,0.0,0.13,0.05,0.0,0.0,0.44,0.0,0.35,0.0,0.0,0.0,0.0,8
kcg94o,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.27,0.0,0.0,0.0,0.42,14
kcgsiz,0.08,0.0,0.38,0.0,0.0,0.0,0.05,0.0,0.0,0.14,0.2,0.0,0.0,0.0,0.13,2
kch244,0.01,0.01,0.34,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.43,0.01,0.01,0.01,11
kci2xp,0.05,0.01,0.0,0.02,0.34,0.0,0.01,0.0,0.13,0.0,0.09,0.34,0.0,0.02,0.0,4
kci53e,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.41,10
kcj3ds,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.72,0.0,0.23,0.0,0.0,0.0,0.0,8
kcjeij,0.01,0.01,0.0,0.0,0.36,0.01,0.03,0.0,0.13,0.37,0.0,0.0,0.0,0.07,0.0,9
kclal7,0.11,0.0,0.27,0.0,0.0,0.0,0.07,0.02,0.02,0.02,0.25,0.1,0.0,0.08,0.04,2
kcn1un,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.26,0.0,0.0,0.0,2
kcnzub,0.0,0.0,0.0,0.06,0.33,0.02,0.03,0.02,0.24,0.0,0.0,0.21,0.07,0.0,0.0,4
kcoodh,0.15,0.0,0.27,0.04,0.0,0.0,0.0,0.01,0.0,0.19,0.17,0.0,0.16,0.0,0.0,2
kcoto6,0.0,0.05,0.13,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.11,12
kcp7eh,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.02,0.08,0.16,0.16,0.11,0.16,0.0,0.23,14
kcp8hz,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.32,0.01,0.56,14
kcqhtk,0.0,0.0,0.0,0.16,0.18,0.0,0.09,0.14,0.0,0.23,0.18,0.0,0.0,0.0,0.0,9
kcrejc,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.19,0.45,0.1,0.0,0.0,0.0,0.14,9
kctlmy,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.63,0.13,0.18,0.0,0.0,10
kctqa8,0.0,0.02,0.0,0.05,0.06,0.0,0.0,0.0,0.0,0.25,0.23,0.14,0.25,0.0,0.0,9
kcw8nd,0.0,0.0,0.1,0.0,0.0,0.0,0.24,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,9
kcxb69,0.0,0.0,0.49,0.03,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.22,0.0,0.0,0.0,2
kcxmba,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.1,0.0,0.15,0.03,0.0,0.0,0.27,0.14,2
kcza4d,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.26,0.0,4
kczc0p,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.72,0.0,0.0,12
