,t0 didn,t1 day,t2 surgery,t3 symptom,t4 nt,t5 control,t6 amp,t7 cyst,t8 period,t9 doctor,dominant_topic
otb0m,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
p0e2x,0.0,0.06,0.27,0.09,0.1,0.07,0.02,0.08,0.0,0.32,9
pfivr,0.0,0.4,0.17,0.0,0.42,0.0,0.0,0.0,0.0,0.0,4
pmaka,0.01,0.01,0.01,0.01,0.01,0.01,0.74,0.17,0.01,0.01,6
qr632,0.04,0.52,0.0,0.08,0.0,0.35,0.0,0.0,0.0,0.0,1
r2cq6,0.0,0.32,0.28,0.0,0.0,0.34,0.05,0.0,0.0,0.0,5
suaof,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.4,0.23,0.25,7
t1scb,0.0,0.37,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.47,9
tzrn0,0.0,0.27,0.22,0.0,0.28,0.0,0.0,0.0,0.0,0.22,4
tzspb,0.0,0.0,0.09,0.2,0.0,0.11,0.0,0.0,0.59,0.0,8
u10e7,0.0,0.0,0.35,0.0,0.0,0.34,0.0,0.27,0.0,0.0,2
u11fi,0.0,0.0,0.43,0.0,0.0,0.3,0.0,0.24,0.0,0.0,2
ug4j0,0.0,0.32,0.0,0.26,0.0,0.0,0.0,0.12,0.28,0.0,1
uh1sf,0.0,0.16,0.0,0.14,0.37,0.0,0.0,0.05,0.27,0.0,4
uuyls,0.0,0.0,0.33,0.0,0.0,0.26,0.0,0.0,0.39,0.0,8
vaf79,0.0,0.0,0.26,0.0,0.51,0.22,0.0,0.0,0.0,0.0,4
vgi5k,0.0,0.0,0.29,0.0,0.0,0.68,0.0,0.0,0.0,0.0,5
vi3kt,0.03,0.24,0.2,0.0,0.17,0.15,0.0,0.08,0.0,0.12,1
vix9q,0.01,0.92,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
w25o3,0.14,0.06,0.14,0.0,0.24,0.0,0.0,0.31,0.11,0.0,7
wmpsz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.51,0.08,8
wvhgp,0.0,0.0,0.36,0.04,0.17,0.0,0.0,0.1,0.14,0.19,2
x52hp,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.17,0.18,0.08,4
xmdo4,0.01,0.72,0.01,0.24,0.01,0.01,0.01,0.01,0.01,0.01,1
xt786,0.0,0.0,0.33,0.16,0.16,0.0,0.0,0.06,0.29,0.0,2
xugyk,0.01,0.23,0.08,0.01,0.38,0.28,0.01,0.01,0.01,0.01,4
xvukk,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,4
xw4a2,0.01,0.01,0.01,0.01,0.01,0.39,0.24,0.01,0.29,0.01,5
xx26r,0.0,0.18,0.17,0.05,0.48,0.0,0.12,0.0,0.0,0.0,4
xxs2s,0.34,0.0,0.36,0.0,0.22,0.0,0.0,0.07,0.0,0.0,2
xz4ks,0.0,0.0,0.15,0.0,0.43,0.0,0.0,0.19,0.0,0.23,4
xzoxo,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.39,4
y09du,0.01,0.17,0.01,0.01,0.28,0.51,0.01,0.01,0.01,0.01,5
y1o1p,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
y2185,0.01,0.0,0.13,0.25,0.14,0.11,0.0,0.0,0.25,0.1,3
y2bl9,0.0,0.0,0.16,0.42,0.41,0.0,0.0,0.0,0.0,0.0,3
y2szm,0.01,0.4,0.01,0.01,0.36,0.16,0.01,0.01,0.01,0.01,1
y7huk,0.01,0.44,0.01,0.01,0.01,0.01,0.49,0.01,0.01,0.01,6
yd7zl,0.0,0.03,0.0,0.0,0.36,0.0,0.0,0.0,0.3,0.31,4
yfhm1,0.01,0.5,0.01,0.01,0.44,0.01,0.01,0.01,0.01,0.01,1
ygdo3,0.0,0.3,0.16,0.0,0.27,0.16,0.0,0.0,0.0,0.09,1
ymv56,0.0,0.0,0.0,0.0,0.8,0.0,0.08,0.0,0.1,0.0,4
yn6w0,0.02,0.33,0.0,0.3,0.15,0.07,0.03,0.03,0.07,0.0,1
ytrk1,0.0,0.0,0.29,0.08,0.4,0.11,0.0,0.02,0.05,0.05,4
ytxi8,0.01,0.51,0.01,0.29,0.01,0.01,0.01,0.15,0.01,0.01,1
yx04y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.17,8
yxe97,0.15,0.0,0.0,0.0,0.34,0.06,0.0,0.23,0.0,0.21,4
yynyd,0.0,0.0,0.0,0.0,0.26,0.22,0.0,0.0,0.12,0.39,9
z0uj9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.16,0.79,9
z856l,0.0,0.0,0.21,0.0,0.63,0.0,0.1,0.0,0.0,0.05,4
z9y00,0.0,0.01,0.0,0.05,0.25,0.26,0.0,0.0,0.18,0.24,5
zcea8,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.11,0.32,0.29,8
zeqde,0.12,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.47,9
zj8rz,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,4
zl2kw,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.23,0.0,0.42,9
znspy,0.0,0.0,0.63,0.0,0.0,0.0,0.34,0.0,0.0,0.0,2
zpf3v,0.01,0.01,0.01,0.01,0.9,0.01,0.01,0.01,0.01,0.01,4
zqlw9,0.01,0.01,0.36,0.01,0.01,0.22,0.01,0.37,0.01,0.01,7
zs9ug,0.0,0.0,0.15,0.28,0.06,0.0,0.0,0.0,0.0,0.51,9
zwvto,0.07,0.57,0.0,0.0,0.14,0.0,0.0,0.2,0.0,0.0,1
zxr5a,0.0,0.0,0.24,0.0,0.28,0.0,0.12,0.0,0.0,0.35,9
zy5ic,0.0,0.16,0.0,0.0,0.33,0.07,0.01,0.02,0.31,0.1,4
1020vb,0.0,0.0,0.0,0.0,0.47,0.22,0.0,0.0,0.14,0.17,4
106prs,0.08,0.16,0.0,0.0,0.26,0.0,0.0,0.04,0.2,0.25,4
10b7jm,0.01,0.01,0.01,0.01,0.46,0.01,0.01,0.45,0.01,0.01,4
10i1ne,0.0,0.35,0.0,0.03,0.0,0.0,0.0,0.01,0.43,0.17,8
10jk3y,0.0,0.0,0.0,0.35,0.54,0.0,0.0,0.09,0.0,0.0,4
10mgzn,0.15,0.0,0.0,0.12,0.34,0.0,0.0,0.0,0.21,0.17,4
10r13y,0.0,0.0,0.41,0.0,0.25,0.18,0.0,0.0,0.03,0.13,2
10vmnz,0.01,0.59,0.01,0.19,0.01,0.01,0.01,0.18,0.01,0.01,1
115f80,0.0,0.14,0.27,0.0,0.0,0.49,0.0,0.0,0.09,0.0,5
117fxf,0.01,0.01,0.01,0.01,0.55,0.01,0.01,0.01,0.39,0.01,4
119a2h,0.19,0.02,0.02,0.68,0.02,0.02,0.02,0.02,0.02,0.02,3
11ev0c,0.38,0.03,0.19,0.0,0.0,0.06,0.0,0.0,0.0,0.34,0
11kngk,0.0,0.46,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,4
11lsez,0.0,0.14,0.06,0.0,0.14,0.2,0.0,0.14,0.25,0.06,8
11mnlm,0.0,0.32,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,4
11ms7o,0.33,0.01,0.01,0.01,0.59,0.01,0.01,0.01,0.01,0.01,4
11ukbn,0.05,0.0,0.36,0.0,0.0,0.11,0.04,0.28,0.0,0.14,2
11uspq,0.0,0.0,0.56,0.0,0.0,0.0,0.05,0.0,0.0,0.37,2
11uvbi,0.0,0.14,0.19,0.66,0.0,0.0,0.0,0.0,0.0,0.0,3
11wu3o,0.0,0.0,0.49,0.0,0.0,0.0,0.05,0.0,0.0,0.43,2
11wyd1,0.02,0.0,0.0,0.13,0.25,0.07,0.0,0.07,0.45,0.0,8
123kgw,0.0,0.19,0.23,0.0,0.0,0.0,0.57,0.0,0.0,0.0,6
124m65,0.0,0.85,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,1
125k60,0.0,0.07,0.0,0.27,0.32,0.0,0.0,0.07,0.17,0.11,4
12dglj,0.0,0.39,0.0,0.07,0.34,0.16,0.0,0.0,0.0,0.04,1
12qdx1,0.09,0.24,0.19,0.0,0.0,0.0,0.03,0.0,0.45,0.0,8
12qjih,0.0,0.28,0.09,0.23,0.33,0.06,0.0,0.0,0.0,0.0,4
12s029,0.04,0.0,0.81,0.0,0.0,0.0,0.0,0.14,0.0,0.0,2
12s5ht,0.0,0.23,0.0,0.0,0.33,0.2,0.0,0.07,0.0,0.15,4
12uynl,0.0,0.13,0.0,0.0,0.33,0.51,0.0,0.0,0.0,0.0,5
12ynjw,0.0,0.04,0.0,0.0,0.86,0.05,0.04,0.0,0.0,0.0,4
12z44y,0.0,0.0,0.0,0.0,0.46,0.13,0.0,0.0,0.39,0.0,4
132igo,0.11,0.0,0.0,0.0,0.61,0.0,0.0,0.08,0.0,0.2,4
133j6v,0.0,0.07,0.0,0.0,0.0,0.46,0.0,0.0,0.46,0.0,5
134l13,0.1,0.0,0.15,0.0,0.52,0.0,0.0,0.07,0.0,0.16,4
13711b,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.1,0.0,0.19,4
1374cm,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.33,4
1389ll,0.0,0.0,0.0,0.21,0.0,0.54,0.0,0.04,0.0,0.18,5
139iwn,0.0,0.0,0.37,0.0,0.52,0.0,0.0,0.0,0.0,0.1,4
13bahg,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.36,0.36,0.0,7
13cevi,0.0,0.22,0.0,0.0,0.69,0.04,0.0,0.05,0.0,0.0,4
13cnh8,0.0,0.0,0.13,0.0,0.19,0.14,0.0,0.0,0.13,0.41,9
13erg3,0.0,0.0,0.0,0.38,0.59,0.0,0.0,0.0,0.0,0.0,4
13fhow,0.02,0.07,0.08,0.0,0.34,0.01,0.0,0.03,0.44,0.0,8
13glte,0.01,0.01,0.01,0.01,0.71,0.01,0.09,0.01,0.01,0.16,4
13q6fo,0.0,0.0,0.36,0.18,0.0,0.09,0.0,0.0,0.36,0.0,2
13qs9p,0.01,0.01,0.01,0.01,0.01,0.94,0.01,0.01,0.01,0.01,5
13ssdt,0.0,0.4,0.0,0.3,0.0,0.0,0.0,0.06,0.17,0.07,1
13tse3,0.16,0.08,0.2,0.0,0.32,0.0,0.0,0.07,0.16,0.0,4
13tt6h,0.0,0.0,0.43,0.0,0.1,0.13,0.05,0.0,0.0,0.28,2
13uq9v,0.0,0.23,0.0,0.44,0.0,0.15,0.0,0.0,0.17,0.0,3
13vhlv,0.0,0.23,0.0,0.44,0.0,0.15,0.0,0.0,0.17,0.0,3
13yg5q,0.0,0.0,0.0,0.09,0.89,0.0,0.0,0.0,0.0,0.0,4
13zdxj,0.0,0.31,0.0,0.12,0.08,0.19,0.0,0.0,0.14,0.16,1
1412fo,0.01,0.01,0.49,0.01,0.39,0.01,0.01,0.01,0.01,0.01,2
143csp,0.0,0.0,0.0,0.18,0.25,0.0,0.0,0.03,0.0,0.53,9
1443yb,0.01,0.01,0.31,0.01,0.36,0.22,0.08,0.01,0.01,0.01,4
149ce7,0.01,0.42,0.31,0.01,0.21,0.01,0.01,0.01,0.01,0.01,1
149jdf,0.0,0.0,0.7,0.29,0.0,0.0,0.0,0.0,0.0,0.0,2
149yba,0.0,0.06,0.31,0.0,0.16,0.04,0.0,0.0,0.0,0.43,9
14dwxt,0.0,0.0,0.12,0.12,0.0,0.33,0.0,0.0,0.0,0.41,9
14o5qo,0.02,0.19,0.0,0.0,0.0,0.36,0.0,0.0,0.15,0.28,5
14spft,0.0,0.0,0.38,0.08,0.44,0.0,0.0,0.0,0.09,0.0,4
14ubu4,0.01,0.0,0.0,0.0,0.41,0.05,0.0,0.07,0.46,0.0,8
14xmzg,0.1,0.0,0.52,0.06,0.0,0.0,0.04,0.0,0.0,0.26,2
15165j,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,4
15bk09,0.0,0.0,0.12,0.27,0.0,0.0,0.12,0.0,0.0,0.48,9
15cgzi,0.2,0.0,0.0,0.64,0.0,0.15,0.0,0.0,0.0,0.0,3
15dhv5,0.01,0.43,0.01,0.01,0.39,0.01,0.01,0.01,0.15,0.01,1
15fld8,0.04,0.0,0.42,0.0,0.2,0.32,0.0,0.0,0.0,0.0,2
15hd84,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.28,0.0,5
15ic56,0.0,0.41,0.0,0.0,0.3,0.0,0.03,0.03,0.0,0.22,1
15kony,0.07,0.36,0.01,0.01,0.53,0.01,0.01,0.01,0.01,0.01,4
1ua2d2,0.01,0.01,0.01,0.01,0.51,0.42,0.01,0.01,0.01,0.01,4
1ue8pz,0.39,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.31,0.0,0
1uiq8a,0.0,0.39,0.17,0.0,0.0,0.21,0.0,0.13,0.1,0.0,1
1uo0yj,0.0,0.0,0.08,0.0,0.61,0.0,0.0,0.07,0.23,0.0,4
1v0dae,0.01,0.06,0.0,0.27,0.36,0.0,0.04,0.0,0.0,0.26,4
1v16de,0.0,0.29,0.16,0.0,0.1,0.03,0.03,0.04,0.06,0.29,1
1vb0bm,0.0,0.21,0.44,0.28,0.0,0.0,0.0,0.0,0.0,0.06,2
1vcccw,0.0,0.0,0.11,0.0,0.51,0.19,0.02,0.0,0.0,0.16,4
1vgvym,0.0,0.0,0.0,0.4,0.0,0.06,0.0,0.0,0.38,0.15,3
1vh5ag,0.0,0.0,0.0,0.35,0.0,0.1,0.0,0.0,0.41,0.14,8
1viw7t,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,8
1vlls6,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.37,3
1vo4lb,0.0,0.0,0.81,0.0,0.0,0.0,0.03,0.0,0.0,0.14,2
1vrgnj,0.0,0.33,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.12,4
1vswqn,0.0,0.0,0.37,0.0,0.33,0.0,0.27,0.0,0.0,0.0,2
1vw5bc,0.0,0.0,0.34,0.33,0.1,0.0,0.0,0.22,0.0,0.0,2
1w1kaf,0.11,0.05,0.0,0.0,0.21,0.0,0.0,0.0,0.62,0.0,8
1wevtx,0.02,0.0,0.35,0.43,0.0,0.13,0.0,0.0,0.07,0.0,3
1whgcy,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.06,0.37,2
1wip99,0.0,0.0,0.0,0.0,0.71,0.11,0.18,0.0,0.0,0.0,4
1x612a,0.03,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.62,0.11,8
1x8di9,0.0,0.21,0.0,0.0,0.34,0.0,0.0,0.0,0.45,0.0,8
1xdojg,0.0,0.0,0.0,0.0,0.34,0.31,0.0,0.07,0.24,0.03,4
1xgxh0,0.0,0.16,0.0,0.5,0.0,0.06,0.03,0.05,0.19,0.0,3
1xjte7,0.0,0.49,0.1,0.0,0.0,0.11,0.0,0.0,0.0,0.29,1
1xuwbi,0.0,0.0,0.08,0.0,0.0,0.57,0.0,0.11,0.22,0.0,5
1xzb9s,0.01,0.35,0.0,0.22,0.09,0.0,0.02,0.0,0.15,0.16,1
1y8tox,0.04,0.55,0.0,0.21,0.0,0.0,0.0,0.04,0.16,0.0,1
1yo8kd,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.25,0.26,0.24,8
1ys6e6,0.0,0.0,0.11,0.35,0.32,0.0,0.02,0.0,0.0,0.2,3
1yv2s8,0.0,0.0,0.1,0.06,0.3,0.18,0.0,0.0,0.27,0.08,4
1yview,0.13,0.0,0.0,0.2,0.0,0.17,0.0,0.05,0.0,0.45,9
1yxm3f,0.01,0.31,0.0,0.0,0.39,0.0,0.01,0.0,0.12,0.17,4
1z1mzm,0.0,0.0,0.26,0.0,0.55,0.0,0.16,0.0,0.0,0.0,4
1zbjnt,0.0,0.0,0.2,0.0,0.56,0.04,0.03,0.0,0.0,0.15,4
1zkzmb,0.0,0.0,0.27,0.0,0.0,0.44,0.0,0.07,0.0,0.21,5
1zlmi1,0.0,0.0,0.0,0.08,0.31,0.05,0.0,0.07,0.26,0.23,4
1zqh8v,0.01,0.01,0.5,0.01,0.01,0.01,0.11,0.01,0.01,0.32,2
201s7b,0.01,0.01,0.01,0.01,0.85,0.1,0.01,0.01,0.01,0.01,4
209lru,0.0,0.2,0.0,0.0,0.36,0.0,0.0,0.0,0.32,0.11,4
20av02,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,4
20k7vf,0.0,0.0,0.72,0.26,0.0,0.0,0.0,0.0,0.0,0.0,2
20qkxl,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.09,0.44,0.3,8
20t8dj,0.0,0.19,0.0,0.0,0.51,0.0,0.0,0.0,0.26,0.04,4
21aptb,0.0,0.0,0.0,0.0,0.53,0.27,0.0,0.0,0.0,0.19,4
21kv39,0.01,0.01,0.24,0.29,0.01,0.4,0.01,0.01,0.01,0.01,5
21mbrb,0.0,0.0,0.14,0.0,0.33,0.0,0.09,0.03,0.0,0.4,9
21o4jf,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.06,0.13,0.44,9
21r8xw,0.0,0.0,0.21,0.0,0.3,0.4,0.08,0.0,0.0,0.0,5
22wqad,0.01,0.0,0.24,0.0,0.29,0.0,0.01,0.21,0.0,0.23,4
236zj5,0.37,0.01,0.01,0.01,0.33,0.25,0.01,0.01,0.01,0.01,0
239vu8,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,9
23vl5g,0.0,0.34,0.33,0.0,0.31,0.0,0.0,0.0,0.0,0.0,1
2410w5,0.01,0.01,0.01,0.01,0.39,0.01,0.18,0.01,0.01,0.36,4
245ypx,0.01,0.01,0.01,0.29,0.01,0.17,0.01,0.01,0.32,0.18,8
24o1c0,0.01,0.3,0.0,0.0,0.29,0.0,0.0,0.02,0.25,0.13,1
252xb1,0.0,0.0,0.26,0.0,0.22,0.17,0.2,0.03,0.11,0.0,2
255gax,0.0,0.24,0.0,0.0,0.0,0.24,0.0,0.0,0.49,0.0,8
256x63,0.02,0.05,0.17,0.0,0.32,0.04,0.0,0.0,0.24,0.16,4
257j38,0.0,0.0,0.36,0.28,0.0,0.33,0.0,0.0,0.0,0.0,2
25ekei,0.0,0.17,0.11,0.0,0.54,0.0,0.0,0.0,0.0,0.16,4
25exxr,0.0,0.07,0.0,0.17,0.19,0.0,0.0,0.07,0.14,0.35,9
25klax,0.0,0.06,0.0,0.13,0.79,0.0,0.02,0.0,0.0,0.0,4
25lcj1,0.03,0.31,0.62,0.0,0.0,0.0,0.03,0.0,0.0,0.0,2
25nf8v,0.01,0.38,0.01,0.01,0.43,0.13,0.01,0.01,0.01,0.01,4
25revh,0.19,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.41,0.22,8
260jb7,0.0,0.2,0.0,0.17,0.34,0.0,0.0,0.0,0.19,0.1,4
263rga,0.0,0.05,0.0,0.0,0.3,0.0,0.0,0.09,0.18,0.36,9
26476i,0.0,0.38,0.28,0.06,0.1,0.03,0.0,0.15,0.0,0.0,1
26d78v,0.0,0.09,0.0,0.0,0.3,0.18,0.06,0.0,0.0,0.37,9
26hleg,0.0,0.0,0.0,0.0,0.38,0.24,0.0,0.0,0.0,0.38,4
26mt2i,0.0,0.0,0.0,0.58,0.11,0.0,0.0,0.14,0.07,0.1,3
26o6z3,0.0,0.0,0.0,0.38,0.53,0.0,0.03,0.04,0.0,0.0,4
26p2qd,0.01,0.0,0.0,0.0,0.66,0.0,0.0,0.1,0.0,0.22,4
26pn4n,0.0,0.26,0.0,0.16,0.44,0.02,0.0,0.0,0.12,0.0,4
26rw4e,0.02,0.12,0.22,0.0,0.0,0.04,0.03,0.0,0.22,0.34,9
26tyl8,0.03,0.04,0.12,0.0,0.59,0.0,0.02,0.03,0.06,0.11,4
26uc4e,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.06,0.67,0.0,8
274sve,0.01,0.01,0.94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
27ae1w,0.09,0.0,0.05,0.0,0.6,0.06,0.0,0.0,0.2,0.0,4
27baj2,0.0,0.0,0.86,0.0,0.0,0.05,0.08,0.0,0.0,0.0,2
27hze5,0.08,0.0,0.0,0.0,0.0,0.21,0.0,0.25,0.45,0.0,8
27luoa,0.0,0.0,0.29,0.0,0.08,0.0,0.03,0.0,0.41,0.18,8
27umlo,0.15,0.0,0.12,0.0,0.17,0.16,0.0,0.07,0.09,0.24,9
27unv4,0.01,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.18,0.13,4
27wzvh,0.0,0.0,0.2,0.0,0.0,0.78,0.0,0.0,0.0,0.0,5
28o66u,0.0,0.38,0.15,0.16,0.0,0.02,0.0,0.0,0.0,0.28,1
28oy9h,0.0,0.19,0.0,0.0,0.49,0.01,0.0,0.0,0.12,0.18,4
28uq7f,0.02,0.3,0.0,0.0,0.55,0.1,0.01,0.01,0.0,0.0,4
28v9dr,0.0,0.0,0.0,0.21,0.0,0.62,0.0,0.0,0.0,0.16,5
28xn1n,0.0,0.0,0.47,0.0,0.12,0.0,0.0,0.05,0.0,0.36,2
2910jx,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2941wk,0.0,0.0,0.0,0.15,0.07,0.15,0.06,0.14,0.15,0.28,9
29plst,0.0,0.09,0.04,0.0,0.22,0.0,0.0,0.06,0.31,0.28,8
29rni7,0.0,0.0,0.0,0.0,0.0,0.4,0.15,0.0,0.43,0.0,8
29uf5g,0.19,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,4
29wp4s,0.0,0.2,0.0,0.0,0.0,0.46,0.0,0.0,0.32,0.0,5
29ztdy,0.0,0.18,0.03,0.0,0.0,0.22,0.0,0.12,0.11,0.34,9
2a03xk,0.0,0.18,0.03,0.0,0.0,0.22,0.0,0.12,0.11,0.34,9
2a3ltn,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.91,0.01,8
2a41bx,0.0,0.0,0.0,0.0,0.0,0.34,0.07,0.0,0.42,0.15,8
2a8by8,0.0,0.0,0.08,0.16,0.0,0.29,0.0,0.0,0.37,0.08,8
2a97o2,0.0,0.0,0.53,0.0,0.25,0.04,0.0,0.0,0.0,0.16,2
2adqiy,0.06,0.0,0.0,0.0,0.28,0.19,0.0,0.02,0.14,0.32,9
2antap,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.45,2
2apfzx,0.0,0.0,0.1,0.0,0.34,0.04,0.0,0.03,0.27,0.21,4
2apmoa,0.01,0.01,0.9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
2ash5g,0.0,0.0,0.24,0.17,0.05,0.06,0.03,0.03,0.0,0.42,9
2av66v,0.05,0.11,0.0,0.09,0.21,0.02,0.0,0.0,0.14,0.38,9
2avgtx,0.01,0.01,0.14,0.01,0.23,0.16,0.44,0.01,0.01,0.01,6
2b3mn6,0.0,0.07,0.41,0.21,0.19,0.0,0.0,0.0,0.0,0.11,2
2b7lru,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.15,0.24,0.0,2
2bew4v,0.0,0.43,0.0,0.0,0.26,0.0,0.02,0.0,0.0,0.29,1
2bjmh0,0.0,0.0,0.08,0.0,0.37,0.53,0.0,0.0,0.0,0.0,5
2bsuyf,0.0,0.17,0.03,0.06,0.48,0.0,0.0,0.25,0.0,0.0,4
2but6j,0.01,0.01,0.27,0.01,0.01,0.15,0.01,0.01,0.53,0.01,8
2c7j0m,0.01,0.01,0.81,0.01,0.15,0.01,0.01,0.01,0.01,0.01,2
2cfokv,0.0,0.39,0.0,0.22,0.12,0.0,0.15,0.0,0.0,0.11,1
2ch7c9,0.0,0.24,0.0,0.27,0.33,0.0,0.14,0.0,0.0,0.0,4
2cjirv,0.05,0.2,0.0,0.2,0.32,0.19,0.04,0.0,0.0,0.0,4
2cryc2,0.0,0.0,0.0,0.15,0.41,0.08,0.0,0.13,0.0,0.21,4
2crzgd,0.0,0.0,0.27,0.2,0.28,0.14,0.09,0.0,0.0,0.0,4
2ctr1a,0.0,0.25,0.0,0.54,0.0,0.0,0.0,0.0,0.13,0.06,3
2d2zts,0.0,0.32,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.25,4
2d6540,0.0,0.45,0.44,0.0,0.0,0.0,0.09,0.0,0.0,0.0,1
2d7tc7,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.29,4
2dca2i,0.0,0.11,0.0,0.15,0.22,0.01,0.0,0.04,0.37,0.1,8
2dfcl1,0.0,0.39,0.05,0.2,0.0,0.0,0.03,0.0,0.0,0.32,1
2dwzrn,0.0,0.62,0.0,0.0,0.0,0.14,0.0,0.0,0.22,0.0,1
2e22ku,0.0,0.1,0.35,0.17,0.05,0.0,0.0,0.13,0.0,0.21,2
2e3col,0.0,0.0,0.34,0.0,0.3,0.0,0.0,0.0,0.0,0.33,2
2e5m55,0.0,0.37,0.0,0.0,0.36,0.22,0.0,0.03,0.0,0.0,1
2e5zo1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.16,0.0,0.3,3
2e63mj,0.0,0.53,0.0,0.31,0.14,0.0,0.0,0.0,0.0,0.0,1
2e73kh,0.0,0.0,0.1,0.0,0.87,0.0,0.0,0.0,0.0,0.0,4
2e740g,0.0,0.22,0.0,0.14,0.08,0.24,0.0,0.0,0.31,0.0,8
2e75sq,0.0,0.0,0.0,0.23,0.0,0.0,0.02,0.0,0.58,0.16,8
2e7nv8,0.0,0.0,0.3,0.22,0.0,0.0,0.0,0.0,0.25,0.21,2
2eb1p2,0.0,0.0,0.47,0.13,0.0,0.0,0.0,0.08,0.0,0.29,2
2ee07g,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.05,0.14,2
2en5w2,0.02,0.0,0.28,0.0,0.1,0.0,0.0,0.21,0.0,0.38,9
2eqb9h,0.0,0.0,0.34,0.0,0.17,0.0,0.08,0.4,0.0,0.0,7
2f812b,0.0,0.28,0.0,0.13,0.08,0.16,0.0,0.09,0.0,0.25,1
2f8byv,0.0,0.47,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.4,1
2fc2je,0.01,0.01,0.01,0.56,0.01,0.01,0.01,0.01,0.34,0.01,3
2ffws1,0.0,0.0,0.0,0.11,0.36,0.0,0.0,0.0,0.51,0.0,8
2fia9z,0.0,0.11,0.4,0.0,0.0,0.0,0.0,0.23,0.11,0.14,2
2flmwo,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.72,0.0,0.0,7
2g4pzz,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.24,0.27,0.0,3
2gas86,0.0,0.0,0.31,0.0,0.0,0.15,0.0,0.1,0.0,0.43,9
2gcxj0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.63,0.1,8
2gh0to,0.0,0.0,0.0,0.0,0.21,0.29,0.0,0.0,0.07,0.42,9
2giqci,0.0,0.42,0.0,0.0,0.28,0.0,0.0,0.05,0.23,0.0,1
2gmsep,0.12,0.0,0.09,0.0,0.11,0.0,0.0,0.05,0.0,0.63,9
2goeaw,0.0,0.3,0.0,0.0,0.36,0.16,0.06,0.0,0.0,0.1,4
2h4dl3,0.0,0.0,0.0,0.08,0.28,0.21,0.09,0.0,0.0,0.32,9
2h7kf5,0.0,0.0,0.21,0.11,0.18,0.0,0.0,0.48,0.0,0.0,7
