,t0 didn,t1 day,t2 surgery,t3 symptom,t4 nt,t5 control,t6 amp,t7 cyst,t8 period,t9 doctor,dominant_topic
o23sbq,0.0,0.0,0.27,0.0,0.15,0.0,0.0,0.41,0.0,0.14,7
o25fqe,0.16,0.75,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,1
o265dm,0.04,0.0,0.0,0.52,0.0,0.22,0.04,0.0,0.16,0.0,3
o265e6,0.01,0.01,0.01,0.55,0.01,0.25,0.16,0.01,0.01,0.01,3
o2696q,0.0,0.0,0.0,0.47,0.25,0.0,0.0,0.0,0.0,0.27,3
o27298,0.01,0.01,0.44,0.52,0.01,0.01,0.01,0.01,0.01,0.01,3
o29cf8,0.0,0.26,0.0,0.0,0.18,0.11,0.0,0.07,0.14,0.24,1
o2axfg,0.0,0.26,0.7,0.0,0.0,0.0,0.02,0.0,0.0,0.0,2
o2djvb,0.05,0.0,0.0,0.56,0.12,0.0,0.0,0.26,0.0,0.0,3
o2dun7,0.04,0.25,0.0,0.28,0.13,0.14,0.05,0.0,0.11,0.0,3
o2dxkd,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
o2eqsa,0.0,0.59,0.0,0.08,0.0,0.0,0.0,0.06,0.0,0.25,1
o2f6ev,0.0,0.0,0.11,0.31,0.0,0.0,0.0,0.0,0.31,0.25,3
o2ffvi,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,8
o2fhv0,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
o2hf29,0.04,0.0,0.0,0.48,0.23,0.0,0.0,0.0,0.0,0.24,3
o2iokj,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.13,0.28,0.11,4
o2km5z,0.07,0.0,0.42,0.0,0.28,0.0,0.0,0.0,0.0,0.23,2
o2m0ez,0.0,0.0,0.0,0.37,0.07,0.0,0.0,0.0,0.0,0.55,9
o2n58b,0.01,0.01,0.49,0.45,0.01,0.01,0.01,0.01,0.01,0.01,2
